Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",48.71,48.97,48.12,48.72,48.72,"11,387,600"
"Jul 27, 2023",49.33,49.57,47.80,48.03,48.03,"21,500,900"
"Jul 26, 2023",47.85,49.22,47.61,48.86,48.86,"30,039,800"
"Jul 25, 2023",47.59,47.99,46.38,46.65,46.65,"34,931,500"
"Jul 24, 2023",46.29,47.70,46.29,47.55,47.55,"18,132,600"
"Jul 21, 2023",47.45,47.45,46.21,46.38,46.38,"19,919,200"
"Jul 20, 2023",47.00,47.17,46.10,46.97,46.97,"26,266,500"
"Jul 19, 2023",46.00,47.27,45.51,47.15,47.15,"30,812,200"
"Jul 18, 2023",43.92,45.82,43.88,45.73,45.73,"29,937,400"
"Jul 17, 2023",43.00,44.17,42.83,43.88,43.88,"14,518,700"
"Jul 14, 2023",44.37,44.39,42.76,43.13,43.13,"22,705,100"
"Jul 13, 2023",43.49,44.23,43.14,43.95,43.95,"16,086,900"
"Jul 12, 2023",43.25,43.82,42.91,43.21,43.21,"19,565,200"
"Jul 11, 2023",41.95,42.50,41.56,42.36,42.36,"13,155,800"
"Jul 10, 2023",41.32,42.34,41.14,41.80,41.80,"13,961,100"
"Jul 07, 2023",40.52,41.86,40.52,41.47,41.47,"15,824,300"
"Jul 06, 2023",40.55,40.80,39.81,40.59,40.59,"21,157,300"
"Jul 05, 2023",41.31,41.82,40.82,41.22,41.22,"12,936,900"
"Jul 03, 2023",41.00,41.97,40.90,41.77,41.77,"10,399,700"
"Jun 30, 2023",41.78,41.78,40.81,40.83,40.83,"17,850,500"
"Jun 29, 2023",41.03,41.73,41.01,41.3,41.3,"18,580,600"
"Jun 28, 2023",40.55,40.69,40.06,40.54,40.54,"15,173,200"
"Jun 27, 2023",40.19,41.12,39.71,40.76,40.76,"15,751,900"
"Jun 26, 2023",39.92,40.77,39.85,40.08,40.08,"16,537,400"
"Jun 23, 2023",39.64,40.28,39.39,39.58,39.58,"22,766,300"
"Jun 22, 2023",41.35,41.37,39.92,40.16,40.16,"25,452,800"
"Jun 21, 2023",41.95,42.04,41.39,41.47,41.47,"15,335,900"
"Jun 20, 2023",42.53,42.6,41.86,42.12,42.12,"13,767,900"
"Jun 16, 2023",43.83,44.0,42.71,43.07,42.67,"19,269,000"
"Jun 15, 2023",42.5,43.81,42.47,43.67,43.27,"18,410,500"
"Jun 14, 2023",44.23,44.55,42.53,42.85,42.45,"27,275,000"
"Jun 13, 2023",43.28,44.35,42.78,44.14,43.73,"21,116,300"
"Jun 12, 2023",43.62,44.46,42.69,43.14,42.74,"32,464,500"
"Jun 09, 2023",44.1,44.1,43.21,43.46,43.06,"14,456,800"
"Jun 08, 2023",44.3,44.43,43.35,44.06,43.65,"20,836,400"
"Jun 07, 2023",43.74,44.98,43.32,44.59,44.18,"33,569,300"
"Jun 06, 2023",41.03,43.8,40.89,43.16,42.76,"32,603,500"
"Jun 05, 2023",42.25,42.29,40.67,41.12,40.74,"18,426,300"
"Jun 02, 2023",40.52,42.34,40.29,42.21,41.82,"33,445,500"
"Jun 01, 2023",39.21,40.27,38.71,39.76,39.39,"18,963,800"
"May 31, 2023",39.84,40.09,38.45,38.97,38.61,"31,969,300"
"May 30, 2023",40.52,40.56,39.53,40.21,39.84,"18,078,500"
"May 26, 2023",39.81,40.29,39.19,40.29,39.92,"14,825,400"
"May 25, 2023",39.93,40.23,39.13,39.8,39.43,"17,439,300"
"May 24, 2023",40.47,40.7,39.81,40.13,39.76,"19,125,800"
"May 23, 2023",40.6,42.09,40.46,40.86,40.48,"30,692,900"
"May 22, 2023",39.66,40.55,39.11,40.46,40.09,"28,557,500"
"May 19, 2023",40.35,40.36,38.51,39.21,38.85,"33,866,700"
"May 18, 2023",39.72,40.07,39.19,39.92,39.55,"26,324,000"
"May 17, 2023",37.85,39.83,37.85,39.68,39.31,"49,594,500"
"May 16, 2023",37.79,37.99,36.95,36.96,36.62,"24,550,100"
"May 15, 2023",36.42,37.75,36.38,37.52,37.17,"22,312,800"
"May 12, 2023",36.44,36.58,35.76,36.37,36.03,"22,060,400"
"May 11, 2023",36.37,36.86,35.98,36.14,35.81,"28,874,200"
"May 10, 2023",38.17,38.2,36.59,37.06,36.72,"21,147,900"
"May 09, 2023",37.23,37.73,36.64,37.42,37.07,"29,736,900"
"May 08, 2023",39.26,39.39,37.49,37.58,37.23,"36,322,200"
"May 05, 2023",38.05,38.49,37.21,38.35,37.99,"61,908,300"
"May 04, 2023",36.6,37.05,34.52,36.08,35.75,"117,644,200"
"May 03, 2023",39.08,40.08,37.99,38.16,37.81,"57,727,200"
"May 02, 2023",41.26,41.29,38.11,38.86,38.5,"61,380,800"
"May 01, 2023",42.7,42.83,41.31,41.46,41.08,"28,443,800"
"Apr 28, 2023",41.89,43.02,41.8,42.66,42.26,"30,201,600"
"Apr 27, 2023",41.24,42.14,41.24,41.93,41.54,"16,767,500"
"Apr 26, 2023",41.04,41.95,40.67,41.16,40.78,"31,611,100"
"Apr 25, 2023",42.05,42.14,40.77,40.91,40.53,"35,660,200"
"Apr 24, 2023",42.83,43.43,42.62,42.71,42.31,"15,506,900"
"Apr 21, 2023",43.32,43.36,42.58,42.93,42.53,"20,327,400"
"Apr 20, 2023",43.55,44.26,43.15,43.48,43.08,"27,506,700"
"Apr 19, 2023",43.1,44.59,42.76,44.31,43.9,"29,040,500"
"Apr 18, 2023",43.6,43.63,42.35,42.63,42.24,"19,023,700"
"Apr 17, 2023",42.15,43.58,41.67,43.57,43.17,"24,635,400"
"Apr 14, 2023",43.8,43.98,42.02,42.31,41.92,"32,212,000"
"Apr 13, 2023",42.71,43.36,42.16,43.15,42.75,"20,384,200"
"Apr 12, 2023",43.29,43.46,42.29,42.5,42.11,"16,743,800"
"Apr 11, 2023",43.13,43.28,42.66,42.97,42.57,"13,464,400"
"Apr 10, 2023",42.25,43.28,42.03,42.85,42.45,"15,455,800"
"Apr 06, 2023",41.98,42.87,41.96,42.63,42.24,"19,811,100"
"Apr 05, 2023",41.6,42.24,41.45,42.01,41.62,"28,759,400"
"Apr 04, 2023",43.62,43.72,41.76,42.44,42.05,"24,980,900"
"Apr 03, 2023",44.0,44.23,43.12,43.4,43.0,"17,048,900"
"Mar 31, 2023",43.97,44.09,43.37,43.86,43.45,"19,391,100"
"Mar 30, 2023",44.97,45.0,43.3,43.43,43.03,"20,659,900"
"Mar 29, 2023",44.47,44.54,43.72,44.33,43.92,"20,594,400"
"Mar 28, 2023",43.83,44.31,43.35,43.86,43.45,"20,681,700"
"Mar 27, 2023",45.13,45.35,43.86,43.9,43.49,"26,667,700"
"Mar 24, 2023",41.55,43.67,41.28,43.52,43.12,"47,895,800"
"Mar 23, 2023",43.95,44.25,41.9,42.24,41.85,"47,492,700"
"Mar 22, 2023",45.96,46.15,43.38,43.45,43.05,"49,933,700"
"Mar 21, 2023",45.78,46.47,45.16,46.07,45.64,"37,003,200"
"Mar 20, 2023",44.72,45.58,43.47,43.56,43.16,"58,532,900"
"Mar 17, 2023",45.1,45.46,43.13,43.44,42.68,"52,099,200"
"Mar 16, 2023",43.86,47.51,42.95,46.21,45.4,"75,577,700"
"Mar 15, 2023",43.19,45.14,42.77,44.64,43.86,"60,478,100"
"Mar 14, 2023",49.16,49.42,44.61,45.38,44.58,"64,759,300"
"Mar 13, 2023",44.32,47.58,41.92,44.45,43.67,"94,522,700"
"Mar 10, 2023",50.82,52.89,48.44,50.69,49.8,"97,268,000"
"Mar 09, 2023",56.55,56.86,52.91,53.02,52.09,"57,213,200"
"Mar 08, 2023",58.17,58.29,57.35,57.7,56.69,"14,804,000"
"Mar 07, 2023",59.62,59.62,57.9,58.0,56.98,"13,049,600"
"Mar 06, 2023",60.54,60.87,59.8,59.93,58.88,"7,301,400"
"Mar 03, 2023",60.02,60.5,59.41,60.38,59.32,"10,548,400"
"Mar 02, 2023",60.3,60.49,59.05,59.64,58.59,"10,804,900"
"Mar 01, 2023",61.01,61.37,60.71,61.19,60.12,"6,771,900"
"Feb 28, 2023",61.89,62.15,61.51,61.56,60.48,"6,281,500"
"Feb 27, 2023",62.12,62.55,61.45,61.66,60.58,"4,636,900"
"Feb 24, 2023",61.04,61.71,60.76,61.68,60.6,"6,919,500"
"Feb 23, 2023",61.83,62.04,60.95,61.67,60.59,"5,357,000"
"Feb 22, 2023",61.73,61.93,61.05,61.43,60.35,"4,570,600"
"Feb 21, 2023",62.6,62.72,61.44,61.73,60.65,"5,455,000"
"Feb 17, 2023",62.88,63.29,62.48,63.2,62.09,"5,331,700"
"Feb 16, 2023",63.57,63.63,62.83,62.88,61.78,"6,794,600"
"Feb 15, 2023",62.84,64.12,62.76,64.01,62.89,"5,857,800"
"Feb 14, 2023",63.48,63.8,62.49,63.26,62.15,"5,361,600"
"Feb 13, 2023",62.94,63.52,62.65,63.5,62.39,"3,872,700"
"Feb 10, 2023",62.82,63.12,62.63,62.99,61.88,"4,479,000"
"Feb 09, 2023",64.54,64.55,62.97,63.12,62.01,"4,907,500"
"Feb 08, 2023",64.25,64.69,63.91,64.06,62.94,"6,236,800"
"Feb 07, 2023",63.82,64.96,63.49,64.79,63.65,"4,851,900"
"Feb 06, 2023",64.33,64.6,63.61,64.1,62.98,"6,692,700"
"Feb 03, 2023",63.94,65.32,63.85,64.72,63.58,"7,829,900"
"Feb 02, 2023",63.61,64.85,63.37,64.68,63.55,"8,345,000"
"Feb 01, 2023",61.75,63.71,61.56,63.0,61.89,"9,462,000"
"Jan 31, 2023",60.41,62.13,60.28,62.12,61.03,"6,859,900"
"Jan 30, 2023",60.46,61.06,60.31,60.32,59.26,"5,055,000"
"Jan 27, 2023",60.49,61.11,60.29,60.94,59.87,"6,292,300"
"Jan 26, 2023",60.59,60.91,59.87,60.56,59.5,"5,277,100"
"Jan 25, 2023",59.5,60.17,59.03,60.14,59.08,"6,750,200"
"Jan 24, 2023",60.62,60.68,59.73,60.0,58.95,"7,937,100"
"Jan 23, 2023",59.91,61.09,59.9,60.72,59.65,"8,208,200"
"Jan 20, 2023",58.53,59.8,58.45,59.77,58.72,"8,613,300"
"Jan 19, 2023",57.78,58.33,57.28,58.16,57.14,"11,014,600"
"Jan 18, 2023",59.87,59.88,58.07,58.09,57.07,"14,248,700"
"Jan 17, 2023",60.61,60.86,59.92,60.24,59.18,"7,947,700"
"Jan 13, 2023",59.9,60.76,59.18,60.61,59.55,"7,832,400"
