Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",30.95,31.75,30.89,31.74,31.74,"38,927,500"
"Jul 27, 2023",30.22,30.30,29.47,29.51,29.51,"22,197,500"
"Jul 26, 2023",29.47,30.31,29.45,30.16,30.16,"23,897,900"
"Jul 25, 2023",30.20,30.39,29.42,29.48,29.48,"24,394,800"
"Jul 24, 2023",28.09,29.87,27.92,29.45,29.45,"43,975,300"
"Jul 21, 2023",28.49,28.56,28.09,28.17,28.17,"10,461,600"
"Jul 20, 2023",28.10,28.36,27.90,28.07,28.07,"13,810,100"
"Jul 19, 2023",28.65,28.97,28.26,28.29,28.29,"16,965,200"
"Jul 18, 2023",28.51,28.54,27.72,27.96,27.96,"25,435,900"
"Jul 17, 2023",28.81,29.18,28.50,29.08,29.08,"14,698,800"
"Jul 14, 2023",29.57,29.60,29.12,29.25,29.25,"20,804,000"
"Jul 13, 2023",29.74,30.18,29.61,30.15,30.15,"31,808,300"
"Jul 12, 2023",28.91,29.31,28.59,29.13,29.13,"31,247,500"
"Jul 11, 2023",27.66,28.03,27.37,27.93,27.93,"14,421,600"
"Jul 10, 2023",27.10,27.69,27.08,27.56,27.56,"13,841,600"
"Jul 07, 2023",26.77,27.67,26.77,27.48,27.48,"27,576,800"
"Jul 06, 2023",26.75,26.95,26.37,26.49,26.49,"13,747,200"
"Jul 05, 2023",27.43,27.44,27.14,27.35,27.35,"10,887,200"
"Jul 03, 2023",27.61,27.96,27.45,27.57,27.57,"10,778,100"
"Jun 30, 2023",26.94,27.15,26.72,26.93,26.93,"10,030,900"
"Jun 29, 2023",26.85,26.96,26.62,26.83,26.83,"14,379,700"
"Jun 28, 2023",27.42,27.49,27.08,27.4,27.4,"14,200,000"
"Jun 27, 2023",27.58,27.83,27.5,27.75,27.75,"12,627,700"
"Jun 26, 2023",26.98,27.28,26.87,26.89,26.89,"11,125,900"
"Jun 23, 2023",27.04,27.08,26.57,26.76,26.76,"14,340,700"
"Jun 22, 2023",27.49,27.64,27.14,27.51,27.51,"9,570,000"
