Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",5.66,5.98,5.63,5.92,5.92,"32,786,100"
"Jul 27, 2023",5.87,5.89,5.45,5.53,5.53,"35,283,900"
"Jul 26, 2023",5.80,5.86,5.71,5.80,5.80,"22,214,000"
"Jul 25, 2023",5.85,5.98,5.80,5.83,5.83,"19,968,400"
"Jul 24, 2023",6.25,6.29,5.80,5.89,5.89,"37,355,500"
"Jul 21, 2023",6.18,6.37,6.04,6.21,6.21,"25,232,900"
"Jul 20, 2023",6.31,6.39,6.03,6.09,6.09,"27,570,500"
"Jul 19, 2023",6.44,6.62,6.38,6.40,6.40,"26,760,600"
"Jul 18, 2023",6.45,6.62,6.33,6.37,6.37,"26,134,400"
"Jul 17, 2023",6.25,6.64,6.20,6.40,6.40,"36,846,900"
"Jul 14, 2023",6.23,6.26,5.88,6.12,6.12,"28,148,600"
"Jul 13, 2023",6.28,6.35,6.15,6.19,6.19,"25,743,700"
"Jul 12, 2023",6.28,6.33,6.07,6.19,6.19,"35,503,200"
"Jul 11, 2023",6.07,6.07,5.86,6.01,6.01,"29,548,400"
"Jul 10, 2023",5.59,6.13,5.53,6.09,6.09,"38,124,800"
"Jul 07, 2023",5.59,5.81,5.54,5.60,5.60,"25,534,900"
"Jul 06, 2023",5.72,5.73,5.40,5.60,5.60,"38,086,300"
"Jul 05, 2023",5.81,5.97,5.73,5.88,5.88,"27,893,600"
"Jul 03, 2023",5.91,5.97,5.76,5.85,5.85,"18,365,200"
"Jun 30, 2023",5.94,6.07,5.81,5.92,5.92,"29,397,000"
"Jun 29, 2023",6.03,6.07,5.77,5.8,5.8,"27,673,700"
"Jun 28, 2023",5.89,6.09,5.75,6.07,6.07,"27,554,500"
"Jun 27, 2023",5.92,5.96,5.67,5.87,5.87,"33,139,400"
"Jun 26, 2023",6.28,6.3,5.88,5.92,5.92,"34,122,800"
"Jun 23, 2023",6.56,6.59,6.32,6.37,6.37,"27,113,000"
"Jun 22, 2023",6.78,6.92,6.63,6.74,6.74,"17,742,800"
"Jun 21, 2023",6.85,6.98,6.56,6.85,6.85,"24,725,400"
"Jun 20, 2023",6.88,7.08,6.69,6.97,6.96,"19,759,200"
"Jun 16, 2023",7.48,7.54,6.93,6.95,6.94,"26,182,600"
"Jun 15, 2023",7.17,7.43,7.03,7.33,7.32,"21,427,700"
"Jun 14, 2023",7.64,7.76,7.01,7.27,7.26,"44,916,500"
"Jun 13, 2023",7.33,7.78,7.3,7.62,7.61,"30,627,700"
"Jun 12, 2023",7.2,7.6,7.03,7.22,7.21,"33,493,800"
"Jun 09, 2023",7.2,7.3,6.91,7.02,7.01,"22,194,000"
"Jun 08, 2023",7.15,7.26,6.93,7.15,7.14,"21,084,900"
"Jun 07, 2023",7.13,7.3,6.86,7.14,7.13,"28,499,500"
"Jun 06, 2023",6.83,7.16,6.68,7.08,7.07,"25,591,200"
"Jun 05, 2023",6.62,6.92,6.57,6.79,6.78,"25,547,100"
"Jun 02, 2023",6.6,6.74,6.36,6.72,6.71,"35,735,300"
"Jun 01, 2023",6.26,6.54,6.01,6.42,6.41,"29,000,100"
"May 31, 2023",6.07,6.54,5.98,6.24,6.23,"31,730,700"
"May 30, 2023",6.33,6.58,5.91,6.05,6.04,"32,501,100"
"May 26, 2023",6.16,6.32,6.01,6.27,6.26,"28,000,400"
"May 25, 2023",6.61,6.64,5.92,6.13,6.12,"52,223,200"
"May 24, 2023",6.86,6.91,6.47,6.64,6.63,"34,068,500"
"May 23, 2023",7.06,7.6,7.02,7.04,7.03,"40,086,400"
"May 22, 2023",6.67,7.15,6.67,7.04,7.03,"29,251,000"
"May 19, 2023",6.59,6.75,6.46,6.6,6.59,"25,651,000"
"May 18, 2023",6.58,6.6,6.08,6.42,6.41,"38,617,300"
"May 17, 2023",6.6,6.67,6.22,6.66,6.65,"28,644,300"
"May 16, 2023",6.71,6.74,6.36,6.52,6.51,"36,824,600"
"May 15, 2023",6.72,7.35,6.68,7.12,7.11,"30,634,300"
"May 12, 2023",6.9,6.9,6.48,6.67,6.66,"21,013,500"
"May 11, 2023",7.0,7.14,6.7,6.81,6.8,"25,682,200"
"May 10, 2023",7.18,7.28,6.9,7.1,7.09,"32,057,700"
"May 09, 2023",6.44,6.96,6.33,6.8,6.79,"21,081,600"
"May 08, 2023",6.71,6.73,6.38,6.57,6.56,"22,942,100"
"May 05, 2023",6.56,6.82,6.49,6.66,6.65,"29,591,000"
"May 04, 2023",6.14,6.46,5.91,6.37,6.36,"32,428,100"
"May 03, 2023",5.74,6.44,5.72,6.2,6.19,"55,847,800"
"May 02, 2023",5.92,5.98,5.42,5.47,5.46,"34,362,200"
"May 01, 2023",5.6,6.1,5.52,5.99,5.98,"35,828,700"
"Apr 28, 2023",5.25,5.72,5.13,5.57,5.56,"35,197,800"
"Apr 27, 2023",5.44,5.45,5.17,5.28,5.27,"32,706,900"
"Apr 26, 2023",5.52,5.65,5.25,5.41,5.4,"33,610,700"
"Apr 25, 2023",5.81,5.99,5.45,5.56,5.55,"38,530,500"
"Apr 24, 2023",6.0,6.03,5.63,5.83,5.82,"32,118,600"
"Apr 21, 2023",5.66,6.05,5.63,6.0,5.99,"34,983,400"
"Apr 20, 2023",5.83,5.85,5.59,5.66,5.65,"34,632,700"
"Apr 19, 2023",5.65,6.09,5.62,5.97,5.96,"33,731,700"
"Apr 18, 2023",6.01,6.03,5.62,5.79,5.78,"36,553,300"
"Apr 17, 2023",5.4,5.95,5.39,5.89,5.88,"50,812,400"
"Apr 14, 2023",5.39,5.44,5.01,5.18,5.17,"40,435,200"
"Apr 13, 2023",4.85,5.54,4.81,5.44,5.43,"57,476,800"
"Apr 12, 2023",5.12,5.15,4.76,4.78,4.77,"39,862,600"
"Apr 11, 2023",4.87,5.05,4.84,4.98,4.97,"29,584,200"
"Apr 10, 2023",4.92,4.94,4.71,4.81,4.8,"33,095,700"
