Date,Open,High,Low,Close*,Adj Close**,Volume
"Jun 30, 2023",7.02,7.18,6.64,6.89,6.89,"73,121,300"
"Jun 29, 2023",6.47,6.94,6.41,6.88,6.88,"72,430,500"
"Jun 28, 2023",6.09,6.54,6.03,6.42,6.42,"68,546,400"
"Jun 27, 2023",5.79,6.15,5.56,6.10,6.10,"74,181,400"
"Jun 26, 2023",6.01,6.28,5.55,5.55,5.55,"108,379,600"
"Jun 23, 2023",5.65,5.75,5.46,5.47,5.47,"61,875,900"
"Jun 22, 2023",6.07,6.08,5.72,5.73,5.73,"47,898,100"
"Jun 21, 2023",6.30,6.31,6.00,6.05,6.05,"49,954,100"
"Jun 20, 2023",6.53,6.58,6.26,6.32,6.32,"32,733,100"
"Jun 16, 2023",6.61,6.76,6.44,6.48,6.48,"45,045,000"
"Jun 15, 2023",6.39,6.75,6.33,6.59,6.59,"41,955,500"
"Jun 14, 2023",6.61,6.66,6.34,6.40,6.40,"37,444,400"
"Jun 13, 2023",6.37,6.66,6.23,6.55,6.55,"64,473,500"
"Jun 12, 2023",6.31,6.52,6.23,6.27,6.27,"38,486,000"
"Jun 09, 2023",6.35,6.40,6.13,6.21,6.21,"35,792,100"
"Jun 08, 2023",6.63,6.70,6.26,6.28,6.28,"50,228,000"
"Jun 07, 2023",6.90,6.93,6.40,6.40,6.40,"46,769,200"
"Jun 06, 2023",6.55,6.91,6.53,6.90,6.90,"43,033,000"
"Jun 05, 2023",6.59,6.61,6.33,6.59,6.59,"35,903,300"
"Jun 02, 2023",6.55,6.61,6.39,6.60,6.60,"52,308,100"
"Jun 01, 2023",6.78,6.82,6.20,6.50,6.50,"161,052,800"
"May 31, 2023",7.67,7.81,7.49,7.76,7.76,"32,478,100"
"May 30, 2023",7.95,8.10,7.63,7.71,7.71,"13,986,000"
"May 26, 2023",7.59,7.99,7.52,7.87,7.87,"14,426,600"
"May 25, 2023",7.46,7.66,7.38,7.61,7.61,"11,171,000"
"May 24, 2023",7.46,7.54,7.30,7.49,7.49,"8,218,900"
"May 23, 2023",7.52,7.94,7.50,7.55,7.55,"14,970,200"
"May 22, 2023",7.20,7.76,7.07,7.65,7.65,"17,459,600"
"May 19, 2023",7.28,7.51,7.13,7.18,7.18,"14,343,700"
"May 18, 2023",7.17,7.29,7.11,7.29,7.29,"10,090,300"
"May 17, 2023",7.03,7.24,6.93,7.23,7.23,"12,650,900"
"May 16, 2023",7.10,7.18,6.97,6.98,6.98,"11,197,100"
"May 15, 2023",7.08,7.19,6.95,7.17,7.17,"11,608,800"
"May 12, 2023",7.09,7.18,6.89,7.04,7.04,"14,018,100"
"May 11, 2023",7.16,7.29,6.95,7.06,7.06,"15,402,300"
"May 10, 2023",7.36,7.46,7.15,7.16,7.16,"18,580,400"
"May 09, 2023",6.91,7.35,6.85,7.28,7.28,"29,222,500"
"May 08, 2023",7.75,7.80,7.26,7.71,7.71,"29,869,400"
"May 05, 2023",7.50,7.82,7.46,7.73,7.73,"16,456,500"
"May 04, 2023",7.47,7.54,7.26,7.38,7.38,"9,703,700"
"May 03, 2023",7.27,7.65,7.20,7.41,7.41,"12,392,100"
"May 02, 2023",7.36,7.43,7.10,7.27,7.27,"13,079,600"
"May 01, 2023",7.94,7.94,7.29,7.32,7.32,"15,072,500"
"Apr 28, 2023",7.95,8.07,7.75,7.94,7.94,"15,816,400"
"Apr 27, 2023",7.34,8.28,7.33,8.17,8.17,"33,947,100"
"Apr 26, 2023",6.84,7.84,6.73,7.22,7.22,"33,362,500"
