Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",40.74,42.83,40.53,42.72,42.72,"13,490,700"
"Jul 27, 2023",39.68,39.73,38.85,38.99,38.99,"6,930,900"
"Jul 26, 2023",38.59,40.36,38.59,39.31,39.31,"10,974,600"
"Jul 25, 2023",38.50,38.80,37.51,37.96,37.96,"6,363,100"
"Jul 24, 2023",36.65,38.73,36.57,38.18,38.18,"7,562,900"
"Jul 21, 2023",37.31,37.40,36.87,36.97,36.97,"3,371,500"
"Jul 20, 2023",36.98,37.70,36.84,37.49,37.49,"3,724,300"
"Jul 19, 2023",37.55,37.79,37.11,37.42,37.42,"3,935,200"
"Jul 18, 2023",37.94,38.02,36.68,37.10,37.10,"5,249,400"
"Jul 17, 2023",36.69,38.52,36.56,38.19,38.19,"6,108,100"
"Jul 14, 2023",36.88,37.03,35.85,37.00,37.00,"11,507,900"
"Jul 13, 2023",37.41,37.63,36.63,37.36,37.36,"9,478,400"
"Jul 12, 2023",37.70,38.22,36.92,38.17,38.17,"8,309,600"
"Jul 11, 2023",36.82,37.24,36.43,37.06,37.06,"7,040,400"
"Jul 10, 2023",35.05,35.96,34.40,35.85,35.85,"5,142,900"
"Jul 07, 2023",35.51,36.15,35.09,35.89,35.89,"3,595,300"
"Jul 06, 2023",35.50,36.41,35.36,35.48,35.48,"4,468,000"
"Jul 05, 2023",36.07,36.39,35.42,35.75,35.75,"5,808,300"
"Jul 03, 2023",36.87,38.14,36.09,36.30,36.30,"10,503,300"
"Jun 30, 2023",34.39,35.48,34.39,35.1,35.1,"5,277,400"
"Jun 29, 2023",34.62,34.79,33.98,34.29,34.29,"3,519,100"
"Jun 28, 2023",35.03,35.15,34.43,35.07,35.07,"5,875,200"
"Jun 27, 2023",34.28,34.93,34.07,34.71,34.71,"5,404,900"
"Jun 26, 2023",33.68,34.15,33.44,33.88,33.88,"4,656,600"
"Jun 23, 2023",33.6,33.86,32.92,33.22,33.22,"4,722,900"
