Date,Open,High,Low,Close*,Adj Close**,Volume
"Jun 30, 2023",464.65,469.87,464.00,468.98,468.98,"3,172,300"
"Jun 29, 2023",459.06,465.83,457.51,464.49,464.49,"2,112,400"
"Jun 28, 2023",468.51,468.53,457.32,458.70,458.70,"2,854,700"
"Jun 27, 2023",462.50,467.98,451.70,464.50,464.50,"4,138,700"
"Jun 26, 2023",465.26,465.26,448.92,452.76,452.76,"3,214,700"
"Jun 23, 2023",457.00,460.01,452.32,458.84,458.84,"4,832,100"
"Jun 22, 2023",455.00,462.26,453.82,457.68,457.68,"2,912,500"
"Jun 21, 2023",454.50,455.34,450.21,453.00,453.00,"2,347,500"
"Jun 20, 2023",445.86,454.88,445.11,451.95,451.95,"2,506,300"
"Jun 16, 2023",455.80,456.98,447.50,447.71,447.71,"4,295,100"
"Jun 15, 2023",448.00,456.58,447.69,453.93,453.93,"2,287,100"
"Jun 14, 2023",444.29,448.78,443.54,447.72,447.72,"2,163,300"
"Jun 13, 2023",443.67,447.40,442.25,445.72,445.72,"1,766,300"
"Jun 12, 2023",446.15,446.99,438.68,445.31,445.31,"2,566,600"
"Jun 09, 2023",449.30,449.30,442.60,446.04,446.04,"2,082,000"
"Jun 08, 2023",435.88,447.47,432.34,445.66,445.66,"2,040,300"
"Jun 07, 2023",440.20,446.69,435.68,436.37,436.37,"2,458,300"
"Jun 06, 2023",447.83,448.87,440.02,443.07,443.07,"1,495,300"
"Jun 05, 2023",443.00,447.80,441.71,444.26,444.26,"2,113,800"
"Jun 02, 2023",439.96,444.70,436.78,442.33,442.33,"2,498,700"
"Jun 01, 2023",430.27,436.79,428.13,436.49,436.49,"2,914,400"
"May 31, 2023",427.00,430.56,424.01,429.46,429.46,"3,950,900"
"May 30, 2023",423.79,428.73,422.06,427.24,427.24,"2,595,700"
"May 26, 2023",424.90,431.67,423.67,425.79,425.79,"2,338,400"
"May 25, 2023",426.38,428.20,419.80,427.31,427.31,"2,882,200"
"May 24, 2023",424.00,428.96,420.26,425.77,425.77,"3,133,000"
"May 23, 2023",432.92,435.89,421.51,423.21,423.21,"4,492,100"
"May 22, 2023",444.31,454.95,432.39,433.99,433.99,"4,398,000"
"May 19, 2023",439.00,447.51,439.00,442.38,442.38,"3,442,800"
"May 18, 2023",436.51,439.52,433.59,437.89,437.89,"2,268,100"
"May 17, 2023",438.80,438.95,432.73,437.47,437.47,"2,274,200"
"May 16, 2023",434.20,438.48,430.66,436.65,436.65,"2,128,800"
"May 15, 2023",435.37,436.00,430.67,434.51,434.51,"2,234,800"
"May 12, 2023",440.16,445.54,434.42,434.43,434.43,"3,938,400"
"May 11, 2023",436.70,436.85,431.12,435.55,434.42,"2,595,900"
"May 10, 2023",426.06,438.39,426.06,435.92,434.79,"2,766,300"
"May 09, 2023",431.77,435.60,428.05,428.38,427.27,"2,601,600"
"May 08, 2023",426.20,435.00,423.00,432.72,431.60,"2,478,600"
"May 05, 2023",428.10,431.27,424.56,427.81,426.70,"2,752,900"
"May 04, 2023",431.45,432.70,425.22,428.44,427.33,"4,070,700"
"May 03, 2023",415.03,434.20,414.31,431.19,430.07,"10,129,800"
"May 02, 2023",407.00,411.54,399.26,404.20,403.15,"3,884,600"
"May 01, 2023",397.26,407.35,392.26,405.81,404.76,"4,091,100"
"Apr 28, 2023",398.00,404.31,392.51,395.86,394.83,"5,349,000"
"Apr 27, 2023",391.26,398.53,380.77,390.35,389.34,"4,981,300"
"Apr 26, 2023",381.12,381.50,370.68,376.27,375.29,"3,161,200"
"Apr 25, 2023",385.05,390.48,384.00,384.84,383.84,"2,648,600"
"Apr 24, 2023",385.24,387.05,381.63,383.35,382.36,"2,059,700"
"Apr 21, 2023",378.01,386.27,378.00,385.24,384.24,"3,682,500"
"Apr 20, 2023",371.39,376.06,369.76,374.81,373.84,"2,766,500"
"Apr 19, 2023",370.55,371.28,367.35,370.47,369.51,"2,173,000"
"Apr 18, 2023",373.00,374.26,369.66,369.91,368.95,"1,925,300"
"Apr 17, 2023",375.00,375.90,371.16,372.35,371.38,"2,059,700"
"Apr 14, 2023",374.24,376.31,372.51,374.73,373.76,"2,287,900"
"Apr 13, 2023",372.62,375.56,370.31,375.15,374.18,"2,839,900"
"Apr 12, 2023",364.02,372.44,363.33,369.05,368.09,"2,672,600"
"Apr 11, 2023",367.76,368.80,363.59,364.04,363.10,"2,027,000"
"Apr 10, 2023",368.18,368.35,363.04,367.00,366.05,"1,868,000"
"Apr 06, 2023",364.85,369.50,364.25,368.29,367.33,"3,531,700"
"Apr 05, 2023",358.08,364.85,357.93,362.24,361.30,"3,442,700"
"Apr 04, 2023",352.07,359.00,351.27,354.62,353.70,"3,585,900"
"Apr 03, 2023",343.24,351.54,342.30,350.74,349.83,"3,039,600"
"Mar 31, 2023",342.00,343.65,340.69,343.42,342.53,"2,933,600"
"Mar 30, 2023",336.07,341.31,336.07,340.69,339.81,"2,146,900"
"Mar 29, 2023",339.00,339.77,334.58,335.87,335.00,"2,743,800"
"Mar 28, 2023",335.80,338.83,334.72,337.65,336.77,"2,433,200"
"Mar 27, 2023",327.80,336.22,323.26,334.60,333.73,"3,102,300"
"Mar 24, 2023",332.99,336.93,328.77,336.13,335.26,"2,791,900"
"Mar 23, 2023",330.89,335.34,330.21,332.64,331.78,"2,703,400"
"Mar 22, 2023",331.77,335.60,330.65,330.97,330.11,"2,472,200"
"Mar 21, 2023",334.39,334.44,328.08,331.08,330.22,"3,240,400"
"Mar 20, 2023",329.18,333.94,329.01,333.60,332.73,"3,540,900"
"Mar 17, 2023",331.50,334.95,328.10,329.18,328.33,"8,679,800"
"Mar 16, 2023",327.64,331.70,325.04,329.53,328.68,"3,498,200"
"Mar 15, 2023",326.00,331.36,324.50,329.47,328.62,"4,743,500"
"Mar 14, 2023",324.05,327.28,321.44,327.07,326.22,"4,214,300"
"Mar 13, 2023",317.24,331.80,317.24,324.49,323.65,"5,275,600"
"Mar 10, 2023",318.85,326.53,314.34,315.02,314.20,"4,597,300"
"Mar 09, 2023",312.31,318.77,312.31,316.85,316.03,"3,920,300"
"Mar 08, 2023",310.50,313.03,309.32,312.54,311.73,"2,313,200"
"Mar 07, 2023",319.00,320.35,309.60,310.63,309.82,"2,620,800"
"Mar 06, 2023",316.94,320.24,316.50,318.96,318.13,"2,673,700"
"Mar 03, 2023",316.37,320.16,315.24,318.43,317.60,"3,002,800"
"Mar 02, 2023",311.79,316.30,310.53,315.05,314.23,"2,885,200"
"Mar 01, 2023",310.00,316.91,309.20,314.17,313.35,"3,580,800"
"Feb 28, 2023",315.49,315.49,309.64,311.22,310.41,"3,966,900"
"Feb 27, 2023",322.60,323.40,315.90,316.62,315.80,"3,043,500"
