Date,Open,High,Low,Close*,Adj Close**,Volume
"Jun 30, 2023",644.33,648.87,638.91,642.86,642.86,"1,086,000"
"Jun 29, 2023",647.62,647.90,636.00,640.36,640.36,"1,402,300"
"Jun 28, 2023",639.99,649.67,635.97,642.18,642.18,"1,180,600"
"Jun 27, 2023",623.74,650.23,622.01,649.16,649.16,"1,335,500"
"Jun 26, 2023",614.15,633.41,613.69,620.33,620.33,"1,344,000"
"Jun 23, 2023",609.50,611.35,601.37,608.76,608.76,"1,080,600"
"Jun 22, 2023",601.10,624.48,598.42,619.87,619.87,"1,173,500"
"Jun 21, 2023",609.29,615.80,602.31,605.80,605.80,"898,700"
"Jun 20, 2023",610.81,618.68,607.96,614.28,614.28,"981,100"
"Jun 16, 2023",623.62,623.99,610.37,612.65,612.65,"2,678,700"
"Jun 15, 2023",617.70,625.13,616.42,621.00,621.00,"1,862,400"
"Jun 14, 2023",620.00,630.72,613.05,630.03,630.03,"1,121,900"
"Jun 13, 2023",625.00,629.73,615.90,625.54,625.54,"1,175,900"
"Jun 12, 2023",612.66,628.55,607.25,627.53,625.81,"1,509,400"
"Jun 09, 2023",618.26,621.11,605.76,606.59,604.92,"1,066,900"
"Jun 08, 2023",611.94,616.19,604.50,614.54,612.85,"910,800"
"Jun 07, 2023",612.92,621.23,607.57,610.78,609.10,"1,202,700"
"Jun 06, 2023",596.06,615.72,593.78,612.20,610.52,"1,106,200"
"Jun 05, 2023",611.57,613.90,603.02,605.61,603.95,"1,044,100"
"Jun 02, 2023",620.00,621.99,607.75,613.67,611.98,"1,180,500"
"Jun 01, 2023",616.70,625.48,604.67,619.86,618.16,"1,455,600"
"May 31, 2023",618.39,630.33,613.89,616.70,615.00,"2,689,100"
"May 30, 2023",640.00,644.60,619.20,629.96,628.23,"1,365,600"
"May 26, 2023",605.00,633.01,599.98,628.25,626.52,"2,198,900"
"May 25, 2023",586.00,606.79,579.93,602.10,600.44,"2,055,400"
"May 24, 2023",563.54,569.14,559.41,565.87,564.31,"1,325,500"
"May 23, 2023",580.11,581.47,572.12,573.49,571.91,"1,066,700"
"May 22, 2023",584.80,591.68,581.74,585.07,583.46,"1,042,300"
"May 19, 2023",595.26,595.69,588.30,588.86,587.24,"1,225,000"
"May 18, 2023",574.00,600.29,574.00,598.74,597.09,"1,922,300"
"May 17, 2023",564.51,580.26,560.11,574.11,572.53,"1,667,200"
"May 16, 2023",550.33,564.19,549.29,558.93,557.39,"1,738,500"
"May 15, 2023",530.00,552.49,529.95,552.27,550.75,"1,745,400"
"May 12, 2023",530.00,533.50,521.39,527.10,525.65,"916,800"
"May 11, 2023",528.44,530.82,520.66,527.48,526.03,"716,200"
"May 10, 2023",524.12,531.47,520.05,527.30,525.85,"1,096,800"
"May 09, 2023",519.58,519.92,512.10,515.77,514.35,"1,000,200"
"May 08, 2023",530.00,531.52,523.21,526.79,525.34,"795,700"
