Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",12.16,12.52,12.07,12.48,12.48,"15,680,000"
"Jul 27, 2023",12.37,12.79,11.90,11.95,11.95,"20,057,200"
"Jul 26, 2023",11.55,12.22,11.45,12.20,12.20,"12,987,300"
"Jul 25, 2023",11.78,11.90,11.52,11.56,11.56,"12,431,500"
"Jul 24, 2023",11.50,11.72,11.39,11.67,11.67,"9,208,500"
"Jul 21, 2023",11.47,11.56,11.12,11.42,11.42,"12,773,800"
"Jul 20, 2023",11.93,11.98,11.27,11.42,11.42,"16,709,300"
"Jul 19, 2023",11.98,12.48,11.85,12.18,12.18,"16,739,600"
"Jul 18, 2023",11.54,11.82,11.49,11.77,11.77,"9,580,400"
"Jul 17, 2023",11.30,11.64,11.26,11.48,11.48,"8,774,200"
"Jul 14, 2023",11.58,11.79,11.15,11.30,11.30,"9,721,300"
"Jul 13, 2023",11.52,11.65,11.22,11.55,11.55,"12,634,100"
"Jul 12, 2023",11.81,11.97,11.39,11.44,11.44,"15,606,300"
"Jul 11, 2023",11.04,11.98,11.02,11.55,11.55,"22,134,500"
"Jul 10, 2023",10.08,11.30,10.04,11.02,11.02,"27,956,900"
"Jul 07, 2023",9.54,10.21,9.53,10.11,10.11,"18,365,100"
"Jul 06, 2023",10.02,10.04,9.44,9.56,9.56,"17,128,500"
"Jul 05, 2023",10.02,10.23,10.00,10.19,10.19,"10,029,400"
"Jul 03, 2023",9.63,10.17,9.62,10.14,10.14,"10,071,500"
"Jun 30, 2023",9.97,10.1,9.57,9.59,9.59,"18,473,600"
"Jun 29, 2023",10.34,10.56,9.71,9.84,9.84,"22,497,400"
"Jun 28, 2023",9.86,10.46,9.85,10.45,10.45,"17,942,100"
"Jun 27, 2023",10.04,10.15,9.81,9.85,9.85,"10,373,600"
"Jun 26, 2023",10.08,10.33,9.92,9.94,9.94,"8,581,800"
"Jun 23, 2023",10.17,10.31,9.94,10.1,10.1,"13,049,100"
"Jun 22, 2023",9.69,10.36,9.63,10.3,10.3,"15,307,100"
"Jun 21, 2023",9.73,9.89,9.44,9.72,9.72,"11,958,300"
"Jun 20, 2023",10.23,10.31,9.71,9.75,9.75,"18,006,200"
"Jun 16, 2023",10.58,10.61,10.23,10.26,10.26,"14,354,100"
"Jun 15, 2023",10.24,10.79,10.18,10.55,10.55,"17,685,900"
"Jun 14, 2023",10.73,10.82,10.23,10.39,10.39,"12,428,900"
"Jun 13, 2023",10.63,10.92,10.49,10.69,10.69,"10,709,500"
"Jun 12, 2023",10.53,10.77,10.44,10.45,10.45,"9,988,400"
