Date,Open,High,Low,Close*,Adj Close**,Volume
"Jun 30, 2023",14.44,14.62,13.15,13.86,13.86,"63,843,700"
"Jun 29, 2023",13.63,14.31,13.18,13.82,13.82,"50,628,000"
"Jun 28, 2023",13.02,13.70,12.58,13.16,13.16,"52,768,500"
"Jun 27, 2023",12.18,13.50,12.05,13.38,13.38,"64,774,800"
"Jun 26, 2023",12.55,13.05,11.42,11.79,11.79,"51,715,200"
"Jun 23, 2023",11.78,13.10,11.50,12.71,12.71,"87,315,100"
"Jun 22, 2023",12.25,12.68,11.14,11.83,11.83,"55,820,500"
"Jun 21, 2023",12.25,12.90,12.01,12.21,12.21,"88,558,500"
"Jun 20, 2023",10.21,11.73,9.81,11.72,11.72,"81,874,000"
"Jun 16, 2023",9.48,10.06,9.16,9.98,9.98,"50,830,200"
"Jun 15, 2023",9.33,9.54,9.11,9.36,9.36,"30,601,500"
"Jun 14, 2023",9.73,10.03,9.51,9.69,9.69,"30,560,400"
"Jun 13, 2023",9.50,9.95,9.29,9.68,9.68,"25,412,200"
"Jun 12, 2023",9.27,9.49,9.17,9.33,9.33,"14,514,900"
"Jun 09, 2023",9.78,9.82,9.20,9.38,9.38,"20,506,400"
"Jun 08, 2023",9.61,9.89,9.53,9.57,9.57,"19,797,200"
"Jun 07, 2023",10.00,10.58,9.43,9.55,9.55,"39,054,100"
"Jun 06, 2023",8.95,10.13,8.47,10.08,10.08,"53,229,200"
"Jun 05, 2023",9.73,9.98,9.06,9.19,9.19,"35,660,400"
"Jun 02, 2023",10.32,10.39,9.57,10.03,10.03,"32,549,100"
"Jun 01, 2023",9.66,10.38,9.53,9.99,9.99,"30,340,000"
"May 31, 2023",9.18,9.84,9.01,9.79,9.79,"28,923,900"
"May 30, 2023",9.44,10.20,9.14,9.42,9.42,"42,716,700"
"May 26, 2023",9.16,9.69,8.85,8.93,8.93,"31,666,500"
"May 25, 2023",9.49,9.57,8.78,9.11,9.11,"28,309,500"
"May 24, 2023",9.15,9.61,8.86,9.43,9.43,"28,986,400"
"May 23, 2023",9.75,10.36,9.26,9.32,9.32,"30,437,700"
"May 22, 2023",9.17,9.72,8.95,9.67,9.67,"25,877,200"
"May 19, 2023",9.52,9.73,9.17,9.18,9.18,"19,059,000"
"May 18, 2023",9.92,10.41,9.03,9.38,9.38,"37,908,600"
"May 17, 2023",9.07,10.20,9.04,10.09,10.09,"30,436,800"
"May 16, 2023",9.20,9.54,9.00,9.25,9.25,"18,095,000"
"May 15, 2023",9.19,9.61,8.90,9.54,9.54,"26,855,000"
"May 12, 2023",8.71,8.93,8.52,8.92,8.92,"22,900,900"
"May 11, 2023",9.84,9.93,8.65,8.73,8.73,"39,314,900"
"May 10, 2023",9.79,10.72,9.66,10.22,10.22,"51,276,900"
"May 09, 2023",9.47,9.80,9.31,9.38,9.38,"23,038,000"
"May 08, 2023",9.98,10.00,9.25,9.33,9.33,"30,157,200"
"May 05, 2023",10.38,10.65,10.00,10.49,10.49,"37,649,500"
"May 04, 2023",9.74,10.54,9.59,10.27,10.27,"35,765,100"
"May 03, 2023",9.17,9.97,9.09,9.55,9.55,"26,882,400"
