Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",411.67,418.51,403.02,411.62,411.62,"1,242,900"
"Jul 27, 2023",415.64,416.00,396.00,403.58,403.58,"1,271,200"
"Jul 26, 2023",403.72,413.44,398.20,405.14,405.14,"1,361,200"
"Jul 25, 2023",416.56,426.33,414.38,418.97,418.97,"1,099,900"
"Jul 24, 2023",413.10,413.10,402.00,410.58,410.58,"691,500"
"Jul 21, 2023",419.69,420.40,408.74,409.78,409.78,"939,800"
"Jul 20, 2023",422.17,426.95,410.36,412.64,412.64,"1,653,300"
"Jul 19, 2023",429.55,439.00,420.00,431.21,431.21,"1,998,200"
"Jul 18, 2023",419.04,437.33,407.41,426.02,426.02,"3,418,400"
"Jul 17, 2023",400.25,412.39,399.12,409.17,409.17,"839,500"
"Jul 14, 2023",408.74,414.50,397.33,398.68,398.68,"1,063,800"
"Jul 13, 2023",394.92,407.87,394.74,407.21,407.21,"1,210,800"
"Jul 12, 2023",401.61,404.00,387.05,391.08,391.08,"1,198,300"
"Jul 11, 2023",396.45,399.01,389.50,394.22,394.22,"975,200"
"Jul 10, 2023",382.41,395.58,376.49,394.62,394.62,"1,401,100"
"Jul 07, 2023",400.03,403.74,387.73,388.62,388.62,"1,577,700"
"Jul 06, 2023",401.56,402.41,392.00,399.02,399.02,"1,682,700"
"Jul 05, 2023",406.18,412.30,402.36,409.57,409.57,"1,547,000"
"Jul 03, 2023",406.78,416.64,406.35,411.42,411.42,"1,123,300"
"Jun 30, 2023",406.06,418.7,405.32,410.99,410.99,"2,094,300"
"Jun 29, 2023",400.0,407.03,395.55,402.99,402.99,"1,809,900"
"Jun 28, 2023",387.99,414.48,387.01,398.02,398.02,"2,879,900"
"Jun 27, 2023",383.99,390.69,376.01,388.34,388.34,"987,200"
"Jun 26, 2023",388.5,393.9,375.31,379.98,379.98,"1,693,400"
"Jun 23, 2023",386.63,396.0,380.2,389.99,389.99,"3,391,200"
"Jun 22, 2023",366.66,396.84,365.11,388.36,388.36,"3,204,600"
"Jun 21, 2023",378.91,381.95,367.6,372.96,372.96,"1,935,500"
"Jun 20, 2023",379.77,385.29,375.11,379.78,379.78,"1,729,500"
"Jun 16, 2023",385.87,385.87,376.35,379.9,379.9,"1,613,500"
"Jun 15, 2023",373.19,389.31,370.36,385.4,385.4,"1,324,900"
"Jun 14, 2023",380.13,381.99,369.31,374.59,374.59,"2,271,000"
"Jun 13, 2023",386.18,390.15,372.4,384.1,384.1,"1,678,400"
"Jun 12, 2023",376.18,382.68,371.87,381.79,381.79,"1,092,600"
"Jun 09, 2023",376.82,384.76,370.89,374.51,374.51,"1,274,200"
"Jun 08, 2023",369.77,376.26,365.0,374.67,374.67,"1,632,600"
"Jun 07, 2023",387.86,391.89,366.11,368.56,368.56,"2,212,000"
"Jun 06, 2023",385.01,398.89,382.99,387.62,387.62,"2,782,000"
"Jun 05, 2023",379.22,392.35,376.0,388.57,388.57,"2,820,700"
"Jun 02, 2023",380.75,397.98,370.0,376.3,376.3,"9,120,700"
"Jun 01, 2023",285.73,294.98,275.76,293.96,293.96,"4,200,200"
"May 31, 2023",290.8,298.37,289.29,293.79,293.79,"1,862,900"
"May 30, 2023",291.46,296.32,285.87,292.37,292.37,"1,531,400"
"May 26, 2023",274.1,291.63,273.0,283.36,283.36,"1,906,700"
"May 25, 2023",283.2,293.28,277.46,284.91,284.91,"2,150,400"
"May 24, 2023",269.91,279.11,267.68,277.58,277.58,"1,725,400"
"May 23, 2023",279.59,284.59,272.77,272.81,272.81,"1,452,000"
"May 22, 2023",275.18,283.54,272.14,283.29,283.29,"1,599,300"
"May 19, 2023",281.21,282.01,272.84,275.18,275.18,"2,585,200"
"May 18, 2023",282.32,292.05,280.0,289.72,289.72,"2,228,600"
"May 17, 2023",277.0,285.48,275.23,282.5,282.5,"1,559,200"
"May 16, 2023",274.19,278.26,273.85,275.48,275.48,"1,709,500"
"May 15, 2023",265.17,277.77,264.58,276.17,276.17,"1,972,900"
"May 12, 2023",264.0,269.85,260.58,263.6,263.6,"1,698,500"
"May 11, 2023",263.5,265.53,259.53,264.09,264.09,"1,331,800"
"May 10, 2023",255.56,266.38,255.06,262.02,262.02,"2,104,500"
"May 09, 2023",244.9,251.87,244.85,250.28,250.28,"1,727,800"
"May 08, 2023",244.74,247.8,238.99,246.93,246.93,"1,331,100"
"May 05, 2023",240.86,242.71,234.81,241.29,241.29,"1,759,400"
"May 04, 2023",226.1,243.57,226.1,237.25,237.25,"2,424,000"
"May 03, 2023",216.66,224.49,215.56,220.52,220.52,"1,381,400"
"May 02, 2023",224.84,226.1,217.83,217.99,217.99,"1,053,900"
"May 01, 2023",237.0,237.66,224.05,225.77,225.77,"1,677,900"
"Apr 28, 2023",238.55,240.93,230.08,239.96,239.96,"1,588,400"
"Apr 27, 2023",242.57,243.73,234.51,240.95,240.95,"1,392,100"
"Apr 26, 2023",226.2,243.4,226.2,238.22,238.22,"3,416,800"
"Apr 25, 2023",220.06,221.16,212.52,212.91,212.91,"1,467,500"
"Apr 24, 2023",234.0,235.52,222.63,223.96,223.96,"1,310,900"
"Apr 21, 2023",229.0,234.68,227.6,232.86,232.86,"1,222,700"
"Apr 20, 2023",227.31,229.22,224.17,226.52,226.52,"834,400"
"Apr 19, 2023",226.83,231.8,224.39,230.26,230.26,"706,700"
"Apr 18, 2023",230.0,231.96,226.42,230.0,230.0,"947,800"
"Apr 17, 2023",220.89,226.21,219.28,224.85,224.85,"696,400"
"Apr 14, 2023",222.0,226.91,217.61,223.09,223.09,"1,350,500"
"Apr 13, 2023",230.95,236.22,223.86,224.5,224.5,"1,690,000"
"Apr 12, 2023",223.99,234.83,222.3,226.21,226.21,"3,542,400"
"Apr 11, 2023",209.68,215.53,198.72,211.52,211.52,"2,601,100"
"Apr 10, 2023",212.43,214.59,208.0,214.25,214.25,"1,015,900"
"Apr 06, 2023",210.0,216.2,204.5,215.89,215.89,"964,600"
"Apr 05, 2023",225.0,226.21,209.11,213.09,213.09,"1,545,000"
"Apr 04, 2023",227.35,231.03,225.88,227.92,227.92,"789,400"
"Apr 03, 2023",228.33,232.15,224.54,226.87,226.87,"1,427,200"
"Mar 31, 2023",220.23,233.21,218.13,233.12,233.12,"1,734,000"
"Mar 30, 2023",220.54,221.98,214.72,218.94,218.94,"823,700"
"Mar 29, 2023",217.0,219.76,215.48,217.4,217.4,"714,900"
"Mar 28, 2023",210.41,215.26,210.41,213.93,213.93,"659,700"
"Mar 27, 2023",215.77,217.5,210.48,210.65,210.65,"670,800"
"Mar 24, 2023",219.17,220.75,211.71,216.79,216.79,"1,205,500"
"Mar 23, 2023",216.97,224.36,214.35,220.07,220.07,"1,234,500"
"Mar 22, 2023",218.44,222.0,211.01,211.13,211.13,"1,035,000"
"Mar 21, 2023",213.0,219.92,212.04,218.56,218.56,"1,005,800"
"Mar 20, 2023",216.02,217.84,207.24,210.92,210.92,"1,519,500"
"Mar 17, 2023",220.4,224.32,217.54,219.77,219.77,"1,674,200"
"Mar 16, 2023",212.45,221.8,210.25,221.25,221.25,"1,426,700"
"Mar 15, 2023",202.93,213.38,201.38,212.13,212.13,"1,956,200"
"Mar 14, 2023",205.83,208.66,198.64,204.68,204.68,"1,928,200"
"Mar 13, 2023",190.54,206.99,189.59,201.74,201.74,"2,060,800"
"Mar 10, 2023",206.01,211.14,189.95,194.08,194.08,"4,755,800"
"Mar 09, 2023",203.85,221.87,201.21,209.57,209.57,"7,931,100"
"Mar 08, 2023",224.24,231.86,224.0,228.7,228.7,"5,332,800"
"Mar 07, 2023",220.0,227.07,218.77,223.65,223.65,"1,758,400"
"Mar 06, 2023",220.52,224.78,217.9,219.89,219.89,"1,262,100"
"Mar 03, 2023",207.03,220.17,206.86,219.06,219.06,"1,800,200"
"Mar 02, 2023",200.81,206.85,198.09,205.32,205.32,"1,941,300"
"Mar 01, 2023",209.69,213.71,203.68,209.97,209.97,"1,431,600"
"Feb 28, 2023",206.91,210.28,205.96,209.52,209.52,"1,126,700"
"Feb 27, 2023",208.24,210.49,205.18,206.87,206.87,"718,600"
"Feb 24, 2023",206.67,209.96,203.37,205.9,205.9,"1,092,800"
"Feb 23, 2023",216.79,219.99,205.88,213.46,213.46,"1,126,100"
"Feb 22, 2023",213.53,220.42,211.69,213.59,213.59,"1,308,000"
"Feb 21, 2023",207.69,214.0,206.91,210.61,210.61,"1,183,000"
"Feb 17, 2023",217.33,217.76,208.06,213.13,213.13,"1,303,100"
"Feb 16, 2023",225.25,233.31,217.15,217.33,217.33,"1,543,100"
"Feb 15, 2023",231.4,237.92,226.13,233.53,233.53,"1,289,400"
"Feb 14, 2023",213.03,231.02,211.54,228.81,228.81,"1,660,200"
"Feb 13, 2023",213.47,221.12,207.18,217.3,217.3,"1,111,000"
"Feb 10, 2023",216.05,217.36,207.0,210.7,210.7,"1,237,000"
"Feb 09, 2023",227.21,230.35,220.31,220.8,220.8,"1,002,400"
"Feb 08, 2023",224.42,232.05,221.47,222.63,222.63,"1,331,800"
"Feb 07, 2023",218.53,225.23,211.8,224.42,224.42,"1,223,700"
"Feb 06, 2023",219.26,226.27,216.05,218.44,218.44,"1,335,100"
"Feb 03, 2023",231.51,238.25,220.18,221.98,221.98,"2,408,400"
"Feb 02, 2023",237.52,248.15,236.68,245.86,245.86,"2,693,500"
