Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",316.88,326.20,314.25,325.48,325.48,"39,160,700"
"Jul 27, 2023",325.12,325.35,309.84,311.71,311.71,"64,229,200"
"Jul 26, 2023",301.19,301.77,291.90,298.57,298.57,"47,256,900"
"Jul 25, 2023",295.19,298.30,291.86,294.47,294.47,"19,585,600"
"Jul 24, 2023",295.78,297.52,288.30,291.61,291.61,"24,915,700"
"Jul 21, 2023",304.57,305.46,291.20,294.26,294.26,"42,089,700"
"Jul 20, 2023",313.50,315.54,302.22,302.52,302.52,"23,836,900"
"Jul 19, 2023",313.03,318.68,310.52,316.01,316.01,"21,763,700"
"Jul 18, 2023",310.88,314.20,307.62,312.05,312.05,"20,764,600"
"Jul 17, 2023",307.54,311.71,304.71,310.62,310.62,"25,323,100"
"Jul 14, 2023",311.79,314.88,307.36,308.87,308.87,"22,576,000"
"Jul 13, 2023",313.62,316.24,310.29,313.41,313.41,"30,281,000"
"Jul 12, 2023",301.75,309.45,300.10,309.34,309.34,"36,677,100"
"Jul 11, 2023",293.90,300.18,291.90,298.29,298.29,"27,585,900"
"Jul 10, 2023",295.55,298.13,287.05,294.10,294.10,"37,058,300"
"Jul 07, 2023",292.18,296.20,288.66,290.53,290.53,"25,546,200"
"Jul 06, 2023",295.89,298.12,291.31,291.99,291.99,"47,600,500"
"Jul 05, 2023",287.65,298.12,286.36,294.37,294.37,"33,865,500"
"Jul 03, 2023",286.70,289.40,284.85,286.02,286.02,"8,629,300"
"Jun 30, 2023",284.76,289.05,284.42,286.98,286.98,"19,676,000"
"Jun 29, 2023",284.5,286.57,280.69,281.53,281.53,"15,395,700"
"Jun 28, 2023",284.82,289.55,284.06,285.29,285.29,"16,722,100"
"Jun 27, 2023",282.01,289.35,280.65,287.05,287.05,"26,108,300"
"Jun 26, 2023",288.7,289.79,277.6,278.47,278.47,"24,232,700"
"Jun 23, 2023",281.51,289.67,278.95,288.73,288.73,"50,988,400"
"Jun 22, 2023",279.08,285.26,277.79,284.88,284.88,"17,563,100"
"Jun 21, 2023",283.53,284.0,278.36,281.64,281.64,"20,556,200"
"Jun 20, 2023",278.73,284.8,276.22,284.33,284.33,"20,701,600"
"Jun 16, 2023",284.75,287.85,280.13,281.0,281.0,"43,102,500"
"Jun 15, 2023",272.3,283.99,271.42,281.83,281.83,"25,973,500"
"Jun 14, 2023",271.89,274.99,268.32,273.35,273.35,"19,175,100"
"Jun 13, 2023",274.88,275.72,269.09,271.32,271.32,"16,164,000"
"Jun 12, 2023",267.17,271.75,265.33,271.05,271.05,"15,442,500"
"Jun 09, 2023",262.48,267.95,261.7,264.95,264.95,"16,938,500"
"Jun 08, 2023",260.62,267.65,258.88,264.58,264.58,"20,899,400"
"Jun 07, 2023",271.67,274.25,262.8,263.6,263.6,"26,163,600"
"Jun 06, 2023",270.14,276.57,269.69,271.12,271.12,"19,419,000"
"Jun 05, 2023",270.3,275.57,269.56,271.39,271.39,"20,742,900"
"Jun 02, 2023",272.66,275.35,271.12,272.61,272.61,"19,405,300"
"Jun 01, 2023",265.9,274.0,265.89,272.61,272.61,"25,609,500"
"May 31, 2023",260.0,265.0,258.45,264.72,264.72,"25,473,700"
"May 30, 2023",265.25,268.65,261.29,262.52,262.52,"23,816,500"
"May 26, 2023",252.93,262.31,252.71,262.04,262.04,"25,727,200"
