Date,Open,High,Low,Close*,Adj Close**,Volume
"Jun 30, 2023",45.07,45.41,44.98,45.30,45.30,"9,046,700"
"Jun 29, 2023",44.42,44.98,44.32,44.97,44.97,"6,380,400"
"Jun 28, 2023",44.16,44.51,43.82,44.50,44.50,"7,261,100"
"Jun 27, 2023",44.16,44.38,43.98,44.34,44.34,"6,313,100"
"Jun 26, 2023",43.50,44.29,43.43,44.26,44.26,"9,001,200"
"Jun 23, 2023",43.87,44.09,43.34,43.42,43.42,"8,942,100"
"Jun 22, 2023",44.10,44.20,43.69,43.76,43.76,"5,022,500"
"Jun 21, 2023",43.47,44.06,43.39,43.95,43.95,"6,838,400"
"Jun 20, 2023",44.03,44.08,43.47,43.47,43.47,"8,033,300"
"Jun 16, 2023",44.22,44.27,43.92,44.07,44.07,"13,661,200"
"Jun 15, 2023",44.12,44.30,44.03,44.15,44.15,"8,484,400"
"Jun 14, 2023",44.90,44.98,43.86,43.95,43.95,"11,941,300"
"Jun 13, 2023",45.53,45.93,45.33,45.76,44.82,"9,106,700"
"Jun 12, 2023",45.25,45.60,45.14,45.53,44.59,"6,512,200"
"Jun 09, 2023",45.40,45.55,45.17,45.22,44.29,"6,689,900"
"Jun 08, 2023",45.22,45.39,44.90,45.36,44.43,"5,804,100"
"Jun 07, 2023",44.72,45.30,44.62,45.10,44.17,"8,768,100"
"Jun 06, 2023",44.70,44.82,44.49,44.66,43.74,"7,368,600"
"Jun 05, 2023",45.30,45.43,44.51,44.64,43.72,"6,880,600"
"Jun 02, 2023",44.51,45.37,44.40,45.33,44.40,"7,207,400"
"Jun 01, 2023",44.63,44.93,44.37,44.58,43.66,"8,763,200"
"May 31, 2023",44.25,44.45,44.03,44.42,43.51,"11,075,000"
"May 30, 2023",44.51,44.53,43.71,44.32,43.41,"9,183,000"
"May 26, 2023",44.76,44.95,44.59,44.61,43.69,"5,498,700"
"May 25, 2023",44.75,44.92,44.46,44.67,43.75,"6,859,500"
"May 24, 2023",44.95,45.18,44.80,44.95,44.03,"5,400,500"
"May 23, 2023",45.07,45.26,44.90,44.93,44.01,"6,167,800"
"May 22, 2023",45.31,45.52,44.86,44.93,44.01,"6,472,700"
"May 19, 2023",45.27,45.48,45.01,45.30,44.37,"6,555,000"
"May 18, 2023",45.04,45.17,44.57,45.07,44.14,"6,580,100"
"May 17, 2023",45.18,45.50,44.87,45.34,44.41,"6,316,200"
"May 16, 2023",45.40,45.72,45.08,45.09,44.16,"6,163,600"
"May 15, 2023",45.73,45.91,45.39,45.56,44.62,"4,920,100"
"May 12, 2023",45.55,45.80,45.30,45.67,44.73,"5,599,600"
"May 11, 2023",45.65,45.70,45.22,45.67,44.73,"6,437,300"
"May 10, 2023",46.28,46.46,45.49,45.94,45.00,"8,391,800"
"May 09, 2023",46.57,46.67,46.15,46.44,45.49,"4,401,700"
"May 08, 2023",46.70,46.82,46.53,46.61,45.65,"4,434,200"
"May 05, 2023",46.16,46.86,46.09,46.69,45.73,"5,962,300"
"May 04, 2023",46.40,46.52,45.57,46.13,45.18,"7,333,200"
"May 03, 2023",47.24,47.37,46.51,46.53,45.57,"6,536,100"
"May 02, 2023",47.70,47.71,46.53,47.18,46.21,"7,606,400"
"May 01, 2023",47.55,48.04,47.41,47.78,46.80,"8,844,000"
"Apr 28, 2023",47.47,47.72,46.82,47.51,46.53,"11,070,400"
"Apr 27, 2023",45.95,47.44,45.41,47.19,46.22,"10,977,600"
"Apr 26, 2023",46.83,47.33,46.67,46.69,45.73,"8,936,800"
"Apr 25, 2023",46.71,47.22,46.58,46.99,46.02,"7,510,500"
"Apr 24, 2023",46.30,46.67,46.15,46.67,45.71,"6,552,900"
"Apr 21, 2023",46.17,46.25,45.69,46.15,45.20,"9,082,900"
"Apr 20, 2023",46.17,46.32,45.71,45.99,45.05,"7,371,200"
"Apr 19, 2023",46.30,46.47,46.13,46.46,45.51,"5,103,000"
"Apr 18, 2023",45.45,46.17,45.40,46.14,45.19,"6,364,800"
"Apr 17, 2023",45.19,45.46,45.11,45.44,44.51,"6,707,000"
"Apr 14, 2023",45.14,45.38,44.83,45.03,44.10,"6,262,400"
"Apr 13, 2023",44.76,45.02,44.49,44.97,44.05,"4,844,200"
"Apr 12, 2023",45.01,45.17,44.70,44.83,43.91,"6,124,100"
"Apr 11, 2023",44.65,45.21,44.65,45.09,44.16,"6,553,500"
"Apr 10, 2023",44.41,44.60,44.31,44.50,43.59,"6,197,300"
"Apr 06, 2023",44.40,44.62,44.26,44.43,43.52,"6,337,200"
"Apr 05, 2023",44.46,44.70,44.19,44.43,43.52,"7,865,800"
"Apr 04, 2023",44.88,44.91,44.24,44.45,43.54,"7,379,600"
"Apr 03, 2023",44.72,45.33,44.60,44.98,44.06,"8,385,800"
"Mar 31, 2023",44.63,44.72,44.43,44.62,43.70,"7,711,500"
"Mar 30, 2023",44.64,44.83,44.35,44.50,43.59,"6,862,400"
"Mar 29, 2023",44.63,44.69,44.30,44.52,43.61,"7,530,500"
"Mar 28, 2023",44.29,44.74,44.20,44.36,43.45,"8,796,700"
"Mar 27, 2023",44.12,44.37,44.05,44.29,43.38,"9,624,200"
"Mar 24, 2023",43.60,43.99,43.41,43.97,43.07,"10,444,800"
"Mar 23, 2023",44.39,44.40,43.25,43.46,42.57,"15,549,800"
"Mar 22, 2023",46.35,46.38,45.12,45.15,43.30,"10,883,600"
"Mar 21, 2023",46.46,46.59,45.91,46.20,44.31,"14,067,400"
