Date,Open,High,Low,Close*,Adj Close**,Volume
"Jun 30, 2023",9.31,9.41,9.17,9.26,9.26,"8,522,900"
"Jun 29, 2023",9.14,9.30,9.11,9.25,9.25,"5,741,200"
"Jun 28, 2023",9.20,9.20,9.06,9.19,9.19,"7,182,500"
"Jun 27, 2023",8.96,9.32,8.89,9.23,9.23,"8,752,100"
"Jun 26, 2023",8.70,9.00,8.65,8.97,8.97,"6,812,700"
"Jun 23, 2023",8.75,8.80,8.66,8.68,8.68,"9,889,100"
"Jun 22, 2023",8.93,8.95,8.63,8.80,8.80,"9,504,500"
"Jun 21, 2023",9.01,9.04,8.90,8.93,8.93,"7,859,700"
"Jun 20, 2023",9.15,9.15,8.99,9.11,9.11,"7,878,900"
"Jun 16, 2023",9.06,9.23,9.03,9.18,9.18,"13,224,500"
"Jun 15, 2023",9.00,9.13,8.82,9.12,9.12,"10,173,500"
"Jun 14, 2023",9.08,9.28,8.82,9.08,9.08,"17,399,700"
"Jun 13, 2023",9.24,9.41,9.19,9.30,9.01,"22,292,600"
"Jun 12, 2023",9.23,9.34,9.09,9.21,8.92,"14,773,300"
"Jun 09, 2023",9.35,9.40,9.15,9.19,8.90,"10,795,300"
"Jun 08, 2023",9.30,9.37,9.04,9.35,9.06,"10,976,000"
"Jun 07, 2023",9.14,9.33,9.00,9.30,9.01,"21,421,100"
"Jun 06, 2023",8.52,9.03,8.46,8.98,8.70,"15,990,700"
"Jun 05, 2023",8.25,8.57,8.23,8.51,8.24,"10,507,800"
"Jun 02, 2023",8.34,8.53,8.23,8.25,7.99,"12,408,000"
"Jun 01, 2023",8.24,8.31,7.94,8.17,7.92,"10,529,800"
"May 31, 2023",8.02,8.32,8.00,8.25,7.99,"49,225,900"
"May 30, 2023",7.99,8.18,7.85,8.15,7.90,"10,133,000"
"May 26, 2023",7.70,7.94,7.61,7.92,7.67,"11,106,300"
"May 25, 2023",7.83,7.94,7.56,7.69,7.45,"12,596,700"
"May 24, 2023",8.12,8.31,7.77,7.88,7.63,"13,276,300"
"May 23, 2023",7.88,8.16,7.87,7.90,7.65,"14,397,200"
"May 22, 2023",7.74,7.86,7.64,7.82,7.58,"7,375,500"
"May 19, 2023",7.87,7.89,7.51,7.68,7.44,"13,582,600"
"May 18, 2023",7.59,7.79,7.52,7.78,7.54,"12,783,600"
"May 17, 2023",7.25,7.63,7.24,7.62,7.38,"10,100,500"
"May 16, 2023",7.32,7.40,7.20,7.26,7.03,"15,446,900"
"May 15, 2023",7.68,7.69,7.33,7.39,7.16,"18,430,100"
"May 12, 2023",8.40,8.40,7.48,7.64,7.40,"41,434,000"
"May 11, 2023",8.31,8.48,8.28,8.41,8.15,"9,272,300"
"May 10, 2023",8.52,8.55,8.32,8.43,8.17,"6,895,100"
"May 09, 2023",8.50,8.50,8.27,8.39,8.13,"11,151,200"
"May 08, 2023",8.60,8.64,8.49,8.57,8.30,"7,885,100"
"May 05, 2023",8.58,8.70,8.37,8.61,8.34,"9,968,800"
"May 04, 2023",8.16,8.48,8.03,8.41,8.15,"15,287,100"
"May 03, 2023",8.34,8.51,8.20,8.29,8.03,"14,300,700"
"May 02, 2023",8.53,8.57,8.13,8.32,8.06,"10,341,200"
"May 01, 2023",8.76,8.81,8.51,8.59,8.32,"9,464,700"
"Apr 28, 2023",8.59,8.96,8.44,8.77,8.50,"15,357,200"
"Apr 27, 2023",8.05,8.71,7.95,8.53,8.26,"17,400,900"
"Apr 26, 2023",8.07,8.14,7.90,7.93,7.68,"10,422,200"
"Apr 25, 2023",8.09,8.09,7.92,8.04,7.79,"14,895,400"
"Apr 24, 2023",8.31,8.32,8.04,8.16,7.91,"14,320,000"
"Apr 21, 2023",8.20,8.34,8.14,8.31,8.05,"7,252,100"
"Apr 20, 2023",8.30,8.40,8.16,8.23,7.97,"9,672,600"
"Apr 19, 2023",8.26,8.52,8.21,8.48,8.22,"7,692,000"
"Apr 18, 2023",8.50,8.50,8.28,8.37,8.11,"8,733,200"
"Apr 17, 2023",8.31,8.56,8.28,8.53,8.26,"8,172,500"
"Apr 14, 2023",8.57,8.66,8.18,8.28,8.02,"12,471,700"
"Apr 13, 2023",8.68,8.73,8.40,8.52,8.25,"11,014,100"
"Apr 12, 2023",8.89,9.02,8.58,8.60,8.33,"13,402,700"
"Apr 11, 2023",8.47,8.92,8.43,8.74,8.47,"19,782,500"
"Apr 10, 2023",8.10,8.38,8.03,8.37,8.11,"10,963,700"
"Apr 06, 2023",8.14,8.20,8.02,8.10,7.85,"7,052,600"
"Apr 05, 2023",8.06,8.16,8.00,8.11,7.86,"8,497,600"
"Apr 04, 2023",8.25,8.30,7.98,8.12,7.87,"11,419,900"
"Apr 03, 2023",8.34,8.52,8.15,8.16,7.91,"17,320,000"
"Mar 31, 2023",8.08,8.24,7.91,8.22,7.96,"16,682,300"
"Mar 30, 2023",7.82,8.47,7.73,8.04,7.79,"26,629,600"
"Mar 29, 2023",7.76,7.99,7.63,7.69,7.45,"21,613,400"
"Mar 28, 2023",7.40,7.50,7.31,7.41,7.18,"9,296,200"
"Mar 27, 2023",7.61,7.67,7.46,7.46,7.23,"13,629,600"
"Mar 24, 2023",7.19,7.54,7.10,7.53,7.30,"16,307,900"
"Mar 23, 2023",7.42,7.59,7.20,7.27,7.04,"20,806,900"
"Mar 22, 2023",7.86,7.88,7.38,7.40,7.17,"19,085,200"
"Mar 21, 2023",8.00,8.09,7.81,7.89,7.64,"15,539,700"
"Mar 20, 2023",7.80,8.07,7.77,7.89,7.64,"16,457,700"
"Mar 17, 2023",8.02,8.10,7.68,7.73,7.49,"23,134,700"
"Mar 16, 2023",7.91,8.04,7.60,8.01,7.76,"36,548,900"
"Mar 15, 2023",8.11,8.20,7.86,8.15,7.90,"30,570,400"
"Mar 14, 2023",8.95,9.07,8.45,8.52,7.97,"27,416,500"
"Mar 13, 2023",8.71,8.81,8.37,8.69,8.13,"33,101,000"
"Mar 10, 2023",9.50,9.58,8.66,8.79,8.23,"34,373,300"
"Mar 09, 2023",10.01,10.06,9.51,9.58,8.97,"22,996,300"
