Date,Open,High,Low,Close*,Adj Close**,Volume
"Jun 30, 2023",123.15,123.61,121.50,121.50,121.50,"2,399,900"
"Jun 29, 2023",122.50,122.98,121.30,122.11,122.11,"1,886,100"
"Jun 28, 2023",121.19,123.22,119.16,123.00,123.00,"2,534,300"
"Jun 27, 2023",120.45,120.89,118.51,120.67,120.67,"2,375,300"
"Jun 26, 2023",121.20,122.95,119.21,120.41,120.41,"3,466,100"
"Jun 23, 2023",119.70,120.12,117.23,118.50,118.50,"3,275,400"
"Jun 22, 2023",121.00,121.32,118.44,120.48,120.48,"3,264,800"
"Jun 21, 2023",123.50,124.16,121.00,121.07,121.07,"2,908,100"
"Jun 20, 2023",127.80,128.20,124.06,124.23,124.23,"2,989,700"
"Jun 16, 2023",130.95,133.16,126.98,128.73,128.73,"5,497,900"
"Jun 15, 2023",126.00,130.19,125.08,129.98,129.98,"3,027,800"
"Jun 14, 2023",128.08,128.62,124.61,126.05,126.05,"2,980,200"
"Jun 13, 2023",123.25,128.84,122.90,127.98,127.98,"3,328,100"
"Jun 12, 2023",123.36,123.88,121.55,123.52,123.52,"2,979,100"
"Jun 09, 2023",124.70,125.63,122.80,123.26,123.26,"2,201,900"
"Jun 08, 2023",125.41,125.41,122.28,124.94,124.94,"2,496,600"
"Jun 07, 2023",126.59,127.09,125.30,125.61,125.61,"3,161,400"
"Jun 06, 2023",129.00,129.15,124.75,126.90,126.90,"2,491,400"
"Jun 05, 2023",131.00,134.59,128.84,128.90,128.90,"3,206,100"
"Jun 02, 2023",129.75,131.65,128.82,130.51,130.51,"2,355,900"
"Jun 01, 2023",128.44,129.09,125.50,128.52,128.52,"1,942,200"
"May 31, 2023",128.88,130.45,125.16,127.71,127.71,"3,929,500"
"May 30, 2023",126.47,129.24,124.23,128.89,128.89,"2,618,500"
"May 26, 2023",128.49,128.49,124.25,126.24,126.24,"3,640,800"
"May 25, 2023",130.00,130.16,125.80,126.47,126.47,"4,234,900"
"May 24, 2023",141.19,142.79,130.34,131.59,131.59,"5,320,900"
"May 23, 2023",126.49,139.91,125.60,137.75,137.75,"7,730,500"
"May 22, 2023",126.25,127.83,125.69,126.74,126.74,"1,682,900"
"May 19, 2023",126.18,126.88,124.58,126.24,126.24,"2,599,100"
"May 18, 2023",125.92,126.01,122.99,125.33,125.33,"3,008,900"
"May 17, 2023",124.25,126.99,122.56,125.57,125.57,"2,574,400"
"May 16, 2023",129.37,129.50,124.25,125.11,125.11,"3,686,600"
"May 15, 2023",128.70,130.75,126.50,130.26,130.26,"2,279,300"
"May 12, 2023",128.50,131.06,128.05,129.30,129.30,"1,894,500"
"May 11, 2023",130.97,131.40,126.55,128.41,128.41,"2,868,700"
"May 10, 2023",134.56,135.33,130.37,130.83,130.83,"2,842,800"
"May 09, 2023",131.48,133.88,130.91,133.77,133.77,"2,560,400"
"May 08, 2023",136.24,137.13,131.20,131.75,131.75,"3,990,700"
"May 05, 2023",134.65,138.18,132.14,137.04,137.04,"3,376,500"
"May 04, 2023",133.93,138.22,129.75,134.33,134.33,"5,504,800"
"May 03, 2023",130.52,132.88,129.85,130.14,130.14,"3,322,100"
"May 02, 2023",133.51,135.56,130.54,131.40,131.40,"3,247,600"
"May 01, 2023",132.00,134.53,130.71,133.40,133.40,"2,748,500"
"Apr 28, 2023",130.04,133.26,129.02,132.89,132.89,"3,023,400"
"Apr 27, 2023",130.89,132.27,129.65,130.07,130.07,"3,097,600"
"Apr 26, 2023",134.81,135.97,129.88,130.72,130.72,"3,575,100"
"Apr 25, 2023",138.13,139.62,134.70,134.90,134.90,"3,276,400"
"Apr 24, 2023",140.87,141.20,136.05,138.14,138.14,"3,502,900"
"Apr 21, 2023",141.01,142.82,138.55,140.85,140.85,"3,128,200"
"Apr 20, 2023",141.40,144.43,140.44,141.14,141.14,"3,144,000"
"Apr 19, 2023",141.57,144.06,141.25,142.82,142.82,"2,820,200"
"Apr 18, 2023",144.00,144.93,141.01,142.63,142.63,"4,405,500"
"Apr 17, 2023",156.60,156.75,143.21,143.97,143.97,"11,560,400"
"Apr 14, 2023",159.95,163.24,155.35,157.10,157.10,"2,661,700"
"Apr 13, 2023",156.61,162.10,155.32,160.53,160.53,"2,911,500"
"Apr 12, 2023",156.35,159.05,154.62,155.56,155.56,"2,964,900"
"Apr 11, 2023",152.43,156.78,149.32,155.25,155.25,"6,591,100"
"Apr 10, 2023",160.00,161.19,154.45,160.15,160.15,"2,726,100"
"Apr 06, 2023",155.00,159.07,153.49,158.27,158.27,"2,618,700"
"Apr 05, 2023",155.79,156.87,152.25,154.61,154.61,"2,278,800"
"Apr 04, 2023",159.21,159.68,156.03,156.52,156.52,"2,308,700"
"Apr 03, 2023",153.50,159.99,153.50,159.48,159.48,"3,972,400"
"Mar 31, 2023",148.52,154.98,147.89,153.58,153.58,"3,784,600"
"Mar 30, 2023",150.20,151.25,146.60,147.44,147.44,"2,209,600"
"Mar 29, 2023",149.00,150.09,147.55,148.80,148.80,"1,902,400"
"Mar 28, 2023",147.98,149.66,146.18,146.92,146.92,"1,992,800"
"Mar 27, 2023",149.80,150.38,145.36,148.35,148.35,"2,641,400"
"Mar 24, 2023",149.74,152.57,148.97,150.88,150.88,"1,988,400"
"Mar 23, 2023",149.92,153.76,146.90,149.42,149.42,"2,708,700"
"Mar 22, 2023",153.31,153.68,148.07,148.18,148.18,"2,820,600"
"Mar 21, 2023",154.54,155.70,151.82,152.10,152.10,"3,010,600"
"Mar 20, 2023",150.01,156.57,148.66,154.52,154.52,"3,263,800"
"Mar 17, 2023",151.92,154.48,149.10,150.02,150.02,"5,997,400"
"Mar 16, 2023",149.67,152.85,147.97,151.78,151.78,"2,654,300"
"Mar 15, 2023",148.88,151.19,147.61,149.60,149.60,"2,740,000"
"Mar 14, 2023",148.98,154.88,148.05,151.28,151.28,"3,952,600"
"Mar 13, 2023",138.49,148.94,138.06,147.90,147.90,"5,681,300"
"Mar 10, 2023",137.06,141.55,135.59,138.29,138.29,"3,886,300"
"Mar 09, 2023",142.04,144.03,136.52,137.36,137.36,"3,092,600"
"Mar 08, 2023",140.32,142.53,140.32,142.08,142.08,"2,193,800"
"Mar 07, 2023",143.78,145.74,139.68,141.05,141.05,"2,777,700"
"Mar 06, 2023",143.30,145.06,142.63,144.03,144.03,"2,871,100"
"Mar 03, 2023",138.68,144.85,138.15,143.20,143.20,"3,964,800"
"Mar 02, 2023",135.36,139.03,135.34,137.86,137.86,"3,305,400"
"Mar 01, 2023",138.39,140.28,133.66,135.66,135.66,"4,588,100"
"Feb 28, 2023",138.27,140.96,137.37,138.81,138.81,"3,995,000"
"Feb 27, 2023",139.52,140.91,136.72,138.27,138.27,"4,966,000"
"Feb 24, 2023",140.53,144.27,138.21,139.26,139.26,"5,998,700"
"Feb 23, 2023",153.73,157.50,143.72,147.57,147.57,"9,378,900"
"Feb 22, 2023",160.35,161.49,157.00,158.17,158.17,"3,082,500"
"Feb 21, 2023",165.25,166.86,159.49,160.09,160.09,"3,295,700"
"Feb 17, 2023",163.00,166.72,160.66,166.60,166.60,"5,057,000"
"Feb 16, 2023",173.07,176.20,171.59,172.31,172.31,"2,466,600"
"Feb 15, 2023",173.17,177.37,172.45,177.28,177.28,"1,962,200"
"Feb 14, 2023",170.89,176.04,169.29,175.62,175.62,"2,906,400"
"Feb 13, 2023",168.73,171.77,166.01,171.48,171.48,"2,702,300"
"Feb 10, 2023",164.00,169.51,162.65,169.28,169.28,"2,945,200"
"Feb 09, 2023",167.03,170.10,163.19,164.48,164.48,"2,853,800"
"Feb 08, 2023",169.33,170.39,164.15,164.34,164.34,"2,960,500"
"Feb 07, 2023",170.26,171.87,167.03,171.06,171.06,"2,574,100"
"Feb 06, 2023",171.98,174.41,169.67,170.27,170.27,"2,858,000"
"Feb 03, 2023",172.74,178.74,172.40,173.25,173.25,"2,821,400"
"Feb 02, 2023",173.40,176.73,170.51,176.35,176.35,"4,061,500"
"Feb 01, 2023",174.70,176.30,167.28,174.30,174.30,"5,607,500"
"Jan 31, 2023",176.50,180.21,173.78,176.06,176.06,"6,212,700"
"Jan 30, 2023",187.23,187.59,180.64,180.87,180.87,"3,198,200"
"Jan 27, 2023",191.91,193.52,188.28,189.35,189.35,"3,346,500"
"Jan 26, 2023",194.43,195.00,187.55,193.24,193.24,"2,392,300"
"Jan 25, 2023",194.33,194.96,189.75,193.07,193.07,"2,288,200"
"Jan 24, 2023",195.83,197.06,193.21,196.76,196.76,"1,851,300"
"Jan 23, 2023",192.61,198.86,192.21,196.94,196.94,"2,907,300"
"Jan 20, 2023",190.60,194.59,188.52,193.98,193.98,"4,047,200"
"Jan 19, 2023",196.21,197.31,190.32,190.38,190.38,"4,273,900"
"Jan 18, 2023",200.32,207.51,195.02,197.02,197.02,"11,058,900"
"Jan 17, 2023",187.90,194.63,187.64,190.69,190.69,"3,722,100"
"Jan 13, 2023",185.08,192.12,185.05,192.00,192.00,"3,230,200"
"Jan 12, 2023",186.54,189.29,179.15,188.06,188.06,"3,881,600"
"Jan 11, 2023",188.57,189.65,182.67,186.64,186.64,"3,152,700"
"Jan 10, 2023",182.70,189.81,181.50,189.65,189.65,"2,457,900"
"Jan 09, 2023",181.80,188.36,177.27,183.95,183.95,"4,344,000"
"Jan 06, 2023",174.96,181.74,171.40,180.35,180.35,"3,575,000"
"Jan 05, 2023",174.80,175.51,171.60,173.51,173.51,"3,050,600"
"Jan 04, 2023",182.42,183.61,175.63,177.36,177.36,"2,840,900"
"Jan 03, 2023",180.85,184.39,178.23,178.99,178.99,"4,027,900"
"Dec 30, 2022",176.22,179.69,172.31,179.62,179.62,"3,436,000"
"Dec 29, 2022",178.19,182.50,175.40,178.86,178.86,"3,746,800"
"Dec 28, 2022",180.00,183.75,174.51,176.50,176.50,"5,525,600"
"Dec 27, 2022",199.90,201.43,179.83,180.17,180.17,"6,736,000"
"Dec 23, 2022",206.69,208.99,197.56,199.08,199.08,"6,166,000"
"Dec 22, 2022",209.82,212.47,201.61,208.34,208.34,"5,374,600"
"Dec 21, 2022",201.85,210.22,199.75,210.04,210.04,"7,584,000"
"Dec 20, 2022",189.00,204.22,187.54,201.16,201.16,"9,561,800"
"Dec 19, 2022",200.00,204.00,187.86,189.89,189.89,"6,953,300"
"Dec 16, 2022",206.37,209.85,190.62,193.29,193.29,"11,819,400"
"Dec 15, 2022",207.61,212.44,202.09,207.25,207.25,"9,641,000"
"Dec 14, 2022",195.08,217.25,192.54,208.95,208.95,"21,435,200"
"Dec 13, 2022",187.33,208.52,184.02,197.54,197.54,"26,239,600"
"Dec 12, 2022",175.53,175.77,162.78,165.13,165.13,"5,202,200"
"Dec 09, 2022",185.00,185.41,177.10,177.35,177.35,"3,497,800"
"Dec 08, 2022",179.12,185.21,177.52,184.70,184.70,"3,414,000"
"Dec 07, 2022",172.31,180.38,171.85,179.00,179.00,"3,579,300"
"Dec 06, 2022",175.02,175.78,169.70,173.54,173.54,"3,392,300"
"Dec 05, 2022",180.99,183.68,173.59,175.93,175.93,"3,525,400"
"Dec 02, 2022",178.50,182.80,177.00,182.35,182.35,"2,765,400"
"Dec 01, 2022",173.41,185.90,172.38,181.48,181.48,"4,872,000"
"Nov 30, 2022",173.52,176.75,169.06,175.91,175.91,"3,720,200"
"Nov 29, 2022",176.15,179.00,171.53,173.15,173.15,"2,840,900"
"Nov 28, 2022",177.09,184.22,174.67,175.38,175.38,"3,748,500"
"Nov 25, 2022",175.01,179.14,173.41,176.40,176.40,"1,221,100"
"Nov 23, 2022",178.01,179.36,174.58,176.81,176.81,"2,311,800"
"Nov 22, 2022",176.08,179.83,170.27,179.59,179.59,"3,307,100"
"Nov 21, 2022",179.71,180.79,175.17,176.75,176.75,"3,100,100"
"Nov 18, 2022",184.00,188.45,181.22,181.59,181.59,"3,549,500"
"Nov 17, 2022",181.33,184.44,178.98,183.90,183.90,"3,372,400"
"Nov 16, 2022",184.44,188.65,182.88,185.25,185.25,"4,030,000"
"Nov 15, 2022",180.66,187.87,178.35,185.47,185.47,"5,159,000"
"Nov 14, 2022",169.27,184.24,169.27,179.03,179.03,"6,662,500"
"Nov 11, 2022",168.31,172.13,162.74,171.20,171.20,"3,611,600"
