Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",65.40,65.41,64.25,64.91,64.91,"7,097,900"
"Jul 27, 2023",65.35,66.24,63.30,63.89,63.89,"10,780,200"
"Jul 26, 2023",63.12,64.14,62.28,63.71,63.71,"9,094,000"
"Jul 25, 2023",63.34,64.70,63.23,63.90,63.90,"6,994,900"
"Jul 24, 2023",63.69,63.78,62.46,63.11,63.11,"5,605,300"
"Jul 21, 2023",64.13,64.67,63.19,63.41,63.41,"19,044,400"
"Jul 20, 2023",64.66,65.03,62.80,63.22,63.22,"12,700,300"
"Jul 19, 2023",66.00,66.81,64.86,65.63,65.63,"10,606,800"
"Jul 18, 2023",65.40,66.05,64.20,65.76,65.76,"9,881,000"
"Jul 17, 2023",63.56,64.94,63.00,64.56,64.56,"8,586,100"
"Jul 14, 2023",64.50,65.12,63.18,63.45,63.45,"11,405,900"
"Jul 13, 2023",63.85,65.49,63.06,65.37,65.37,"12,938,400"
"Jul 12, 2023",63.12,63.69,61.94,62.88,62.88,"11,423,600"
"Jul 11, 2023",61.73,62.21,60.45,62.15,62.15,"12,004,500"
"Jul 10, 2023",58.87,60.50,58.83,60.29,60.29,"10,124,900"
"Jul 07, 2023",59.91,60.26,58.98,59.15,59.15,"9,504,300"
"Jul 06, 2023",58.61,58.97,57.43,58.82,58.82,"10,174,700"
"Jul 05, 2023",60.76,61.20,59.78,59.81,59.75,"7,279,700"
"Jul 03, 2023",60.32,61.38,60.32,61.35,61.29,"5,699,800"
"Jun 30, 2023",59.3,60.11,59.16,59.78,59.72,"9,058,500"
"Jun 29, 2023",60.43,60.43,58.12,58.37,58.31,"14,868,400"
"Jun 28, 2023",58.57,61.46,58.57,60.07,60.01,"10,114,600"
"Jun 27, 2023",57.91,60.77,57.77,60.59,60.53,"12,291,600"
"Jun 26, 2023",58.08,59.14,57.68,57.75,57.69,"10,316,000"
"Jun 23, 2023",57.81,58.26,56.59,57.82,57.76,"24,351,600"
"Jun 22, 2023",58.18,59.75,58.03,59.12,59.06,"9,138,100"
"Jun 21, 2023",60.62,60.93,58.72,58.85,58.79,"10,386,300"
"Jun 20, 2023",60.71,62.0,60.34,60.83,60.77,"10,631,700"
"Jun 16, 2023",62.81,63.07,60.81,61.12,61.06,"17,825,600"
"Jun 15, 2023",62.18,62.82,61.55,62.03,61.97,"11,443,900"
"Jun 14, 2023",62.78,63.03,60.89,62.96,62.9,"13,383,900"
"Jun 13, 2023",63.32,63.43,61.81,63.05,62.99,"12,424,300"
"Jun 12, 2023",60.88,62.29,60.86,62.05,61.99,"15,907,700"
"Jun 09, 2023",60.86,62.03,59.57,60.01,59.95,"14,404,400"
"Jun 08, 2023",59.21,60.36,58.36,59.72,59.66,"12,172,600"
"Jun 07, 2023",62.26,63.64,59.11,59.33,59.27,"23,824,500"
"Jun 06, 2023",58.1,60.31,58.04,59.14,59.08,"16,472,000"
"Jun 05, 2023",59.58,59.6,57.26,58.03,57.97,"15,900,500"
