Date,Open,High,Low,Close*,Adj Close**,Volume
"Jun 30, 2023",86.02,86.49,85.40,85.40,85.40,"6,188,200"
"Jun 29, 2023",85.34,86.06,84.63,85.24,85.24,"9,066,500"
"Jun 28, 2023",84.54,84.56,83.64,83.99,83.99,"4,781,600"
"Jun 27, 2023",83.91,84.87,83.38,84.43,84.43,"6,639,900"
"Jun 26, 2023",83.56,84.24,83.25,83.59,83.59,"6,377,400"
"Jun 23, 2023",83.26,83.92,82.60,83.58,83.58,"10,017,300"
"Jun 22, 2023",85.52,85.63,84.36,84.50,84.50,"6,214,600"
"Jun 21, 2023",86.56,87.28,86.30,86.34,86.34,"6,343,100"
"Jun 20, 2023",87.10,87.21,86.25,86.73,86.73,"7,382,000"
"Jun 16, 2023",89.62,89.65,87.94,88.09,88.09,"13,144,000"
"Jun 15, 2023",87.63,89.33,87.40,89.05,89.05,"8,603,200"
"Jun 14, 2023",88.60,89.49,87.64,87.98,87.98,"5,772,500"
"Jun 13, 2023",87.84,88.98,87.59,88.28,88.28,"6,089,200"
"Jun 12, 2023",86.20,87.64,86.01,87.44,87.44,"7,053,500"
"Jun 09, 2023",86.74,86.96,85.66,86.21,86.21,"6,282,600"
"Jun 08, 2023",86.40,86.91,85.18,86.31,86.31,"6,795,900"
"Jun 07, 2023",86.05,87.01,85.78,86.50,86.50,"7,410,800"
"Jun 06, 2023",83.60,86.23,83.27,85.86,85.86,"6,903,900"
"Jun 05, 2023",84.40,84.73,83.22,83.74,83.74,"6,631,900"
"Jun 02, 2023",82.94,84.68,82.94,84.35,84.35,"6,218,100"
"Jun 01, 2023",82.58,82.84,81.47,82.07,82.07,"6,857,500"
"May 31, 2023",83.06,83.28,81.13,81.76,81.76,"9,559,200"
"May 30, 2023",84.16,84.57,83.11,83.42,83.42,"5,876,800"
"May 26, 2023",82.97,84.64,82.83,83.90,83.90,"7,411,600"
"May 25, 2023",81.21,83.13,80.98,83.00,83.00,"6,962,700"
"May 24, 2023",82.01,82.23,80.74,81.22,81.22,"6,827,800"
"May 23, 2023",82.00,83.57,81.89,82.64,82.64,"5,521,200"
"May 22, 2023",82.25,83.16,81.91,82.27,82.27,"5,520,000"
"May 19, 2023",83.79,84.42,82.23,82.24,82.24,"11,177,500"
"May 18, 2023",83.70,84.55,83.02,84.49,84.49,"5,367,700"
"May 17, 2023",82.54,83.92,82.50,83.91,83.91,"8,216,700"
"May 16, 2023",82.72,83.07,81.81,81.86,81.86,"6,862,900"
