Date,Open,High,Low,Close*,Adj Close**,Volume
"Jun 30, 2023",337.75,342.73,337.20,340.54,340.54,"26,823,800"
"Jun 29, 2023",334.71,336.11,332.62,335.05,335.05,"16,997,000"
"Jun 28, 2023",334.66,337.98,333.81,335.85,335.85,"20,259,500"
"Jun 27, 2023",331.86,336.15,329.30,334.57,334.57,"24,354,100"
"Jun 26, 2023",333.72,336.11,328.49,328.60,328.60,"21,520,600"
"Jun 23, 2023",334.36,337.96,333.45,335.02,335.02,"23,084,700"
"Jun 22, 2023",334.12,340.12,333.34,339.71,339.71,"23,556,800"
"Jun 21, 2023",336.37,337.73,332.07,333.56,333.56,"25,117,800"
"Jun 20, 2023",339.31,342.08,335.86,338.05,338.05,"26,375,400"
"Jun 16, 2023",351.32,351.47,341.95,342.33,342.33,"46,533,600"
"Jun 15, 2023",337.48,349.84,337.20,348.10,348.10,"38,899,100"
"Jun 14, 2023",334.34,339.04,332.81,337.34,337.34,"26,003,800"
"Jun 13, 2023",334.47,336.98,330.39,334.29,334.29,"22,951,300"
"Jun 12, 2023",328.58,332.10,325.16,331.85,331.85,"24,260,300"
"Jun 09, 2023",324.99,329.99,324.41,326.79,326.79,"22,514,900"
"Jun 08, 2023",323.94,326.64,323.35,325.26,325.26,"23,277,700"
"Jun 07, 2023",331.65,334.49,322.50,323.38,323.38,"40,717,100"
"Jun 06, 2023",335.33,335.37,332.17,333.68,333.68,"20,396,200"
"Jun 05, 2023",335.22,338.56,334.66,335.94,335.94,"21,307,100"
"Jun 02, 2023",334.25,337.50,332.55,335.40,335.40,"25,864,000"
"Jun 01, 2023",325.93,333.53,324.72,332.58,332.58,"26,773,900"
"May 31, 2023",332.29,335.94,327.33,328.39,328.39,"45,950,600"
"May 30, 2023",335.23,335.74,330.52,331.21,331.21,"29,503,100"
"May 26, 2023",324.02,333.40,323.88,332.89,332.89,"36,630,600"
"May 25, 2023",323.24,326.90,320.00,325.92,325.92,"43,301,700"
"May 24, 2023",314.73,316.50,312.61,313.85,313.85,"23,384,900"
"May 23, 2023",320.03,322.72,315.25,315.26,315.26,"30,797,200"
"May 22, 2023",318.60,322.59,318.01,321.18,321.18,"24,115,700"
"May 19, 2023",316.74,318.75,316.37,318.34,318.34,"27,529,500"
"May 18, 2023",314.53,319.04,313.72,318.52,318.52,"27,276,000"
"May 17, 2023",312.29,314.43,310.74,314.00,314.00,"24,315,000"
"May 16, 2023",309.83,313.71,309.83,311.74,311.06,"26,730,300"
"May 15, 2023",309.10,309.90,307.59,309.46,308.78,"16,336,500"
"May 12, 2023",310.55,310.65,306.60,308.97,308.30,"19,758,100"
"May 11, 2023",310.10,311.12,306.26,310.11,309.43,"31,680,200"
"May 10, 2023",308.62,313.00,307.67,312.31,311.63,"30,078,000"
"May 09, 2023",308.00,310.04,306.31,307.00,306.33,"21,340,800"
"May 08, 2023",310.13,310.20,306.09,308.65,307.98,"21,318,600"
"May 05, 2023",305.72,311.97,304.27,310.65,309.97,"28,181,200"
"May 04, 2023",306.24,307.76,303.40,305.41,304.74,"22,519,900"
"May 03, 2023",306.62,308.61,304.09,304.40,303.74,"22,360,800"
"May 02, 2023",307.76,309.18,303.91,305.41,304.74,"26,404,400"
"May 01, 2023",306.97,308.60,305.15,305.56,304.89,"21,294,100"
"Apr 28, 2023",304.01,308.93,303.31,307.26,306.59,"36,446,700"
"Apr 27, 2023",295.97,305.20,295.25,304.83,304.17,"46,462,600"
"Apr 26, 2023",296.70,299.57,292.73,295.37,294.73,"64,599,200"
"Apr 25, 2023",279.51,281.60,275.37,275.42,274.82,"45,772,200"
"Apr 24, 2023",282.09,284.95,278.72,281.77,281.16,"26,611,000"
"Apr 21, 2023",285.01,286.27,283.06,285.76,285.14,"21,676,400"
"Apr 20, 2023",285.25,289.03,285.08,286.11,285.49,"23,244,400"
"Apr 19, 2023",285.99,289.05,284.54,288.45,287.82,"17,150,300"
"Apr 18, 2023",291.57,291.76,287.01,288.37,287.74,"20,161,800"
"Apr 17, 2023",289.93,291.60,286.16,288.80,288.17,"23,836,200"
"Apr 14, 2023",287.00,288.48,283.69,286.14,285.52,"20,987,900"
"Apr 13, 2023",283.59,289.90,283.17,289.84,289.21,"24,222,700"
"Apr 12, 2023",284.79,287.01,281.96,283.49,282.87,"27,403,400"
"Apr 11, 2023",285.75,285.98,281.64,282.83,282.21,"27,276,600"
"Apr 10, 2023",289.21,289.60,284.71,289.39,288.76,"23,103,000"
"Apr 06, 2023",283.21,292.08,282.03,291.60,290.96,"29,770,300"
"Apr 05, 2023",285.85,287.15,282.92,284.34,283.72,"22,064,800"
"Apr 04, 2023",287.23,290.45,285.67,287.18,286.55,"25,824,300"
"Apr 03, 2023",286.52,288.27,283.95,287.23,286.60,"24,883,300"
"Mar 31, 2023",283.73,289.27,283.00,288.30,287.67,"32,766,000"
"Mar 30, 2023",284.23,284.46,281.48,284.05,283.43,"25,053,400"
"Mar 29, 2023",278.96,281.14,278.41,280.51,279.90,"25,087,000"
"Mar 28, 2023",275.79,276.14,272.05,275.23,274.63,"21,878,600"
"Mar 27, 2023",280.50,281.46,275.52,276.38,275.78,"26,840,200"
"Mar 24, 2023",277.24,280.63,275.28,280.57,279.96,"28,172,000"
