Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",333.67,340.01,333.17,338.37,338.37,"28,463,000"
"Jul 27, 2023",340.48,341.33,329.05,330.72,330.72,"39,635,300"
"Jul 26, 2023",341.44,344.67,333.11,337.77,337.77,"58,383,700"
"Jul 25, 2023",347.11,351.89,345.07,350.98,350.98,"41,637,700"
"Jul 24, 2023",345.85,346.92,342.31,345.11,345.11,"26,678,100"
"Jul 21, 2023",349.15,350.30,339.83,343.77,343.77,"69,368,900"
"Jul 20, 2023",353.57,357.97,345.37,346.87,346.87,"33,778,400"
"Jul 19, 2023",361.75,362.46,352.44,355.08,355.08,"39,732,900"
"Jul 18, 2023",345.83,366.78,342.17,359.49,359.49,"64,872,700"
"Jul 17, 2023",345.68,346.99,342.20,345.73,345.73,"20,363,900"
"Jul 14, 2023",347.59,351.43,344.31,345.24,345.24,"28,302,200"
"Jul 13, 2023",339.56,343.74,339.02,342.66,342.66,"20,567,200"
"Jul 12, 2023",336.60,341.65,335.67,337.20,337.20,"29,995,300"
"Jul 11, 2023",331.06,332.86,327.00,332.47,332.47,"26,698,200"
"Jul 10, 2023",334.60,335.23,327.59,331.83,331.83,"32,791,400"
"Jul 07, 2023",339.32,341.79,337.00,337.22,337.22,"21,185,300"
"Jul 06, 2023",337.30,342.99,335.50,341.27,341.27,"28,161,200"
"Jul 05, 2023",335.09,341.65,334.73,338.15,338.15,"18,172,400"
"Jul 03, 2023",339.19,340.90,336.57,337.99,337.99,"12,508,700"
"Jun 30, 2023",337.75,342.73,337.2,340.54,340.54,"26,823,800"
"Jun 29, 2023",334.71,336.11,332.62,335.05,335.05,"16,997,000"
"Jun 28, 2023",334.66,337.98,333.81,335.85,335.85,"20,259,500"
"Jun 27, 2023",331.86,336.15,329.3,334.57,334.57,"24,354,100"
"Jun 26, 2023",333.72,336.11,328.49,328.6,328.6,"21,520,600"
"Jun 23, 2023",334.36,337.96,333.45,335.02,335.02,"23,084,700"
"Jun 22, 2023",334.12,340.12,333.34,339.71,339.71,"23,556,800"
"Jun 21, 2023",336.37,337.73,332.07,333.56,333.56,"25,117,800"
"Jun 20, 2023",339.31,342.08,335.86,338.05,338.05,"26,375,400"
"Jun 16, 2023",351.32,351.47,341.95,342.33,342.33,"46,533,600"
"Jun 15, 2023",337.48,349.84,337.2,348.1,348.1,"38,899,100"
"Jun 14, 2023",334.34,339.04,332.81,337.34,337.34,"26,003,800"
"Jun 13, 2023",334.47,336.98,330.39,334.29,334.29,"22,951,300"
"Jun 12, 2023",328.58,332.1,325.16,331.85,331.85,"24,260,300"
"Jun 09, 2023",324.99,329.99,324.41,326.79,326.79,"22,514,900"
"Jun 08, 2023",323.94,326.64,323.35,325.26,325.26,"23,277,700"
"Jun 07, 2023",331.65,334.49,322.5,323.38,323.38,"40,717,100"
"Jun 06, 2023",335.33,335.37,332.17,333.68,333.68,"20,396,200"
"Jun 05, 2023",335.22,338.56,334.66,335.94,335.94,"21,307,100"
"Jun 02, 2023",334.25,337.5,332.55,335.4,335.4,"25,864,000"
"Jun 01, 2023",325.93,333.53,324.72,332.58,332.58,"26,773,900"
"May 31, 2023",332.29,335.94,327.33,328.39,328.39,"45,950,600"
"May 30, 2023",335.23,335.74,330.52,331.21,331.21,"29,503,100"
"May 26, 2023",324.02,333.4,323.88,332.89,332.89,"36,630,600"
"May 25, 2023",323.24,326.9,320.0,325.92,325.92,"43,301,700"
"May 24, 2023",314.73,316.5,312.61,313.85,313.85,"23,384,900"
"May 23, 2023",320.03,322.72,315.25,315.26,315.26,"30,797,200"
"May 22, 2023",318.6,322.59,318.01,321.18,321.18,"24,115,700"
"May 19, 2023",316.74,318.75,316.37,318.34,318.34,"27,529,500"
"May 18, 2023",314.53,319.04,313.72,318.52,318.52,"27,276,000"
"May 17, 2023",312.29,314.43,310.74,314.0,314.0,"24,315,000"
"May 16, 2023",309.83,313.71,309.83,311.74,311.06,"26,730,300"
"May 15, 2023",309.1,309.9,307.59,309.46,308.78,"16,336,500"
"May 12, 2023",310.55,310.65,306.6,308.97,308.3,"19,758,100"
"May 11, 2023",310.1,311.12,306.26,310.11,309.43,"31,680,200"
"May 10, 2023",308.62,313.0,307.67,312.31,311.63,"30,078,000"
"May 09, 2023",308.0,310.04,306.31,307.0,306.33,"21,340,800"
"May 08, 2023",310.13,310.2,306.09,308.65,307.98,"21,318,600"
"May 05, 2023",305.72,311.97,304.27,310.65,309.97,"28,181,200"
"May 04, 2023",306.24,307.76,303.4,305.41,304.74,"22,519,900"
"May 03, 2023",306.62,308.61,304.09,304.4,303.74,"22,360,800"
"May 02, 2023",307.76,309.18,303.91,305.41,304.74,"26,404,400"
"May 01, 2023",306.97,308.6,305.15,305.56,304.89,"21,294,100"
"Apr 28, 2023",304.01,308.93,303.31,307.26,306.59,"36,446,700"
"Apr 27, 2023",295.97,305.2,295.25,304.83,304.17,"46,462,600"
"Apr 26, 2023",296.7,299.57,292.73,295.37,294.73,"64,599,200"
"Apr 25, 2023",279.51,281.6,275.37,275.42,274.82,"45,772,200"
"Apr 24, 2023",282.09,284.95,278.72,281.77,281.16,"26,611,000"
"Apr 21, 2023",285.01,286.27,283.06,285.76,285.14,"21,676,400"
"Apr 20, 2023",285.25,289.03,285.08,286.11,285.49,"23,244,400"
"Apr 19, 2023",285.99,289.05,284.54,288.45,287.82,"17,150,300"
"Apr 18, 2023",291.57,291.76,287.01,288.37,287.74,"20,161,800"
"Apr 17, 2023",289.93,291.6,286.16,288.8,288.17,"23,836,200"
"Apr 14, 2023",287.0,288.48,283.69,286.14,285.52,"20,987,900"
"Apr 13, 2023",283.59,289.9,283.17,289.84,289.21,"24,222,700"
"Apr 12, 2023",284.79,287.01,281.96,283.49,282.87,"27,403,400"
"Apr 11, 2023",285.75,285.98,281.64,282.83,282.21,"27,276,600"
"Apr 10, 2023",289.21,289.6,284.71,289.39,288.76,"23,103,000"
"Apr 06, 2023",283.21,292.08,282.03,291.6,290.96,"29,770,300"
"Apr 05, 2023",285.85,287.15,282.92,284.34,283.72,"22,064,800"
"Apr 04, 2023",287.23,290.45,285.67,287.18,286.55,"25,824,300"
"Apr 03, 2023",286.52,288.27,283.95,287.23,286.6,"24,883,300"
"Mar 31, 2023",283.73,289.27,283.0,288.3,287.67,"32,766,000"
"Mar 30, 2023",284.23,284.46,281.48,284.05,283.43,"25,053,400"
"Mar 29, 2023",278.96,281.14,278.41,280.51,279.9,"25,087,000"
"Mar 28, 2023",275.79,276.14,272.05,275.23,274.63,"21,878,600"
"Mar 27, 2023",280.5,281.46,275.52,276.38,275.78,"26,840,200"
"Mar 24, 2023",277.24,280.63,275.28,280.57,279.96,"28,172,000"
"Mar 23, 2023",277.94,281.06,275.2,277.66,277.05,"36,610,900"
"Mar 22, 2023",273.4,281.04,272.18,272.29,271.7,"34,873,300"
"Mar 21, 2023",274.88,275.0,269.52,273.78,273.18,"34,558,700"
"Mar 20, 2023",276.98,277.48,269.85,272.23,271.64,"43,466,600"
"Mar 17, 2023",278.26,283.33,276.32,279.43,278.82,"69,527,400"
"Mar 16, 2023",265.21,276.56,263.28,276.2,275.6,"54,768,800"
"Mar 15, 2023",259.98,266.48,259.21,265.44,264.86,"46,028,000"
"Mar 14, 2023",256.75,261.07,255.86,260.79,260.22,"33,620,300"
"Mar 13, 2023",247.4,257.91,245.73,253.92,253.37,"33,339,700"
"Mar 10, 2023",251.08,252.79,247.6,248.59,248.05,"28,333,900"
"Mar 09, 2023",255.82,259.56,251.58,252.32,251.77,"26,653,400"
"Mar 08, 2023",254.04,254.54,250.81,253.7,253.15,"17,340,200"
"Mar 07, 2023",256.3,257.69,253.39,254.15,253.6,"21,473,200"
"Mar 06, 2023",256.43,260.12,255.98,256.87,256.31,"24,109,800"
"Mar 03, 2023",252.19,255.62,251.39,255.29,254.73,"30,760,100"
"Mar 02, 2023",246.55,251.4,245.61,251.11,250.56,"24,808,200"
"Mar 01, 2023",250.76,250.93,245.79,246.27,245.73,"27,565,300"
"Feb 28, 2023",249.07,251.49,248.73,249.42,248.88,"22,491,000"
"Feb 27, 2023",252.46,252.82,249.39,250.16,249.61,"21,190,000"
"Feb 24, 2023",249.96,251.0,248.1,249.22,248.68,"24,990,900"
"Feb 23, 2023",255.56,256.84,250.48,254.77,254.21,"29,219,100"
"Feb 22, 2023",254.09,254.34,250.34,251.51,250.96,"22,491,100"
"Feb 21, 2023",254.48,255.49,251.59,252.67,252.12,"28,397,400"
"Feb 17, 2023",259.39,260.09,256.0,258.06,257.5,"30,000,100"
"Feb 16, 2023",264.02,266.74,261.9,262.15,261.58,"29,603,600"
"Feb 15, 2023",268.32,270.73,266.18,269.32,268.73,"28,922,400"
"Feb 14, 2023",272.67,274.97,269.28,272.17,270.9,"37,047,900"
"Feb 13, 2023",267.64,274.6,267.15,271.32,270.05,"44,630,900"
"Feb 10, 2023",261.53,264.09,260.66,263.1,261.87,"25,818,500"
"Feb 09, 2023",273.8,273.98,262.8,263.62,262.39,"42,375,100"
"Feb 08, 2023",273.2,276.76,266.21,266.73,265.48,"54,686,000"
"Feb 07, 2023",260.53,268.77,260.08,267.56,266.31,"50,841,400"
"Feb 06, 2023",257.44,258.3,254.78,256.77,255.57,"22,518,000"
"Feb 03, 2023",259.54,264.2,257.1,258.35,257.14,"29,077,300"
"Feb 02, 2023",258.82,264.69,257.25,264.6,263.36,"39,940,400"
"Feb 01, 2023",248.0,255.18,245.47,252.75,251.57,"31,259,900"
"Jan 31, 2023",243.45,247.95,242.95,247.81,246.65,"26,541,100"
"Jan 30, 2023",244.51,245.6,242.2,242.71,241.58,"25,867,400"
"Jan 27, 2023",248.99,249.83,246.83,248.16,247.0,"26,498,900"
"Jan 26, 2023",243.65,248.31,242.0,248.0,246.84,"33,454,500"
"Jan 25, 2023",234.48,243.3,230.9,240.61,239.49,"66,526,600"
"Jan 24, 2023",242.5,243.95,240.44,242.04,240.91,"40,234,400"
"Jan 23, 2023",241.1,245.17,239.65,242.58,241.45,"31,934,000"
"Jan 20, 2023",234.86,240.74,234.51,240.22,239.1,"35,389,800"
"Jan 19, 2023",233.78,235.52,230.68,231.93,230.85,"28,623,000"
"Jan 18, 2023",241.57,242.38,235.52,235.81,234.71,"30,028,700"
"Jan 17, 2023",237.97,240.91,237.09,240.35,239.23,"29,831,300"
"Jan 13, 2023",237.0,239.37,234.92,239.23,238.11,"21,333,300"
"Jan 12, 2023",235.26,239.9,233.56,238.51,237.4,"27,269,500"
"Jan 11, 2023",231.29,235.95,231.11,235.77,234.67,"28,669,300"
"Jan 10, 2023",227.76,231.31,227.33,228.85,227.78,"27,033,900"
"Jan 09, 2023",226.45,231.24,226.41,227.12,226.06,"27,369,800"
"Jan 06, 2023",223.0,225.76,219.35,224.93,223.88,"43,613,600"
"Jan 05, 2023",227.2,227.55,221.76,222.31,221.27,"39,585,600"
"Jan 04, 2023",232.28,232.87,225.96,229.1,228.03,"50,623,400"
"Jan 03, 2023",243.08,245.75,237.4,239.58,238.46,"25,740,000"
"Dec 30, 2022",238.21,239.96,236.66,239.82,238.7,"21,938,500"
"Dec 29, 2022",235.65,241.92,235.65,241.01,239.88,"19,770,700"
"Dec 28, 2022",236.89,239.72,234.17,234.53,233.43,"17,457,100"
"Dec 27, 2022",238.7,238.93,235.83,236.96,235.85,"16,688,600"
"Dec 23, 2022",236.11,238.87,233.94,238.73,237.61,"21,207,000"
"Dec 22, 2022",241.26,241.99,233.87,238.19,237.08,"28,651,700"
"Dec 21, 2022",241.69,245.62,240.11,244.43,243.29,"23,690,600"
"Dec 20, 2022",239.4,242.91,238.42,241.8,240.67,"25,150,800"
"Dec 19, 2022",244.86,245.21,238.71,240.45,239.33,"29,696,400"
"Dec 16, 2022",248.55,249.84,243.51,244.69,243.55,"86,102,000"
"Dec 15, 2022",253.72,254.2,247.34,249.01,247.85,"35,560,400"
"Dec 14, 2022",257.13,262.59,254.31,257.22,256.02,"35,410,900"
"Dec 13, 2022",261.69,263.92,253.07,256.92,255.72,"42,196,900"
"Dec 12, 2022",247.45,252.54,247.17,252.51,251.33,"30,665,100"
"Dec 09, 2022",244.7,248.31,244.16,245.42,244.27,"20,609,700"
"Dec 08, 2022",244.84,248.74,243.06,247.4,246.24,"22,611,800"
"Dec 07, 2022",244.83,246.16,242.21,244.37,243.23,"20,481,500"
"Dec 06, 2022",250.82,251.86,243.78,245.12,243.97,"22,463,700"
"Dec 05, 2022",252.01,253.82,248.06,250.2,249.03,"23,435,300"
