Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",434.00,438.74,424.84,434.61,434.61,"463,900"
"Jul 27, 2023",451.00,452.46,424.17,426.15,426.15,"565,500"
"Jul 26, 2023",436.82,447.93,436.28,443.46,443.46,"530,000"
"Jul 25, 2023",430.94,442.42,430.21,436.82,436.82,"447,900"
"Jul 24, 2023",427.64,431.87,412.93,430.94,430.94,"655,000"
"Jul 21, 2023",441.91,445.88,426.55,436.65,436.65,"563,300"
"Jul 20, 2023",455.21,461.31,435.20,440.83,440.83,"631,700"
"Jul 19, 2023",451.77,461.60,446.76,453.10,453.10,"550,200"
"Jul 18, 2023",449.48,454.00,435.00,445.80,445.80,"783,600"
"Jul 17, 2023",457.20,467.00,444.35,449.88,449.88,"861,300"
"Jul 14, 2023",455.46,475.09,447.18,458.86,458.86,"1,721,300"
"Jul 13, 2023",418.00,466.99,412.78,461.83,461.83,"2,078,300"
"Jul 12, 2023",418.00,420.98,405.24,413.49,413.49,"923,600"
"Jul 11, 2023",401.00,415.00,396.92,412.30,412.30,"1,204,900"
"Jul 10, 2023",381.17,408.01,370.05,407.71,407.71,"997,600"
"Jul 07, 2023",373.59,392.00,373.59,380.74,380.74,"938,300"
"Jul 06, 2023",380.59,385.01,362.00,376.55,376.55,"890,400"
"Jul 05, 2023",367.01,382.99,359.10,378.11,378.11,"1,184,900"
"Jul 03, 2023",347.00,378.27,345.99,377.84,377.84,"1,106,500"
"Jun 30, 2023",349.97,352.75,322.26,342.42,342.42,"1,524,500"
"Jun 29, 2023",335.64,340.79,328.50,340.26,340.26,"857,400"
"Jun 28, 2023",319.91,332.81,318.45,325.61,325.61,"659,100"
"Jun 27, 2023",312.30,327.99,311.53,324.88,324.88,"877,300"
"Jun 26, 2023",324.00,328.60,301.08,305.74,305.74,"1,127,300"
"Jun 23, 2023",327.00,337.00,317.30,329.11,329.11,"1,554,000"
"Jun 22, 2023",332.49,337.45,313.13,327.23,327.23,"1,134,400"
"Jun 21, 2023",324.00,338.00,320.31,331.31,331.31,"1,927,000"
"Jun 20, 2023",300.00,315.18,289.69,313.40,313.40,"1,889,900"
"Jun 16, 2023",284.99,298.00,280.96,293.39,293.39,"1,422,600"
"Jun 15, 2023",274.15,281.38,266.00,277.92,277.92,"785,700"
"Jun 14, 2023",284.11,286.15,276.73,282.88,282.88,"399,700"
"Jun 13, 2023",284.30,284.88,274.95,283.82,283.82,"443,600"
"Jun 12, 2023",279.13,281.66,275.00,277.70,277.70,"369,500"
"Jun 09, 2023",293.50,295.76,280.51,282.33,282.33,"567,300"
"Jun 08, 2023",289.69,297.24,283.57,290.93,290.93,"484,600"
"Jun 07, 2023",298.82,302.27,288.00,290.81,290.81,"675,500"
"Jun 06, 2023",270.00,304.57,266.55,298.82,298.82,"1,877,900"
"Jun 05, 2023",294.47,296.96,271.20,276.36,276.36,"1,404,000"
"Jun 02, 2023",305.27,306.00,290.64,302.13,302.13,"725,600"
"Jun 01, 2023",298.50,307.73,295.64,299.94,299.94,"548,900"
"May 31, 2023",294.01,302.77,289.00,301.63,301.63,"623,400"
"May 30, 2023",300.10,313.64,296.75,299.27,299.27,"946,600"
"May 26, 2023",279.80,294.89,279.20,285.10,285.10,"655,000"
"May 25, 2023",287.91,288.84,272.85,280.99,280.99,"878,300"
"May 24, 2023",282.00,286.95,276.63,284.43,284.43,"806,400"
"May 23, 2023",299.19,301.20,288.26,289.33,289.33,"643,300"
"May 22, 2023",287.78,297.06,286.02,294.12,294.12,"591,000"
"May 19, 2023",290.90,291.96,282.58,288.28,288.28,"371,900"
"May 18, 2023",289.00,297.21,280.01,287.58,287.58,"669,600"
"May 17, 2023",271.49,291.05,269.26,290.57,290.57,"611,300"
"May 16, 2023",277.50,283.00,272.37,273.44,273.44,"464,100"
"May 15, 2023",280.00,286.88,276.00,282.50,282.50,"650,700"
"May 12, 2023",284.90,286.59,266.51,271.00,271.00,"1,083,700"
"May 11, 2023",311.35,311.35,284.76,287.37,287.37,"1,542,200"
"May 10, 2023",313.24,325.65,305.00,315.11,315.11,"1,295,200"
"May 09, 2023",297.51,310.00,289.63,303.43,303.43,"721,900"
"May 08, 2023",311.15,311.75,294.00,294.67,294.67,"1,043,000"
"May 05, 2023",313.00,328.72,312.00,326.72,326.72,"907,900"
"May 04, 2023",311.15,321.19,307.50,312.24,312.24,"715,100"
"May 03, 2023",320.49,321.89,301.68,304.25,304.25,"1,193,000"
"May 02, 2023",310.14,332.93,305.13,328.01,328.01,"1,373,300"
"May 01, 2023",320.00,323.36,304.24,307.47,307.47,"905,500"
"Apr 28, 2023",313.04,328.98,308.09,328.38,328.38,"759,200"
"Apr 27, 2023",306.51,318.88,296.01,318.64,318.64,"1,016,500"
