Date,Open,High,Low,Close*,Adj Close**,Volume
"Jun 30, 2023",64.50,65.10,62.90,63.11,62.99,"31,530,900"
"Jun 29, 2023",67.84,67.95,63.55,64.33,64.21,"51,141,900"
"Jun 28, 2023",65.65,67.73,65.39,67.07,66.94,"27,100,100"
"Jun 27, 2023",65.27,66.84,63.79,66.79,66.66,"18,305,200"
"Jun 26, 2023",65.63,66.70,65.41,65.45,65.33,"13,815,900"
"Jun 23, 2023",65.45,65.96,64.84,65.28,65.16,"12,646,700"
"Jun 22, 2023",65.53,66.66,65.51,66.25,66.13,"8,639,500"
"Jun 21, 2023",66.75,67.20,65.34,65.80,65.68,"10,427,200"
"Jun 20, 2023",67.32,67.62,65.77,66.90,66.77,"13,261,600"
"Jun 16, 2023",70.15,70.50,66.06,67.66,67.53,"32,252,600"
"Jun 15, 2023",68.59,69.52,68.36,68.82,68.69,"11,842,600"
"Jun 14, 2023",67.54,69.21,67.52,69.12,68.99,"11,085,800"
"Jun 13, 2023",68.56,68.88,67.60,67.87,67.74,"11,911,900"
"Jun 12, 2023",65.84,67.54,65.79,67.45,67.32,"14,731,100"
"Jun 09, 2023",65.93,66.40,64.47,65.43,65.31,"14,649,300"
"Jun 08, 2023",66.50,66.52,64.01,65.32,65.20,"25,856,800"
"Jun 07, 2023",68.41,68.67,66.94,67.06,66.93,"14,610,800"
"Jun 06, 2023",67.03,68.84,66.82,67.54,67.41,"12,476,600"
"Jun 05, 2023",69.50,69.50,67.51,67.77,67.64,"12,441,100"
"Jun 02, 2023",69.99,70.55,68.29,69.17,69.04,"13,457,700"
"Jun 01, 2023",68.94,69.79,68.10,69.09,68.96,"18,153,000"
"May 31, 2023",68.90,69.85,67.92,68.20,68.07,"30,403,600"
"May 30, 2023",74.39,74.77,71.58,71.69,71.56,"24,454,700"
"May 26, 2023",69.88,74.59,69.80,73.93,73.79,"33,410,000"
"May 25, 2023",69.75,69.88,67.51,69.61,69.48,"29,021,500"
"May 24, 2023",64.95,66.73,64.88,66.53,66.41,"15,806,600"
"May 23, 2023",65.85,67.56,65.71,66.01,65.89,"15,896,200"
"May 22, 2023",65.75,66.75,64.76,66.23,66.11,"37,491,000"
"May 19, 2023",67.57,68.39,66.43,68.17,68.04,"16,807,800"
"May 18, 2023",65.98,68.59,65.08,67.57,67.44,"30,688,000"
"May 17, 2023",64.58,65.32,63.44,64.92,64.80,"15,947,700"
"May 16, 2023",64.55,65.22,63.30,63.73,63.61,"15,259,000"
"May 15, 2023",62.23,64.87,61.80,64.64,64.52,"22,227,200"
"May 12, 2023",61.99,62.19,60.15,60.92,60.81,"12,123,400"
"May 11, 2023",60.59,61.81,60.07,61.61,61.49,"15,536,600"
"May 10, 2023",61.92,62.31,59.79,59.99,59.88,"14,548,700"
"May 09, 2023",59.88,61.39,59.55,60.93,60.82,"11,895,200"
"May 08, 2023",61.25,61.35,60.31,60.87,60.76,"11,510,400"
"May 05, 2023",60.61,61.74,60.11,61.23,61.12,"12,305,900"
"May 04, 2023",60.55,60.96,59.90,60.51,60.40,"13,357,900"
"May 03, 2023",61.49,62.18,60.82,60.91,60.80,"10,818,100"
"May 02, 2023",62.23,62.58,61.25,61.90,61.78,"12,237,600"
"May 01, 2023",63.89,64.10,62.31,62.35,62.23,"12,823,400"
"Apr 28, 2023",62.43,64.44,62.30,64.36,64.24,"18,088,800"
"Apr 27, 2023",60.75,61.96,60.13,61.90,61.78,"13,524,600"
"Apr 26, 2023",59.58,61.18,59.34,61.02,60.91,"25,385,000"
"Apr 25, 2023",59.13,59.34,58.03,58.14,58.03,"15,987,300"
"Apr 24, 2023",60.10,60.88,59.35,59.51,59.40,"13,402,600"
"Apr 21, 2023",61.15,61.45,60.73,61.13,61.02,"9,606,200"
"Apr 20, 2023",59.88,61.95,59.87,61.46,61.34,"14,382,200"
"Apr 19, 2023",60.98,61.21,60.38,60.65,60.54,"11,652,600"
"Apr 18, 2023",63.33,63.45,61.48,61.93,61.81,"12,175,200"
"Apr 17, 2023",62.22,62.77,61.98,62.54,62.42,"11,546,800"
"Apr 14, 2023",63.18,63.22,61.77,62.63,62.51,"14,953,000"
"Apr 13, 2023",61.51,63.37,60.79,63.00,62.88,"23,286,500"
