Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",0.1200,0.1200,0.1200,0.1200,0.1200,"169,983,700"
"Jul 27, 2023",0.1300,0.1300,0.1200,0.1200,0.1200,"200,588,400"
"Jul 26, 2023",0.1300,0.1300,0.1300,0.1300,0.1300,"168,978,600"
"Jul 25, 2023",0.1300,0.1400,0.1200,0.1300,0.1300,"242,207,100"
"Jul 24, 2023",0.1400,0.1400,0.1300,0.1400,0.1400,"220,362,500"
"Jul 21, 2023",0.1500,0.1500,0.1400,0.1400,0.1400,"224,178,400"
"Jul 20, 2023",0.1500,0.1600,0.1400,0.1500,0.1500,"246,053,500"
"Jul 19, 2023",0.1500,0.1500,0.1400,0.1500,0.1500,"257,652,600"
"Jul 18, 2023",0.1600,0.1600,0.1500,0.1600,0.1600,"223,916,300"
"Jul 17, 2023",0.1600,0.1700,0.1600,0.1600,0.1600,"256,035,100"
"Jul 14, 2023",0.1600,0.1800,0.1500,0.1600,0.1600,"393,988,000"
"Jul 13, 2023",0.1600,0.1600,0.1400,0.1600,0.1600,"413,955,300"
"Jul 12, 2023",0.1700,0.1700,0.1400,0.1400,0.1400,"583,237,200"
"Jul 11, 2023",0.1900,0.2100,0.1800,0.1800,0.1800,"340,592,600"
"Jul 10, 2023",0.1800,0.2200,0.1800,0.1900,0.1900,"593,377,300"
"Jul 07, 2023",0.2300,0.2300,0.1900,0.1900,0.1900,"743,754,900"
"Jul 06, 2023",0.2800,0.3200,0.2000,0.2200,0.2200,"1,894,471,800"
"Jul 05, 2023",0.1000,0.1800,0.1000,0.1700,0.1700,"1,357,185,400"
"Jul 03, 2023",0.1100,0.1200,0.1000,0.1000,0.1000,"230,239,800"
"Jun 30, 2023",0.1100,0.1100,0.1000,0.1100,0.1100,"280,823,700"
"Jun 29, 2023",0.1200,0.1300,0.1100,0.1200,0.1200,"387,332,500"
"Jun 28, 2023",0.1200,0.1300,0.1000,0.1100,0.1100,"409,336,900"
"Jun 27, 2023",0.1800,0.1800,0.1400,0.1400,0.1400,"433,085,400"
"Jun 26, 2023",0.1600,0.2000,0.1600,0.1700,0.1700,"205,901,200"
"Jun 23, 2023",0.1700,0.1900,0.1600,0.1700,0.1700,"144,855,400"
"Jun 22, 2023",0.1900,0.2000,0.1700,0.1800,0.1800,"236,068,800"
"Jun 21, 2023",0.1800,0.2200,0.1700,0.2000,0.2000,"449,997,300"
"Jun 20, 2023",0.2400,0.2400,0.1600,0.1600,0.1600,"342,483,000"
"Jun 16, 2023",0.2800,0.3000,0.2200,0.2300,0.2300,"291,824,400"
"Jun 15, 2023",0.2300,0.3000,0.2000,0.2600,0.2600,"399,766,300"
"Jun 14, 2023",0.2900,0.2900,0.2200,0.2300,0.2300,"172,612,100"
"Jun 13, 2023",0.3600,0.3600,0.3200,0.3200,0.3200,"100,073,800"
"Jun 12, 2023",0.4200,0.4200,0.3800,0.3900,0.3900,"65,200,300"
"Jun 09, 2023",0.4800,0.4900,0.4200,0.4300,0.4300,"69,565,100"
"Jun 08, 2023",0.5100,0.5400,0.4600,0.4700,0.4700,"64,453,200"
"Jun 07, 2023",0.5600,0.5600,0.5100,0.5200,0.5200,"78,231,800"
"Jun 06, 2023",0.6600,0.6600,0.6100,0.6100,0.6100,"48,116,400"
"Jun 05, 2023",0.7300,0.7400,0.6800,0.7000,0.7000,"31,511,400"
"Jun 02, 2023",0.7200,0.7700,0.7200,0.7500,0.7500,"16,639,000"
"Jun 01, 2023",0.7200,0.7900,0.6800,0.7400,0.7400,"39,515,700"
"May 31, 2023",0.7300,0.7600,0.7200,0.7300,0.7300,"27,207,900"
"May 30, 2023",0.8600,0.8900,0.7300,0.7600,0.7600,"77,086,100"
"May 26, 2023",0.9300,0.9300,0.8000,0.8100,0.8100,"55,754,600"
"May 25, 2023",0.7500,0.9900,0.7200,0.9500,0.9500,"92,726,500"
"May 24, 2023",0.8700,0.8700,0.8000,0.8000,0.8000,"43,785,400"
"May 23, 2023",0.9200,0.9400,0.8800,0.9100,0.9100,"41,968,500"
"May 22, 2023",1.0400,1.0400,0.9300,0.9500,0.9500,"63,233,800"
"May 19, 2023",1.1000,1.1100,1.0100,1.0700,1.0700,"34,265,100"
"May 18, 2023",1.2400,1.2500,1.1600,1.1900,1.1900,"28,176,700"
"May 17, 2023",1.1900,1.4900,1.1700,1.2300,1.2300,"57,503,500"
"May 16, 2023",1.2600,1.2700,1.1800,1.2200,1.2200,"21,914,100"
"May 15, 2023",1.2700,1.2800,1.2200,1.2500,1.2500,"14,834,100"
"May 12, 2023",1.3600,1.3700,1.2100,1.2700,1.2700,"21,184,200"
"May 11, 2023",1.4600,1.4700,1.3800,1.4000,1.4000,"18,973,500"
"May 10, 2023",1.4400,1.4700,1.3700,1.3900,1.3900,"11,551,900"
"May 09, 2023",1.4300,1.4500,1.3700,1.4400,1.4400,"15,441,600"
"May 08, 2023",1.6100,1.6200,1.3800,1.4800,1.4800,"28,519,100"
"May 05, 2023",1.4700,1.5300,1.4200,1.5000,1.5000,"18,002,100"
"May 04, 2023",1.4600,1.5500,1.2600,1.4700,1.4700,"44,482,700"
"May 03, 2023",2.2500,2.2500,1.5000,1.5000,1.5000,"4,655,080"
"May 02, 2023",2.0000,2.5000,1.7500,2.0000,2.0000,"22,307,068"
"May 01, 2023",2.0000,2.2500,1.7500,1.7500,1.7500,"19,451,624"
"Apr 28, 2023",1.7500,2.0000,1.7500,2.0000,2.0000,"26,691,788"
"Apr 27, 2023",2.0000,2.0000,1.7500,1.7500,1.7500,"24,142,148"
"Apr 26, 2023",2.2500,2.2500,2.0000,2.0000,2.0000,"16,959,568"
"Apr 25, 2023",2.2500,2.2500,2.0000,2.2500,2.2500,"15,331,432"
"Apr 24, 2023",3.0000,3.0000,2.2500,2.5000,2.5000,"30,287,504"
"Apr 21, 2023",2.7500,2.7500,2.5000,2.5000,2.5000,"28,932,644"
"Apr 20, 2023",2.2500,2.2500,2.0000,2.0000,2.0000,"9,434,960"
"Apr 19, 2023",2.2500,2.2500,2.2500,2.2500,2.2500,"10,672,816"
"Apr 18, 2023",2.5000,2.7500,2.2500,2.2500,2.2500,"8,404,616"
"Apr 17, 2023",2.5000,2.7500,2.5000,2.5000,2.5000,"8,328,696"
