Date,Open,High,Low,Close*,Adj Close**,Volume
"Jun 30, 2023",42.01,42.72,41.75,42.66,42.66,"7,214,500"
"Jun 29, 2023",40.80,41.98,40.72,41.95,41.95,"6,104,000"
"Jun 28, 2023",42.05,42.17,41.11,41.18,41.18,"7,532,000"
"Jun 27, 2023",42.64,42.76,41.91,42.46,42.46,"6,316,300"
"Jun 26, 2023",41.72,42.86,41.43,42.75,42.75,"8,477,000"
"Jun 23, 2023",42.10,42.50,41.50,41.58,41.58,"8,223,600"
"Jun 22, 2023",42.03,42.45,41.95,42.15,42.15,"6,948,700"
"Jun 21, 2023",42.96,42.97,42.28,42.58,42.58,"5,940,600"
"Jun 20, 2023",43.09,43.26,42.58,43.10,43.10,"9,050,100"
"Jun 16, 2023",43.18,43.92,42.88,43.83,43.83,"17,161,100"
"Jun 15, 2023",42.09,42.80,41.83,42.70,42.70,"6,959,800"
"Jun 14, 2023",43.00,43.00,41.69,42.10,42.10,"6,489,500"
"Jun 13, 2023",42.25,42.55,42.09,42.44,42.44,"7,955,900"
"Jun 12, 2023",41.40,42.07,41.28,42.04,42.04,"6,618,100"
"Jun 09, 2023",41.93,42.01,41.29,41.46,41.46,"5,601,300"
"Jun 08, 2023",42.32,42.61,41.87,42.04,42.04,"5,894,900"
"Jun 07, 2023",42.00,42.42,41.57,41.90,41.90,"7,056,500"
"Jun 06, 2023",41.97,42.15,41.60,41.99,41.99,"5,477,300"
"Jun 05, 2023",41.70,42.55,41.58,41.92,41.92,"7,459,900"
"Jun 02, 2023",42.81,42.92,41.84,42.09,42.09,"11,464,700"
"Jun 01, 2023",40.84,42.78,40.80,42.47,42.47,"13,608,300"
"May 31, 2023",39.97,41.09,39.95,40.55,40.55,"16,137,900"
"May 30, 2023",41.14,41.28,40.34,40.40,40.00,"8,413,300"
"May 26, 2023",41.18,41.28,40.33,40.68,40.28,"7,046,200"
"May 25, 2023",41.17,41.20,40.61,40.64,40.24,"10,230,700"
"May 24, 2023",42.55,42.68,41.63,41.81,41.40,"8,473,100"
"May 23, 2023",42.75,43.01,42.44,42.49,42.07,"9,203,900"
"May 22, 2023",43.66,43.76,43.33,43.33,42.90,"6,637,300"
"May 19, 2023",43.60,44.18,43.11,43.66,43.23,"8,345,300"
"May 18, 2023",43.90,44.06,42.87,43.27,42.84,"10,091,500"
"May 17, 2023",44.90,45.38,44.65,44.75,44.31,"8,409,800"
"May 16, 2023",46.52,46.75,45.06,45.12,44.67,"8,658,600"
"May 15, 2023",46.15,47.45,45.95,47.09,46.62,"8,343,500"
"May 12, 2023",45.57,45.99,45.46,45.94,45.49,"6,288,400"
"May 11, 2023",47.23,47.65,45.84,45.88,45.43,"8,191,600"
"May 10, 2023",48.34,48.41,47.27,47.81,47.34,"5,843,100"
"May 09, 2023",48.29,48.56,47.81,48.15,47.67,"4,898,600"
"May 08, 2023",48.79,49.08,48.15,48.29,47.81,"5,524,900"
"May 05, 2023",48.62,49.27,48.19,48.72,48.24,"7,281,000"
"May 04, 2023",47.70,50.18,47.70,49.41,48.92,"13,356,200"
"May 03, 2023",48.00,48.38,47.26,47.49,47.02,"7,784,200"
"May 02, 2023",46.74,48.49,46.72,48.06,47.58,"8,428,400"
"May 01, 2023",47.76,47.94,46.80,46.93,46.47,"5,527,700"
"Apr 28, 2023",47.99,48.04,46.75,47.40,46.93,"8,036,100"
"Apr 27, 2023",46.83,48.28,46.55,48.27,47.79,"7,310,400"
"Apr 26, 2023",48.48,48.73,47.11,47.15,46.68,"7,558,400"
"Apr 25, 2023",47.66,48.60,47.57,48.20,47.72,"7,504,000"
"Apr 24, 2023",47.49,48.10,47.00,48.02,47.54,"6,084,100"
"Apr 21, 2023",47.68,48.16,47.14,47.62,47.15,"5,985,400"
"Apr 20, 2023",48.53,48.58,47.66,47.88,47.41,"5,513,800"
"Apr 19, 2023",48.02,48.62,47.91,48.26,47.78,"6,736,000"
"Apr 18, 2023",48.79,49.43,48.55,48.86,48.38,"7,582,000"
"Apr 17, 2023",48.99,49.00,48.22,48.47,47.99,"8,334,600"
"Apr 14, 2023",50.22,50.47,48.40,49.52,49.03,"11,924,300"
"Apr 13, 2023",50.65,51.46,50.41,51.02,50.51,"11,922,200"
"Apr 12, 2023",50.10,50.41,49.22,49.71,49.22,"8,678,900"
"Apr 11, 2023",49.80,51.08,49.71,49.92,49.43,"11,762,400"
"Apr 10, 2023",51.26,51.44,50.66,51.09,50.58,"7,611,600"
"Apr 06, 2023",51.60,52.16,51.04,52.05,51.53,"8,461,300"
"Apr 05, 2023",51.74,52.76,51.19,52.07,51.55,"11,767,800"
"Apr 04, 2023",49.28,51.54,49.14,51.35,50.84,"14,721,000"
"Apr 03, 2023",49.01,49.70,48.39,49.47,48.98,"6,309,500"
"Mar 31, 2023",48.91,49.04,48.47,49.02,48.53,"5,832,500"
"Mar 30, 2023",48.86,48.89,48.24,48.84,48.36,"7,453,200"
"Mar 29, 2023",48.40,48.80,48.04,48.34,47.86,"5,235,500"
"Mar 28, 2023",48.40,48.71,47.87,48.66,48.18,"4,884,800"
"Mar 27, 2023",47.31,48.28,47.09,48.21,47.73,"6,274,400"
"Mar 24, 2023",48.18,49.22,47.70,48.55,48.07,"9,364,300"
"Mar 23, 2023",47.05,48.60,46.92,47.79,47.32,"9,543,400"
"Mar 22, 2023",46.56,47.45,46.11,46.64,46.18,"8,653,600"
"Mar 21, 2023",47.13,47.16,45.90,46.60,46.14,"7,673,300"
"Mar 20, 2023",48.71,48.99,47.68,47.82,47.35,"10,192,000"
"Mar 17, 2023",46.66,48.69,46.22,48.17,47.69,"27,337,100"
"Mar 16, 2023",46.21,46.21,44.69,45.78,45.33,"10,056,300"
