Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",108.11,108.96,107.63,108.62,108.62,"5,988,300"
"Jul 27, 2023",109.83,110.23,107.40,107.67,107.67,"6,544,600"
"Jul 26, 2023",108.30,109.59,107.95,109.30,109.30,"5,148,900"
"Jul 25, 2023",108.28,108.85,107.39,108.30,108.30,"7,692,800"
"Jul 24, 2023",110.41,110.55,108.51,108.77,108.77,"6,787,600"
"Jul 21, 2023",108.00,109.29,107.51,109.06,109.06,"6,630,200"
"Jul 20, 2023",109.57,110.02,107.48,107.53,107.53,"6,458,000"
"Jul 19, 2023",109.08,110.25,108.58,109.88,109.88,"5,027,100"
"Jul 18, 2023",108.58,110.34,108.31,109.72,109.72,"5,717,900"
"Jul 17, 2023",107.26,109.10,106.76,108.71,108.71,"6,682,900"
"Jul 14, 2023",107.94,108.64,107.19,107.95,107.95,"6,932,300"
"Jul 13, 2023",109.07,109.13,107.68,107.84,107.84,"6,692,300"
"Jul 12, 2023",108.53,109.09,107.22,107.76,107.76,"8,305,000"
"Jul 11, 2023",105.65,107.62,105.62,107.39,107.39,"5,457,200"
"Jul 10, 2023",104.48,106.31,104.25,105.78,105.78,"5,374,600"
"Jul 07, 2023",104.80,105.47,104.03,104.46,104.46,"7,460,200"
"Jul 06, 2023",105.29,106.09,103.67,105.10,105.10,"9,923,500"
"Jul 05, 2023",108.62,108.91,106.54,107.10,107.10,"10,405,300"
"Jul 03, 2023",111.06,111.30,109.11,109.11,109.11,"5,734,200"
"Jun 30, 2023",111.59,112.25,109.8,110.37,110.37,"19,614,400"
"Jun 29, 2023",113.6,114.27,112.61,113.37,113.37,"12,465,500"
"Jun 28, 2023",113.34,113.75,112.12,113.03,113.03,"6,766,000"
"Jun 27, 2023",112.53,114.18,112.43,113.61,113.61,"7,138,600"
"Jun 26, 2023",109.67,112.21,109.67,111.74,111.74,"6,887,100"
"Jun 23, 2023",107.75,110.29,107.3,109.52,109.52,"14,324,200"
"Jun 22, 2023",110.82,111.25,109.78,110.46,110.46,"6,002,900"
"Jun 21, 2023",109.13,110.36,108.71,109.98,109.98,"8,377,800"
"Jun 20, 2023",111.41,112.82,108.96,109.54,109.54,"10,602,400"
"Jun 16, 2023",114.0,114.76,113.06,113.59,113.59,"14,443,700"
"Jun 15, 2023",111.83,112.82,110.16,112.41,112.41,"10,374,200"
"Jun 14, 2023",107.48,113.4,107.48,112.86,112.86,"17,415,500"
"Jun 13, 2023",107.14,107.48,106.29,106.78,106.78,"8,460,500"
"Jun 12, 2023",106.29,106.85,104.6,106.83,106.83,"7,964,600"
"Jun 09, 2023",105.91,106.28,105.35,105.86,105.86,"5,795,200"
"Jun 08, 2023",107.16,107.52,105.67,106.2,106.2,"9,137,600"
"Jun 07, 2023",106.04,108.24,105.42,107.09,107.09,"11,123,900"
"Jun 06, 2023",105.49,106.75,105.2,106.19,106.19,"7,896,300"
"Jun 05, 2023",107.88,107.88,105.18,105.2,105.2,"7,434,000"
"Jun 02, 2023",107.63,108.42,106.13,107.78,107.78,"11,835,000"
"Jun 01, 2023",104.18,104.6,102.9,103.63,103.29,"12,025,200"
"May 31, 2023",105.7,106.17,104.83,105.26,104.91,"21,465,200"
"May 30, 2023",108.4,108.88,106.27,106.52,106.17,"9,335,200"
"May 26, 2023",107.0,108.45,107.0,107.51,107.16,"7,911,200"
"May 25, 2023",108.35,108.97,107.42,107.48,107.13,"6,729,800"
"May 24, 2023",109.0,109.1,107.2,108.29,107.93,"8,503,200"
"May 23, 2023",109.77,111.06,108.19,108.78,108.42,"11,790,400"
"May 22, 2023",112.85,112.85,110.02,110.18,109.82,"12,710,300"
"May 19, 2023",114.56,115.49,113.1,114.76,114.38,"11,672,400"
"May 18, 2023",117.43,119.15,116.85,118.87,118.48,"5,970,500"
"May 17, 2023",116.38,117.13,115.25,116.98,116.6,"7,765,400"
"May 16, 2023",117.5,117.84,116.12,116.48,116.1,"8,306,400"
"May 15, 2023",119.82,119.99,118.01,119.83,119.44,"5,518,200"
"May 12, 2023",120.99,121.2,119.03,120.21,119.82,"6,571,800"
"May 11, 2023",123.45,123.86,121.9,122.22,121.82,"5,923,100"
"May 10, 2023",126.29,126.46,122.17,123.51,123.1,"5,052,600"
"May 09, 2023",125.27,125.66,124.17,125.1,124.69,"4,082,100"
"May 08, 2023",127.26,127.69,125.98,126.88,126.46,"3,892,600"
"May 05, 2023",125.93,127.03,125.22,126.59,126.17,"4,887,500"
"May 04, 2023",124.94,125.19,122.82,123.67,123.26,"6,177,100"
"May 03, 2023",125.49,128.38,123.67,126.74,126.32,"4,560,100"
"May 02, 2023",127.15,127.58,125.17,127.26,126.84,"3,831,600"
"May 01, 2023",126.92,128.68,126.86,127.92,127.5,"4,112,600"
"Apr 28, 2023",125.15,127.07,124.96,126.72,126.3,"4,420,700"
"Apr 27, 2023",124.44,126.01,123.14,125.7,125.29,"4,252,100"
"Apr 26, 2023",124.21,124.98,123.29,123.84,123.43,"4,003,200"
"Apr 25, 2023",126.53,126.77,124.05,124.66,124.25,"4,383,300"
"Apr 24, 2023",125.51,127.13,125.15,127.09,126.67,"3,790,900"
"Apr 21, 2023",124.4,125.68,123.62,125.53,125.12,"3,651,400"
"Apr 20, 2023",124.8,125.35,123.71,124.45,124.04,"3,891,600"
"Apr 19, 2023",126.0,126.08,124.92,125.67,125.26,"3,547,400"
"Apr 18, 2023",127.23,127.28,125.02,126.21,125.8,"3,857,700"
"Apr 17, 2023",126.03,126.48,125.13,126.19,125.78,"3,917,900"
"Apr 14, 2023",127.0,127.49,125.49,125.95,125.54,"4,828,700"
"Apr 13, 2023",124.64,126.67,124.46,126.43,126.02,"5,355,300"
"Apr 12, 2023",124.76,124.86,123.22,123.66,123.25,"4,524,900"
"Apr 11, 2023",122.04,124.08,122.04,123.3,122.9,"4,471,000"
"Apr 10, 2023",119.3,121.91,119.13,121.91,121.51,"3,731,200"
