Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 24, 2023",2.2600,2.4400,2.1300,2.3800,2.3800,"51,199,200"
"Jul 21, 2023",2.5700,2.5700,2.4300,2.5000,2.5000,"42,212,900"
"Jul 20, 2023",2.5100,2.7900,2.4200,2.4500,2.4500,"98,268,800"
"Jul 19, 2023",2.6400,2.7500,2.4600,2.5900,2.5900,"108,422,500"
"Jul 18, 2023",2.3000,2.7300,2.2600,2.5200,2.5200,"170,965,800"
"Jul 17, 2023",2.1800,2.3300,2.0200,2.3300,2.3300,"84,689,000"
"Jul 14, 2023",2.735,2.95,1.99,2.25,2.25,"385,612,800"
"Jul 13, 2023",1.39,2.25,1.37,2.22,2.22,"316,807,100"
"Jul 12, 2023",1.44,1.47,1.35,1.38,1.38,"31,749,500"
"Jul 11, 2023",1.47,1.48,1.38,1.41,1.41,"32,852,400"
"Jul 10, 2023",1.46,1.48,1.36,1.475,1.475,"38,928,800"
