Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",2.1700,2.3400,2.1400,2.2700,2.2700,"41,229,700"
"Jul 27, 2023",2.3500,2.3600,2.1000,2.1000,2.1000,"40,178,200"
"Jul 26, 2023",2.0400,2.2900,2.0100,2.2500,2.2500,"49,956,600"
"Jul 25, 2023",2.3500,2.3600,1.9900,2.0300,2.0300,"62,177,400"
"Jul 24, 2023",2.2600,2.4400,2.1300,2.3800,2.3800,"51,199,200"
"Jul 21, 2023",2.5700,2.5700,2.4300,2.5000,2.5000,"42,212,900"
"Jul 20, 2023",2.5100,2.7900,2.4200,2.4500,2.4500,"98,268,800"
"Jul 19, 2023",2.6400,2.7500,2.4600,2.5900,2.5900,"108,422,500"
"Jul 18, 2023",2.3000,2.7300,2.2600,2.5200,2.5200,"170,965,800"
"Jul 17, 2023",2.1800,2.3300,2.0200,2.3300,2.3300,"84,689,000"
"Jul 14, 2023",2.7350,2.9500,1.9900,2.2500,2.2500,"385,612,800"
"Jul 13, 2023",1.3900,2.2500,1.3700,2.2200,2.2200,"316,807,100"
"Jul 12, 2023",1.4400,1.4700,1.3500,1.3800,1.3800,"31,749,500"
"Jul 11, 2023",1.4700,1.4800,1.3800,1.4100,1.4100,"32,852,400"
"Jul 10, 2023",1.4600,1.4800,1.3600,1.4750,1.4750,"38,928,800"
"Jul 07, 2023",1.3100,1.5300,1.3100,1.4100,1.4100,"49,296,500"
"Jul 06, 2023",1.4200,1.4300,1.3000,1.3000,1.3000,"36,690,300"
"Jul 05, 2023",1.3700,1.4900,1.3100,1.4300,1.4300,"41,024,000"
"Jul 03, 2023",1.4300,1.5000,1.3500,1.3700,1.3700,"31,335,300"
"Jun 30, 2023",1.35,1.44,1.31,1.38,1.38,"58,203,200"
"Jun 29, 2023",1.2,1.34,1.19,1.26,1.26,"46,255,400"
"Jun 28, 2023",1.07,1.19,1.05,1.16,1.16,"40,578,400"
"Jun 27, 2023",1.11,1.12,1.0,1.1,1.1,"39,517,400"
"Jun 26, 2023",1.29,1.31,1.05,1.1,1.1,"50,590,000"
"Jun 23, 2023",1.3,1.33,1.24,1.29,1.29,"68,215,900"
"Jun 22, 2023",1.42,1.43,1.31,1.38,1.38,"40,878,900"
"Jun 21, 2023",1.345,1.59,1.26,1.44,1.44,"118,801,200"
"Jun 20, 2023",1.27,1.34,1.18,1.32,1.32,"71,793,600"
"Jun 16, 2023",1.7,1.72,1.13,1.19,1.19,"233,099,000"
"Jun 15, 2023",1.23,1.83,1.18,1.4,1.4,"307,869,000"
"Jun 14, 2023",1.05,1.175,0.99,1.08,1.08,"121,061,200"
"Jun 13, 2023",0.8,0.96,0.752,0.914,0.914,"128,579,800"
"Jun 12, 2023",0.771,0.8,0.731,0.766,0.766,"59,306,900"
"Jun 09, 2023",0.64,0.725,0.64,0.705,0.705,"69,982,100"
"Jun 08, 2023",0.587,0.655,0.582,0.609,0.609,"56,063,800"
"Jun 07, 2023",0.558,0.6,0.541,0.593,0.593,"41,481,900"
"Jun 06, 2023",0.557,0.57,0.521,0.542,0.542,"44,064,500"
"Jun 05, 2023",0.582,0.586,0.556,0.556,0.556,"39,734,600"
"Jun 02, 2023",0.6,0.602,0.563,0.586,0.586,"34,755,400"
"Jun 01, 2023",0.614,0.628,0.573,0.574,0.574,"38,651,700"
"May 31, 2023",0.61,0.624,0.605,0.624,0.624,"20,629,800"
"May 30, 2023",0.605,0.625,0.57,0.61,0.61,"34,892,700"
"May 26, 2023",0.615,0.623,0.55,0.59,0.59,"44,660,400"
"May 25, 2023",0.772,0.781,0.584,0.615,0.615,"85,273,800"
"May 24, 2023",0.78,0.784,0.74,0.772,0.772,"27,668,000"
"May 23, 2023",0.8,0.844,0.773,0.781,0.781,"39,628,900"
"May 22, 2023",0.775,0.835,0.758,0.813,0.813,"45,261,800"
"May 19, 2023",0.746,0.769,0.711,0.758,0.758,"30,604,500"
"May 18, 2023",0.742,0.75,0.721,0.739,0.739,"25,026,700"
"May 17, 2023",0.717,0.75,0.701,0.739,0.739,"36,434,200"
"May 16, 2023",0.754,0.759,0.702,0.705,0.705,"34,105,600"
"May 15, 2023",0.78,0.815,0.714,0.758,0.758,"41,990,200"
"May 12, 2023",0.83,0.84,0.763,0.768,0.768,"37,138,700"
"May 11, 2023",0.805,0.84,0.777,0.83,0.83,"33,003,300"
"May 10, 2023",0.871,0.879,0.777,0.8,0.8,"44,034,700"
"May 09, 2023",0.966,0.967,0.831,0.857,0.857,"44,521,100"
"May 08, 2023",1.04,1.04,0.96,0.985,0.985,"25,318,600"
"May 05, 2023",0.93,0.98,0.926,0.979,0.979,"33,872,900"
"May 04, 2023",0.963,0.963,0.885,0.914,0.914,"27,082,800"
"May 03, 2023",0.903,0.948,0.895,0.92,0.92,"31,437,500"
"May 02, 2023",0.864,0.935,0.85,0.86,0.86,"23,204,800"
"May 01, 2023",0.885,0.891,0.812,0.837,0.837,"16,054,100"
"Apr 28, 2023",0.873,0.95,0.872,0.886,0.886,"17,385,000"
"Apr 27, 2023",0.817,0.884,0.796,0.879,0.879,"23,274,700"
"Apr 26, 2023",0.82,0.852,0.786,0.805,0.805,"17,758,500"
"Apr 25, 2023",0.836,0.845,0.81,0.816,0.816,"21,428,700"
"Apr 24, 2023",0.911,0.93,0.82,0.82,0.82,"32,584,700"
"Apr 21, 2023",0.905,0.923,0.871,0.923,0.923,"27,443,700"
"Apr 20, 2023",0.89,0.915,0.86,0.91,0.91,"19,060,100"
"Apr 19, 2023",0.962,0.97,0.89,0.91,0.91,"24,425,700"
"Apr 18, 2023",0.928,1.0,0.91,0.978,0.978,"42,251,700"
"Apr 17, 2023",0.842,0.915,0.84,0.909,0.909,"38,777,800"
"Apr 14, 2023",0.945,0.95,0.811,0.82,0.82,"53,795,700"
"Apr 13, 2023",1.01,1.03,0.961,0.97,0.97,"24,196,100"
"Apr 12, 2023",1.12,1.13,0.97,0.993,0.993,"49,990,700"
"Apr 11, 2023",1.19,1.2,1.08,1.09,1.09,"41,742,700"
