Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",20.29,20.41,19.97,20.35,20.35,"3,539,100"
"Jul 27, 2023",20.86,21.05,20.02,20.07,20.07,"5,922,800"
"Jul 26, 2023",20.62,20.86,20.60,20.80,20.80,"4,175,400"
"Jul 25, 2023",20.34,20.75,20.30,20.58,20.58,"3,726,800"
"Jul 24, 2023",20.10,20.45,20.08,20.34,20.34,"3,022,900"
"Jul 21, 2023",20.25,20.31,19.99,20.09,20.09,"2,767,400"
"Jul 20, 2023",20.50,20.57,20.14,20.19,20.19,"4,092,300"
"Jul 19, 2023",20.50,20.65,20.48,20.53,20.53,"3,535,400"
"Jul 18, 2023",20.16,20.49,20.14,20.37,20.37,"3,389,300"
"Jul 17, 2023",20.02,20.12,19.79,20.11,20.11,"2,267,900"
"Jul 14, 2023",20.15,20.17,19.97,20.00,20.00,"2,214,500"
"Jul 13, 2023",19.92,20.20,19.87,20.16,20.16,"3,837,800"
"Jul 12, 2023",20.00,20.03,19.74,19.86,19.86,"3,299,200"
"Jul 11, 2023",19.62,19.79,19.56,19.66,19.66,"2,655,500"
"Jul 10, 2023",19.21,19.56,19.15,19.54,19.54,"3,045,200"
"Jul 07, 2023",18.72,19.38,18.71,19.23,19.23,"5,575,900"
"Jul 06, 2023",19.03,19.07,18.39,18.78,18.78,"6,900,400"
"Jul 05, 2023",19.63,19.63,19.31,19.32,19.32,"4,279,900"
"Jul 03, 2023",19.87,19.97,19.69,19.76,19.76,"2,396,200"
"Jun 30, 2023",20.13,20.16,19.88,20.01,20.01,"3,784,300"
"Jun 29, 2023",19.99,20.07,19.77,20.01,20.01,"4,025,100"
"Jun 28, 2023",20.58,20.71,20.45,20.68,20.03,"4,254,600"
"Jun 27, 2023",20.37,20.6,20.3,20.6,19.95,"4,361,500"
"Jun 26, 2023",20.15,20.61,20.08,20.32,19.68,"4,059,600"
"Jun 23, 2023",20.36,20.41,20.08,20.12,19.49,"4,579,000"
"Jun 22, 2023",20.56,20.58,20.36,20.44,19.8,"3,036,300"
"Jun 21, 2023",20.47,20.72,20.33,20.6,19.95,"3,930,300"
"Jun 20, 2023",20.58,20.65,20.43,20.53,19.88,"5,340,200"
"Jun 16, 2023",20.93,21.04,20.59,20.59,19.94,"10,141,900"
"Jun 15, 2023",20.55,21.0,20.55,20.89,20.23,"5,109,900"
"Jun 14, 2023",20.82,20.87,20.4,20.65,20.0,"4,340,700"
"Jun 13, 2023",20.62,20.83,20.58,20.73,20.08,"4,777,000"
"Jun 12, 2023",20.09,20.55,20.07,20.54,19.89,"4,914,300"
"Jun 09, 2023",19.92,20.08,19.86,20.0,19.37,"4,820,200"
"Jun 08, 2023",19.89,20.01,19.78,19.92,19.29,"3,150,300"
"Jun 07, 2023",20.0,20.27,19.8,19.8,19.18,"5,028,800"
"Jun 06, 2023",19.52,20.0,19.52,19.91,19.28,"3,297,700"
"Jun 05, 2023",19.61,19.7,19.37,19.58,18.96,"2,497,400"
"Jun 02, 2023",19.62,19.81,19.49,19.61,18.99,"3,939,300"
"Jun 01, 2023",18.91,19.44,18.91,19.43,18.82,"4,121,900"
"May 31, 2023",18.86,19.04,18.66,18.88,18.29,"10,087,900"
"May 30, 2023",18.51,18.98,18.48,18.91,18.32,"4,178,300"
"May 26, 2023",17.82,18.49,17.7,18.44,17.86,"3,856,900"
"May 25, 2023",18.15,18.17,17.51,17.79,17.23,"6,041,300"
"May 24, 2023",18.68,18.68,18.12,18.21,17.64,"4,587,400"
"May 23, 2023",19.11,19.3,18.73,18.73,18.14,"3,543,000"
"May 22, 2023",19.25,19.31,18.99,19.1,18.5,"3,128,100"
"May 19, 2023",19.2,19.27,18.98,19.16,18.56,"4,051,600"
"May 18, 2023",18.93,19.15,18.81,19.11,18.51,"3,265,300"
"May 17, 2023",18.75,19.1,18.61,18.98,18.38,"3,715,400"
"May 16, 2023",18.7,18.82,18.58,18.65,18.06,"3,600,600"
"May 15, 2023",18.77,18.92,18.69,18.83,18.24,"2,706,000"
"May 12, 2023",18.95,18.98,18.67,18.74,18.15,"2,528,200"
"May 11, 2023",18.74,18.93,18.64,18.92,18.33,"2,474,600"
"May 10, 2023",19.02,19.06,18.66,18.83,18.24,"2,969,400"
"May 09, 2023",18.84,19.01,18.72,18.73,18.14,"3,851,200"
"May 08, 2023",19.13,19.14,18.82,19.01,18.41,"3,139,600"
"May 05, 2023",18.86,19.2,18.79,19.07,18.47,"3,905,100"
"May 04, 2023",18.85,18.92,18.5,18.58,18.0,"4,718,200"
"May 03, 2023",18.95,19.53,18.92,18.97,18.37,"8,229,400"
"May 02, 2023",19.61,19.64,18.56,18.88,18.29,"6,516,200"
"May 01, 2023",19.91,19.97,19.25,19.32,18.71,"4,575,400"
"Apr 28, 2023",19.8,20.12,19.75,19.98,19.35,"4,614,900"
"Apr 27, 2023",19.34,19.81,19.3,19.73,19.11,"4,272,500"
"Apr 26, 2023",19.15,19.43,19.03,19.06,18.46,"5,110,000"
"Apr 25, 2023",19.38,19.5,18.98,18.98,18.38,"3,857,200"
"Apr 24, 2023",19.3,19.46,18.92,19.46,18.85,"4,779,900"
"Apr 21, 2023",19.3,19.35,19.02,19.35,18.74,"3,124,400"
"Apr 20, 2023",19.04,19.32,18.96,19.25,18.64,"4,205,400"
"Apr 19, 2023",19.02,19.31,18.97,19.21,18.61,"2,878,300"
"Apr 18, 2023",19.32,19.47,19.11,19.19,18.59,"3,867,300"
