Date,Open,High,Low,Close*,Adj Close**,Volume
"Jun 30, 2023",7.85,8.06,7.80,7.89,7.89,"19,386,200"
"Jun 29, 2023",7.88,7.90,7.68,7.79,7.79,"13,953,500"
"Jun 28, 2023",7.63,7.99,7.58,7.80,7.80,"23,838,400"
"Jun 27, 2023",7.39,7.70,7.33,7.65,7.65,"21,089,500"
"Jun 26, 2023",7.52,7.58,7.22,7.31,7.31,"21,200,600"
"Jun 23, 2023",7.40,7.70,7.36,7.56,7.56,"166,404,700"
"Jun 22, 2023",7.64,7.72,7.45,7.49,7.49,"27,952,400"
"Jun 21, 2023",7.71,7.76,7.50,7.71,7.71,"27,025,500"
"Jun 20, 2023",7.55,7.74,7.54,7.68,7.68,"31,731,800"
"Jun 16, 2023",7.44,7.58,7.37,7.54,7.54,"22,102,100"
"Jun 15, 2023",7.27,7.49,7.24,7.41,7.41,"22,543,600"
"Jun 14, 2023",7.53,7.54,7.20,7.35,7.35,"26,072,200"
"Jun 13, 2023",7.66,7.67,7.36,7.54,7.54,"21,665,900"
"Jun 12, 2023",7.52,7.68,7.49,7.62,7.62,"16,696,600"
"Jun 09, 2023",7.30,7.56,7.23,7.49,7.49,"35,291,300"
"Jun 08, 2023",7.35,7.45,7.26,7.27,7.27,"21,280,100"
"Jun 07, 2023",7.14,7.55,7.10,7.39,7.39,"36,498,500"
"Jun 06, 2023",6.94,7.15,6.91,7.13,7.13,"20,442,400"
"Jun 05, 2023",6.95,6.98,6.77,6.92,6.92,"17,560,000"
"Jun 02, 2023",6.85,7.03,6.85,6.97,6.97,"25,543,600"
"Jun 01, 2023",6.65,6.87,6.61,6.83,6.83,"28,766,200"
"May 31, 2023",6.65,6.80,6.60,6.74,6.74,"20,538,000"
"May 30, 2023",6.83,6.93,6.72,6.75,6.75,"17,458,800"
"May 26, 2023",6.92,6.99,6.72,6.79,6.79,"23,242,100"
"May 25, 2023",6.81,7.07,6.78,6.91,6.91,"28,642,400"
"May 24, 2023",6.76,6.88,6.65,6.81,6.81,"40,398,000"
"May 23, 2023",6.64,7.09,6.62,6.84,6.84,"57,400,600"
"May 22, 2023",6.46,6.74,6.45,6.64,6.64,"35,871,700"
"May 19, 2023",6.44,6.59,6.36,6.52,6.52,"37,582,900"
"May 18, 2023",6.03,6.47,6.02,6.39,6.39,"57,025,900"
"May 17, 2023",6.18,6.22,5.80,6.18,6.18,"45,323,100"
"May 16, 2023",6.51,6.92,6.06,6.10,6.10,"103,268,000"
"May 15, 2023",5.85,6.15,5.79,6.09,6.09,"41,210,700"
"May 12, 2023",5.91,5.99,5.79,5.81,5.81,"18,761,000"
"May 11, 2023",5.94,5.95,5.84,5.91,5.91,"14,822,100"
"May 10, 2023",5.86,5.94,5.80,5.91,5.91,"22,155,500"
"May 09, 2023",5.85,5.88,5.73,5.82,5.82,"22,077,500"
"May 08, 2023",5.49,5.98,5.48,5.92,5.92,"46,879,000"
"May 05, 2023",5.33,5.59,5.30,5.46,5.46,"31,146,400"
"May 04, 2023",5.19,5.31,5.18,5.24,5.24,"14,701,900"
"May 03, 2023",5.18,5.29,5.14,5.18,5.18,"16,845,000"
"May 02, 2023",5.35,5.38,5.16,5.19,5.19,"22,030,200"
"May 01, 2023",5.19,5.39,5.15,5.36,5.36,"30,118,000"
"Apr 28, 2023",5.00,5.20,4.96,5.16,5.16,"25,030,400"
"Apr 27, 2023",4.98,5.14,4.94,5.05,5.05,"20,525,100"
"Apr 26, 2023",4.95,5.03,4.91,4.94,4.94,"10,409,500"
"Apr 25, 2023",4.88,4.99,4.85,4.92,4.92,"14,642,900"
"Apr 24, 2023",4.94,5.01,4.85,4.92,4.92,"14,002,200"
"Apr 21, 2023",4.85,5.02,4.84,4.99,4.99,"18,448,600"
"Apr 20, 2023",4.79,4.89,4.69,4.89,4.89,"14,581,400"
"Apr 19, 2023",4.80,4.88,4.77,4.86,4.86,"15,154,900"
"Apr 18, 2023",4.61,4.90,4.60,4.86,4.86,"28,916,200"
"Apr 17, 2023",4.63,4.71,4.51,4.55,4.55,"14,001,100"
"Apr 14, 2023",4.72,4.77,4.59,4.66,4.66,"14,660,700"
"Apr 13, 2023",4.42,4.78,4.42,4.67,4.67,"23,693,200"
"Apr 12, 2023",4.60,4.63,4.39,4.42,4.42,"20,583,800"
"Apr 11, 2023",4.54,4.65,4.52,4.57,4.57,"14,009,800"
"Apr 10, 2023",4.45,4.54,4.40,4.52,4.52,"10,005,500"
"Apr 06, 2023",4.43,4.51,4.38,4.48,4.48,"8,139,300"
"Apr 05, 2023",4.52,4.59,4.40,4.48,4.48,"13,568,800"
"Apr 04, 2023",4.54,4.60,4.49,4.55,4.55,"12,768,200"
"Apr 03, 2023",4.64,4.70,4.34,4.52,4.52,"24,109,100"
"Mar 31, 2023",4.84,4.93,4.73,4.76,4.76,"17,266,200"
"Mar 30, 2023",4.69,4.83,4.67,4.81,4.81,"19,305,800"
"Mar 29, 2023",4.42,4.59,4.37,4.58,4.58,"17,736,600"
"Mar 28, 2023",4.37,4.45,4.29,4.36,4.36,"11,159,000"
"Mar 27, 2023",4.24,4.46,4.21,4.40,4.40,"14,899,900"
"Mar 24, 2023",4.20,4.26,4.13,4.17,4.17,"21,416,700"
"Mar 23, 2023",4.40,4.49,4.24,4.26,4.26,"16,745,200"
"Mar 22, 2023",4.48,4.55,4.32,4.32,4.32,"16,519,500"
"Mar 21, 2023",4.47,4.52,4.42,4.43,4.43,"13,572,200"
"Mar 20, 2023",4.67,4.68,4.41,4.43,4.43,"22,688,000"
"Mar 17, 2023",4.59,4.71,4.54,4.69,4.69,"32,831,700"
"Mar 16, 2023",4.42,4.63,4.39,4.61,4.61,"17,481,000"
"Mar 15, 2023",4.30,4.49,4.29,4.44,4.44,"20,627,000"
"Mar 14, 2023",4.69,4.73,4.37,4.48,4.48,"27,009,600"
"Mar 13, 2023",4.24,4.70,4.14,4.52,4.52,"27,930,000"
"Mar 10, 2023",4.72,4.74,4.45,4.49,4.49,"32,191,000"
"Mar 09, 2023",4.93,4.97,4.69,4.74,4.74,"23,917,800"
"Mar 08, 2023",4.85,5.10,4.85,4.99,4.99,"26,653,100"
"Mar 07, 2023",4.89,4.92,4.69,4.83,4.83,"23,826,700"
"Mar 06, 2023",4.69,5.00,4.68,4.95,4.95,"22,119,800"
"Mar 03, 2023",4.67,4.75,4.56,4.68,4.68,"34,504,500"
"Mar 02, 2023",4.78,4.88,4.65,4.67,4.67,"37,183,100"
"Mar 01, 2023",4.99,4.99,4.61,4.86,4.86,"35,312,400"
"Feb 28, 2023",4.97,5.11,4.95,5.04,5.04,"20,870,000"
"Feb 27, 2023",4.98,5.10,4.93,4.97,4.97,"25,262,900"
"Feb 24, 2023",4.82,4.96,4.78,4.94,4.94,"25,022,400"
