Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 10, 2023",426.57,461.55,416.49,459.77,459.77,"160,888,600"
"Jul 03, 2023",425.17,432.14,413.46,425.03,425.03,"118,066,200"
"Jun 26, 2023",424.61,427.64,401.0,423.02,423.02,"252,018,400"
"Jun 19, 2023",429.98,439.9,420.15,422.09,422.09,"177,681,600"
"Jun 12, 2023",392.0,437.21,386.18,426.92,426.92,"296,575,100"
"Jun 05, 2023",389.09,397.11,373.56,387.7,387.66,"214,181,300"
"May 29, 2023",405.95,419.38,378.22,393.27,393.23,"304,350,900"
"May 22, 2023",309.01,394.8,298.06,389.46,389.42,"370,798,000"
"May 15, 2023",285.08,318.28,281.52,312.64,312.61,"239,771,500"
"May 08, 2023",285.22,292.2,280.46,283.4,283.37,"162,537,400"
"May 01, 2023",278.4,290.58,272.4,286.8,286.77,"203,931,000"
"Apr 24, 2023",270.13,277.58,262.25,277.49,277.46,"179,299,400"
"Apr 17, 2023",265.65,281.1,264.33,271.19,271.16,"205,775,900"
"Apr 10, 2023",268.23,277.9,262.2,267.58,267.55,"190,519,100"
"Apr 03, 2023",275.09,280.0,263.95,270.37,270.34,"167,997,700"
"Mar 27, 2023",268.37,278.34,258.5,277.77,277.74,"190,927,300"
"Mar 20, 2023",256.15,275.89,251.3,267.79,267.76,"279,725,900"
"Mar 13, 2023",227.52,263.99,222.97,257.25,257.22,"285,308,600"
"Mar 06, 2023",238.91,244.54,227.26,229.65,229.59,"244,227,900"
"Feb 27, 2023",236.7,239.0,224.32,238.9,238.83,"217,079,100"
"Feb 20, 2023",210.0,238.88,204.21,232.86,232.8,"263,091,000"
"Feb 13, 2023",215.38,230.49,209.62,213.88,213.82,"244,888,200"
"Feb 06, 2023",208.06,230.2,207.86,212.65,212.59,"275,061,100"
"Jan 30, 2023",199.5,219.49,189.5,211.0,210.94,"264,074,700"
"Jan 23, 2023",180.64,206.28,178.18,203.65,203.59,"263,258,100"
"Jan 16, 2023",168.99,178.73,167.31,178.39,178.34,"196,862,500"
"Jan 09, 2023",152.84,169.22,151.41,168.99,168.94,"224,031,300"
"Jan 02, 2023",148.51,150.1,140.34,148.59,148.55,"162,681,300"
"Dec 26, 2022",150.74,151.0,138.84,146.14,146.1,"148,138,100"
"Dec 19, 2022",165.72,166.27,148.82,152.06,152.02,"199,669,500"
"Dec 12, 2022",170.37,187.9,164.1,165.71,165.66,"256,757,900"
"Dec 05, 2022",166.79,175.83,156.67,170.01,169.96,"205,813,100"
"Nov 28, 2022",160.26,172.65,155.2,168.76,168.67,"200,978,900"
"Nov 21, 2022",151.47,165.27,150.8,162.7,162.61,"147,278,000"
"Nov 14, 2022",162.18,169.98,151.2,154.09,154.01,"292,624,100"
"Nov 07, 2022",142.28,163.89,137.59,163.27,163.18,"281,607,300"
"Oct 31, 2022",137.78,142.29,129.56,141.56,141.49,"270,442,700"
"Oct 24, 2022",125.08,138.5,120.64,138.34,138.27,"266,004,500"
"Oct 17, 2022",115.18,127.69,115.17,124.66,124.59,"302,515,900"
"Oct 10, 2022",120.37,121.24,108.13,112.27,112.21,"342,230,600"
"Oct 03, 2022",123.47,136.56,120.22,120.76,120.7,"295,542,600"
"Sep 26, 2022",124.91,128.23,119.46,121.39,121.33,"274,201,200"
"Sep 19, 2022",130.12,140.31,122.57,125.16,125.09,"332,465,300"
"Sep 12, 2022",143.69,145.47,126.17,131.98,131.91,"298,199,800"
"Sep 05, 2022",137.31,144.74,133.46,143.87,143.75,"215,989,300"
"Aug 29, 2022",160.2,163.38,132.7,136.47,136.36,"352,204,500"
"Aug 22, 2022",174.9,179.47,162.37,162.6,162.47,"284,205,800"
"Aug 15, 2022",187.01,191.64,177.7,178.49,178.34,"221,274,000"
"Aug 08, 2022",175.02,187.18,167.24,187.09,186.94,"323,496,500"
"Aug 01, 2022",181.82,192.74,179.9,189.89,189.73,"217,986,200"
"Jul 25, 2022",170.19,182.44,164.78,181.63,181.48,"235,849,500"
"Jul 18, 2022",163.02,181.44,160.02,173.19,173.05,"322,714,100"
"Jul 11, 2022",155.26,157.82,144.65,157.62,157.49,"225,989,200"
"Jul 04, 2022",141.75,160.37,140.55,158.38,158.25,"214,133,800"
"Jun 27, 2022",173.12,173.3,143.92,145.23,145.11,"263,514,900"
"Jun 20, 2022",164.75,171.4,158.53,171.26,171.12,"185,605,700"
"Jun 13, 2022",160.0,168.68,153.28,158.8,158.67,"281,385,200"
"Jun 06, 2022",191.39,193.37,168.69,169.74,169.56,"203,539,400"
"May 30, 2022",189.8,196.19,181.22,187.2,187.01,"245,604,900"
"May 23, 2022",162.74,188.81,157.8,188.11,187.91,"374,452,500"
"May 16, 2022",175.09,183.71,157.55,166.94,166.77,"301,285,200"
"May 09, 2022",180.34,182.55,155.67,177.06,176.88,"345,526,100"
"May 02, 2022",185.41,204.0,179.9,186.75,186.56,"295,628,300"
"Apr 25, 2022",192.02,201.28,182.9,185.47,185.28,"286,493,100"
"Apr 18, 2022",212.0,226.7,195.0,195.15,194.95,"278,837,800"
"Apr 11, 2022",222.14,227.77,211.63,212.58,212.36,"232,350,500"
"Apr 04, 2022",267.28,275.58,230.62,231.19,230.95,"262,034,100"
"Mar 28, 2022",277.56,289.46,262.67,267.12,266.84,"241,864,000"
"Mar 21, 2022",265.07,283.58,255.75,276.92,276.63,"309,724,900"
"Mar 14, 2022",218.69,265.69,211.59,264.53,264.26,"275,143,200"
"Mar 07, 2022",228.17,232.2,206.5,221.0,220.77,"229,630,500"
"Feb 28, 2022",239.92,246.65,224.82,229.36,229.08,"207,552,700"
"Feb 21, 2022",230.35,242.17,208.9,241.57,241.28,"246,460,000"
"Feb 14, 2022",239.34,265.82,231.0,236.42,236.13,"344,481,900"
"Feb 07, 2022",243.72,269.25,237.73,239.49,239.2,"243,018,100"
"Jan 31, 2022",231.82,258.17,230.52,243.19,242.9,"239,203,100"
"Jan 24, 2022",223.3,240.57,208.88,228.4,228.12,"345,168,400"
"Jan 17, 2022",262.6,266.38,232.63,233.74,233.46,"206,672,400"
"Jan 10, 2022",265.81,285.95,256.44,269.42,269.09,"231,818,600"
"Jan 03, 2022",298.15,307.11,270.57,272.47,272.14,"228,089,000"
"Dec 27, 2021",296.6,313.3,293.31,294.11,293.75,"174,281,000"
"Dec 20, 2021",273.05,300.59,271.45,296.4,296.04,"172,443,800"
"Dec 13, 2021",302.49,311.6,272.5,278.01,277.67,"338,480,000"
"Dec 06, 2021",298.8,324.49,280.38,301.98,301.62,"270,487,400"
"Nov 29, 2021",323.66,334.12,301.3,306.93,306.52,"257,861,300"
"Nov 22, 2021",335.17,346.47,308.8,315.03,314.61,"200,472,900"
"Nov 15, 2021",305.52,330.88,288.0,329.85,329.41,"239,347,900"
"Nov 08, 2021",301.49,323.1,287.78,303.9,303.5,"253,127,900"
"Nov 01, 2021",256.49,314.0,252.27,297.52,297.12,"280,465,300"
"Oct 25, 2021",229.73,257.09,227.7,255.67,255.33,"148,883,000"
"Oct 18, 2021",217.49,231.3,216.44,227.26,226.96,"93,421,700"
"Oct 11, 2021",205.75,219.31,205.11,218.62,218.33,"97,675,700"
"Oct 04, 2021",205.04,213.22,195.55,208.31,208.03,"133,029,600"
"Sep 27, 2021",217.1,217.99,202.03,207.42,207.14,"126,866,500"
"Sep 20, 2021",211.46,225.35,206.62,220.81,220.52,"128,906,400"
"Sep 13, 2021",226.84,229.64,218.3,219.0,218.71,"111,432,900"
"Sep 06, 2021",228.33,228.99,219.77,224.78,224.48,"89,777,300"
"Aug 30, 2021",228.3,230.43,221.2,228.43,228.09,"119,256,300"
"Aug 23, 2021",209.71,227.22,209.5,226.36,226.02,"176,346,900"
"Aug 16, 2021",201.35,208.65,187.62,208.16,207.85,"214,367,000"
"Aug 09, 2021",204.46,205.08,194.3,201.88,201.58,"84,632,100"
"Aug 02, 2021",197.0,207.33,192.2,203.66,203.35,"114,049,600"
"Jul 26, 2021",193.11,198.53,187.41,194.99,194.7,"102,927,500"
"Jul 19, 2021",179.15,198.87,178.65,195.58,195.29,"207,426,200"
"Jul 12, 2021",202.4,205.33,180.73,181.61,181.34,"223,158,000"
"Jul 05, 2021",207.38,208.75,197.01,200.5,200.2,"166,506,000"
"Jun 28, 2021",193.61,205.05,193.19,204.87,204.56,"201,253,600"
"Jun 21, 2021",184.35,194.2,178.23,190.31,190.02,"218,417,200"
"Jun 14, 2021",179.06,193.75,175.85,186.39,186.11,"265,004,400"
"Jun 07, 2021",175.71,179.39,171.76,178.25,177.94,"198,534,000"
"May 31, 2021",162.7,176.61,159.03,175.78,175.48,"226,410,000"
"May 24, 2021",152.13,162.77,151.76,162.45,162.16,"258,667,600"
"May 17, 2021",141.57,152.22,135.43,149.92,149.66,"174,182,000"
"May 10, 2021",147.87,148.06,134.59,142.43,142.18,"140,191,600"
"May 03, 2021",151.25,152.47,140.1,148.12,147.87,"132,396,800"
"Apr 26, 2021",151.85,156.71,149.97,150.1,149.83,"94,689,200"
"Apr 19, 2021",155.37,158.07,147.84,152.65,152.39,"146,061,600"
"Apr 12, 2021",142.9,162.14,141.39,159.13,158.85,"286,472,400"
"Apr 05, 2021",138.68,144.71,137.12,144.0,143.75,"113,828,800"
"Mar 29, 2021",128.2,138.7,127.0,138.12,137.88,"109,677,600"
"Mar 22, 2021",129.13,133.95,122.72,128.39,128.17,"142,480,400"
"Mar 15, 2021",128.65,135.13,126.13,128.46,128.23,"133,108,400"
"Mar 08, 2021",124.5,130.46,115.67,128.56,128.29,"199,319,200"
"Mar 01, 2021",138.75,139.25,116.79,124.61,124.36,"211,107,600"
"Feb 22, 2021",147.75,151.33,132.16,137.15,136.86,"249,135,200"
"Feb 15, 2021",150.64,153.73,145.75,149.26,148.95,"110,230,800"
"Feb 08, 2021",137.27,152.91,137.27,149.61,149.3,"203,312,000"
"Feb 01, 2021",130.53,139.32,129.03,135.91,135.63,"105,354,400"
"Jan 25, 2021",137.82,138.29,127.94,129.9,129.63,"128,623,200"
"Jan 18, 2021",130.16,139.99,128.44,137.13,136.84,"106,936,000"
"Jan 11, 2021",134.19,139.61,128.49,128.6,128.33,"158,074,800"
"Jan 04, 2021",131.04,136.52,125.86,132.77,132.49,"221,783,200"
"Dec 28, 2020",129.9,132.14,128.97,130.55,130.28,"41,782,000"
