Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 05, 2023",421.35,431.77,420.85,423.17,423.17,"32,361,800"
"Jul 03, 2023",425.17,428.98,422.02,424.13,424.13,"19,820,900"
"Jun 30, 2023",416.80,425.50,415.01,423.02,423.02,"50,053,400"
"Jun 29, 2023",415.58,416.00,406.00,408.22,408.22,"38,051,400"
"Jun 28, 2023",406.60,418.45,405.18,411.17,411.17,"58,263,900"
"Jun 27, 2023",407.99,419.40,404.48,418.76,418.76,"46,217,500"
"Jun 26, 2023",424.61,427.64,401.00,406.32,406.32,"59,432,200"
"Jun 23, 2023",424.64,428.09,420.15,422.09,422.09,"35,632,300"
"Jun 22, 2023",422.53,434.26,422.34,430.25,430.25,"41,773,700"
"Jun 21, 2023",435.01,436.15,420.80,430.45,430.45,"55,160,300"
"Jun 20, 2023",429.98,439.90,426.74,438.08,438.08,"45,115,300"
"Jun 16, 2023",434.50,437.21,426.61,426.92,426.92,"65,475,500"
"Jun 15, 2023",426.02,432.89,421.47,426.53,426.53,"56,862,200"
"Jun 14, 2023",408.24,430.00,405.52,429.97,429.97,"74,046,500"
"Jun 13, 2023",401.86,411.01,397.40,410.22,410.22,"61,320,800"
"Jun 12, 2023",392.00,395.30,386.18,394.82,394.82,"38,870,100"
"Jun 09, 2023",390.37,397.11,385.67,387.70,387.70,"42,722,000"
"Jun 08, 2023",377.24,388.64,375.05,385.10,385.10,"41,777,200"
"Jun 07, 2023",389.15,394.99,373.56,374.75,374.75,"51,199,800"
"Jun 06, 2023",388.30,391.60,381.48,386.54,386.50,"38,872,900"
"Jun 05, 2023",389.09,395.65,387.07,391.71,391.67,"39,609,400"
"Jun 02, 2023",400.97,405.00,390.58,393.27,393.23,"48,165,500"
"Jun 01, 2023",384.89,400.50,383.40,397.70,397.66,"63,587,300"
"May 31, 2023",394.88,402.95,378.22,378.34,378.30,"100,258,000"
"May 30, 2023",405.95,419.38,399.49,401.11,401.07,"92,340,100"
"May 26, 2023",378.90,391.70,375.50,389.46,389.42,"71,439,700"
"May 25, 2023",385.23,394.80,366.35,379.80,379.76,"154,391,100"
"May 24, 2023",302.10,306.07,298.06,305.38,305.35,"72,141,900"
"May 23, 2023",310.00,312.88,306.31,306.88,306.85,"35,625,300"
"May 22, 2023",309.01,315.20,306.80,311.76,311.73,"37,200,000"
"May 19, 2023",315.36,315.80,309.16,312.64,312.61,"47,312,400"
"May 18, 2023",304.10,318.28,303.20,316.78,316.75,"74,872,500"
"May 17, 2023",295.84,301.99,294.30,301.78,301.75,"43,253,500"
"May 16, 2023",288.41,298.70,288.32,292.13,292.10,"44,940,500"
"May 15, 2023",285.08,289.69,281.52,289.53,289.50,"29,392,600"
"May 12, 2023",285.29,287.80,280.46,283.40,283.37,"27,402,700"
"May 11, 2023",288.96,289.50,282.46,285.78,285.75,"32,214,900"
"May 10, 2023",290.05,291.13,284.61,288.85,288.82,"36,935,000"
"May 09, 2023",288.99,289.73,284.50,285.71,285.68,"31,486,900"
"May 08, 2023",285.22,292.20,283.50,291.51,291.48,"34,497,900"
"May 05, 2023",278.26,287.55,277.31,286.80,286.77,"36,101,400"
"May 04, 2023",276.51,278.59,272.40,275.62,275.59,"32,185,000"
"May 03, 2023",278.40,283.67,274.72,278.02,277.99,"38,338,700"
"May 02, 2023",286.80,288.36,280.83,282.10,282.07,"40,273,000"
"May 01, 2023",278.40,290.58,277.80,289.10,289.07,"57,032,900"
"Apr 28, 2023",272.25,277.58,270.71,277.49,277.46,"29,168,700"
"Apr 27, 2023",273.63,274.95,266.25,272.26,272.23,"37,716,100"
"Apr 26, 2023",270.02,273.30,267.05,269.56,269.53,"40,633,700"
"Apr 25, 2023",270.78,272.47,262.25,262.41,262.38,"37,852,700"
"Apr 24, 2023",270.13,273.66,266.71,270.42,270.39,"33,928,200"
"Apr 21, 2023",269.52,271.83,267.22,271.19,271.16,"34,510,300"
"Apr 20, 2023",276.71,280.30,270.00,271.04,271.01,"42,771,300"
"Apr 19, 2023",273.61,280.00,272.32,279.31,279.28,"35,866,000"
"Apr 18, 2023",275.33,281.10,273.57,276.67,276.64,"60,481,200"
"Apr 17, 2023",265.65,270.06,264.33,270.02,269.99,"32,147,100"
"Apr 14, 2023",265.04,268.83,262.20,267.58,267.55,"39,566,000"
"Apr 13, 2023",267.34,268.87,263.29,264.63,264.60,"35,361,500"
"Apr 12, 2023",273.70,274.68,264.48,264.95,264.92,"44,625,900"
"Apr 11, 2023",277.24,277.90,271.26,271.69,271.66,"31,437,800"
"Apr 10, 2023",268.23,276.21,266.69,275.79,275.76,"39,527,900"
"Apr 06, 2023",265.84,270.80,264.27,270.37,270.34,"39,765,400"
"Apr 05, 2023",268.29,269.98,263.95,268.81,268.78,"51,501,500"
"Apr 04, 2023",279.66,280.00,273.07,274.53,274.50,"36,859,200"
"Apr 03, 2023",275.09,280.00,273.36,279.65,279.62,"39,871,600"
"Mar 31, 2023",271.40,278.34,271.05,277.77,277.74,"43,393,300"
"Mar 30, 2023",272.29,274.99,271.02,273.83,273.80,"36,451,600"
"Mar 29, 2023",268.25,270.78,265.97,269.84,269.81,"39,369,400"
"Mar 28, 2023",264.47,265.13,258.50,264.10,264.07,"35,610,400"
"Mar 27, 2023",268.37,270.00,263.65,265.31,265.28,"36,102,600"
"Mar 24, 2023",270.31,271.67,263.55,267.79,267.76,"45,492,000"
"Mar 23, 2023",271.15,274.99,266.90,271.91,271.88,"56,488,900"
"Mar 22, 2023",264.25,275.89,262.37,264.68,264.65,"79,729,500"
"Mar 21, 2023",261.80,263.92,253.81,261.99,261.96,"54,740,800"
"Mar 20, 2023",256.15,260.24,251.30,259.00,258.97,"43,274,700"
"Mar 17, 2023",259.82,263.99,256.68,257.25,257.22,"84,854,700"
"Mar 16, 2023",240.27,255.88,238.94,255.41,255.38,"58,325,300"
"Mar 15, 2023",237.61,242.86,233.60,242.28,242.25,"52,448,600"
"Mar 14, 2023",234.96,242.19,234.60,240.63,240.61,"47,491,000"
"Mar 13, 2023",227.52,232.98,222.97,229.66,229.64,"42,189,000"
"Mar 10, 2023",234.09,236.27,227.26,229.65,229.63,"47,486,600"
"Mar 09, 2023",241.75,244.54,233.83,234.36,234.34,"50,125,700"
"Mar 08, 2023",234.87,242.00,234.24,241.81,241.78,"51,357,300"
"Mar 07, 2023",236.00,241.25,232.41,232.88,232.86,"51,515,400"
"Mar 06, 2023",238.91,242.48,234.87,235.54,235.48,"43,742,900"
"Mar 03, 2023",233.20,239.00,231.30,238.90,238.83,"41,239,300"
"Mar 02, 2023",224.88,233.80,224.32,233.14,233.08,"38,941,500"
"Mar 01, 2023",231.92,232.56,225.08,226.98,226.92,"46,002,600"
"Feb 28, 2023",233.72,238.25,232.06,232.16,232.10,"45,596,300"
"Feb 27, 2023",236.70,238.80,234.54,235.01,234.95,"45,299,400"
"Feb 24, 2023",232.25,234.74,229.47,232.86,232.80,"58,971,600"
"Feb 23, 2023",234.40,238.88,230.25,236.64,236.58,"111,799,500"
