Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",4.4250,4.8900,4.3800,4.8400,4.8400,"24,908,100"
"Jul 27, 2023",4.6300,4.7550,4.2100,4.2500,4.2500,"31,484,900"
"Jul 26, 2023",4.2900,4.4800,4.2600,4.4300,4.4300,"12,352,400"
"Jul 25, 2023",4.4200,4.6100,4.2950,4.3500,4.3500,"16,564,200"
"Jul 24, 2023",4.1400,4.4200,4.0300,4.3900,4.3900,"17,710,800"
"Jul 21, 2023",4.0800,4.1950,3.9450,4.1250,4.1250,"11,546,100"
"Jul 20, 2023",4.1100,4.1900,3.8700,4.0300,4.0300,"17,737,700"
"Jul 19, 2023",4.4200,4.5200,4.1400,4.2100,4.2100,"22,601,900"
"Jul 18, 2023",4.3600,4.6550,4.3350,4.3900,4.3900,"18,772,500"
"Jul 17, 2023",4.4900,4.5000,4.2700,4.3150,4.3150,"16,672,500"
"Jul 14, 2023",4.8500,4.9100,4.3400,4.4400,4.4400,"28,617,100"
"Jul 13, 2023",4.8500,5.1400,4.6850,4.8300,4.8300,"33,798,100"
"Jul 12, 2023",4.7300,4.9590,4.4600,4.8900,4.8900,"36,708,400"
"Jul 11, 2023",4.1650,4.4700,4.0600,4.4500,4.4500,"25,538,600"
"Jul 10, 2023",3.8400,4.1400,3.7190,4.0800,4.0800,"20,164,800"
"Jul 07, 2023",3.8800,4.0190,3.8120,3.8400,3.8400,"20,545,000"
"Jul 06, 2023",3.9000,3.9000,3.7000,3.8500,3.8500,"21,960,100"
"Jul 05, 2023",4.2800,4.2900,3.9500,4.0700,4.0700,"27,422,200"
"Jul 03, 2023",4.0700,4.4300,4.0400,4.2800,4.2800,"20,230,000"
"Jun 30, 2023",4.22,4.255,3.92,4.02,4.02,"25,563,200"
"Jun 29, 2023",4.16,4.33,3.95,4.08,4.08,"38,306,500"
"Jun 28, 2023",3.42,4.06,3.396,3.98,3.98,"48,904,900"
"Jun 27, 2023",2.96,3.42,2.91,3.4,3.4,"32,373,600"
"Jun 26, 2023",2.9,3.07,2.87,2.945,2.945,"15,585,900"
"Jun 23, 2023",3.17,3.19,2.84,2.93,2.93,"86,148,000"
"Jun 22, 2023",3.0,3.25,2.96,3.17,3.17,"21,608,500"
"Jun 21, 2023",3.14,3.19,2.84,3.12,3.12,"28,911,400"
"Jun 20, 2023",3.039,3.47,3.0,3.07,3.07,"37,488,200"
"Jun 16, 2023",2.99,3.13,2.889,3.01,3.01,"30,054,300"
"Jun 15, 2023",2.83,3.01,2.75,2.98,2.98,"22,075,300"
"Jun 14, 2023",3.06,3.12,2.76,2.94,2.94,"37,832,900"
"Jun 13, 2023",2.75,3.08,2.72,2.93,2.93,"37,476,200"
"Jun 12, 2023",2.43,2.64,2.39,2.62,2.62,"18,645,400"
"Jun 09, 2023",2.5,2.65,2.39,2.4,2.4,"18,281,200"
"Jun 08, 2023",2.36,2.52,2.25,2.49,2.49,"20,615,800"
"Jun 07, 2023",2.5,2.52,2.33,2.33,2.33,"18,131,900"
"Jun 06, 2023",2.33,2.51,2.221,2.46,2.46,"18,069,100"
"Jun 05, 2023",2.45,2.46,2.3,2.37,2.37,"17,491,500"
"Jun 02, 2023",2.79,2.83,2.43,2.48,2.48,"27,729,100"
"Jun 01, 2023",2.52,2.745,2.42,2.7,2.7,"24,655,800"
"May 31, 2023",2.43,2.67,2.43,2.64,2.64,"31,953,400"
"May 30, 2023",2.4,2.495,2.29,2.46,2.46,"29,668,400"
"May 26, 2023",2.3,2.44,2.29,2.36,2.36,"13,326,200"
"May 25, 2023",2.69,2.69,2.26,2.32,2.32,"22,971,600"
"May 24, 2023",2.37,2.58,2.34,2.52,2.52,"17,799,900"
"May 23, 2023",2.5,2.779,2.41,2.42,2.42,"25,316,800"
"May 22, 2023",2.42,2.62,2.375,2.54,2.54,"23,682,200"
"May 19, 2023",2.43,2.525,2.34,2.41,2.41,"20,857,300"
"May 18, 2023",2.47,2.49,2.332,2.42,2.42,"22,741,100"
"May 17, 2023",2.07,2.4,2.045,2.36,2.36,"27,330,200"
"May 16, 2023",2.08,2.115,1.98,2.03,2.03,"16,925,100"
"May 15, 2023",1.96,2.1,1.85,2.08,2.08,"20,213,400"
"May 12, 2023",2.16,2.19,1.92,1.95,1.95,"18,025,800"
"May 11, 2023",2.09,2.31,2.09,2.1,2.1,"25,188,600"
"May 10, 2023",2.31,2.66,2.06,2.1,2.1,"57,394,300"
"May 09, 2023",2.03,2.27,1.95,2.15,2.15,"28,860,600"
"May 08, 2023",1.83,2.155,1.81,2.05,2.05,"45,542,700"
"May 05, 2023",1.48,1.8,1.47,1.79,1.79,"38,762,100"
"May 04, 2023",1.35,1.37,1.26,1.35,1.35,"13,265,000"
"May 03, 2023",1.38,1.43,1.31,1.34,1.34,"11,092,400"
"May 02, 2023",1.46,1.465,1.31,1.36,1.36,"15,472,900"
"May 01, 2023",1.385,1.49,1.36,1.46,1.46,"23,643,800"
