Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",116.68,117.30,115.65,115.99,115.99,"6,910,400"
"Jul 27, 2023",117.55,117.60,115.64,116.40,116.40,"7,843,000"
"Jul 26, 2023",117.42,117.62,115.00,115.50,115.50,"8,160,000"
"Jul 25, 2023",117.98,118.51,116.81,117.95,117.95,"6,266,300"
"Jul 24, 2023",117.94,118.54,116.73,118.07,118.07,"6,200,400"
"Jul 21, 2023",116.49,119.27,116.21,117.65,117.65,"9,157,300"
"Jul 20, 2023",117.49,119.05,115.23,115.88,115.88,"12,913,000"
"Jul 19, 2023",120.82,121.36,118.42,118.69,118.69,"7,609,000"
"Jul 18, 2023",118.78,121.29,117.81,120.77,120.77,"8,906,700"
"Jul 17, 2023",118.85,119.97,118.25,118.89,118.89,"6,735,900"
"Jul 14, 2023",118.18,119.97,117.68,119.27,119.27,"7,720,900"
"Jul 13, 2023",117.09,118.58,116.76,117.45,117.45,"9,359,600"
"Jul 12, 2023",115.67,118.09,115.64,116.02,116.02,"11,011,600"
"Jul 11, 2023",114.20,115.00,113.43,114.88,114.88,"6,118,600"
"Jul 10, 2023",114.28,115.03,113.66,114.38,113.98,"6,931,000"
"Jul 07, 2023",114.84,115.98,114.49,114.61,114.21,"7,000,800"
"Jul 06, 2023",114.67,115.81,114.64,115.45,115.05,"7,982,800"
"Jul 05, 2023",116.52,117.01,115.41,115.96,115.55,"8,466,500"
"Jul 03, 2023",118.01,118.25,116.83,117.15,116.74,"4,284,700"
"Jun 30, 2023",119.84,121.73,119.03,119.09,118.67,"13,700,600"
"Jun 29, 2023",115.65,117.8,114.63,117.78,117.37,"9,234,300"
"Jun 28, 2023",116.78,118.62,116.39,116.53,116.12,"9,240,500"
"Jun 27, 2023",116.57,118.46,116.26,117.84,117.43,"6,970,400"
"Jun 26, 2023",117.99,119.43,116.7,116.78,116.37,"8,987,000"
"Jun 23, 2023",119.59,119.9,118.14,118.64,118.23,"19,731,600"
"Jun 22, 2023",121.61,122.59,120.07,120.58,120.16,"12,203,400"
"Jun 21, 2023",121.95,123.36,120.36,122.1,121.67,"17,583,000"
"Jun 20, 2023",124.45,125.25,121.96,122.04,121.61,"16,273,000"
"Jun 16, 2023",127.14,127.4,125.15,125.46,125.02,"19,511,500"
"Jun 15, 2023",121.95,127.54,121.66,126.55,126.11,"27,476,700"
"Jun 14, 2023",116.5,122.51,115.74,122.27,121.84,"26,264,200"
"Jun 13, 2023",123.32,123.99,116.02,116.68,116.27,"39,190,900"
"Jun 12, 2023",114.34,117.51,114.34,116.43,116.02,"39,081,500"
"Jun 09, 2023",107.7,110.15,107.41,109.85,109.47,"12,580,100"
"Jun 08, 2023",105.67,107.79,105.35,107.48,107.1,"9,526,700"
"Jun 07, 2023",107.14,108.37,104.84,105.25,104.88,"9,842,500"
"Jun 06, 2023",106.81,107.49,106.15,107.1,106.73,"7,023,000"
"Jun 05, 2023",105.89,107.6,105.53,106.93,106.56,"7,442,000"
"Jun 02, 2023",106.52,106.77,105.75,105.89,105.52,"8,651,600"
"Jun 01, 2023",104.88,106.61,104.78,105.99,105.62,"7,835,900"
"May 31, 2023",104.47,106.49,104.15,105.94,105.57,"13,713,500"
"May 30, 2023",104.9,105.98,104.19,105.15,104.78,"10,296,700"
"May 26, 2023",104.35,106.23,104.03,104.08,103.72,"13,994,100"
"May 25, 2023",99.2,104.66,98.77,104.29,103.93,"16,729,600"
"May 24, 2023",97.95,98.88,97.29,98.32,97.98,"6,815,900"
"May 23, 2023",101.07,101.43,98.47,98.54,98.2,"10,047,300"
"May 22, 2023",102.48,103.1,101.73,101.77,101.41,"5,890,500"
"May 19, 2023",102.39,103.07,101.92,102.84,102.48,"8,558,900"
"May 18, 2023",99.77,102.46,99.73,102.34,101.98,"10,005,700"
"May 17, 2023",98.78,100.4,98.43,99.77,99.42,"9,436,000"
"May 16, 2023",97.17,98.85,96.92,98.25,97.91,"6,896,500"
"May 15, 2023",97.87,97.96,97.05,97.26,96.92,"4,443,700"
"May 12, 2023",97.61,97.92,96.93,97.85,97.51,"4,994,700"
"May 11, 2023",97.54,97.63,96.34,97.44,97.1,"5,144,500"
"May 10, 2023",96.79,97.68,96.26,97.52,97.18,"5,935,300"
"May 09, 2023",96.2,96.89,96.1,96.14,95.8,"6,333,500"
"May 08, 2023",97.08,97.28,96.44,96.79,96.45,"5,314,800"
"May 05, 2023",95.0,97.31,94.83,96.97,96.63,"8,062,700"
"May 04, 2023",94.98,95.12,94.41,94.97,94.64,"5,038,200"
"May 03, 2023",95.07,95.42,94.54,94.78,94.45,"6,744,800"
"May 02, 2023",94.93,95.24,93.85,94.8,94.47,"5,995,100"
"May 01, 2023",94.8,95.73,94.7,94.87,94.54,"5,459,800"
"Apr 28, 2023",94.27,95.4,94.24,94.72,94.39,"8,498,500"
"Apr 27, 2023",94.31,95.09,93.29,95.04,94.71,"5,615,700"
"Apr 26, 2023",93.75,94.81,93.34,93.71,93.38,"6,395,500"
"Apr 25, 2023",95.14,95.7,94.02,94.06,93.73,"5,768,800"
"Apr 24, 2023",95.34,96.08,94.97,95.44,95.11,"4,901,700"
"Apr 21, 2023",95.01,95.31,94.26,95.15,94.82,"7,335,800"
"Apr 20, 2023",96.0,96.15,94.6,94.83,94.5,"5,815,500"
"Apr 19, 2023",95.59,96.47,95.59,95.81,95.47,"4,766,200"
"Apr 18, 2023",96.0,96.74,95.77,96.47,96.13,"7,219,400"
"Apr 17, 2023",95.64,95.99,95.31,95.59,95.26,"4,772,400"
"Apr 14, 2023",95.5,95.99,94.68,95.71,95.38,"6,485,100"
"Apr 13, 2023",94.18,95.75,93.94,95.55,95.22,"6,240,200"
"Apr 12, 2023",94.38,95.32,93.6,93.9,93.57,"8,040,300"
"Apr 11, 2023",93.46,94.13,93.2,93.97,93.64,"8,196,000"
"Apr 10, 2023",94.68,95.11,93.55,93.76,93.43,"8,681,500"
"Apr 06, 2023",94.33,96.08,93.99,95.92,95.19,"9,146,200"
"Apr 05, 2023",93.62,95.11,93.48,94.89,94.16,"7,478,800"
"Apr 04, 2023",93.85,94.02,92.93,94.0,93.28,"6,651,500"
"Apr 03, 2023",92.38,94.0,92.09,93.92,93.2,"8,410,900"
"Mar 31, 2023",90.56,93.0,90.41,92.92,92.21,"10,476,300"
"Mar 30, 2023",90.85,91.18,89.71,90.51,89.82,"5,640,700"
"Mar 29, 2023",90.13,90.66,89.81,90.62,89.93,"5,233,600"
"Mar 28, 2023",90.22,90.88,89.48,89.85,89.16,"6,378,900"
"Mar 27, 2023",88.62,90.5,88.55,90.14,89.45,"8,170,100"
"Mar 24, 2023",87.98,88.48,87.51,88.01,87.34,"5,852,100"
"Mar 23, 2023",88.65,89.64,87.64,87.78,87.11,"10,747,100"
"Mar 22, 2023",87.54,89.16,87.44,87.9,87.23,"7,233,700"
"Mar 21, 2023",87.49,87.85,86.66,87.58,86.91,"6,683,700"
"Mar 20, 2023",85.28,87.51,85.25,86.96,86.29,"9,177,300"
"Mar 17, 2023",85.0,85.98,84.61,85.26,84.61,"13,065,800"
"Mar 16, 2023",82.92,85.11,82.08,84.82,84.17,"10,148,100"
"Mar 15, 2023",83.08,83.37,82.12,82.98,82.34,"11,463,000"
"Mar 14, 2023",85.93,85.93,83.43,84.56,83.91,"8,732,200"
"Mar 13, 2023",83.32,85.53,82.04,84.93,84.28,"10,299,800"
"Mar 10, 2023",84.41,85.25,82.88,84.07,83.43,"16,029,300"
"Mar 09, 2023",88.33,89.64,86.53,86.87,86.21,"10,572,300"
"Mar 08, 2023",88.4,89.09,88.15,88.49,87.81,"5,159,200"
"Mar 07, 2023",89.58,90.08,88.05,88.36,87.68,"5,382,400"
"Mar 06, 2023",89.41,90.67,89.15,89.74,89.05,"7,424,800"
"Mar 03, 2023",87.32,89.29,87.08,89.25,88.57,"5,498,500"
"Mar 02, 2023",86.06,87.28,85.87,86.97,86.3,"5,293,600"
"Mar 01, 2023",86.9,87.21,85.99,86.34,85.68,"5,119,800"
"Feb 28, 2023",87.7,88.01,87.18,87.4,86.73,"7,468,000"
"Feb 27, 2023",88.86,88.97,87.36,87.96,87.29,"6,748,800"
"Feb 24, 2023",87.31,88.89,87.14,88.66,87.98,"7,659,200"
"Feb 23, 2023",87.15,89.48,87.06,88.58,87.9,"8,637,100"
"Feb 22, 2023",86.68,87.18,85.98,86.32,85.66,"5,840,100"
"Feb 21, 2023",86.76,86.94,86.15,86.2,85.54,"5,260,300"
"Feb 17, 2023",87.2,87.43,86.51,87.28,86.61,"6,398,400"
"Feb 16, 2023",87.46,88.27,87.01,87.72,87.05,"5,942,500"
"Feb 15, 2023",88.85,89.21,88.03,88.34,87.66,"4,329,900"
"Feb 14, 2023",89.0,89.41,87.71,89.09,88.41,"7,484,800"
