Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",35.95,36.20,33.51,34.99,34.99,"3,739,900"
"Jul 27, 2023",34.30,39.00,33.80,35.02,35.02,"9,309,100"
"Jul 26, 2023",30.60,31.34,30.33,31.09,31.09,"1,712,900"
"Jul 25, 2023",30.87,31.51,30.71,30.77,30.77,"1,158,500"
"Jul 24, 2023",32.05,32.52,30.62,30.92,30.92,"1,586,500"
"Jul 21, 2023",31.92,32.83,31.66,32.04,32.04,"1,595,300"
"Jul 20, 2023",32.00,32.91,31.35,31.74,31.74,"2,259,400"
"Jul 19, 2023",32.76,33.37,31.51,31.94,31.94,"1,664,600"
"Jul 18, 2023",32.40,33.58,31.96,32.23,32.23,"1,526,200"
"Jul 17, 2023",31.35,33.20,30.72,32.36,32.36,"2,090,100"
"Jul 14, 2023",32.31,32.31,30.56,31.28,31.28,"1,912,500"
"Jul 13, 2023",31.09,32.17,30.87,31.81,31.81,"1,911,800"
"Jul 12, 2023",31.34,31.55,30.29,30.78,30.78,"1,959,500"
"Jul 11, 2023",29.93,30.95,29.30,30.72,30.72,"1,953,100"
"Jul 10, 2023",29.11,30.43,29.04,29.58,29.58,"1,972,200"
"Jul 07, 2023",27.57,29.96,27.51,29.37,29.37,"3,150,100"
"Jul 06, 2023",30.55,30.88,27.31,27.79,27.79,"4,874,900"
"Jul 05, 2023",32.14,32.80,31.13,31.15,31.15,"2,798,100"
"Jul 03, 2023",32.75,32.84,31.60,32.06,32.06,"2,299,700"
"Jun 30, 2023",31.92,32.77,30.15,32.57,32.57,"7,467,600"
"Jun 29, 2023",27.71,31.77,27.7,30.57,30.57,"15,445,200"
"Jun 28, 2023",24.99,26.44,24.62,25.54,25.54,"3,833,500"
"Jun 27, 2023",23.21,24.78,22.85,24.07,24.07,"2,511,000"
"Jun 26, 2023",24.14,24.14,22.39,23.06,23.06,"2,394,900"
"Jun 23, 2023",24.52,24.59,23.51,23.91,23.91,"4,416,800"
"Jun 22, 2023",22.44,26.01,22.04,24.84,24.84,"11,375,100"
"Jun 21, 2023",20.73,21.52,20.38,21.18,21.18,"1,391,900"
"Jun 20, 2023",21.84,21.89,20.47,20.62,20.62,"1,444,100"
"Jun 16, 2023",22.75,22.85,21.64,21.93,21.93,"1,613,100"
"Jun 15, 2023",22.31,22.75,22.02,22.1,22.1,"1,698,000"
"Jun 14, 2023",21.0,22.86,20.82,22.35,22.35,"2,895,400"
"Jun 13, 2023",20.52,21.7,20.27,20.96,20.96,"1,984,500"
"Jun 12, 2023",20.75,20.79,20.12,20.22,20.22,"900,500"
"Jun 09, 2023",21.87,22.21,20.69,20.74,20.74,"1,064,900"
"Jun 08, 2023",21.5,21.88,21.16,21.84,21.84,"838,100"
"Jun 07, 2023",22.02,22.45,21.45,21.5,21.5,"1,264,400"
"Jun 06, 2023",19.38,22.03,19.38,21.54,21.54,"2,512,000"
"Jun 05, 2023",19.56,19.9,19.29,19.3,19.3,"703,300"
"Jun 02, 2023",19.11,19.75,19.07,19.68,19.68,"1,182,100"
"Jun 01, 2023",18.79,19.22,18.04,18.81,18.81,"1,287,000"
"May 31, 2023",18.72,18.88,18.22,18.73,18.73,"833,500"
"May 30, 2023",18.41,19.0,18.15,18.96,18.96,"1,201,100"
"May 26, 2023",17.7,18.31,17.57,18.08,18.08,"932,400"
"May 25, 2023",17.98,18.08,17.5,17.71,17.71,"1,091,900"
"May 24, 2023",17.5,18.17,17.18,17.92,17.92,"1,093,900"
"May 23, 2023",17.7,18.44,17.52,17.6,17.6,"1,319,800"
"May 22, 2023",17.99,18.11,17.72,17.79,17.79,"939,600"
"May 19, 2023",18.71,18.71,17.85,18.0,18.0,"1,065,000"
