Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",62.10,62.18,61.30,62.08,62.08,"6,211,300"
"Jul 27, 2023",63.35,63.40,61.57,61.85,61.85,"7,804,900"
"Jul 26, 2023",62.61,63.16,62.45,62.85,62.85,"6,861,000"
"Jul 25, 2023",62.35,63.97,61.99,63.41,63.41,"10,371,700"
"Jul 24, 2023",61.21,63.04,61.06,62.32,62.32,"11,878,000"
"Jul 21, 2023",60.59,60.95,60.20,60.74,60.74,"6,484,000"
"Jul 20, 2023",60.60,60.90,60.14,60.46,60.46,"5,714,600"
"Jul 19, 2023",60.30,60.74,59.95,60.16,60.16,"7,568,300"
"Jul 18, 2023",59.10,60.88,59.10,60.08,60.08,"10,918,100"
"Jul 17, 2023",59.10,59.52,58.97,59.29,59.29,"6,601,200"
"Jul 14, 2023",61.10,61.19,59.24,59.38,59.38,"9,835,600"
"Jul 13, 2023",61.54,61.91,61.05,61.44,61.44,"9,794,200"
"Jul 12, 2023",61.18,61.88,61.04,61.32,61.32,"11,581,700"
"Jul 11, 2023",58.93,60.84,58.84,60.55,60.55,"14,636,200"
"Jul 10, 2023",58.52,59.14,58.30,58.70,58.70,"8,200,100"
"Jul 07, 2023",57.48,59.22,57.41,58.61,58.61,"11,250,300"
"Jul 06, 2023",58.27,58.79,57.17,57.61,57.61,"9,765,000"
"Jul 05, 2023",59.50,59.58,58.65,58.89,58.89,"8,018,800"
"Jul 03, 2023",58.95,59.46,58.66,59.21,59.21,"4,541,200"
"Jun 30, 2023",59.0,59.45,58.71,58.8,58.8,"11,623,800"
"Jun 29, 2023",58.2,58.53,57.67,58.52,58.52,"10,982,600"
"Jun 28, 2023",57.23,57.9,56.77,57.46,57.46,"8,867,400"
"Jun 27, 2023",57.25,57.66,56.9,57.13,57.13,"9,013,500"
"Jun 26, 2023",56.15,57.55,56.1,57.25,57.25,"11,174,900"
"Jun 23, 2023",56.02,56.3,55.89,56.07,56.07,"21,362,900"
"Jun 22, 2023",56.93,57.12,56.51,56.52,56.52,"10,322,000"
"Jun 21, 2023",57.03,57.84,56.98,57.47,57.47,"9,013,200"
"Jun 20, 2023",58.15,58.15,56.87,57.23,57.23,"12,586,100"
"Jun 16, 2023",58.7,58.8,57.97,58.15,58.15,"13,723,600"
"Jun 15, 2023",58.49,59.02,58.33,58.42,58.42,"10,699,700"
"Jun 14, 2023",59.35,59.74,58.07,58.47,58.47,"11,289,200"
"Jun 13, 2023",59.59,60.11,58.76,58.77,58.77,"11,501,300"
"Jun 12, 2023",58.66,59.41,58.58,59.19,59.19,"8,312,500"
"Jun 09, 2023",59.74,60.07,59.1,59.32,59.32,"7,396,200"
"Jun 08, 2023",59.84,60.14,58.52,59.71,59.71,"11,009,100"
"Jun 07, 2023",59.73,60.7,59.69,60.04,59.86,"9,055,600"
"Jun 06, 2023",58.67,59.59,58.49,59.44,59.26,"8,616,500"
"Jun 05, 2023",60.79,60.79,59.39,59.4,59.22,"8,796,500"
"Jun 02, 2023",59.02,59.99,58.71,59.69,59.51,"14,455,000"
"Jun 01, 2023",57.69,59.05,57.53,58.12,57.95,"10,189,800"
"May 31, 2023",58.35,58.51,57.52,57.66,57.49,"15,280,300"
"May 30, 2023",58.11,58.8,57.9,58.59,58.41,"12,529,400"
"May 26, 2023",59.12,59.23,58.56,58.94,58.76,"9,946,000"
"May 25, 2023",58.61,59.1,58.27,58.81,58.63,"10,362,900"
"May 24, 2023",60.17,60.35,59.12,59.39,59.21,"10,665,800"
"May 23, 2023",59.65,60.31,59.25,59.68,59.5,"9,639,200"
"May 22, 2023",59.1,59.53,58.71,59.04,58.86,"9,445,200"
"May 19, 2023",59.06,60.23,58.97,59.13,58.95,"16,006,400"
"May 18, 2023",58.82,58.85,57.77,58.25,58.08,"11,296,800"
"May 17, 2023",58.7,59.17,58.18,58.92,58.74,"9,549,100"
"May 16, 2023",58.77,58.87,58.01,58.14,57.97,"10,516,000"
"May 15, 2023",58.4,58.88,58.16,58.52,58.34,"9,155,600"
"May 12, 2023",58.08,58.39,57.74,58.09,57.92,"9,461,900"
"May 11, 2023",56.4,58.0,56.31,57.93,57.76,"14,178,100"
"May 10, 2023",58.27,58.89,56.47,56.85,56.68,"21,378,600"
"May 09, 2023",58.65,59.65,58.58,58.96,58.78,"13,373,200"
"May 08, 2023",60.62,61.15,58.93,58.96,58.78,"17,632,100"
"May 05, 2023",60.12,61.08,59.75,60.69,60.51,"11,258,900"
"May 04, 2023",59.04,59.84,58.28,58.7,58.52,"11,202,000"
"May 03, 2023",59.25,60.1,58.94,58.97,58.79,"11,639,200"
"May 02, 2023",60.55,60.55,59.08,60.04,59.86,"12,442,900"
"May 01, 2023",60.98,61.88,60.76,61.17,60.99,"7,337,700"
"Apr 28, 2023",60.7,62.17,60.35,61.53,61.35,"9,716,500"
"Apr 27, 2023",60.3,60.82,59.97,60.58,60.4,"8,172,100"
"Apr 26, 2023",61.32,61.34,59.92,60.26,60.08,"8,470,900"
"Apr 25, 2023",61.87,62.02,60.62,61.33,61.15,"9,709,700"
"Apr 24, 2023",61.87,63.07,61.77,62.76,62.57,"7,560,200"
"Apr 21, 2023",62.15,62.43,61.44,61.87,61.68,"7,825,200"
"Apr 20, 2023",61.55,62.27,61.5,62.03,61.84,"7,769,000"
"Apr 19, 2023",62.0,62.6,61.39,62.47,62.28,"7,742,200"
"Apr 18, 2023",62.78,63.16,62.25,63.0,62.81,"7,936,600"
"Apr 17, 2023",64.38,64.41,62.85,62.94,62.75,"8,514,700"
"Apr 14, 2023",64.74,64.99,64.04,64.48,64.29,"6,763,400"
"Apr 13, 2023",64.75,65.18,64.52,64.77,64.58,"7,697,000"
"Apr 12, 2023",64.8,65.21,64.25,64.84,64.65,"9,185,400"
"Apr 11, 2023",64.39,64.89,63.91,64.37,64.18,"8,979,000"
"Apr 10, 2023",63.2,64.47,63.17,64.09,63.9,"11,531,400"
"Apr 06, 2023",64.05,64.14,62.97,63.04,62.85,"10,480,900"
"Apr 05, 2023",64.37,65.18,63.59,64.57,64.38,"12,056,100"
"Apr 04, 2023",65.83,65.88,63.91,64.83,64.64,"16,176,400"
"Apr 03, 2023",65.74,66.47,64.69,65.18,64.98,"24,486,500"
