Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",9.35,9.48,9.11,9.45,9.45,"8,256,300"
"Jul 27, 2023",9.70,9.89,9.21,9.26,9.26,"12,401,200"
"Jul 26, 2023",9.79,10.10,9.25,9.76,9.76,"36,065,000"
"Jul 25, 2023",10.66,11.21,7.50,7.69,7.69,"61,660,500"
"Jul 24, 2023",9.70,10.63,9.68,10.54,10.54,"14,149,600"
"Jul 21, 2023",10.20,10.23,9.53,9.71,9.71,"9,611,100"
"Jul 20, 2023",10.06,10.49,9.66,9.95,9.95,"17,892,200"
"Jul 19, 2023",8.89,10.04,8.78,9.95,9.95,"19,590,300"
"Jul 18, 2023",8.24,9.20,8.18,8.94,8.94,"15,453,500"
"Jul 17, 2023",8.13,8.26,7.96,8.24,8.24,"5,922,600"
"Jul 14, 2023",8.66,8.66,7.91,8.14,8.14,"10,916,200"
"Jul 13, 2023",8.34,8.50,8.19,8.46,8.46,"5,676,100"
"Jul 12, 2023",8.55,8.71,8.21,8.28,8.28,"7,922,400"
"Jul 11, 2023",8.05,8.49,7.92,8.18,8.18,"8,006,900"
"Jul 10, 2023",8.05,8.29,7.90,7.97,7.97,"6,204,900"
"Jul 07, 2023",8.03,8.37,8.00,8.05,8.05,"7,435,100"
"Jul 06, 2023",8.18,8.22,7.66,7.98,7.98,"12,429,100"
"Jul 05, 2023",8.33,8.47,8.17,8.42,8.42,"5,766,000"
"Jul 03, 2023",8.19,8.49,8.19,8.43,8.43,"4,926,000"
"Jun 30, 2023",8.56,8.61,8.15,8.15,8.15,"7,669,900"
"Jun 29, 2023",8.4,8.66,8.3,8.43,8.43,"10,437,300"
"Jun 28, 2023",7.9,8.16,7.76,8.16,8.16,"7,799,600"
"Jun 27, 2023",7.53,8.05,7.33,7.93,7.93,"10,916,800"
"Jun 26, 2023",7.66,8.05,7.49,7.52,7.52,"15,879,600"
"Jun 23, 2023",6.95,7.29,6.88,7.23,7.23,"22,314,100"
