Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",15.35,15.48,15.21,15.33,15.33,"7,631,700"
"Jul 27, 2023",15.65,15.68,14.98,15.04,15.04,"10,479,500"
"Jul 26, 2023",15.15,15.49,15.14,15.49,15.49,"7,211,300"
"Jul 25, 2023",15.50,15.58,15.10,15.10,15.10,"9,463,900"
"Jul 24, 2023",15.57,15.75,15.37,15.48,15.48,"8,893,300"
"Jul 21, 2023",15.94,16.00,15.40,15.52,15.52,"12,107,000"
"Jul 20, 2023",15.84,16.11,15.69,15.90,15.90,"7,502,300"
"Jul 19, 2023",15.56,16.50,15.56,16.04,16.04,"12,852,000"
"Jul 18, 2023",15.33,15.95,15.21,15.52,15.52,"12,674,700"
"Jul 17, 2023",15.70,15.72,15.19,15.36,15.36,"18,671,400"
"Jul 14, 2023",16.72,16.77,15.86,15.96,15.96,"15,894,700"
"Jul 13, 2023",16.62,16.95,16.36,16.82,16.82,"11,985,900"
"Jul 12, 2023",17.08,17.19,16.51,16.54,16.54,"13,612,500"
"Jul 11, 2023",16.32,17.02,16.28,16.83,16.83,"9,404,800"
"Jul 10, 2023",16.25,16.65,16.14,16.24,16.24,"11,417,800"
"Jul 07, 2023",16.02,16.70,15.80,16.29,16.29,"12,988,600"
"Jul 06, 2023",15.86,16.51,15.81,16.47,16.47,"9,911,500"
"Jul 05, 2023",16.00,16.37,15.64,16.15,16.15,"9,928,100"
"Jul 03, 2023",15.91,16.34,15.89,16.32,16.32,"5,382,900"
"Jun 30, 2023",16.11,16.19,15.89,15.91,15.91,"8,374,500"
"Jun 29, 2023",15.67,16.19,15.62,15.99,15.99,"9,163,000"
"Jun 28, 2023",15.7,15.75,15.51,15.74,15.74,"7,278,900"
"Jun 27, 2023",15.57,16.05,15.33,15.88,15.88,"11,224,900"
"Jun 26, 2023",15.41,15.73,15.29,15.57,15.57,"9,242,600"
"Jun 23, 2023",15.35,15.67,15.33,15.36,15.36,"8,500,700"
"Jun 22, 2023",15.73,15.75,15.36,15.55,15.55,"10,108,700"
"Jun 21, 2023",15.55,16.35,15.5,15.74,15.74,"20,746,300"
"Jun 20, 2023",16.11,16.2,15.65,15.67,15.67,"11,601,200"
"Jun 16, 2023",16.64,16.64,16.14,16.28,16.28,"13,014,200"
"Jun 15, 2023",16.44,16.82,16.2,16.53,16.53,"10,109,400"
"Jun 14, 2023",16.64,17.14,16.39,16.6,16.6,"10,376,300"
"Jun 13, 2023",16.61,16.89,16.56,16.62,16.57,"9,224,900"
"Jun 12, 2023",16.28,16.9,16.2,16.51,16.46,"11,436,300"
"Jun 09, 2023",16.52,16.61,15.92,16.1,16.05,"13,573,400"
"Jun 08, 2023",16.4,16.82,16.0,16.58,16.53,"14,195,600"
"Jun 07, 2023",15.83,17.19,15.76,16.4,16.35,"28,373,600"
"Jun 06, 2023",15.04,16.07,15.0,15.79,15.74,"12,253,400"
"Jun 05, 2023",15.29,15.54,15.0,15.13,15.08,"12,354,500"
"Jun 02, 2023",15.65,15.9,15.38,15.4,15.35,"12,414,900"
"Jun 01, 2023",15.35,15.68,14.93,15.39,15.34,"11,966,100"
"May 31, 2023",15.77,15.77,15.2,15.21,15.16,"46,194,200"
"May 30, 2023",15.16,15.92,15.08,15.86,15.81,"26,061,500"
"May 26, 2023",15.13,15.18,14.6,14.91,14.87,"26,299,800"
"May 25, 2023",14.46,14.54,13.8,14.08,14.04,"28,822,700"
"May 24, 2023",14.69,14.81,14.34,14.64,14.6,"24,032,100"
"May 23, 2023",15.04,15.54,14.89,14.92,14.88,"19,687,400"
"May 22, 2023",15.19,15.22,14.76,14.99,14.94,"18,178,400"
"May 19, 2023",15.69,15.73,15.13,15.17,15.12,"11,046,300"
"May 18, 2023",15.66,16.12,15.45,15.71,15.66,"17,445,700"
"May 17, 2023",15.06,15.69,14.88,15.57,15.52,"15,776,200"
"May 16, 2023",15.72,15.72,14.93,14.95,14.91,"16,927,600"
"May 15, 2023",15.2,15.81,15.0,15.81,15.76,"14,599,700"
"May 12, 2023",15.35,15.5,14.92,15.02,14.97,"14,393,700"
"May 11, 2023",15.6,15.67,15.16,15.37,15.32,"19,051,700"
"May 10, 2023",16.6,16.64,15.56,15.85,15.8,"18,320,700"
"May 09, 2023",16.8,17.1,16.49,16.53,16.48,"14,977,700"
"May 08, 2023",16.97,17.1,16.29,16.99,16.94,"18,853,400"
"May 05, 2023",16.98,17.35,15.78,16.86,16.81,"52,320,500"
"May 04, 2023",18.91,19.04,16.39,16.4,16.35,"72,171,000"
"May 03, 2023",22.97,23.46,22.78,22.89,22.82,"11,986,000"
"May 02, 2023",23.17,23.25,22.7,22.99,22.92,"11,174,600"
"May 01, 2023",23.35,24.0,23.25,23.44,23.37,"9,924,400"
"Apr 28, 2023",22.99,23.6,22.64,23.33,23.26,"9,519,100"
"Apr 27, 2023",21.99,23.19,21.84,23.08,23.01,"11,427,300"
"Apr 26, 2023",22.09,22.27,21.62,21.65,21.58,"5,664,000"
"Apr 25, 2023",22.33,22.45,21.87,21.97,21.9,"9,405,900"
"Apr 24, 2023",22.57,22.82,22.18,22.58,22.51,"8,892,800"
"Apr 21, 2023",22.15,22.57,21.87,22.53,22.46,"7,918,700"
"Apr 20, 2023",22.13,22.47,22.0,22.15,22.08,"8,104,200"
"Apr 19, 2023",21.55,22.78,21.36,22.56,22.49,"10,613,400"
"Apr 18, 2023",22.11,22.22,21.65,21.82,21.75,"5,583,100"
