Date,Open,High,Low,Close*,Adj Close**,Volume
"Jun 30, 2023",14.23,14.35,13.76,13.83,13.83,"31,841,100"
"Jun 29, 2023",14.25,14.35,14.15,14.33,14.33,"16,081,300"
"Jun 28, 2023",14.17,14.36,14.11,14.18,14.18,"18,639,400"
"Jun 27, 2023",14.53,14.54,14.10,14.24,14.24,"18,343,200"
"Jun 26, 2023",14.33,14.54,14.28,14.42,14.42,"17,584,100"
"Jun 23, 2023",14.44,14.50,14.07,14.09,14.09,"23,289,600"
"Jun 22, 2023",14.71,14.78,14.51,14.68,14.68,"26,233,300"
"Jun 21, 2023",14.51,15.00,14.51,14.94,14.94,"36,407,900"
"Jun 20, 2023",14.22,14.31,13.93,14.23,14.23,"26,362,900"
"Jun 16, 2023",13.69,13.95,13.65,13.90,13.90,"15,216,800"
"Jun 15, 2023",14.21,14.26,13.75,13.79,13.79,"30,404,200"
"Jun 14, 2023",13.36,13.93,13.33,13.89,13.89,"34,606,500"
"Jun 13, 2023",13.28,13.44,13.16,13.27,13.27,"32,261,300"
"Jun 12, 2023",13.79,14.05,13.67,13.98,13.22,"29,494,900"
"Jun 09, 2023",13.15,13.81,13.13,13.76,13.01,"31,179,400"
"Jun 08, 2023",13.06,13.18,12.92,13.15,12.43,"18,612,900"
"Jun 07, 2023",13.00,13.09,12.88,13.01,12.30,"27,943,500"
"Jun 06, 2023",12.23,12.73,12.20,12.65,11.96,"20,975,700"
"Jun 05, 2023",12.47,12.51,12.28,12.35,11.68,"15,118,200"
"Jun 02, 2023",12.29,12.37,12.17,12.24,11.57,"19,578,900"
"Jun 01, 2023",11.61,12.00,11.58,11.98,11.33,"18,589,800"
"May 31, 2023",11.52,11.59,11.47,11.54,10.91,"15,827,300"
"May 30, 2023",11.80,11.84,11.58,11.73,11.09,"17,059,300"
"May 26, 2023",11.89,12.04,11.79,11.97,11.32,"13,145,100"
"May 25, 2023",11.84,11.91,11.68,11.75,11.11,"17,164,400"
"May 24, 2023",11.95,12.05,11.77,11.97,11.32,"15,163,700"
"May 23, 2023",11.72,11.97,11.62,11.79,11.15,"13,511,000"
"May 22, 2023",11.80,11.80,11.53,11.55,10.92,"13,505,800"
"May 19, 2023",11.73,11.82,11.67,11.71,11.07,"15,292,400"
"May 18, 2023",11.63,11.74,11.51,11.71,11.07,"18,480,900"
"May 17, 2023",11.86,11.87,11.65,11.75,11.11,"22,621,500"
"May 16, 2023",11.85,12.21,11.77,11.78,11.14,"32,015,800"
"May 15, 2023",11.67,11.77,11.49,11.69,11.05,"24,686,900"
"May 12, 2023",11.54,12.08,10.64,11.86,11.21,"33,405,000"
"May 11, 2023",10.88,11.51,10.77,11.31,10.69,"39,401,800"
"May 10, 2023",11.06,11.19,10.91,11.11,10.50,"21,228,900"
"May 09, 2023",10.74,11.06,10.73,11.01,10.41,"14,440,400"
"May 08, 2023",10.97,11.08,10.81,10.86,10.27,"15,334,300"
"May 05, 2023",10.48,10.86,10.40,10.82,10.23,"21,439,100"
"May 04, 2023",10.35,10.43,10.04,10.27,9.71,"17,398,600"
"May 03, 2023",10.11,10.30,10.01,10.13,9.58,"24,811,100"
"May 02, 2023",10.50,10.52,10.01,10.12,9.57,"25,490,300"
"May 01, 2023",10.56,10.81,10.48,10.51,9.94,"14,166,400"
"Apr 28, 2023",10.54,10.82,10.31,10.62,10.04,"37,526,500"
"Apr 27, 2023",11.93,11.94,11.42,11.50,9.82,"35,693,000"
"Apr 26, 2023",11.82,11.88,11.69,11.74,10.03,"23,313,900"
"Apr 25, 2023",11.98,12.05,11.67,11.82,10.09,"22,653,200"
"Apr 24, 2023",11.76,11.97,11.64,11.95,10.21,"19,775,900"
"Apr 21, 2023",11.74,11.80,11.54,11.60,9.91,"12,849,900"
"Apr 20, 2023",11.65,11.92,11.60,11.76,10.04,"16,229,600"
"Apr 19, 2023",12.04,12.06,11.64,11.66,9.96,"27,611,000"
"Apr 18, 2023",12.01,12.41,11.95,12.29,10.50,"27,060,100"
"Apr 17, 2023",12.11,12.14,12.00,12.11,10.34,"16,075,800"
"Apr 14, 2023",11.86,12.10,11.85,12.06,10.30,"16,852,800"
"Apr 13, 2023",11.87,11.98,11.81,11.89,10.15,"13,568,700"
"Apr 12, 2023",11.69,11.91,11.58,11.75,10.03,"18,964,700"
"Apr 11, 2023",11.20,11.61,11.15,11.57,9.88,"23,356,200"
"Apr 10, 2023",10.78,10.96,10.76,10.90,9.31,"14,805,700"
"Apr 06, 2023",10.80,10.82,10.65,10.69,9.13,"12,795,400"
"Apr 05, 2023",10.76,10.90,10.49,10.87,9.28,"19,135,200"
"Apr 04, 2023",10.96,10.99,10.66,10.76,9.19,"12,803,500"
"Apr 03, 2023",10.62,10.93,10.61,10.92,9.33,"20,931,000"
"Mar 31, 2023",10.67,10.70,10.34,10.43,8.91,"21,188,700"
"Mar 30, 2023",10.56,10.61,10.32,10.53,8.99,"14,119,700"
"Mar 29, 2023",10.25,10.44,10.18,10.40,8.88,"13,150,800"
"Mar 28, 2023",10.04,10.25,10.00,10.21,8.72,"12,357,800"
"Mar 27, 2023",9.88,10.01,9.75,9.98,8.52,"21,918,500"
"Mar 24, 2023",9.58,9.86,9.56,9.70,8.28,"19,828,700"
"Mar 23, 2023",10.07,10.11,9.60,9.63,8.22,"25,095,300"
"Mar 22, 2023",9.96,10.14,9.82,9.91,8.46,"14,526,400"
"Mar 21, 2023",9.91,10.10,9.90,10.00,8.54,"18,549,000"
"Mar 20, 2023",9.95,10.01,9.76,9.77,8.34,"28,083,500"
"Mar 17, 2023",9.93,10.03,9.72,9.99,8.53,"23,413,400"
"Mar 16, 2023",9.92,10.05,9.79,10.02,8.56,"21,424,000"
"Mar 15, 2023",10.02,10.10,9.64,9.98,8.52,"40,117,600"
"Mar 14, 2023",10.55,10.73,10.21,10.25,8.75,"18,429,400"
"Mar 13, 2023",10.54,10.77,10.38,10.43,8.91,"22,280,300"
"Mar 10, 2023",10.95,11.19,10.85,10.88,9.29,"16,375,000"
"Mar 09, 2023",11.46,11.61,11.00,11.04,9.43,"30,532,500"
"Mar 08, 2023",11.20,11.50,11.17,11.28,9.63,"20,411,800"
"Mar 07, 2023",11.23,11.27,10.86,10.98,9.38,"24,411,000"
"Mar 06, 2023",11.10,11.43,11.04,11.43,9.76,"21,378,800"
"Mar 03, 2023",10.73,11.16,10.63,11.16,9.53,"22,583,700"
"Mar 02, 2023",10.79,11.15,10.63,10.76,9.19,"34,028,600"
"Mar 01, 2023",10.88,11.10,10.46,11.09,9.47,"51,054,600"
