Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",36.35,36.45,36.02,36.07,36.07,"24,042,700"
"Jul 27, 2023",36.85,37.01,36.18,36.20,36.20,"25,346,300"
"Jul 26, 2023",36.87,37.35,36.76,37.21,36.80,"20,983,700"
"Jul 25, 2023",37.40,37.72,37.05,37.06,36.65,"21,771,000"
"Jul 24, 2023",37.41,37.80,37.37,37.51,37.10,"19,414,700"
"Jul 21, 2023",36.80,37.43,36.80,37.40,36.99,"24,142,000"
"Jul 20, 2023",36.40,37.07,36.36,36.77,36.36,"22,358,400"
"Jul 19, 2023",36.34,36.70,36.21,36.44,36.04,"18,589,700"
"Jul 18, 2023",35.92,36.48,35.88,36.24,35.84,"22,817,300"
"Jul 17, 2023",36.12,36.12,35.78,35.86,35.46,"20,557,300"
"Jul 14, 2023",36.30,36.49,36.01,36.32,35.92,"17,909,900"
"Jul 13, 2023",36.01,36.36,35.92,36.06,35.66,"16,664,400"
"Jul 12, 2023",36.20,36.25,35.92,35.99,35.59,"17,229,700"
"Jul 11, 2023",35.64,36.04,35.62,36.02,35.62,"17,731,300"
"Jul 10, 2023",35.57,36.01,35.54,35.68,35.29,"17,777,500"
"Jul 07, 2023",35.52,35.77,35.35,35.53,35.14,"22,883,300"
"Jul 06, 2023",36.20,36.27,35.62,35.63,35.24,"30,177,300"
"Jul 05, 2023",36.58,37.02,36.39,36.46,36.06,"26,829,400"
"Jul 03, 2023",36.50,36.74,36.35,36.65,36.25,"14,115,800"
"Jun 30, 2023",36.21,36.75,36.14,36.68,36.68,"30,853,900"
"Jun 29, 2023",35.99,36.22,35.76,36.12,36.12,"26,284,900"
"Jun 28, 2023",36.5,36.54,36.03,36.29,36.29,"30,062,000"
"Jun 27, 2023",36.96,37.0,36.28,36.42,36.42,"32,414,900"
"Jun 26, 2023",37.02,37.05,36.16,36.89,36.89,"56,135,500"
"Jun 23, 2023",38.71,38.87,38.28,38.3,38.3,"23,492,200"
"Jun 22, 2023",38.94,38.99,38.41,38.73,38.73,"18,039,800"
"Jun 21, 2023",39.2,39.24,38.76,38.9,38.9,"17,982,900"
"Jun 20, 2023",39.71,39.87,39.33,39.34,39.34,"26,881,200"
"Jun 16, 2023",39.86,40.36,39.85,40.06,40.06,"60,325,100"
"Jun 15, 2023",39.41,39.83,39.28,39.75,39.75,"19,905,900"
"Jun 14, 2023",40.32,40.34,39.32,39.36,39.36,"22,056,400"
"Jun 13, 2023",39.67,40.37,39.45,40.28,40.28,"26,533,800"
"Jun 12, 2023",39.01,40.07,38.99,39.9,39.9,"28,334,600"
"Jun 09, 2023",39.28,39.59,38.87,38.97,38.97,"19,775,100"
"Jun 08, 2023",39.04,39.19,38.73,39.09,39.09,"17,347,600"
"Jun 07, 2023",38.35,39.06,38.13,38.89,38.89,"25,295,100"
"Jun 06, 2023",38.81,38.86,38.29,38.37,38.37,"19,508,200"
"Jun 05, 2023",38.48,39.02,38.47,38.65,38.65,"18,392,200"
"Jun 02, 2023",38.25,38.66,38.16,38.36,38.36,"22,721,600"
"Jun 01, 2023",38.12,38.21,37.7,38.02,38.02,"20,256,100"
"May 31, 2023",37.1,38.22,36.87,38.02,38.02,"46,166,300"
"May 30, 2023",37.36,37.36,36.92,37.01,37.01,"24,371,100"
"May 26, 2023",38.04,38.44,37.56,37.6,37.6,"20,234,600"
"May 25, 2023",38.51,38.51,37.65,37.83,37.83,"30,266,600"
"May 24, 2023",40.1,40.14,38.6,38.63,38.63,"39,326,400"
"May 23, 2023",38.55,40.14,38.0,39.64,39.64,"75,379,500"
"May 22, 2023",36.86,38.87,36.75,38.75,38.75,"85,718,600"
"May 19, 2023",36.65,37.65,36.52,36.77,36.77,"33,061,400"
"May 18, 2023",36.71,36.78,36.17,36.48,36.48,"27,772,400"
"May 17, 2023",36.98,37.05,36.51,36.75,36.75,"23,206,400"
"May 16, 2023",37.02,37.24,36.83,37.01,37.01,"25,451,700"
"May 15, 2023",37.3,37.36,37.01,37.16,37.16,"16,650,400"
"May 12, 2023",37.61,37.72,37.23,37.35,37.35,"16,511,600"
"May 11, 2023",37.6,37.65,37.21,37.58,37.58,"28,566,400"
"May 10, 2023",38.67,38.72,38.08,38.3,37.89,"15,858,200"
"May 09, 2023",38.48,38.67,38.39,38.48,38.07,"15,987,900"
"May 08, 2023",38.53,38.73,38.35,38.67,38.26,"20,101,700"
"May 05, 2023",38.38,38.5,38.09,38.49,38.08,"19,221,400"
"May 04, 2023",38.17,38.43,38.02,38.23,37.82,"23,675,100"
"May 03, 2023",39.2,39.39,38.36,38.45,38.04,"27,721,900"
"May 02, 2023",39.29,40.12,38.63,39.06,38.64,"38,834,100"
"May 01, 2023",39.0,39.52,38.86,39.21,38.79,"23,917,800"
"Apr 28, 2023",38.7,38.91,38.62,38.89,38.47,"21,003,600"
"Apr 27, 2023",38.62,38.83,38.31,38.74,38.33,"22,434,000"
"Apr 26, 2023",39.16,39.19,38.4,38.63,38.22,"22,401,400"
"Apr 25, 2023",39.75,39.92,39.28,39.33,38.91,"24,492,400"
"Apr 24, 2023",40.19,40.2,39.71,39.91,39.48,"17,633,700"
"Apr 21, 2023",40.09,40.3,39.91,40.21,39.78,"19,227,100"
"Apr 20, 2023",40.08,40.19,39.79,39.85,39.42,"20,131,600"
"Apr 19, 2023",40.43,40.56,40.2,40.24,39.81,"17,214,300"
"Apr 18, 2023",41.28,41.33,40.53,40.55,40.12,"18,541,500"
"Apr 17, 2023",41.12,41.28,40.96,41.18,40.74,"17,608,600"
"Apr 14, 2023",41.51,41.71,40.93,41.19,40.75,"20,627,500"
"Apr 13, 2023",41.53,41.7,41.3,41.47,41.03,"22,880,900"
"Apr 12, 2023",41.63,41.79,41.27,41.37,40.93,"17,035,100"
"Apr 11, 2023",41.8,41.99,41.7,41.79,41.34,"15,304,100"
"Apr 10, 2023",41.15,41.74,41.12,41.73,41.28,"15,137,300"
"Apr 06, 2023",41.93,42.1,41.37,41.5,41.06,"25,931,800"
"Apr 05, 2023",41.29,42.22,41.17,41.55,41.11,"29,697,600"
"Apr 04, 2023",41.44,41.53,40.76,40.9,40.46,"19,514,500"
"Apr 03, 2023",40.69,41.47,40.65,41.35,40.91,"20,817,200"
"Mar 31, 2023",40.55,40.83,40.28,40.8,40.36,"23,393,600"
"Mar 30, 2023",40.42,40.49,40.25,40.38,39.95,"12,634,500"
"Mar 29, 2023",40.16,40.27,39.99,40.25,39.82,"14,429,500"
"Mar 28, 2023",40.2,40.3,39.86,39.99,39.56,"13,537,500"
"Mar 27, 2023",40.54,40.62,39.97,40.22,39.79,"20,262,800"
"Mar 24, 2023",40.09,40.46,39.87,40.39,39.96,"17,218,100"
"Mar 23, 2023",40.17,40.5,40.0,40.18,39.75,"16,958,100"
"Mar 22, 2023",40.7,40.85,39.99,40.01,39.58,"15,444,200"
"Mar 21, 2023",40.86,40.91,40.31,40.66,40.22,"19,982,000"
"Mar 20, 2023",40.14,40.86,39.94,40.81,40.37,"20,825,400"
"Mar 17, 2023",40.63,40.79,39.99,40.1,39.67,"57,457,800"
"Mar 16, 2023",40.06,40.49,39.72,40.37,39.94,"21,095,900"
"Mar 15, 2023",39.76,40.53,39.46,40.28,39.85,"25,498,400"
"Mar 14, 2023",40.05,40.15,39.52,39.9,39.47,"24,583,600"
"Mar 13, 2023",39.26,40.51,39.26,39.86,39.43,"35,299,400"
"Mar 10, 2023",39.29,39.93,39.23,39.39,38.97,"26,328,100"
"Mar 09, 2023",40.41,40.57,39.31,39.46,39.04,"18,585,100"
"Mar 08, 2023",40.32,40.57,39.91,40.12,39.69,"16,756,100"
"Mar 07, 2023",41.06,41.13,40.1,40.34,39.91,"23,205,800"
"Mar 06, 2023",41.09,41.26,40.82,41.11,40.67,"19,434,800"
"Mar 03, 2023",40.91,41.18,40.74,41.15,40.71,"20,922,000"
"Mar 02, 2023",40.06,40.78,39.81,40.62,40.19,"19,110,600"
"Mar 01, 2023",40.56,40.76,40.14,40.18,39.75,"21,104,400"
"Feb 28, 2023",40.5,40.71,40.09,40.57,40.14,"31,086,900"
"Feb 27, 2023",41.44,41.73,40.73,40.78,40.34,"26,370,300"
"Feb 24, 2023",42.03,42.05,41.51,41.75,41.3,"16,806,100"
"Feb 23, 2023",42.29,42.75,42.22,42.3,41.85,"21,104,300"
"Feb 22, 2023",42.72,42.89,42.31,42.38,41.93,"17,394,200"
"Feb 21, 2023",42.81,42.93,42.62,42.7,42.24,"17,356,600"
"Feb 17, 2023",42.89,43.37,42.58,43.21,42.75,"18,293,400"
"Feb 16, 2023",43.15,43.18,42.77,42.95,42.49,"17,832,000"
"Feb 15, 2023",43.42,43.61,43.11,43.32,42.86,"18,994,700"
"Feb 14, 2023",44.09,44.2,43.58,43.72,43.25,"17,506,900"
"Feb 13, 2023",43.68,44.01,43.51,43.99,43.52,"17,878,000"
"Feb 10, 2023",43.5,43.98,43.26,43.88,43.41,"18,619,600"
"Feb 09, 2023",44.12,44.33,43.24,43.34,42.88,"20,809,200"
"Feb 08, 2023",43.55,44.1,43.53,43.98,43.51,"19,362,300"
"Feb 07, 2023",43.82,43.9,43.25,43.59,43.12,"22,999,500"
"Feb 06, 2023",44.19,44.3,43.73,43.76,43.29,"18,071,200"
"Feb 03, 2023",44.36,44.39,43.88,44.06,43.59,"23,742,000"
"Feb 02, 2023",43.63,44.46,43.5,44.34,43.87,"35,279,200"
"Feb 01, 2023",43.91,44.18,43.41,43.97,43.5,"24,482,300"
"Jan 31, 2023",43.0,44.28,42.7,44.16,43.69,"49,722,500"
"Jan 30, 2023",43.79,44.14,43.4,43.55,43.08,"24,402,200"
"Jan 27, 2023",44.22,44.34,43.78,43.79,43.32,"23,798,600"
"Jan 26, 2023",44.2,44.3,43.61,44.25,43.78,"38,465,500"
"Jan 25, 2023",45.03,45.11,44.59,45.07,44.18,"20,828,000"
"Jan 24, 2023",44.92,44.95,44.15,44.71,43.83,"18,853,100"
"Jan 23, 2023",45.04,45.32,44.82,44.98,44.09,"19,398,600"
"Jan 20, 2023",45.28,45.43,44.73,45.11,44.22,"25,197,600"
"Jan 19, 2023",44.72,45.27,44.64,44.96,44.07,"26,614,900"
"Jan 18, 2023",45.55,45.85,44.97,45.0,44.11,"33,835,000"
"Jan 17, 2023",46.54,46.74,45.71,46.08,45.17,"29,391,400"
"Jan 13, 2023",47.5,48.16,47.49,47.85,46.91,"18,737,500"
"Jan 12, 2023",47.27,47.72,46.58,47.71,46.77,"23,345,300"
"Jan 11, 2023",47.7,47.74,46.86,47.45,46.52,"23,022,200"
"Jan 10, 2023",48.35,48.47,47.38,47.62,46.68,"29,212,000"
"Jan 09, 2023",50.05,50.26,48.31,48.39,47.44,"30,839,100"
"Jan 06, 2023",49.98,51.6,49.56,50.92,49.92,"29,635,900"
"Jan 05, 2023",49.73,49.99,48.92,49.66,48.68,"20,057,400"
"Jan 04, 2023",50.29,50.63,49.52,50.13,49.14,"21,808,400"
"Jan 03, 2023",51.01,51.33,50.82,51.26,50.25,"15,603,800"
"Dec 30, 2022",51.29,51.4,50.75,51.24,50.23,"11,396,200"
"Dec 29, 2022",51.02,51.67,50.99,51.33,50.32,"8,971,300"
"Dec 28, 2022",51.05,51.39,50.75,50.8,49.8,"10,053,900"
"Dec 27, 2022",51.86,51.93,51.05,51.13,50.12,"12,033,800"
"Dec 23, 2022",51.56,51.95,51.24,51.83,50.81,"10,666,500"
"Dec 22, 2022",51.41,51.7,50.95,51.64,50.62,"14,822,300"
"Dec 21, 2022",51.61,52.16,51.2,51.66,50.64,"12,925,000"
