Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",27.22,28.49,27.08,28.45,28.45,"10,041,200"
"Jul 27, 2023",28.34,28.48,26.70,26.86,26.86,"9,967,300"
"Jul 26, 2023",27.18,27.83,26.75,27.70,27.70,"8,652,200"
"Jul 25, 2023",27.75,27.86,27.10,27.20,27.20,"11,813,600"
"Jul 24, 2023",28.00,28.14,27.33,27.79,27.79,"8,300,200"
"Jul 21, 2023",28.62,28.81,27.84,27.96,27.96,"9,469,700"
"Jul 20, 2023",29.38,29.49,28.39,28.46,28.46,"8,862,300"
"Jul 19, 2023",30.44,30.71,29.61,29.84,29.84,"10,062,300"
"Jul 18, 2023",30.75,30.86,29.59,30.31,30.31,"18,453,300"
"Jul 17, 2023",29.14,29.42,28.93,29.15,29.15,"9,841,600"
"Jul 14, 2023",28.59,28.97,28.56,28.71,28.71,"4,539,500"
"Jul 13, 2023",28.77,29.09,28.55,28.63,28.63,"10,044,200"
"Jul 12, 2023",28.88,29.05,28.21,28.77,28.77,"7,512,900"
"Jul 11, 2023",27.65,28.88,27.60,28.62,28.62,"9,419,200"
"Jul 10, 2023",27.38,27.54,27.10,27.51,27.51,"5,387,900"
"Jul 07, 2023",27.49,28.00,27.32,27.45,27.45,"7,213,700"
"Jul 06, 2023",27.90,28.06,27.16,27.20,27.20,"9,205,800"
"Jul 05, 2023",26.96,27.83,26.30,27.73,27.73,"12,992,900"
"Jul 03, 2023",27.32,27.53,26.97,27.24,27.24,"4,773,000"
"Jun 30, 2023",27.65,27.94,27.3,27.34,27.34,"9,818,200"
"Jun 29, 2023",28.08,28.09,27.34,27.64,27.64,"9,221,200"
"Jun 28, 2023",27.32,28.35,27.32,28.14,28.14,"16,007,300"
"Jun 27, 2023",25.99,26.6,25.67,26.4,26.4,"9,136,800"
"Jun 26, 2023",25.92,26.59,25.59,25.61,25.61,"11,834,500"
"Jun 23, 2023",25.95,26.72,25.9,26.24,26.24,"20,169,400"
"Jun 22, 2023",24.79,26.16,24.59,26.14,26.14,"14,876,400"
"Jun 21, 2023",25.12,25.29,24.55,24.9,24.9,"9,485,400"
"Jun 20, 2023",25.31,25.49,24.76,25.21,25.21,"11,463,000"
"Jun 16, 2023",24.91,25.44,24.74,25.36,25.36,"12,962,000"
"Jun 15, 2023",24.1,25.36,24.1,24.96,24.96,"8,600,100"
"Jun 14, 2023",24.23,24.67,24.15,24.42,24.42,"7,175,800"
"Jun 13, 2023",24.16,24.3,23.76,24.25,24.25,"7,094,400"
"Jun 12, 2023",23.88,24.19,23.85,24.1,24.1,"5,739,400"
"Jun 09, 2023",24.05,24.47,23.75,23.87,23.87,"9,296,100"
"Jun 08, 2023",24.01,24.26,23.61,23.94,23.94,"6,855,300"
"Jun 07, 2023",24.63,25.01,24.17,24.35,24.35,"8,078,600"
"Jun 06, 2023",24.02,25.19,23.79,24.63,24.63,"10,031,000"
"Jun 05, 2023",23.86,24.68,23.77,24.1,24.1,"9,816,600"
"Jun 02, 2023",23.72,24.15,23.35,23.47,23.47,"11,903,200"
"Jun 01, 2023",23.74,23.83,23.46,23.61,23.61,"14,676,700"
"May 31, 2023",24.01,24.09,23.37,23.94,23.94,"11,359,300"
"May 30, 2023",24.45,24.51,23.91,24.41,24.41,"6,773,500"
"May 26, 2023",23.78,24.34,23.67,24.23,24.23,"9,135,700"
"May 25, 2023",24.45,24.52,23.53,23.74,23.74,"10,383,300"
"May 24, 2023",23.54,24.47,23.44,24.31,24.31,"12,021,400"
"May 23, 2023",23.09,24.2,23.0,23.76,23.76,"22,213,800"
"May 22, 2023",22.68,23.57,22.63,23.26,23.26,"14,986,400"
"May 19, 2023",22.45,22.83,22.34,22.7,22.7,"9,979,400"
"May 18, 2023",21.87,22.49,21.84,22.46,22.46,"10,593,300"
"May 17, 2023",21.56,22.21,21.48,21.95,21.95,"9,867,100"
"May 16, 2023",21.96,22.06,21.53,21.59,21.59,"11,344,700"
"May 15, 2023",21.39,22.13,21.25,22.05,22.05,"14,146,400"
"May 12, 2023",21.56,21.64,21.02,21.4,21.4,"11,788,300"
"May 11, 2023",21.64,21.71,21.09,21.48,21.48,"10,061,900"
"May 10, 2023",21.79,22.17,21.23,21.53,21.53,"13,799,100"
"May 09, 2023",21.37,21.68,21.35,21.47,21.47,"7,628,700"
"May 08, 2023",20.98,21.82,20.88,21.59,21.59,"10,442,600"
"May 05, 2023",20.94,21.1,20.75,21.01,21.01,"13,305,000"
"May 04, 2023",20.8,21.26,20.6,20.78,20.78,"13,026,800"
"May 03, 2023",21.35,21.5,20.89,20.91,20.91,"18,100,200"
"May 02, 2023",21.82,21.96,21.04,21.37,21.37,"17,014,700"
"May 01, 2023",23.04,23.08,21.81,22.06,22.06,"19,466,000"
"Apr 28, 2023",24.5,24.5,22.1,23.0,23.0,"63,305,200"
"Apr 27, 2023",27.65,27.8,26.65,27.27,27.27,"20,927,300"
"Apr 26, 2023",27.81,27.96,26.41,26.61,26.61,"10,696,400"
"Apr 25, 2023",27.47,27.97,27.4,27.74,27.74,"11,995,300"
"Apr 24, 2023",27.41,27.81,27.17,27.63,27.63,"7,545,500"
"Apr 21, 2023",27.43,27.58,27.15,27.39,27.39,"8,431,600"
"Apr 20, 2023",27.58,28.36,27.46,27.53,27.53,"9,033,600"
"Apr 19, 2023",27.83,28.44,27.6,28.22,28.22,"7,239,400"
"Apr 18, 2023",28.83,28.95,28.18,28.18,28.18,"8,140,400"
"Apr 17, 2023",28.4,28.65,28.1,28.62,28.62,"5,566,800"
"Apr 14, 2023",28.39,28.67,28.04,28.58,28.58,"6,780,100"
"Apr 13, 2023",28.02,28.65,28.02,28.46,28.46,"6,360,800"
"Apr 12, 2023",28.4,28.57,27.62,27.74,27.74,"8,407,700"
"Apr 11, 2023",28.0,28.42,27.66,28.19,28.19,"6,976,300"
"Apr 10, 2023",27.92,28.04,27.59,27.94,27.94,"6,063,000"
"Apr 06, 2023",27.37,28.45,27.21,28.25,28.25,"9,221,200"
"Apr 05, 2023",27.79,28.04,27.13,27.33,27.33,"9,260,600"
"Apr 04, 2023",27.95,28.19,27.59,27.98,27.98,"11,447,300"
"Apr 03, 2023",27.87,27.94,27.33,27.75,27.75,"9,502,400"
"Mar 31, 2023",26.6,27.33,26.53,27.27,27.27,"6,176,300"
"Mar 30, 2023",26.7,26.87,26.24,26.34,26.34,"9,922,600"
"Mar 29, 2023",27.03,27.06,26.32,26.5,26.5,"10,139,400"
"Mar 28, 2023",27.93,28.04,26.79,26.84,26.84,"10,493,800"
"Mar 27, 2023",28.84,29.27,27.77,28.07,28.07,"16,383,800"
"Mar 24, 2023",27.54,27.77,27.22,27.47,27.47,"5,593,900"
"Mar 23, 2023",27.91,28.52,27.22,27.61,27.61,"8,997,800"
