Date,Open,High,Low,Close*,Adj Close**,Volume
"Jun 30, 2023",15.48,15.80,15.23,15.33,15.33,"42,081,000"
"Jun 29, 2023",15.40,15.57,15.06,15.20,15.20,"46,300,900"
"Jun 28, 2023",14.53,15.43,14.47,15.28,15.28,"66,001,000"
"Jun 27, 2023",14.22,14.76,13.96,14.61,14.61,"55,410,500"
"Jun 26, 2023",13.87,14.42,13.83,13.94,13.94,"50,679,900"
"Jun 23, 2023",13.64,14.14,13.56,14.03,14.03,"74,640,600"
"Jun 22, 2023",14.30,14.44,13.86,14.05,14.05,"103,461,000"
"Jun 21, 2023",15.66,15.76,14.37,14.64,14.64,"97,885,000"
"Jun 20, 2023",15.99,16.89,15.58,15.79,15.79,"81,335,000"
"Jun 16, 2023",16.87,16.91,16.01,16.30,16.30,"90,473,900"
"Jun 15, 2023",15.66,16.79,15.49,16.60,16.60,"91,200,900"
"Jun 14, 2023",15.93,16.19,15.44,15.91,15.91,"70,871,900"
"Jun 13, 2023",16.18,16.27,15.16,16.00,16.00,"112,765,900"
"Jun 12, 2023",15.44,16.03,15.33,15.65,15.65,"89,900,400"
"Jun 09, 2023",15.36,15.98,14.82,15.02,15.02,"93,983,400"
"Jun 08, 2023",14.44,15.59,14.39,15.19,15.19,"115,591,600"
"Jun 07, 2023",16.01,17.16,14.52,14.69,14.69,"227,244,100"
"Jun 06, 2023",15.30,15.58,14.92,15.46,15.46,"74,284,300"
"Jun 05, 2023",14.36,15.70,14.36,15.24,15.24,"109,017,800"
"Jun 02, 2023",14.65,15.03,14.16,14.52,14.52,"79,328,400"
"Jun 01, 2023",14.46,15.22,14.20,14.54,14.54,"126,015,100"
"May 31, 2023",14.19,14.79,13.82,14.71,14.71,"130,392,200"
"May 30, 2023",14.44,15.01,14.24,14.71,14.71,"159,089,300"
"May 26, 2023",12.84,14.19,12.82,13.65,13.65,"127,311,200"
"May 25, 2023",13.18,13.22,12.34,12.84,12.84,"106,557,800"
"May 24, 2023",12.05,12.43,11.82,12.23,12.23,"90,496,900"
"May 23, 2023",11.95,13.42,11.87,12.64,12.64,"148,701,800"
"May 22, 2023",11.62,12.10,11.39,11.84,11.84,"76,377,100"
"May 19, 2023",11.97,12.41,11.52,11.71,11.71,"148,321,300"
"May 18, 2023",10.46,11.81,10.39,11.74,11.74,"171,402,300"
"May 17, 2023",9.54,10.28,9.46,10.25,10.25,"63,834,500"
"May 16, 2023",9.40,9.63,9.35,9.47,9.47,"42,311,900"
"May 15, 2023",9.21,9.60,9.02,9.52,9.52,"53,555,500"
"May 12, 2023",9.86,10.01,9.47,9.50,9.50,"62,031,700"
"May 11, 2023",10.14,10.16,9.71,9.88,9.88,"73,754,100"
"May 10, 2023",9.73,10.30,9.46,9.94,9.94,"149,375,000"
"May 09, 2023",9.22,9.69,8.65,9.55,9.55,"223,573,300"
"May 08, 2023",7.64,7.86,7.59,7.74,7.74,"105,304,000"
"May 05, 2023",7.44,7.55,7.32,7.41,7.41,"45,601,300"
"May 04, 2023",7.47,7.52,7.28,7.38,7.38,"29,989,300"
"May 03, 2023",7.62,7.68,7.45,7.56,7.56,"24,322,400"
"May 02, 2023",7.72,7.91,7.43,7.59,7.59,"38,008,000"
"May 01, 2023",7.75,7.82,7.66,7.78,7.78,"19,134,200"
"Apr 28, 2023",7.77,8.00,7.62,7.75,7.75,"24,924,400"
"Apr 27, 2023",7.83,7.91,7.72,7.82,7.82,"21,385,500"
"Apr 26, 2023",7.87,7.91,7.65,7.74,7.74,"21,396,700"
"Apr 25, 2023",8.00,8.02,7.73,7.74,7.74,"21,849,100"
"Apr 24, 2023",8.16,8.25,7.94,8.10,8.10,"20,439,300"
"Apr 21, 2023",8.14,8.22,8.09,8.18,8.18,"14,896,700"
"Apr 20, 2023",8.29,8.50,8.13,8.15,8.15,"23,573,000"
"Apr 19, 2023",8.58,8.66,8.48,8.49,8.49,"18,193,700"
"Apr 18, 2023",8.93,9.02,8.72,8.73,8.73,"21,185,300"
"Apr 17, 2023",8.81,9.04,8.78,8.80,8.80,"26,047,500"
"Apr 14, 2023",8.53,8.91,8.47,8.81,8.81,"42,364,500"
"Apr 13, 2023",8.50,8.70,8.43,8.58,8.58,"27,983,300"
"Apr 12, 2023",8.75,8.77,8.30,8.33,8.33,"28,771,300"
"Apr 11, 2023",8.35,8.79,8.34,8.61,8.61,"35,617,900"
"Apr 10, 2023",8.00,8.44,7.90,8.39,8.39,"29,184,700"
"Apr 06, 2023",7.88,8.14,7.79,8.09,8.09,"23,488,600"
"Apr 05, 2023",8.63,8.65,7.84,7.98,7.98,"54,946,900"
"Apr 04, 2023",8.53,8.54,8.23,8.35,8.35,"23,961,200"
"Apr 03, 2023",8.37,8.53,8.21,8.38,8.38,"22,512,000"
"Mar 31, 2023",8.15,8.48,8.08,8.45,8.45,"26,174,800"
"Mar 30, 2023",8.33,8.38,8.05,8.15,8.15,"21,001,600"
"Mar 29, 2023",8.09,8.25,8.05,8.22,8.22,"15,339,700"
