Date,Open,High,Low,Close*,Adj Close**,Volume
"Jun 30, 2023",10.23,10.43,9.87,10.39,10.39,"23,057,800"
"Jun 29, 2023",9.42,10.21,9.36,10.00,10.00,"29,527,100"
"Jun 28, 2023",9.18,9.54,9.09,9.44,9.44,"14,668,000"
"Jun 27, 2023",9.17,9.28,8.94,9.26,9.26,"16,818,400"
"Jun 26, 2023",9.15,9.43,9.07,9.13,9.13,"14,337,300"
"Jun 23, 2023",9.38,9.49,9.14,9.20,9.20,"22,500,600"
"Jun 22, 2023",9.78,9.89,9.44,9.68,9.68,"14,632,500"
"Jun 21, 2023",9.83,10.08,9.62,9.88,9.88,"16,578,700"
"Jun 20, 2023",10.49,10.63,9.61,9.98,9.98,"26,368,400"
"Jun 16, 2023",10.88,11.05,10.28,10.57,10.57,"30,485,300"
"Jun 15, 2023",10.40,11.23,10.31,10.82,10.82,"29,978,800"
"Jun 14, 2023",11.77,11.78,10.51,10.69,10.69,"53,647,400"
"Jun 13, 2023",10.73,11.11,10.48,10.91,10.91,"46,207,800"
"Jun 12, 2023",9.27,10.40,9.10,10.37,10.37,"39,785,200"
"Jun 09, 2023",9.60,9.62,9.08,9.17,9.17,"22,301,600"
"Jun 08, 2023",9.69,9.75,9.30,9.52,9.52,"22,237,700"
"Jun 07, 2023",9.38,9.90,9.21,9.55,9.55,"37,129,900"
"Jun 06, 2023",8.38,9.18,8.26,9.04,9.04,"25,709,000"
"Jun 05, 2023",8.75,8.87,8.40,8.42,8.42,"16,088,600"
"Jun 02, 2023",8.73,8.87,8.54,8.77,8.77,"16,046,400"
"Jun 01, 2023",8.36,8.64,8.01,8.46,8.46,"23,893,600"
"May 31, 2023",8.83,8.91,8.18,8.32,8.32,"62,396,300"
"May 30, 2023",8.37,8.99,8.32,8.84,8.84,"30,244,800"
"May 26, 2023",8.41,8.44,8.07,8.25,8.25,"18,765,300"
"May 25, 2023",8.50,8.61,8.14,8.38,8.38,"16,632,700"
"May 24, 2023",8.63,8.65,8.23,8.46,8.46,"20,849,700"
"May 23, 2023",8.76,9.19,8.45,8.81,8.81,"26,683,100"
"May 22, 2023",8.00,8.89,7.91,8.83,8.83,"37,695,400"
"May 19, 2023",7.96,8.10,7.67,7.73,7.73,"19,710,600"
"May 18, 2023",8.00,8.01,7.66,7.87,7.87,"21,771,200"
"May 17, 2023",7.62,8.14,7.58,8.04,8.04,"22,927,100"
"May 16, 2023",7.79,7.81,7.54,7.55,7.55,"18,146,200"
"May 15, 2023",7.51,8.01,7.39,7.85,7.85,"22,715,600"
"May 12, 2023",7.68,8.02,7.44,7.48,7.48,"22,964,700"
"May 11, 2023",7.77,7.89,7.48,7.65,7.65,"25,825,200"
"May 10, 2023",8.13,8.18,7.73,7.83,7.83,"21,750,200"
"May 09, 2023",8.68,8.85,7.91,8.01,8.01,"53,930,100"
"May 08, 2023",9.47,9.50,9.05,9.29,9.29,"16,994,000"
"May 05, 2023",8.95,9.40,8.93,9.29,9.29,"17,587,300"
"May 04, 2023",8.84,8.91,8.62,8.78,8.78,"10,768,600"
"May 03, 2023",8.58,9.13,8.50,8.86,8.86,"13,034,300"
"May 02, 2023",8.80,8.81,8.49,8.59,8.59,"12,848,900"
"May 01, 2023",9.01,9.09,8.70,8.83,8.83,"14,591,600"
"Apr 28, 2023",8.96,9.16,8.79,9.03,9.03,"11,943,000"
"Apr 27, 2023",8.65,9.16,8.65,8.97,8.97,"20,213,200"
"Apr 26, 2023",8.89,8.89,8.37,8.47,8.47,"24,227,800"
"Apr 25, 2023",9.12,9.13,8.76,8.91,8.91,"15,692,300"
"Apr 24, 2023",9.01,9.35,8.83,9.27,9.27,"15,612,100"
"Apr 21, 2023",8.84,9.15,8.65,9.05,9.05,"25,217,800"
"Apr 20, 2023",8.74,9.02,8.66,8.85,8.85,"19,562,500"
"Apr 19, 2023",8.80,9.15,8.72,9.00,9.00,"23,991,200"
"Apr 18, 2023",9.35,9.38,8.86,9.02,9.02,"24,497,500"
"Apr 17, 2023",9.01,9.58,8.89,9.50,9.50,"24,515,400"
"Apr 14, 2023",9.31,9.41,8.88,9.04,9.04,"25,300,800"
"Apr 13, 2023",9.50,9.60,9.25,9.30,9.30,"21,825,800"
"Apr 12, 2023",10.11,10.23,9.32,9.39,9.39,"27,286,000"
"Apr 11, 2023",9.40,9.79,9.28,9.76,9.76,"28,712,700"
"Apr 10, 2023",9.15,9.38,8.90,9.36,9.36,"29,697,800"
"Apr 06, 2023",9.75,9.79,9.24,9.27,9.27,"31,901,200"
"Apr 05, 2023",10.46,10.57,9.60,9.68,9.68,"30,436,700"
"Apr 04, 2023",11.24,11.24,10.37,10.58,10.58,"22,188,700"
"Apr 03, 2023",11.50,11.76,10.84,11.12,11.12,"21,238,100"
"Mar 31, 2023",11.40,11.91,11.18,11.72,11.72,"17,510,100"
"Mar 30, 2023",11.40,11.60,11.17,11.25,11.25,"17,551,700"
"Mar 29, 2023",10.64,11.12,10.40,11.03,11.03,"16,965,600"
"Mar 28, 2023",10.72,10.75,10.30,10.40,10.40,"15,194,400"
"Mar 27, 2023",11.46,11.46,10.62,10.72,10.72,"18,547,300"
"Mar 24, 2023",11.26,11.42,10.92,11.23,11.23,"15,343,400"
"Mar 23, 2023",11.45,12.35,11.26,11.49,11.49,"19,846,300"
"Mar 22, 2023",11.52,11.80,11.18,11.22,11.22,"17,513,500"
"Mar 21, 2023",11.05,11.67,10.99,11.52,11.52,"17,745,000"
"Mar 20, 2023",11.17,11.42,10.73,10.84,10.84,"19,631,500"
"Mar 17, 2023",11.67,11.77,10.97,11.17,11.17,"25,744,600"
"Mar 16, 2023",11.74,11.94,11.39,11.80,11.80,"17,420,800"
"Mar 15, 2023",11.75,11.85,11.41,11.80,11.80,"19,619,200"
"Mar 14, 2023",12.82,13.00,11.86,12.16,12.16,"32,654,300"
"Mar 13, 2023",11.96,12.76,11.66,12.40,12.40,"17,818,700"
"Mar 10, 2023",13.01,13.01,11.99,12.35,12.35,"23,237,700"
"Mar 09, 2023",13.77,14.07,13.00,13.02,13.02,"15,295,400"
"Mar 08, 2023",13.33,13.83,13.16,13.78,13.78,"11,065,800"
"Mar 07, 2023",13.60,13.70,13.13,13.40,13.40,"12,835,200"
"Mar 06, 2023",13.98,14.28,13.64,13.67,13.67,"12,768,800"
"Mar 03, 2023",13.53,13.97,13.29,13.84,13.84,"19,169,300"
"Mar 02, 2023",13.64,13.64,12.39,13.33,13.33,"33,011,600"
