Date,Open,High,Low,Close*,Adj Close**,Volume
"Jun 30, 2023",66.09,66.97,65.75,66.73,66.73,"16,894,000"
"Jun 29, 2023",66.30,67.34,65.62,65.86,65.86,"14,894,200"
"Jun 28, 2023",66.05,66.48,65.62,66.03,66.03,"15,390,600"
"Jun 27, 2023",66.87,67.10,65.78,66.23,66.23,"16,371,200"
"Jun 26, 2023",66.87,67.58,66.41,66.44,66.44,"12,224,400"
"Jun 23, 2023",67.42,68.16,65.85,66.94,66.94,"27,616,200"
"Jun 22, 2023",67.52,68.64,67.06,68.57,68.57,"16,872,500"
"Jun 21, 2023",68.94,69.02,67.22,68.19,68.19,"23,910,600"
"Jun 20, 2023",67.13,69.20,66.78,68.89,68.89,"31,379,200"
"Jun 16, 2023",65.95,67.15,65.22,66.43,66.43,"29,690,500"
"Jun 15, 2023",63.12,66.21,62.63,65.85,65.85,"21,527,700"
"Jun 14, 2023",64.14,65.10,63.03,63.60,63.60,"24,028,100"
"Jun 13, 2023",63.55,64.24,63.13,63.56,63.56,"19,963,400"
"Jun 12, 2023",63.60,64.26,63.12,63.73,63.73,"15,945,400"
"Jun 09, 2023",64.00,64.06,62.43,63.49,63.49,"17,140,800"
"Jun 08, 2023",64.20,64.69,63.99,64.24,64.24,"13,568,500"
"Jun 07, 2023",65.25,65.32,63.55,64.04,64.04,"15,511,900"
"Jun 06, 2023",64.43,65.18,64.23,65.02,65.02,"13,039,200"
"Jun 05, 2023",64.07,64.98,63.51,64.51,64.51,"13,498,300"
"Jun 02, 2023",63.74,64.39,63.56,63.96,63.96,"16,423,200"
"Jun 01, 2023",62.41,63.61,61.83,63.05,63.05,"16,686,200"
"May 31, 2023",61.84,63.22,61.17,61.99,61.99,"27,790,800"
"May 30, 2023",61.04,62.19,59.55,62.05,62.05,"21,356,700"
"May 26, 2023",59.50,60.61,58.95,60.22,60.22,"20,632,500"
"May 25, 2023",61.74,61.74,59.31,59.37,59.37,"24,461,300"
"May 24, 2023",61.65,62.22,61.23,61.80,61.80,"14,790,300"
"May 23, 2023",63.03,63.30,61.84,62.00,62.00,"16,815,500"
