Date,Open,High,Low,Close*,Adj Close**,Volume
"Jun 30, 2023",119.60,119.86,118.38,119.04,119.04,"6,562,800"
"Jun 29, 2023",117.56,118.15,116.88,118.06,118.06,"5,138,500"
"Jun 28, 2023",117.02,118.10,116.58,117.54,117.54,"6,384,800"
"Jun 27, 2023",116.74,119.94,115.65,119.79,119.79,"7,308,900"
"Jun 26, 2023",114.56,117.61,114.30,116.63,116.63,"9,377,000"
"Jun 23, 2023",114.09,115.28,113.03,113.43,113.43,"11,937,500"
"Jun 22, 2023",116.01,116.68,114.91,116.40,116.40,"7,283,000"
"Jun 21, 2023",118.61,119.02,115.67,115.76,115.76,"7,925,400"
"Jun 20, 2023",121.94,122.37,118.71,119.82,119.82,"8,667,400"
"Jun 16, 2023",124.59,124.98,122.10,122.68,122.68,"12,904,100"
"Jun 15, 2023",121.58,124.69,121.04,123.61,123.61,"8,132,600"
"Jun 14, 2023",124.35,124.43,121.50,123.40,123.40,"7,324,600"
"Jun 13, 2023",124.28,125.40,122.75,124.43,124.43,"8,873,200"
"Jun 12, 2023",121.04,122.31,119.77,122.14,122.14,"9,675,100"
"Jun 09, 2023",117.49,120.85,117.38,119.11,119.11,"13,807,000"
"Jun 08, 2023",115.60,116.64,114.10,116.35,116.35,"5,793,400"
"Jun 07, 2023",116.63,117.16,114.49,115.18,115.18,"7,555,400"
"Jun 06, 2023",112.58,116.79,112.24,116.36,116.36,"7,594,500"
"Jun 05, 2023",115.43,115.92,112.64,112.73,112.73,"7,769,300"
"Jun 02, 2023",117.24,117.40,114.69,115.62,115.62,"7,870,900"
"Jun 01, 2023",114.56,116.56,112.31,115.83,115.83,"8,616,500"
"May 31, 2023",113.56,114.00,111.60,113.41,113.41,"14,924,000"
"May 30, 2023",114.50,116.69,112.61,116.00,115.20,"18,291,800"
"May 26, 2023",104.94,111.28,104.82,110.35,109.59,"15,969,900"
"May 25, 2023",101.93,104.11,101.47,104.02,103.30,"11,677,400"
"May 24, 2023",102.08,103.14,101.58,103.02,102.31,"8,193,700"
"May 23, 2023",104.07,105.64,103.47,103.56,102.85,"7,452,500"
"May 22, 2023",103.67,105.87,103.25,105.28,104.55,"7,912,400"
"May 19, 2023",106.95,107.12,105.52,105.86,105.13,"5,779,700"
"May 18, 2023",104.81,107.12,104.81,106.96,106.22,"9,142,000"
"May 17, 2023",104.19,105.45,103.58,104.81,104.09,"9,504,700"
"May 16, 2023",105.67,106.48,103.72,103.79,103.07,"7,027,000"
"May 15, 2023",103.76,106.40,102.89,106.28,105.55,"7,444,900"
"May 12, 2023",104.47,104.74,102.61,103.62,102.91,"7,632,900"
"May 11, 2023",106.29,106.51,103.68,104.06,103.34,"10,630,500"
"May 10, 2023",107.00,107.48,105.14,106.46,105.73,"7,980,100"
"May 09, 2023",107.00,107.43,105.30,105.77,105.04,"7,804,100"
"May 08, 2023",108.38,108.83,106.87,108.31,107.56,"6,694,400"
"May 05, 2023",108.21,109.27,105.77,108.78,108.03,"10,736,500"
"May 04, 2023",104.03,107.12,103.50,106.58,105.84,"22,117,500"
"May 03, 2023",116.66,116.82,112.60,112.83,112.05,"11,491,700"
"May 02, 2023",116.13,117.06,114.44,116.11,115.31,"7,081,200"
"May 01, 2023",117.21,117.58,115.51,115.84,115.04,"6,208,500"
"Apr 28, 2023",115.10,116.90,113.73,116.80,115.99,"8,651,300"
"Apr 27, 2023",113.88,114.31,112.15,113.92,113.13,"6,945,700"
"Apr 26, 2023",114.29,115.10,113.21,114.16,113.37,"4,671,100"
