Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",380.74,384.52,380.22,383.48,383.48,"56,853,400"
"Jul 27, 2023",383.07,384.71,375.31,376.62,376.62,"63,940,200"
"Jul 26, 2023",377.72,379.24,375.18,377.52,377.52,"47,075,700"
"Jul 25, 2023",376.95,380.47,376.93,378.78,378.78,"38,894,400"
"Jul 24, 2023",376.62,377.58,374.34,376.23,376.23,"40,380,100"
"Jul 21, 2023",379.18,379.92,375.19,375.63,375.63,"60,439,400"
"Jul 20, 2023",382.61,384.10,375.72,376.76,376.76,"71,941,700"
"Jul 19, 2023",386.82,387.98,384.30,385.65,385.65,"54,093,000"
"Jul 18, 2023",381.96,387.13,380.00,385.74,385.74,"55,343,400"
"Jul 17, 2023",379.80,383.50,379.31,382.61,382.61,"40,868,900"
"Jul 14, 2023",379.59,382.86,378.18,379.07,379.07,"55,097,800"
"Jul 13, 2023",376.05,379.99,375.46,379.15,379.15,"46,960,000"
"Jul 12, 2023",372.34,374.19,370.30,372.82,372.82,"61,975,400"
"Jul 11, 2023",366.79,368.63,364.62,368.17,368.17,"38,214,100"
"Jul 10, 2023",365.96,367.05,363.41,366.36,366.36,"48,498,800"
"Jul 07, 2023",367.23,370.48,366.01,366.24,366.24,"47,083,200"
"Jul 06, 2023",366.51,367.91,364.52,367.46,367.46,"49,374,700"
"Jul 05, 2023",368.70,372.01,368.66,370.28,370.28,"34,460,900"
"Jul 03, 2023",370.07,370.93,368.97,370.29,370.29,"19,432,900"
"Jun 30, 2023",367.55,370.49,367.23,369.42,369.42,"58,668,800"
"Jun 29, 2023",364.24,364.89,362.14,363.81,363.81,"46,151,000"
"Jun 28, 2023",361.98,366.52,361.9,364.54,364.54,"46,498,000"
"Jun 27, 2023",359.25,364.57,358.51,363.83,363.83,"49,428,100"
"Jun 26, 2023",362.0,364.84,357.59,357.68,357.68,"52,685,500"
"Jun 23, 2023",362.21,364.88,360.82,362.54,362.54,"48,873,900"
"Jun 22, 2023",360.63,366.33,360.22,366.17,366.17,"47,603,000"
"Jun 21, 2023",365.74,366.18,360.96,361.9,361.9,"53,378,300"
"Jun 20, 2023",365.95,368.32,363.89,366.9,366.9,"49,204,700"
"Jun 16, 2023",372.72,372.85,367.48,367.93,367.43,"80,875,900"
"Jun 15, 2023",364.61,371.77,363.98,370.26,369.75,"71,138,800"
"Jun 14, 2023",363.27,366.19,360.42,365.9,365.4,"69,525,600"
"Jun 13, 2023",363.29,364.11,360.03,363.26,362.76,"57,097,800"
"Jun 12, 2023",356.19,360.59,355.2,360.49,360.0,"44,606,500"
"Jun 09, 2023",354.63,357.66,353.03,354.5,354.01,"53,155,900"
"Jun 08, 2023",349.12,353.62,348.89,353.15,352.67,"47,153,900"
"Jun 07, 2023",355.13,357.12,348.18,348.82,348.34,"69,225,900"
"Jun 06, 2023",354.28,355.82,352.93,354.84,354.35,"41,390,400"
"Jun 05, 2023",354.43,357.5,353.85,354.9,354.41,"47,266,200"
"Jun 02, 2023",353.8,355.83,352.01,354.65,354.16,"53,293,500"
"Jun 01, 2023",347.73,353.36,346.66,352.01,351.53,"50,488,600"
"May 31, 2023",348.37,350.6,346.51,347.99,347.51,"65,105,400"
"May 30, 2023",352.71,353.93,348.53,349.98,349.5,"72,652,200"
"May 26, 2023",340.76,349.25,340.66,348.4,347.92,"63,007,000"
"May 25, 2023",339.14,341.01,336.67,339.72,339.25,"66,862,800"
"May 24, 2023",331.37,332.91,329.56,331.65,331.2,"62,891,200"
"May 23, 2023",335.89,337.06,333.0,333.36,332.9,"48,216,700"
"May 22, 2023",336.25,338.67,336.24,337.64,337.18,"43,015,900"
"May 19, 2023",337.49,338.21,335.43,336.51,336.05,"61,462,400"
"May 18, 2023",331.52,337.49,331.5,337.27,336.81,"64,213,500"
"May 17, 2023",328.24,331.71,327.04,331.12,330.67,"47,486,100"
"May 16, 2023",326.06,328.9,326.02,327.16,326.71,"40,019,200"
"May 15, 2023",325.51,327.03,323.96,326.79,326.34,"33,375,600"
"May 12, 2023",326.74,327.17,322.94,325.03,324.58,"48,396,200"
"May 11, 2023",325.7,326.75,324.12,326.2,325.75,"44,278,500"
"May 10, 2023",324.12,326.01,321.6,325.14,324.69,"60,446,600"
"May 09, 2023",322.0,322.88,321.32,321.64,321.2,"31,768,800"
"May 08, 2023",322.42,324.04,321.32,323.69,323.25,"36,465,800"
"May 05, 2023",318.47,323.76,316.21,322.89,322.45,"51,776,000"
"May 04, 2023",317.06,318.23,315.12,316.17,315.74,"50,224,500"
"May 03, 2023",319.75,322.47,317.18,317.29,316.86,"59,882,100"
"May 02, 2023",322.12,322.45,317.61,319.38,318.94,"56,519,400"
"May 01, 2023",322.09,323.63,321.09,322.19,321.75,"41,013,400"
"Apr 28, 2023",320.11,322.65,318.96,322.56,322.12,"59,652,500"
"Apr 27, 2023",315.7,320.86,315.05,320.35,319.91,"65,430,400"
"Apr 26, 2023",313.44,314.94,311.34,311.87,311.44,"55,400,500"
"Apr 25, 2023",314.29,314.97,309.89,309.99,309.57,"57,121,600"
"Apr 24, 2023",316.38,317.74,313.74,315.95,315.52,"44,043,100"
"Apr 21, 2023",315.91,317.4,314.1,316.61,316.18,"59,002,300"
"Apr 20, 2023",315.69,319.27,314.97,316.28,315.85,"62,462,100"
"Apr 19, 2023",316.41,319.79,316.28,318.71,318.27,"38,960,100"
"Apr 18, 2023",320.99,321.42,317.64,318.86,318.42,"46,746,900"
"Apr 17, 2023",318.15,319.2,316.04,318.84,318.4,"43,007,000"
"Apr 14, 2023",317.59,320.36,315.61,318.57,318.13,"56,278,300"
"Apr 13, 2023",314.83,319.65,313.63,319.17,318.73,"54,613,800"
"Apr 12, 2023",317.82,318.42,312.57,313.04,312.61,"62,813,300"
"Apr 11, 2023",317.83,317.89,315.31,315.83,315.4,"40,113,600"
"Apr 10, 2023",315.07,317.92,313.25,317.87,317.43,"45,134,700"
"Apr 06, 2023",314.24,318.55,312.82,318.05,317.61,"46,916,500"
"Apr 05, 2023",318.1,319.06,314.07,315.92,315.49,"62,795,700"
"Apr 04, 2023",320.6,321.63,317.83,319.07,318.63,"45,875,400"
"Apr 03, 2023",318.77,320.42,317.42,320.15,319.71,"47,126,800"
"Mar 31, 2023",315.91,321.17,315.6,320.93,320.49,"62,138,100"
"Mar 30, 2023",315.24,316.32,312.81,315.68,315.25,"58,354,800"
"Mar 29, 2023",310.88,313.35,310.05,312.72,312.29,"53,274,300"
"Mar 28, 2023",308.17,308.2,304.77,307.12,306.7,"48,585,900"
"Mar 27, 2023",311.6,312.7,307.89,308.76,308.34,"50,287,400"
"Mar 24, 2023",309.32,310.99,306.95,310.89,310.46,"57,195,200"
"Mar 23, 2023",309.92,314.15,307.01,309.75,309.33,"74,576,000"
"Mar 22, 2023",310.27,315.25,305.95,306.12,305.7,"75,791,900"
"Mar 21, 2023",307.94,310.8,306.4,310.34,309.91,"49,757,000"
"Mar 20, 2023",304.26,306.3,302.01,305.97,305.55,"56,359,500"
"Mar 17, 2023",306.72,309.15,303.37,305.36,304.47,"89,923,700"
"Mar 16, 2023",298.0,307.18,297.19,306.81,305.92,"98,198,100"
"Mar 15, 2023",294.71,299.27,293.24,298.93,298.06,"83,631,500"
"Mar 14, 2023",294.31,297.93,293.45,297.37,296.5,"73,602,500"
"Mar 13, 2023",286.73,294.47,285.19,290.69,289.84,"97,123,600"
"Mar 10, 2023",292.83,294.35,287.38,288.55,287.71,"98,593,600"
"Mar 09, 2023",298.33,300.98,291.83,292.66,291.81,"71,456,700"
"Mar 08, 2023",296.77,298.43,294.88,297.82,296.95,"50,876,300"
"Mar 07, 2023",300.07,301.01,295.72,296.34,295.48,"65,955,800"
"Mar 06, 2023",300.94,304.0,299.82,300.02,299.15,"56,736,300"
"Mar 03, 2023",295.39,299.92,294.87,299.68,298.81,"60,511,500"
"Mar 02, 2023",288.66,294.43,288.37,293.61,292.75,"53,565,900"
"Mar 01, 2023",293.26,293.93,290.2,291.2,290.35,"58,287,000"
"Feb 28, 2023",293.3,296.12,292.96,293.56,292.7,"48,243,100"
"Feb 27, 2023",295.07,296.49,293.34,293.94,293.08,"48,995,000"
"Feb 24, 2023",291.76,292.97,290.05,291.85,291.0,"74,332,000"
"Feb 23, 2023",297.97,298.13,292.55,296.82,295.96,"69,294,400"
"Feb 22, 2023",294.62,296.36,292.56,294.25,293.39,"51,389,200"
"Feb 21, 2023",297.26,298.73,293.89,294.03,293.17,"46,526,700"
"Feb 17, 2023",301.07,301.93,298.1,301.16,300.28,"58,230,700"
"Feb 16, 2023",304.38,308.43,303.15,303.3,302.42,"59,498,600"
"Feb 15, 2023",304.9,309.27,304.2,309.1,308.2,"43,100,600"
"Feb 14, 2023",302.89,307.72,300.91,306.75,305.86,"64,079,100"
"Feb 13, 2023",301.13,305.1,299.93,304.5,303.61,"39,636,700"
"Feb 10, 2023",299.48,301.57,297.25,299.7,298.83,"50,050,100"
"Feb 09, 2023",308.84,308.99,300.2,301.68,300.8,"49,137,800"
"Feb 08, 2023",308.54,309.5,303.67,304.37,303.48,"56,720,900"
"Feb 07, 2023",303.46,311.03,302.32,309.88,308.98,"67,584,000"
"Feb 06, 2023",303.51,305.91,302.22,303.59,302.71,"40,802,300"
"Feb 03, 2023",304.94,312.39,304.54,306.18,305.29,"76,170,800"
"Feb 02, 2023",307.57,313.68,306.73,311.72,310.81,"83,070,600"
"Feb 01, 2023",294.41,303.43,292.3,300.92,300.04,"67,562,200"
"Jan 31, 2023",290.31,294.72,290.2,294.62,293.76,"46,705,100"
"Jan 30, 2023",292.93,294.38,289.89,290.27,289.42,"49,405,800"
"Jan 27, 2023",292.0,298.26,291.88,296.26,295.4,"56,441,900"
"Jan 26, 2023",291.22,293.52,288.52,293.34,292.49,"51,596,300"
"Jan 25, 2023",283.77,288.36,281.18,287.73,286.89,"50,872,000"
"Jan 24, 2023",287.31,289.55,286.78,288.37,287.53,"44,875,100"
"Jan 23, 2023",283.54,290.21,282.73,288.96,288.12,"52,799,900"
"Jan 20, 2023",276.79,283.02,275.71,282.68,281.86,"60,613,600"
"Jan 19, 2023",276.22,277.38,273.89,275.15,274.35,"44,150,400"
"Jan 18, 2023",283.11,284.69,277.67,277.88,277.07,"47,754,500"
"Jan 17, 2023",280.77,282.85,279.58,281.54,280.72,"36,269,700"
"Jan 13, 2023",276.5,281.22,276.16,280.97,280.15,"44,802,900"
"Jan 12, 2023",278.12,280.1,273.74,279.05,278.24,"60,600,000"
"Jan 11, 2023",273.92,277.66,273.12,277.55,276.74,"44,077,000"
"Jan 10, 2023",269.49,272.94,268.97,272.83,272.04,"35,247,800"
"Jan 09, 2023",270.83,275.29,269.92,270.54,269.75,"45,568,700"
"Jan 06, 2023",263.35,269.94,260.34,268.8,268.02,"54,659,700"
"Jan 05, 2023",264.04,264.21,261.26,261.58,260.82,"45,396,700"
"Jan 04, 2023",266.64,267.45,262.53,265.74,264.97,"47,754,900"
"Jan 03, 2023",268.65,270.15,262.13,264.48,263.71,"42,335,300"
"Dec 30, 2022",263.62,266.41,262.29,266.28,265.5,"37,858,300"
"Dec 29, 2022",262.96,267.4,262.25,266.44,265.66,"45,893,600"
"Dec 28, 2022",263.17,265.47,259.73,260.1,259.34,"47,139,000"
"Dec 27, 2022",266.74,266.85,263.03,263.58,262.81,"38,009,000"
"Dec 23, 2022",265.47,268.04,263.53,267.36,266.58,"39,373,600"
"Dec 22, 2022",270.38,270.51,262.46,266.76,265.98,"60,278,400"
"Dec 21, 2022",270.6,274.78,269.74,273.45,272.65,"46,394,700"
"Dec 20, 2022",268.56,271.32,266.95,269.54,268.75,"51,064,200"
"Dec 19, 2022",273.87,273.96,268.49,269.75,268.96,"44,167,900"
"Dec 16, 2022",276.2,277.77,272.61,274.25,272.8,"68,300,400"
"Dec 15, 2022",282.33,283.01,275.67,276.89,275.42,"60,554,100"
"Dec 14, 2022",288.05,291.41,283.19,286.51,284.99,"64,984,400"
"Dec 13, 2022",296.65,296.88,285.91,288.65,287.12,"80,667,700"
"Dec 12, 2022",282.22,285.64,281.16,285.58,284.07,"35,732,500"
"Dec 09, 2022",282.81,285.64,281.59,282.04,280.55,"47,860,500"
"Dec 08, 2022",281.91,284.84,279.79,283.85,282.35,"42,594,900"
"Dec 07, 2022",280.47,282.57,278.78,280.53,279.04,"45,614,300"
"Dec 06, 2022",287.48,287.62,280.26,281.68,280.19,"53,937,600"
"Dec 05, 2022",290.38,291.68,286.15,287.64,286.12,"41,482,100"
"Dec 02, 2022",288.54,293.45,288.36,292.55,291.0,"53,583,200"
"Dec 01, 2022",293.69,295.75,290.88,293.72,292.16,"51,547,300"
