Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",38.70,39.56,38.25,38.93,38.93,"7,070,600"
"Jul 27, 2023",40.89,40.93,37.61,37.91,37.91,"9,218,600"
"Jul 26, 2023",39.61,40.23,39.21,39.95,39.95,"4,245,700"
"Jul 25, 2023",39.57,40.28,39.57,39.66,39.66,"4,664,600"
"Jul 24, 2023",40.57,40.57,39.13,39.55,39.55,"7,512,500"
"Jul 21, 2023",41.38,41.92,40.45,40.57,40.57,"7,528,500"
"Jul 20, 2023",43.85,44.25,40.78,41.04,41.04,"10,427,000"
"Jul 19, 2023",45.98,46.25,44.39,44.86,44.86,"9,040,000"
"Jul 18, 2023",45.62,45.81,44.01,45.54,45.54,"10,351,900"
"Jul 17, 2023",43.00,44.59,41.82,44.46,44.46,"6,881,900"
"Jul 14, 2023",44.37,45.09,42.45,43.00,43.00,"9,915,000"
"Jul 13, 2023",44.00,44.76,43.29,44.30,44.30,"10,283,500"
"Jul 12, 2023",44.05,44.05,42.27,43.46,43.46,"14,750,500"
"Jul 11, 2023",41.95,45.15,41.36,43.64,43.64,"17,043,800"
"Jul 10, 2023",41.00,41.79,40.13,41.63,41.63,"6,352,100"
"Jul 07, 2023",40.17,42.29,40.07,41.15,41.15,"10,174,500"
"Jul 06, 2023",40.91,41.40,39.66,39.98,39.98,"7,249,100"
"Jul 05, 2023",41.37,42.18,40.10,41.72,41.72,"10,499,400"
"Jul 03, 2023",40.32,42.18,40.20,42.10,42.10,"5,251,700"
"Jun 30, 2023",39.88,41.38,39.78,40.3,40.3,"11,250,400"
"Jun 29, 2023",40.0,40.2,38.72,38.74,38.74,"9,838,100"
"Jun 28, 2023",41.8,42.99,39.86,40.02,40.02,"12,262,100"
"Jun 27, 2023",39.8,42.18,39.47,41.82,41.82,"11,998,900"
"Jun 26, 2023",37.63,39.42,37.59,39.21,39.21,"8,859,900"
"Jun 23, 2023",38.44,38.73,37.19,37.85,37.85,"8,093,600"
"Jun 22, 2023",38.48,39.37,37.79,39.14,39.14,"8,181,700"
"Jun 21, 2023",41.6,41.77,38.01,38.6,38.6,"14,068,400"
"Jun 20, 2023",41.0,42.34,40.51,41.77,41.77,"9,367,200"
"Jun 16, 2023",40.88,42.86,40.74,41.8,41.8,"15,375,200"
"Jun 15, 2023",39.69,40.88,39.23,40.63,40.63,"7,161,700"
"Jun 14, 2023",40.0,40.08,38.88,39.91,39.91,"8,265,100"
"Jun 13, 2023",40.22,40.49,38.76,40.28,40.28,"10,229,800"
"Jun 12, 2023",38.82,39.37,38.22,38.95,38.95,"6,832,800"
"Jun 09, 2023",39.13,40.08,38.4,38.69,38.69,"5,941,300"
"Jun 08, 2023",38.19,38.91,37.62,38.87,38.87,"6,349,600"
"Jun 07, 2023",40.18,40.98,38.35,38.64,38.64,"9,867,700"
"Jun 06, 2023",40.69,41.63,40.6,41.33,41.33,"7,236,200"
"Jun 05, 2023",40.27,41.14,39.5,40.79,40.79,"6,519,700"
"Jun 02, 2023",42.31,42.99,40.26,40.34,40.34,"9,276,200"
"Jun 01, 2023",41.62,42.9,41.3,42.13,42.13,"6,743,800"
"May 31, 2023",39.34,42.0,39.25,41.86,41.86,"12,351,500"
"May 30, 2023",40.38,40.95,39.3,39.59,39.59,"6,908,600"
"May 26, 2023",39.4,40.49,39.38,40.12,40.12,"4,398,900"
"May 25, 2023",40.79,40.88,39.03,39.51,39.51,"5,852,100"
