Date,Open,High,Low,Close*,Adj Close**,Volume
"Jun 30, 2023",6.50,7.09,6.48,7.01,7.01,"34,343,100"
"Jun 29, 2023",6.20,6.42,6.18,6.42,6.42,"17,921,500"
"Jun 28, 2023",6.17,6.18,5.98,6.07,6.07,"18,189,100"
"Jun 27, 2023",6.26,6.38,6.19,6.20,6.20,"7,749,300"
"Jun 26, 2023",6.03,6.38,6.01,6.28,6.28,"15,231,300"
"Jun 23, 2023",6.04,6.05,5.92,5.99,5.99,"14,308,500"
"Jun 22, 2023",6.15,6.24,6.07,6.17,6.17,"10,028,900"
"Jun 21, 2023",6.21,6.34,6.17,6.29,6.29,"12,548,000"
"Jun 20, 2023",6.19,6.29,5.98,6.24,6.24,"22,019,300"
"Jun 16, 2023",6.25,6.28,6.13,6.23,6.23,"13,954,800"
"Jun 15, 2023",6.10,6.30,6.10,6.22,6.22,"15,795,200"
"Jun 14, 2023",5.98,6.20,5.96,6.16,6.16,"20,200,900"
"Jun 13, 2023",5.89,6.09,5.84,5.86,5.86,"21,896,100"
"Jun 12, 2023",6.10,6.11,5.69,5.71,5.71,"33,543,800"
"Jun 09, 2023",6.30,6.40,6.09,6.24,6.24,"14,745,300"
"Jun 08, 2023",6.29,6.47,6.23,6.30,6.30,"13,087,100"
"Jun 07, 2023",6.45,6.53,6.24,6.34,6.34,"13,918,900"
"Jun 06, 2023",6.20,6.44,6.13,6.31,6.31,"10,898,200"
"Jun 05, 2023",6.70,6.73,6.29,6.32,6.32,"12,756,500"
"Jun 02, 2023",6.32,6.61,6.21,6.58,6.58,"17,435,900"
"Jun 01, 2023",5.73,6.17,5.73,6.13,6.13,"16,060,000"
"May 31, 2023",5.95,6.01,5.72,5.72,5.72,"23,521,700"
"May 30, 2023",6.03,6.13,5.85,6.11,6.11,"13,453,400"
"May 26, 2023",6.37,6.44,6.15,6.20,6.20,"10,948,700"
"May 25, 2023",6.30,6.40,6.13,6.29,6.29,"11,968,900"
"May 24, 2023",6.31,6.47,6.21,6.47,6.47,"11,710,700"
"May 23, 2023",6.35,6.55,6.25,6.26,6.26,"13,731,700"
"May 22, 2023",5.96,6.42,5.94,6.33,6.33,"20,526,800"
"May 19, 2023",5.88,6.03,5.84,5.93,5.93,"12,511,100"
"May 18, 2023",5.82,5.91,5.72,5.80,5.80,"9,622,600"
"May 17, 2023",5.86,5.99,5.76,5.89,5.89,"8,750,300"
"May 16, 2023",5.81,5.85,5.64,5.79,5.79,"9,318,600"
"May 15, 2023",5.91,5.96,5.77,5.86,5.86,"10,392,400"
"May 12, 2023",5.73,5.87,5.65,5.84,5.84,"14,362,400"
"May 11, 2023",5.84,5.85,5.60,5.67,5.67,"14,257,100"
"May 10, 2023",6.06,6.09,5.81,5.95,5.95,"11,942,400"
"May 09, 2023",5.93,6.02,5.84,5.94,5.94,"9,728,600"
"May 08, 2023",6.30,6.39,6.00,6.01,6.01,"16,919,300"
"May 05, 2023",6.11,6.30,6.04,6.16,6.16,"15,443,200"
"May 04, 2023",5.66,5.96,5.56,5.91,5.91,"17,539,300"
"May 03, 2023",5.59,5.88,5.56,5.65,5.65,"14,473,200"
"May 02, 2023",5.85,6.01,5.43,5.73,5.73,"29,467,700"
"May 01, 2023",5.78,6.06,5.68,5.95,5.95,"18,500,100"
"Apr 28, 2023",5.78,6.04,5.74,5.90,5.90,"12,235,300"
"Apr 27, 2023",5.70,5.86,5.65,5.79,5.79,"9,799,900"
"Apr 26, 2023",5.97,6.08,5.68,5.75,5.75,"16,420,700"
"Apr 25, 2023",6.11,6.18,5.87,5.87,5.87,"15,454,900"
"Apr 24, 2023",6.09,6.32,6.02,6.28,6.28,"13,996,800"
"Apr 21, 2023",6.23,6.24,5.98,6.06,6.06,"12,906,500"
"Apr 20, 2023",6.18,6.34,6.13,6.22,6.22,"14,747,300"
"Apr 19, 2023",6.45,6.47,6.12,6.33,6.33,"22,599,000"
