Date,Open,High,Low,Close*,Adj Close**,Volume
"Jun 30, 2023",64.48,65.81,63.22,63.96,63.96,"6,246,700"
"Jun 29, 2023",64.52,65.47,62.66,63.00,63.00,"5,538,700"
"Jun 28, 2023",63.40,65.24,62.51,65.22,65.22,"4,376,800"
"Jun 27, 2023",63.30,64.33,62.23,63.51,63.51,"4,368,300"
"Jun 26, 2023",62.48,64.19,61.53,62.94,62.94,"4,676,300"
"Jun 23, 2023",62.40,63.43,60.61,62.57,62.57,"7,457,100"
"Jun 22, 2023",64.30,64.87,62.85,63.17,63.17,"4,907,100"
"Jun 21, 2023",67.89,68.40,64.29,64.52,64.52,"6,059,100"
"Jun 20, 2023",70.17,70.77,67.70,67.96,67.96,"5,747,900"
"Jun 16, 2023",72.48,72.93,69.45,70.69,70.69,"5,789,800"
"Jun 15, 2023",72.30,72.84,70.45,71.75,71.75,"6,649,900"
"Jun 14, 2023",73.47,75.45,72.06,73.37,73.37,"7,813,500"
"Jun 13, 2023",72.92,73.96,71.03,73.59,73.59,"6,815,400"
"Jun 12, 2023",69.86,72.23,69.28,71.70,71.70,"5,987,500"
"Jun 09, 2023",70.72,74.91,69.20,69.48,69.48,"12,511,700"
"Jun 08, 2023",68.78,70.97,68.00,69.10,69.10,"10,985,200"
"Jun 07, 2023",65.18,72.52,64.75,68.03,68.03,"23,389,400"
"Jun 06, 2023",60.13,63.61,60.02,62.98,62.98,"6,137,700"
"Jun 05, 2023",59.44,61.67,59.40,60.92,60.92,"5,053,400"
"Jun 02, 2023",60.00,60.95,58.85,60.14,60.14,"5,139,700"
"Jun 01, 2023",58.17,59.27,56.48,58.55,58.55,"3,971,400"
"May 31, 2023",57.01,58.31,56.30,58.20,58.20,"4,344,700"
"May 30, 2023",57.49,59.17,56.42,57.73,57.73,"4,142,100"
"May 26, 2023",54.36,56.45,53.94,56.05,56.05,"3,875,000"
"May 25, 2023",58.73,58.93,54.44,54.58,54.58,"5,792,500"
"May 24, 2023",55.34,58.34,55.12,58.18,58.18,"7,028,300"
"May 23, 2023",56.26,58.66,55.68,55.88,55.88,"6,992,200"
"May 22, 2023",52.53,56.65,52.30,56.62,56.62,"6,564,200"
"May 19, 2023",53.41,54.00,52.53,52.61,52.61,"4,501,700"
"May 18, 2023",52.70,54.60,51.75,53.81,53.81,"5,637,800"
"May 17, 2023",52.19,53.62,51.62,52.56,52.56,"4,440,200"
"May 16, 2023",53.44,53.59,52.10,52.23,52.23,"5,157,900"
"May 15, 2023",53.71,54.85,52.94,54.02,54.02,"4,724,200"
"May 12, 2023",57.00,57.00,52.92,53.73,53.73,"7,599,600"
"May 11, 2023",56.30,57.07,54.68,56.85,56.85,"5,217,800"
"May 10, 2023",56.86,57.71,55.38,55.93,55.93,"4,672,000"
"May 09, 2023",55.12,55.85,54.42,55.42,55.42,"3,523,800"
"May 08, 2023",54.96,56.30,54.02,55.71,55.71,"4,447,300"
"May 05, 2023",53.70,55.34,52.97,54.97,54.97,"4,758,500"
"May 04, 2023",53.07,53.60,52.11,52.79,52.79,"4,869,500"
"May 03, 2023",55.33,56.20,53.47,53.51,53.51,"6,965,700"
"May 02, 2023",56.30,56.46,54.98,55.35,55.35,"6,164,900"
"May 01, 2023",56.48,57.38,55.51,56.68,56.68,"5,579,400"
"Apr 28, 2023",56.63,57.04,54.80,56.21,56.21,"8,415,000"
"Apr 27, 2023",54.82,58.84,53.83,57.01,57.01,"15,582,400"
"Apr 26, 2023",58.66,59.60,56.27,56.56,56.56,"12,005,600"
"Apr 25, 2023",59.21,60.42,57.32,57.72,57.72,"7,424,900"
"Apr 24, 2023",58.25,60.15,57.46,59.06,59.06,"8,070,000"
