Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",101.50,101.83,100.81,101.25,101.25,"5,320,700"
"Jul 27, 2023",102.03,102.43,100.54,100.78,100.78,"5,373,400"
"Jul 26, 2023",102.21,102.67,101.30,101.73,101.73,"6,568,300"
"Jul 25, 2023",102.43,103.77,102.33,102.92,102.92,"5,627,500"
"Jul 24, 2023",102.88,103.41,102.32,102.78,102.78,"4,746,600"
"Jul 21, 2023",101.80,103.55,101.61,102.82,102.82,"20,369,100"
"Jul 20, 2023",101.78,102.48,100.70,100.88,100.88,"5,466,100"
"Jul 19, 2023",100.62,101.98,100.62,101.83,101.83,"5,556,200"
"Jul 18, 2023",100.74,101.42,99.86,100.76,100.76,"5,991,000"
"Jul 17, 2023",100.83,101.81,100.04,100.93,100.93,"5,244,500"
"Jul 14, 2023",101.77,102.08,100.99,101.61,101.61,"3,934,400"
"Jul 13, 2023",101.51,102.20,101.30,101.60,101.60,"4,511,700"
"Jul 12, 2023",101.42,101.83,100.76,101.14,101.14,"6,971,900"
"Jul 11, 2023",99.44,100.23,99.14,100.09,100.09,"5,271,700"
"Jul 10, 2023",96.30,99.53,96.23,99.13,99.13,"9,294,600"
"Jul 07, 2023",95.99,96.66,95.55,96.05,96.05,"7,887,400"
"Jul 06, 2023",97.86,98.07,95.91,96.20,96.20,"7,153,300"
"Jul 05, 2023",99.15,99.33,98.29,98.46,98.46,"6,365,400"
"Jul 03, 2023",98.73,99.57,98.25,99.15,99.15,"3,287,000"
"Jun 30, 2023",99.4,99.46,98.54,99.06,99.06,"6,228,900"
"Jun 29, 2023",98.61,98.83,97.98,98.68,98.68,"5,113,500"
"Jun 28, 2023",98.64,98.64,97.3,98.61,98.61,"6,581,900"
"Jun 27, 2023",98.39,99.06,97.73,98.72,98.72,"5,034,100"
"Jun 26, 2023",98.34,98.77,97.48,98.23,98.23,"6,069,000"
"Jun 23, 2023",99.65,99.73,97.52,98.34,98.34,"18,770,100"
"Jun 22, 2023",101.42,101.64,99.64,100.85,100.85,"6,125,500"
"Jun 21, 2023",100.6,102.46,100.36,101.87,101.87,"5,508,800"
"Jun 20, 2023",101.86,102.49,100.9,101.27,101.27,"5,506,400"
"Jun 16, 2023",102.01,102.51,101.48,101.87,101.87,"11,708,300"
"Jun 15, 2023",101.34,101.99,100.66,101.38,101.38,"6,448,200"
"Jun 14, 2023",99.56,101.36,99.19,100.66,100.66,"9,279,500"
"Jun 13, 2023",98.51,99.47,98.51,99.26,99.26,"5,137,900"
"Jun 12, 2023",97.96,98.51,97.52,98.46,98.46,"6,705,800"
"Jun 09, 2023",98.8,98.96,97.64,97.96,97.96,"5,550,800"
"Jun 08, 2023",97.65,99.18,96.92,99.15,99.15,"6,877,800"
"Jun 07, 2023",98.55,98.86,97.59,97.92,97.92,"6,285,600"
"Jun 06, 2023",99.74,100.33,97.53,98.22,98.22,"8,657,100"
"Jun 05, 2023",100.04,100.87,99.5,99.93,99.93,"6,536,500"
"Jun 02, 2023",98.31,99.66,98.19,99.5,99.5,"6,220,300"
"Jun 01, 2023",97.59,98.23,96.52,97.52,97.52,"6,752,200"
"May 31, 2023",98.03,98.08,96.98,97.64,97.64,"10,377,100"
"May 30, 2023",98.89,98.96,97.31,97.75,97.75,"6,505,400"
"May 26, 2023",98.63,99.61,98.33,98.53,98.53,"7,276,500"
"May 25, 2023",98.7,98.9,97.73,98.44,98.44,"8,177,000"
"May 24, 2023",100.8,100.81,99.11,99.61,99.61,"6,134,800"
"May 23, 2023",102.12,102.14,100.08,100.34,100.34,"6,766,300"
"May 22, 2023",105.52,105.7,102.77,102.9,102.9,"7,504,300"
"May 19, 2023",107.0,107.15,105.32,105.51,105.51,"4,984,700"
"May 18, 2023",105.42,107.14,105.2,107.09,107.09,"5,377,500"
"May 17, 2023",105.96,106.54,104.95,105.69,105.69,"4,757,300"
"May 16, 2023",106.41,106.56,105.2,105.28,105.28,"3,676,600"
"May 15, 2023",106.11,106.76,105.61,106.64,106.64,"4,217,000"
"May 12, 2023",105.76,106.22,104.83,106.12,106.12,"5,167,600"
"May 11, 2023",106.44,106.76,105.12,105.63,105.63,"4,791,700"
"May 10, 2023",107.16,108.11,105.68,106.97,106.44,"4,565,000"
"May 09, 2023",106.99,107.18,106.4,106.71,106.18,"3,682,400"
"May 08, 2023",107.47,108.12,106.93,107.17,106.64,"6,090,700"
"May 05, 2023",105.55,107.48,105.38,107.21,106.68,"7,812,000"
"May 04, 2023",104.27,105.67,103.8,104.72,104.2,"8,858,100"
"May 03, 2023",109.08,109.72,103.8,103.96,103.44,"24,388,600"
"May 02, 2023",114.49,114.56,112.85,114.46,113.89,"9,626,400"
"May 01, 2023",114.25,115.48,114.25,114.56,113.99,"6,495,900"
"Apr 28, 2023",112.42,114.31,112.29,114.29,113.72,"5,973,400"
"Apr 27, 2023",111.39,112.88,111.18,112.75,112.19,"7,618,500"
"Apr 26, 2023",109.01,112.33,109.01,111.47,110.92,"8,081,600"
"Apr 25, 2023",108.91,111.11,108.83,109.34,108.8,"8,747,100"
"Apr 24, 2023",108.19,109.29,108.04,109.29,108.75,"5,940,700"
"Apr 21, 2023",107.3,108.78,106.66,108.19,107.65,"4,522,800"
"Apr 20, 2023",106.19,107.58,106.19,107.05,106.52,"4,297,200"
"Apr 19, 2023",107.69,107.86,107.08,107.16,106.63,"4,617,800"
"Apr 18, 2023",108.87,109.23,107.73,107.91,107.38,"5,300,500"
"Apr 17, 2023",107.96,108.65,107.56,108.31,107.77,"4,780,700"
"Apr 14, 2023",106.91,108.17,106.85,107.47,106.94,"3,963,300"
"Apr 13, 2023",106.38,107.23,106.25,106.99,106.46,"4,367,600"
"Apr 12, 2023",106.24,106.58,105.35,105.6,105.08,"4,606,000"
"Apr 11, 2023",105.06,106.4,104.92,105.74,105.22,"4,010,600"
"Apr 10, 2023",103.55,104.82,103.07,104.74,104.22,"3,761,600"
"Apr 06, 2023",104.9,105.16,104.02,104.68,104.16,"3,155,700"
"Apr 05, 2023",103.98,105.7,103.93,104.9,104.38,"5,170,900"
"Apr 04, 2023",104.85,105.01,103.35,104.0,103.48,"3,854,400"
"Apr 03, 2023",104.06,104.94,103.67,104.85,104.33,"3,855,400"
"Mar 31, 2023",101.84,104.28,101.84,104.13,103.61,"6,900,100"
"Mar 30, 2023",101.44,101.7,100.65,101.32,100.82,"4,082,600"
"Mar 29, 2023",99.33,100.69,98.74,100.62,100.12,"4,946,600"
"Mar 28, 2023",98.14,98.91,98.08,98.72,98.23,"4,709,800"
"Mar 27, 2023",98.92,99.72,98.58,98.66,98.17,"6,022,200"
"Mar 24, 2023",98.22,98.43,97.19,98.34,97.85,"4,685,400"
"Mar 23, 2023",99.34,100.13,97.52,98.42,97.93,"6,879,200"
"Mar 22, 2023",100.69,101.48,99.06,99.12,98.63,"5,917,700"
"Mar 21, 2023",100.51,101.19,100.14,100.54,100.04,"4,743,700"
"Mar 20, 2023",99.1,100.22,98.93,99.85,99.36,"4,864,000"
"Mar 17, 2023",99.07,99.29,97.84,98.7,98.21,"10,189,700"
"Mar 16, 2023",99.14,100.71,99.03,100.43,99.93,"8,188,600"
"Mar 15, 2023",98.4,99.37,97.28,99.34,98.85,"6,603,300"
"Mar 14, 2023",100.11,100.38,98.47,99.46,98.97,"6,248,800"
"Mar 13, 2023",98.91,100.2,98.37,99.08,98.59,"6,408,200"
"Mar 10, 2023",100.62,101.24,99.03,99.38,98.89,"6,641,900"
"Mar 09, 2023",102.74,102.75,99.96,100.3,99.8,"5,732,300"
"Mar 08, 2023",102.9,103.02,101.73,102.5,101.99,"4,225,500"
"Mar 07, 2023",104.99,105.68,103.12,103.34,102.83,"3,976,300"
"Mar 06, 2023",104.45,105.94,104.44,104.99,104.47,"5,237,100"
"Mar 03, 2023",103.4,104.69,103.01,104.55,104.03,"4,882,100"
"Mar 02, 2023",101.28,103.17,100.94,103.01,102.5,"4,777,600"
"Mar 01, 2023",102.19,102.33,100.91,101.43,100.93,"5,382,200"
"Feb 28, 2023",101.99,102.95,101.9,102.09,101.58,"5,186,500"
"Feb 27, 2023",102.33,103.3,102.15,102.44,101.93,"5,235,100"
"Feb 24, 2023",102.65,102.72,100.82,101.6,101.1,"6,019,700"
"Feb 23, 2023",105.51,105.51,102.63,103.51,103.0,"6,857,900"
"Feb 22, 2023",105.41,105.94,104.39,104.77,104.25,"7,523,700"
"Feb 21, 2023",105.5,105.95,104.71,104.78,104.26,"5,438,000"
"Feb 17, 2023",106.74,107.46,106.23,107.1,106.57,"6,876,400"
"Feb 16, 2023",107.76,109.1,107.41,107.54,107.01,"4,596,800"
"Feb 15, 2023",107.5,109.0,107.26,109.0,108.46,"4,059,100"
"Feb 14, 2023",107.93,108.47,106.7,107.98,107.44,"5,109,400"
"Feb 13, 2023",107.45,108.93,107.28,108.52,107.98,"5,192,400"
"Feb 10, 2023",105.52,107.26,105.47,107.09,106.56,"6,298,600"
"Feb 09, 2023",105.73,106.61,105.6,106.05,105.52,"5,608,400"
"Feb 08, 2023",106.32,106.54,105.65,106.3,105.25,"5,557,500"
"Feb 07, 2023",104.83,107.38,104.56,106.83,105.77,"6,207,500"
"Feb 06, 2023",104.0,106.17,103.3,105.02,103.98,"6,392,200"
"Feb 03, 2023",104.58,106.44,103.04,104.3,103.27,"15,200,500"
"Feb 02, 2023",110.04,110.83,108.0,109.15,108.07,"9,852,900"
"Feb 01, 2023",108.97,110.78,107.98,109.99,108.9,"5,841,200"
"Jan 31, 2023",108.26,109.15,107.5,109.14,108.06,"5,816,300"
"Jan 30, 2023",108.26,108.87,107.42,108.4,107.33,"6,880,700"
"Jan 27, 2023",108.74,109.76,108.34,109.02,107.94,"6,851,100"
"Jan 26, 2023",107.3,108.8,107.06,108.76,107.68,"6,324,100"
"Jan 25, 2023",106.06,107.14,105.9,106.98,105.92,"5,416,900"
"Jan 24, 2023",106.4,106.87,105.41,106.64,105.58,"5,517,200"
"Jan 23, 2023",105.04,106.89,104.4,106.21,105.16,"6,320,500"
"Jan 20, 2023",104.4,105.2,103.89,105.04,104.0,"6,543,500"
"Jan 19, 2023",105.0,105.7,104.24,104.26,103.23,"5,115,800"
"Jan 18, 2023",107.14,107.47,104.91,105.0,103.96,"5,725,800"
"Jan 17, 2023",106.95,107.6,106.31,106.75,105.69,"7,477,200"
"Jan 13, 2023",105.07,107.3,105.07,107.23,106.17,"5,529,700"
"Jan 12, 2023",106.29,106.44,105.17,105.85,104.8,"4,882,000"
"Jan 11, 2023",105.81,106.44,104.86,106.3,105.25,"5,634,400"
"Jan 10, 2023",104.36,106.43,104.17,106.0,104.95,"4,183,600"
"Jan 09, 2023",106.52,106.68,104.43,104.74,103.7,"10,124,800"
"Jan 06, 2023",105.38,107.0,105.01,106.69,105.63,"9,644,100"
"Jan 05, 2023",104.49,105.1,103.49,104.43,103.39,"5,575,100"
"Jan 04, 2023",102.69,104.73,102.55,104.46,103.42,"8,166,600"
"Jan 03, 2023",100.56,101.17,99.47,100.83,99.83,"6,607,700"
"Dec 30, 2022",99.19,99.25,98.24,99.2,98.22,"3,988,900"
"Dec 29, 2022",99.0,100.65,98.67,99.77,98.78,"3,976,100"
"Dec 28, 2022",99.41,99.91,98.39,98.6,97.62,"3,491,500"
"Dec 27, 2022",98.57,99.46,98.21,99.2,98.22,"4,402,500"
"Dec 23, 2022",97.59,98.3,96.88,98.27,97.3,"3,944,500"
"Dec 22, 2022",98.45,98.56,96.17,97.76,96.79,"4,756,900"
"Dec 21, 2022",96.72,99.07,96.35,98.67,97.69,"5,566,300"
"Dec 20, 2022",98.19,98.58,97.27,98.0,97.03,"4,533,500"
"Dec 19, 2022",98.43,98.81,97.73,98.3,97.33,"5,771,100"
"Dec 16, 2022",99.28,99.54,98.02,98.83,97.85,"13,862,300"
"Dec 15, 2022",101.21,101.55,99.45,99.99,99.0,"7,244,400"
"Dec 14, 2022",102.32,103.3,100.7,102.19,101.18,"5,624,000"
"Dec 13, 2022",104.82,105.2,100.99,102.11,101.1,"7,066,000"
"Dec 12, 2022",101.13,102.85,100.82,102.7,101.68,"5,796,000"
"Dec 09, 2022",103.43,103.5,101.75,101.79,100.78,"7,999,600"
"Dec 08, 2022",102.74,103.91,102.4,103.74,102.71,"5,465,100"
"Dec 07, 2022",101.29,102.97,101.06,101.87,100.86,"4,194,300"
"Dec 06, 2022",103.82,104.19,101.44,102.08,101.07,"8,383,000"
"Dec 05, 2022",103.39,104.24,103.0,103.55,102.52,"9,285,800"
"Dec 02, 2022",102.02,105.54,101.82,105.05,104.01,"7,916,900"
"Dec 01, 2022",102.33,103.56,101.95,103.37,102.35,"7,452,300"
"Nov 30, 2022",99.05,102.56,98.52,102.2,101.19,"15,000,800"
"Nov 29, 2022",98.96,99.33,98.2,98.66,97.68,"4,423,900"
"Nov 28, 2022",98.99,100.16,98.56,98.66,97.68,"5,257,300"
"Nov 25, 2022",99.64,99.88,98.52,99.56,98.57,"2,320,000"
"Nov 23, 2022",98.49,100.08,98.27,99.52,98.53,"5,944,900"
"Nov 22, 2022",98.5,98.73,97.52,98.43,97.45,"5,398,600"
"Nov 21, 2022",96.99,98.49,96.7,98.32,97.35,"4,499,200"
"Nov 18, 2022",97.75,98.35,97.13,97.95,96.98,"5,964,800"
"Nov 17, 2022",95.21,97.01,95.1,96.97,96.01,"5,245,600"
"Nov 16, 2022",96.52,97.96,96.26,97.07,96.11,"5,348,900"
"Nov 15, 2022",98.91,99.53,97.29,97.83,96.86,"6,410,000"
"Nov 14, 2022",97.13,98.56,96.69,97.42,96.45,"8,521,100"
"Nov 11, 2022",96.76,98.67,96.57,97.38,96.41,"8,294,400"
"Nov 10, 2022",93.89,96.42,93.33,96.26,95.31,"10,408,400"
"Nov 09, 2022",91.61,92.6,91.34,91.63,90.72,"6,271,200"
"Nov 08, 2022",90.92,93.78,90.92,92.75,91.31,"9,675,500"
"Nov 07, 2022",91.67,92.36,89.28,90.45,89.04,"10,190,200"
"Nov 04, 2022",91.98,93.6,90.52,91.86,90.43,"20,194,300"
"Nov 03, 2022",84.07,85.47,82.97,84.68,83.36,"8,855,100"
"Nov 02, 2022",87.27,88.58,84.53,84.58,83.26,"7,653,200"
"Nov 01, 2022",88.06,88.88,86.58,87.1,85.74,"6,219,600"
"Oct 31, 2022",86.6,87.57,85.95,86.59,85.24,"7,401,100"
"Oct 28, 2022",85.17,87.79,84.31,87.1,85.74,"8,284,900"
"Oct 27, 2022",86.13,86.4,84.08,85.28,83.95,"9,524,600"
"Oct 26, 2022",85.61,88.23,85.48,85.89,84.55,"9,987,000"
"Oct 25, 2022",84.1,86.0,84.1,85.21,83.88,"10,674,000"
"Oct 24, 2022",86.9,87.51,82.43,83.76,82.46,"16,499,300"
"Oct 21, 2022",87.0,88.97,86.56,88.61,87.23,"9,088,800"
"Oct 20, 2022",87.33,88.23,86.47,86.79,85.44,"4,540,700"
"Oct 19, 2022",88.39,89.13,87.01,87.52,86.16,"6,473,400"
"Oct 18, 2022",90.11,90.47,88.08,88.96,87.57,"5,484,400"
"Oct 17, 2022",87.9,89.22,87.81,88.9,87.52,"6,255,300"
"Oct 14, 2022",90.01,90.7,86.24,86.37,85.02,"6,315,200"
"Oct 13, 2022",85.09,89.97,84.71,89.37,87.98,"7,616,600"
