Date,Open,High,Low,Close*,Adj Close**,Volume
"Jun 30, 2023",57.55,57.82,56.07,56.68,56.68,"18,000,700"
"Jun 29, 2023",56.82,57.35,56.49,57.14,57.14,"15,151,100"
"Jun 28, 2023",55.46,55.81,55.04,55.78,55.78,"9,910,600"
"Jun 27, 2023",53.74,55.40,53.07,55.22,55.22,"12,367,300"
"Jun 26, 2023",53.31,53.64,52.97,53.41,53.41,"10,131,400"
"Jun 23, 2023",52.70,53.36,52.51,53.17,53.17,"21,939,000"
"Jun 22, 2023",53.95,53.98,52.75,53.21,53.21,"9,009,500"
"Jun 21, 2023",53.80,54.12,53.41,53.97,53.97,"13,934,100"
"Jun 20, 2023",53.99,54.14,53.41,53.93,53.93,"9,151,500"
"Jun 16, 2023",55.89,55.89,54.27,54.40,54.40,"19,691,000"
"Jun 15, 2023",54.13,55.60,53.95,55.51,55.51,"12,833,800"
"Jun 14, 2023",54.20,55.34,53.71,54.35,54.35,"14,994,400"
"Jun 13, 2023",54.00,55.12,53.83,54.75,54.75,"10,611,600"
"Jun 12, 2023",54.95,55.04,53.11,53.97,53.97,"11,268,600"
"Jun 09, 2023",55.14,55.33,54.72,55.00,55.00,"7,863,000"
"Jun 08, 2023",55.46,55.60,53.91,55.03,55.03,"11,732,600"
"Jun 07, 2023",54.98,56.12,54.34,55.63,55.63,"15,622,200"
"Jun 06, 2023",53.84,54.68,53.69,54.61,54.61,"10,894,800"
"Jun 05, 2023",54.40,54.59,53.45,54.41,54.41,"8,658,000"
"Jun 02, 2023",53.15,54.67,53.15,54.37,54.37,"12,259,900"
"Jun 01, 2023",53.25,53.31,52.37,52.70,52.70,"10,750,300"
"May 31, 2023",53.38,53.55,52.47,52.69,52.69,"17,631,500"
"May 30, 2023",54.00,54.35,53.19,53.84,53.84,"12,334,200"
"May 26, 2023",54.22,54.50,53.38,53.67,53.67,"11,521,400"
"May 25, 2023",51.90,54.27,51.71,54.24,54.24,"18,822,400"
"May 24, 2023",52.27,52.65,51.94,52.08,52.08,"10,073,300"
"May 23, 2023",52.22,53.35,52.16,52.79,52.79,"14,865,300"
"May 22, 2023",52.00,52.14,51.26,51.97,51.97,"9,277,400"
"May 19, 2023",52.13,52.22,51.12,51.67,51.67,"11,893,200"
"May 18, 2023",51.96,52.15,51.00,51.75,51.75,"12,764,900"
"May 17, 2023",50.71,52.17,50.07,51.82,51.82,"19,884,400"
"May 16, 2023",50.67,51.20,50.08,50.09,50.09,"12,351,700"
"May 15, 2023",50.51,51.80,50.20,50.94,50.94,"22,098,000"
"May 12, 2023",48.70,49.79,48.32,48.94,48.94,"19,332,000"
"May 11, 2023",47.15,47.78,46.55,47.73,47.73,"11,764,000"
"May 10, 2023",48.64,48.72,47.20,47.55,47.30,"12,343,400"
"May 09, 2023",47.54,48.28,47.11,47.94,47.69,"11,467,400"
"May 08, 2023",49.98,50.26,47.50,47.63,47.38,"19,204,700"
"May 05, 2023",49.10,50.28,48.57,49.24,48.98,"22,007,000"
"May 04, 2023",47.18,47.60,45.65,47.37,47.12,"26,316,200"
"May 03, 2023",50.38,50.59,47.75,48.03,47.78,"22,505,400"
"May 02, 2023",51.60,51.70,49.05,50.10,49.84,"20,934,400"
"May 01, 2023",52.11,53.08,51.40,51.81,51.54,"11,041,000"
"Apr 28, 2023",51.16,52.43,50.80,52.24,51.97,"12,788,300"
"Apr 27, 2023",50.73,52.30,50.36,51.73,51.46,"12,315,900"
"Apr 26, 2023",50.52,51.27,50.30,50.60,50.33,"11,422,600"
"Apr 25, 2023",52.63,52.84,50.86,51.03,50.76,"17,042,900"
"Apr 24, 2023",53.65,54.22,53.01,53.12,52.84,"13,246,100"
"Apr 21, 2023",54.26,54.31,53.10,53.80,53.52,"17,572,800"
"Apr 20, 2023",54.56,55.88,53.75,54.00,53.72,"24,735,700"
"Apr 19, 2023",54.00,56.27,53.99,55.55,55.26,"35,415,600"
"Apr 18, 2023",52.50,54.25,52.28,54.00,53.72,"36,872,300"
"Apr 17, 2023",49.50,52.82,49.00,52.77,52.49,"52,377,600"
"Apr 14, 2023",52.16,52.28,50.12,50.77,50.50,"32,171,900"
"Apr 13, 2023",51.62,51.95,51.30,51.49,51.22,"16,165,100"
"Apr 12, 2023",52.07,52.78,51.27,51.92,51.65,"19,174,400"
"Apr 11, 2023",51.55,52.29,51.23,51.71,51.44,"19,861,900"
"Apr 10, 2023",49.51,52.17,49.49,51.72,51.45,"31,528,500"
"Apr 06, 2023",48.80,49.74,48.57,49.35,49.09,"28,155,000"
"Apr 05, 2023",49.07,49.42,48.36,48.87,48.61,"37,753,000"
"Apr 04, 2023",51.65,51.94,49.89,50.00,49.74,"29,144,500"
"Apr 03, 2023",52.78,53.59,51.54,51.57,51.30,"24,883,200"
"Mar 31, 2023",52.45,52.65,50.76,52.38,52.10,"43,886,100"
"Mar 30, 2023",53.77,54.17,51.87,52.47,52.19,"45,460,400"
"Mar 29, 2023",53.97,55.24,53.09,55.21,54.92,"26,360,200"
"Mar 28, 2023",54.34,54.54,52.97,53.85,53.57,"23,163,200"
"Mar 27, 2023",54.82,55.30,54.10,54.86,54.57,"27,218,100"
"Mar 24, 2023",52.09,54.11,51.11,53.26,52.98,"45,393,100"
"Mar 23, 2023",56.15,56.89,52.80,52.89,52.61,"46,162,500"
"Mar 22, 2023",59.06,59.29,56.25,56.26,55.96,"35,735,700"
"Mar 21, 2023",58.50,60.00,57.32,59.47,59.16,"39,433,900"
"Mar 20, 2023",58.56,59.97,55.95,56.11,55.81,"46,523,700"
"Mar 17, 2023",56.53,57.31,53.76,56.41,56.11,"64,528,800"
"Mar 16, 2023",58.41,60.00,55.84,57.88,57.58,"66,199,500"
"Mar 15, 2023",57.05,59.98,54.54,59.55,59.24,"87,012,300"
"Mar 14, 2023",59.29,61.11,55.00,56.68,56.38,"112,494,900"
"Mar 13, 2023",51.76,54.90,45.00,51.91,51.64,"148,476,900"
"Mar 10, 2023",65.66,65.66,57.31,58.70,58.39,"88,882,900"
"Mar 09, 2023",72.61,73.16,64.36,66.47,66.12,"40,220,100"
"Mar 08, 2023",74.90,76.47,74.81,76.20,75.80,"5,371,900"
"Mar 07, 2023",76.40,76.64,74.88,74.95,74.56,"6,377,900"
