Date,Open,High,Low,Close*,Adj Close**,Volume
"Jun 30, 2023",56.80,58.70,56.40,58.04,58.04,"5,581,600"
"Jun 29, 2023",57.15,57.47,56.52,56.88,56.88,"3,334,900"
"Jun 28, 2023",56.91,57.48,56.23,57.10,57.10,"5,210,400"
"Jun 27, 2023",57.74,58.08,56.88,57.34,57.34,"4,426,300"
"Jun 26, 2023",58.65,58.86,56.59,56.99,56.99,"4,612,200"
"Jun 23, 2023",58.19,58.99,57.77,58.91,58.91,"4,010,900"
"Jun 22, 2023",59.97,60.00,58.92,59.49,59.49,"3,281,100"
"Jun 21, 2023",61.03,61.19,59.68,60.31,60.31,"2,863,400"
"Jun 20, 2023",61.13,62.41,60.93,61.21,61.21,"2,951,900"
"Jun 16, 2023",63.47,63.55,61.33,62.08,62.08,"4,707,000"
"Jun 15, 2023",63.06,63.51,61.41,62.87,62.87,"5,451,900"
"Jun 14, 2023",66.00,66.10,62.69,63.64,63.64,"4,509,600"
"Jun 13, 2023",66.08,66.39,64.13,65.70,65.70,"5,013,400"
"Jun 12, 2023",63.99,65.69,63.92,65.03,65.03,"3,602,800"
"Jun 09, 2023",63.99,64.97,63.01,63.38,63.38,"3,515,100"
"Jun 08, 2023",61.70,64.16,61.05,63.54,63.54,"5,500,100"
"Jun 07, 2023",62.00,62.80,60.30,60.97,60.97,"4,765,300"
"Jun 06, 2023",58.05,61.32,58.01,61.28,61.28,"5,744,000"
"Jun 05, 2023",58.76,59.92,58.11,58.60,58.60,"3,855,800"
"Jun 02, 2023",59.58,60.60,58.58,59.39,59.39,"4,674,100"
"Jun 01, 2023",56.75,58.80,56.05,57.98,57.98,"6,091,900"
"May 31, 2023",57.38,59.31,56.62,57.41,57.41,"9,795,800"
"May 30, 2023",60.72,61.27,58.03,58.57,58.57,"6,362,100"
"May 26, 2023",60.19,61.74,59.52,60.12,60.12,"6,612,100"
"May 25, 2023",63.30,63.49,59.68,60.48,60.48,"7,387,100"
"May 24, 2023",63.01,63.65,62.62,63.19,63.19,"5,912,000"
"May 23, 2023",67.45,67.67,64.15,64.36,64.36,"10,867,400"
"May 22, 2023",70.00,70.26,67.76,67.97,67.97,"6,187,200"
"May 19, 2023",70.57,71.41,69.44,69.44,69.44,"5,859,100"
"May 18, 2023",72.41,72.46,69.80,70.16,70.16,"6,045,800"
"May 17, 2023",71.35,74.85,71.30,72.39,72.39,"9,207,300"
"May 16, 2023",79.50,79.57,70.77,72.45,72.45,"26,427,700"
"May 15, 2023",86.12,88.39,85.79,88.07,88.07,"5,111,600"
"May 12, 2023",85.33,86.50,83.31,84.77,84.77,"3,742,400"
"May 11, 2023",85.96,87.38,85.25,86.71,86.71,"3,678,300"
"May 10, 2023",85.00,86.39,84.51,85.54,85.54,"2,757,400"
"May 09, 2023",83.00,85.83,82.86,84.00,84.00,"4,300,500"
"May 08, 2023",85.00,85.96,82.38,84.33,84.33,"5,764,500"
"May 05, 2023",77.51,79.45,77.10,78.41,78.41,"3,007,700"
"May 04, 2023",74.90,76.12,74.49,76.00,76.00,"1,369,100"
"May 03, 2023",73.73,76.22,73.01,74.62,74.62,"1,901,600"
"May 02, 2023",75.19,75.83,73.92,74.45,74.45,"2,111,200"
"May 01, 2023",75.11,76.92,74.96,75.85,75.85,"1,747,600"
"Apr 28, 2023",74.20,76.91,73.35,76.17,76.17,"2,431,200"
"Apr 27, 2023",74.71,75.68,73.74,74.73,74.73,"2,722,200"
"Apr 26, 2023",76.62,76.88,72.81,73.47,73.47,"3,044,700"
"Apr 25, 2023",76.84,78.10,74.33,74.94,74.94,"3,769,900"
"Apr 24, 2023",79.16,80.77,78.18,78.71,78.71,"2,309,000"
"Apr 21, 2023",78.46,79.42,77.67,79.17,79.17,"2,069,200"
"Apr 20, 2023",79.00,80.22,77.99,78.76,78.76,"3,605,000"
"Apr 19, 2023",81.15,82.20,79.78,81.49,81.49,"1,712,400"
"Apr 18, 2023",83.54,84.24,81.55,82.51,82.51,"2,995,800"
"Apr 17, 2023",83.84,84.31,82.68,82.85,82.85,"2,779,700"
"Apr 14, 2023",83.35,85.30,82.48,83.52,83.52,"1,962,000"
"Apr 13, 2023",83.28,85.31,83.06,83.97,83.97,"2,602,500"
"Apr 12, 2023",83.29,83.91,80.78,81.30,81.30,"2,965,600"
"Apr 11, 2023",83.88,84.24,80.38,82.03,82.03,"4,376,400"
"Apr 10, 2023",82.57,83.67,81.65,83.53,83.53,"3,163,900"
"Apr 06, 2023",84.32,84.68,82.32,84.08,84.08,"3,686,100"
"Apr 05, 2023",87.99,87.99,84.41,85.70,85.70,"3,150,800"
