Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",4.85,5.16,4.80,5.11,5.11,"19,849,300"
"Jul 27, 2023",4.96,5.03,4.70,4.81,4.81,"21,181,900"
"Jul 26, 2023",5.12,5.30,4.88,4.89,4.89,"31,869,900"
"Jul 25, 2023",5.96,5.98,5.07,5.13,5.13,"44,713,800"
"Jul 24, 2023",6.77,6.94,5.98,6.00,6.00,"39,118,000"
"Jul 21, 2023",6.99,7.39,6.57,7.08,7.08,"132,913,300"
"Jul 20, 2023",5.47,7.95,5.43,7.81,7.81,"127,968,500"
"Jul 19, 2023",5.29,5.56,5.27,5.49,5.49,"30,894,400"
"Jul 18, 2023",4.94,5.37,4.92,5.29,5.29,"30,128,300"
"Jul 17, 2023",4.71,4.96,4.65,4.94,4.94,"14,767,800"
"Jul 14, 2023",4.84,4.85,4.72,4.75,4.75,"15,178,500"
"Jul 13, 2023",4.80,4.92,4.78,4.89,4.89,"9,727,200"
"Jul 12, 2023",4.82,4.86,4.73,4.81,4.81,"14,071,200"
"Jul 11, 2023",4.63,4.80,4.61,4.78,4.78,"16,910,800"
"Jul 10, 2023",4.50,4.67,4.45,4.61,4.61,"17,402,000"
"Jul 07, 2023",4.44,4.50,4.41,4.45,4.45,"11,730,600"
"Jul 06, 2023",4.52,4.53,4.40,4.44,4.44,"11,983,300"
"Jul 05, 2023",4.60,4.61,4.45,4.56,4.56,"14,322,100"
"Jul 03, 2023",4.56,4.64,4.51,4.63,4.63,"11,365,800"
"Jun 30, 2023",4.37,4.55,4.32,4.53,4.53,"17,128,200"
"Jun 29, 2023",4.3,4.33,4.16,4.33,4.33,"15,686,800"
"Jun 28, 2023",4.14,4.29,4.11,4.27,4.27,"21,406,200"
"Jun 27, 2023",3.92,4.32,3.89,4.09,4.09,"39,288,300"
"Jun 26, 2023",3.83,3.95,3.8,3.91,3.91,"10,996,000"
"Jun 23, 2023",3.7,3.85,3.65,3.83,3.83,"23,944,800"
"Jun 22, 2023",3.67,3.78,3.65,3.75,3.75,"18,711,900"
"Jun 21, 2023",3.77,3.77,3.65,3.66,3.66,"14,579,000"
