Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",170.96,175.35,169.72,174.83,174.83,"4,760,500"
"Jul 27, 2023",174.32,175.40,167.02,168.27,168.27,"4,820,700"
"Jul 26, 2023",174.20,174.30,168.24,170.00,170.00,"6,916,300"
"Jul 25, 2023",177.00,181.80,176.31,179.29,179.29,"3,775,600"
"Jul 24, 2023",176.11,177.35,172.86,174.80,174.80,"3,464,800"
"Jul 21, 2023",178.68,180.81,175.85,175.90,175.90,"4,017,300"
"Jul 20, 2023",182.47,183.95,175.55,176.33,176.33,"6,092,900"
"Jul 19, 2023",191.86,193.23,185.15,185.45,185.45,"3,933,200"
"Jul 18, 2023",185.48,189.24,182.10,188.20,188.20,"4,361,100"
"Jul 17, 2023",182.50,185.58,181.11,184.21,184.21,"3,675,500"
"Jul 14, 2023",184.94,187.79,180.07,180.79,180.79,"5,350,500"
"Jul 13, 2023",175.82,184.45,175.27,184.22,184.22,"8,873,500"
"Jul 12, 2023",175.09,175.76,170.22,171.93,171.93,"4,546,900"
"Jul 11, 2023",171.20,174.34,169.32,172.05,172.05,"4,267,400"
"Jul 10, 2023",166.53,170.48,162.60,169.65,169.65,"6,857,300"
"Jul 07, 2023",173.37,176.41,170.49,170.61,170.61,"3,206,700"
"Jul 06, 2023",169.82,173.10,167.49,172.19,172.19,"4,744,200"
"Jul 05, 2023",175.00,175.90,170.63,172.55,172.55,"6,166,800"
"Jul 03, 2023",176.00,178.10,174.65,176.99,176.99,"2,665,300"
"Jun 30, 2023",179.33,181.5,175.75,175.98,175.98,"7,332,300"
"Jun 29, 2023",183.55,186.17,175.12,175.77,175.77,"9,010,600"
"Jun 28, 2023",179.18,191.94,178.85,183.85,183.85,"13,895,600"
"Jun 27, 2023",176.99,179.15,170.56,177.02,177.02,"9,516,400"
"Jun 26, 2023",180.59,183.39,169.51,169.84,169.84,"6,906,800"
"Jun 23, 2023",175.75,181.82,174.61,178.25,178.25,"6,245,500"
"Jun 22, 2023",171.18,179.74,170.82,178.6,178.6,"5,186,300"
"Jun 21, 2023",180.7,183.6,173.26,173.39,173.39,"5,463,300"
"Jun 20, 2023",183.3,185.67,176.71,179.08,179.08,"5,301,800"
"Jun 16, 2023",191.57,193.94,182.92,184.18,184.18,"6,585,100"
"Jun 15, 2023",179.18,191.65,178.35,190.98,190.98,"9,779,300"
"Jun 14, 2023",172.73,181.33,171.11,181.07,181.07,"6,664,400"
"Jun 13, 2023",173.03,174.86,168.76,173.44,173.44,"4,183,000"
"Jun 12, 2023",170.27,172.38,167.84,171.89,171.89,"5,090,300"
"Jun 09, 2023",174.31,176.53,169.29,170.65,170.65,"5,311,100"
"Jun 08, 2023",167.65,174.66,166.4,174.31,174.31,"5,847,400"
"Jun 07, 2023",182.01,183.0,167.37,169.07,169.07,"8,407,600"
"Jun 06, 2023",181.25,185.04,181.17,182.22,182.22,"5,827,700"
"Jun 05, 2023",175.81,183.55,175.5,181.75,181.75,"5,608,700"
"Jun 02, 2023",172.3,182.95,172.08,175.21,175.21,"9,746,200"
"Jun 01, 2023",160.37,169.46,160.0,167.28,167.28,"5,597,700"
"May 31, 2023",158.0,168.98,157.43,165.36,165.36,"14,605,700"
"May 30, 2023",151.18,159.99,150.5,158.65,158.65,"9,655,800"
"May 26, 2023",146.86,152.9,144.82,150.01,150.01,"11,503,500"
"May 25, 2023",150.47,158.73,143.11,147.91,147.91,"23,970,000"
"May 24, 2023",173.64,178.4,172.12,177.14,177.14,"10,020,800"
"May 23, 2023",177.04,182.5,175.08,175.16,175.16,"4,558,500"
"May 22, 2023",176.51,182.2,175.39,178.47,178.47,"4,424,300"
"May 19, 2023",181.18,182.46,175.71,176.82,176.82,"6,561,400"
"May 18, 2023",175.97,185.0,175.51,184.31,184.31,"7,229,100"
"May 17, 2023",172.09,174.55,170.3,174.02,174.02,"4,335,600"
"May 16, 2023",170.14,173.05,168.79,171.71,171.71,"3,480,000"
"May 15, 2023",167.66,172.88,166.9,172.05,172.05,"3,436,500"
"May 12, 2023",169.2,171.32,166.42,167.4,167.4,"4,036,600"
"May 11, 2023",170.21,171.78,168.85,170.07,170.07,"3,466,400"
"May 10, 2023",165.81,173.27,165.2,172.04,172.04,"6,799,400"
"May 09, 2023",158.97,164.56,158.61,163.87,163.87,"3,767,300"
"May 08, 2023",160.11,163.18,156.29,160.42,160.42,"5,587,200"
"May 05, 2023",155.75,159.05,153.0,154.17,154.17,"4,536,000"
"May 04, 2023",148.98,156.59,148.86,155.27,155.27,"7,030,500"
"May 03, 2023",144.07,147.59,142.44,144.64,144.64,"3,309,100"
"May 02, 2023",146.44,147.05,143.54,144.84,144.84,"2,845,500"
"May 01, 2023",148.15,148.46,145.01,146.97,146.97,"3,011,100"
"Apr 28, 2023",145.67,148.76,140.87,148.08,148.08,"5,223,100"
"Apr 27, 2023",148.32,149.88,145.13,148.77,148.77,"5,736,400"
"Apr 26, 2023",142.78,149.28,142.6,147.06,147.06,"9,439,700"
"Apr 25, 2023",140.56,140.66,135.26,135.48,135.48,"7,176,400"
"Apr 24, 2023",144.85,145.81,140.77,142.51,142.51,"3,470,900"
"Apr 21, 2023",144.07,146.8,143.52,145.19,145.19,"3,672,200"
"Apr 20, 2023",142.3,144.13,141.74,142.72,142.72,"2,993,900"
"Apr 19, 2023",144.45,146.46,143.65,144.55,144.55,"2,887,400"
"Apr 18, 2023",147.53,147.57,142.17,145.89,145.89,"4,021,800"
"Apr 17, 2023",142.13,145.85,141.83,145.26,145.26,"3,970,500"
"Apr 14, 2023",140.0,142.2,138.31,142.13,142.13,"5,472,600"
"Apr 13, 2023",141.09,144.55,140.55,141.38,141.38,"4,832,500"
"Apr 12, 2023",141.9,144.5,139.32,139.66,139.66,"6,993,500"
"Apr 11, 2023",139.68,142.4,136.59,139.19,139.19,"10,945,800"
"Apr 10, 2023",143.34,147.99,141.6,147.77,147.77,"3,484,900"
"Apr 06, 2023",144.59,146.06,140.88,145.68,145.68,"3,326,900"
"Apr 05, 2023",154.83,156.04,144.14,146.48,146.48,"5,422,100"
"Apr 04, 2023",151.0,158.0,150.75,155.43,155.43,"9,213,700"
"Apr 03, 2023",152.78,154.25,148.72,150.0,150.0,"4,290,100"
"Mar 31, 2023",142.81,154.44,141.83,154.29,154.29,"8,611,600"
"Mar 30, 2023",139.99,145.33,138.76,142.11,142.11,"5,171,900"
"Mar 29, 2023",136.26,138.6,135.6,137.46,137.46,"4,051,100"
"Mar 28, 2023",136.0,136.72,134.17,134.81,134.81,"2,692,700"
"Mar 27, 2023",136.49,137.87,134.4,134.97,134.97,"3,940,400"
"Mar 24, 2023",139.3,141.98,135.55,136.53,136.53,"3,653,200"
"Mar 23, 2023",137.99,141.1,135.03,140.57,140.57,"6,318,800"
"Mar 22, 2023",141.2,142.8,135.48,135.63,135.63,"4,525,700"
"Mar 21, 2023",136.97,142.29,135.31,141.47,141.47,"4,402,300"
"Mar 20, 2023",133.81,135.58,131.62,135.47,135.47,"3,577,400"
"Mar 17, 2023",138.64,139.44,133.56,135.62,135.62,"5,409,600"
"Mar 16, 2023",140.0,142.44,137.4,138.92,138.92,"4,668,300"
"Mar 15, 2023",136.28,140.17,135.3,139.58,139.58,"4,008,200"
"Mar 14, 2023",138.64,140.08,134.88,139.82,139.82,"6,550,400"
"Mar 13, 2023",129.98,140.46,128.76,137.73,137.73,"7,589,600"
"Mar 10, 2023",135.02,135.79,128.56,131.46,131.46,"8,882,300"
"Mar 09, 2023",141.38,144.1,136.05,136.3,136.3,"5,078,200"
"Mar 08, 2023",140.23,144.38,139.29,142.65,142.65,"3,831,700"
"Mar 07, 2023",141.0,146.19,140.1,142.45,142.45,"4,371,900"
"Mar 06, 2023",142.65,146.74,140.85,142.07,142.07,"5,419,200"
"Mar 03, 2023",135.51,143.33,135.5,142.11,142.11,"9,894,400"
"Mar 02, 2023",139.04,140.15,131.12,135.28,135.28,"25,842,200"
"Mar 01, 2023",154.22,156.65,153.0,154.5,154.5,"8,186,400"
"Feb 28, 2023",154.68,155.72,152.93,154.38,154.38,"4,395,000"
"Feb 27, 2023",150.2,154.7,148.58,154.65,154.65,"4,500,000"
"Feb 24, 2023",149.85,150.75,145.28,148.44,148.44,"3,791,700"
"Feb 23, 2023",153.5,154.09,147.75,153.12,153.12,"4,105,800"
"Feb 22, 2023",149.5,155.38,149.5,150.66,150.66,"4,101,900"
"Feb 21, 2023",150.6,155.0,150.08,151.26,151.26,"3,411,000"
"Feb 17, 2023",160.5,160.77,151.55,154.08,154.08,"7,951,500"
"Feb 16, 2023",171.0,172.72,163.92,164.4,164.4,"4,784,600"
"Feb 15, 2023",171.4,175.95,170.07,175.28,175.28,"4,437,200"
