Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",27.99,28.44,27.15,28.15,28.15,"60,364,400"
"Jul 27, 2023",27.00,28.05,26.00,26.46,26.46,"83,083,300"
"Jul 26, 2023",25.20,25.73,24.21,25.06,25.06,"54,225,500"
"Jul 25, 2023",25.31,26.59,25.31,26.13,26.13,"39,288,500"
"Jul 24, 2023",24.91,25.44,24.51,24.90,24.90,"29,911,500"
"Jul 21, 2023",25.01,25.59,24.50,24.92,24.92,"43,045,200"
"Jul 20, 2023",25.79,26.06,23.87,24.29,24.29,"67,340,600"
"Jul 19, 2023",28.41,28.44,27.04,27.29,27.29,"49,085,500"
"Jul 18, 2023",27.75,28.55,27.09,28.26,28.26,"46,023,900"
"Jul 17, 2023",26.28,28.53,25.77,28.06,28.06,"50,068,600"
"Jul 14, 2023",27.34,28.03,25.90,26.23,26.23,"47,819,700"
"Jul 13, 2023",26.51,27.45,26.21,27.28,27.28,"42,645,500"
"Jul 12, 2023",25.44,25.85,25.00,25.69,25.69,"54,237,000"
"Jul 11, 2023",24.68,24.74,23.28,24.34,24.34,"44,231,000"
"Jul 10, 2023",23.16,24.44,23.08,24.32,24.32,"39,943,500"
"Jul 07, 2023",23.08,24.03,22.83,22.96,22.96,"41,157,600"
"Jul 06, 2023",22.60,23.05,22.04,22.98,22.98,"49,420,400"
"Jul 05, 2023",24.99,25.18,23.83,23.85,23.85,"38,292,000"
"Jul 03, 2023",25.26,25.75,24.68,25.49,25.49,"25,289,900"
"Jun 30, 2023",24.57,25.17,24.29,24.83,24.83,"47,279,500"
"Jun 29, 2023",24.11,24.11,23.17,23.81,23.81,"45,213,700"
"Jun 28, 2023",23.18,24.44,23.11,23.72,23.72,"55,584,500"
"Jun 27, 2023",22.29,24.49,22.01,24.37,24.37,"54,471,000"
"Jun 26, 2023",22.32,23.32,22.05,22.09,22.09,"47,524,300"
"Jun 23, 2023",21.95,22.28,21.52,21.89,21.89,"44,180,600"
"Jun 22, 2023",22.28,23.38,22.22,23.1,23.1,"44,637,500"
"Jun 21, 2023",24.17,24.49,22.7,22.78,22.78,"59,099,400"
"Jun 20, 2023",24.86,25.55,23.98,24.65,24.61,"43,349,100"
"Jun 16, 2023",26.77,26.79,25.13,25.24,25.2,"55,258,200"
"Jun 15, 2023",25.75,26.57,25.42,25.95,25.91,"64,797,200"
"Jun 14, 2023",25.31,26.7,24.84,26.64,26.6,"84,622,000"
"Jun 13, 2023",25.79,26.08,24.72,25.56,25.52,"82,626,800"
"Jun 12, 2023",23.2,24.68,23.13,24.6,24.56,"52,761,000"
"Jun 09, 2023",23.03,23.49,22.09,22.4,22.37,"50,040,000"
"Jun 08, 2023",21.79,22.47,21.46,22.28,22.25,"43,045,900"
"Jun 07, 2023",22.15,23.1,21.49,21.64,21.61,"65,066,100"
"Jun 06, 2023",20.55,22.06,20.43,21.73,21.7,"49,445,200"
"Jun 05, 2023",21.75,21.75,20.66,20.97,20.94,"35,747,700"
"Jun 02, 2023",22.69,22.89,21.53,22.02,21.99,"64,902,000"
"Jun 01, 2023",21.48,22.75,20.83,22.16,22.13,"74,757,400"
"May 31, 2023",21.71,22.67,21.09,21.15,21.12,"73,938,700"
"May 30, 2023",24.57,24.8,22.59,22.87,22.83,"99,439,100"
"May 26, 2023",20.05,23.26,20.03,22.88,22.84,"112,964,600"
