Date,Open,High,Low,Close*,Adj Close**,Volume
"Jun 30, 2023",10.04,10.14,9.75,9.87,9.87,"45,399,100"
"Jun 29, 2023",10.22,10.62,10.20,10.31,10.31,"56,058,300"
"Jun 28, 2023",10.61,10.64,10.08,10.39,10.39,"57,613,500"
"Jun 27, 2023",11.17,11.32,10.05,10.11,10.11,"60,814,000"
"Jun 26, 2023",11.17,11.29,10.63,11.27,11.27,"51,713,600"
"Jun 23, 2023",11.34,11.55,11.20,11.39,11.39,"49,734,200"
"Jun 22, 2023",11.22,11.24,10.67,10.77,10.77,"50,046,900"
"Jun 21, 2023",10.39,10.99,10.24,10.95,10.95,"69,809,700"
"Jun 20, 2023",10.23,10.59,9.95,10.31,10.19,"50,553,200"
"Jun 16, 2023",9.49,10.11,9.48,10.10,9.98,"55,437,900"
"Jun 15, 2023",9.87,9.99,9.57,9.80,9.69,"70,039,100"
"Jun 14, 2023",10.07,10.26,9.52,9.55,9.44,"88,124,300"
"Jun 13, 2023",9.88,10.32,9.75,9.95,9.84,"76,906,400"
"Jun 12, 2023",11.08,11.13,10.33,10.38,10.26,"62,707,500"
"Jun 09, 2023",11.17,11.67,10.94,11.48,11.35,"55,218,100"
"Jun 08, 2023",11.84,12.01,11.46,11.56,11.43,"48,391,200"
"Jun 07, 2023",11.64,11.99,11.11,11.90,11.76,"74,465,600"
"Jun 06, 2023",12.56,12.62,11.66,11.86,11.72,"52,750,000"
"Jun 05, 2023",11.90,12.47,11.90,12.30,12.16,"41,888,700"
"Jun 02, 2023",11.37,12.00,11.28,11.72,11.58,"58,727,300"
"Jun 01, 2023",12.06,12.43,11.32,11.66,11.53,"74,319,300"
"May 31, 2023",11.97,12.28,11.49,12.25,12.11,"97,665,900"
"May 30, 2023",10.56,11.53,10.44,11.38,11.25,"92,375,500"
"May 26, 2023",13.50,13.51,11.13,11.35,11.22,"108,103,700"
"May 25, 2023",15.23,15.81,13.90,14.10,13.94,"98,990,900"
"May 24, 2023",17.70,18.11,17.36,17.57,17.37,"51,904,400"
"May 23, 2023",16.42,16.80,16.11,16.69,16.50,"31,832,600"
"May 22, 2023",16.70,16.74,15.95,16.09,15.90,"31,264,300"
"May 19, 2023",16.10,16.55,16.04,16.25,16.06,"36,427,800"
"May 18, 2023",17.44,17.48,15.88,15.98,15.80,"61,114,000"
"May 17, 2023",18.52,18.95,17.42,17.66,17.46,"44,054,400"
"May 16, 2023",19.16,19.17,18.40,19.04,18.82,"28,903,400"
"May 15, 2023",20.47,20.65,18.93,18.95,18.73,"30,740,600"
"May 12, 2023",20.35,21.21,20.07,20.54,20.30,"20,957,000"
"May 11, 2023",20.10,21.10,20.00,20.51,20.27,"23,605,200"
"May 10, 2023",20.05,20.75,19.67,20.12,19.89,"30,291,700"
"May 09, 2023",20.56,20.98,20.48,20.74,20.50,"20,312,100"
"May 08, 2023",20.03,20.54,19.68,19.72,19.49,"19,417,800"
"May 05, 2023",21.33,21.65,19.69,19.98,19.75,"27,583,900"
"May 04, 2023",21.53,21.95,20.75,21.37,21.12,"28,534,500"
"May 03, 2023",20.60,21.04,19.89,20.99,20.75,"34,336,400"
"May 02, 2023",19.85,20.87,19.52,20.30,20.07,"30,490,300"
"May 01, 2023",20.14,20.34,19.67,19.85,19.62,"22,903,200"
"Apr 28, 2023",21.31,21.55,20.40,20.42,20.18,"25,547,800"
"Apr 27, 2023",22.00,23.22,21.46,21.53,21.28,"34,435,400"
"Apr 26, 2023",21.42,22.14,21.12,21.76,21.51,"32,338,500"
"Apr 25, 2023",20.47,22.17,20.46,22.15,21.89,"34,002,100"
"Apr 24, 2023",19.95,20.51,19.60,20.10,19.87,"21,176,900"
"Apr 21, 2023",19.58,20.34,19.57,19.80,19.57,"32,693,700"
"Apr 20, 2023",19.93,19.97,18.51,19.35,19.13,"37,710,700"
"Apr 19, 2023",19.39,19.67,19.17,19.30,19.08,"23,292,200"
"Apr 18, 2023",18.42,19.15,18.00,18.65,18.43,"25,005,400"
"Apr 17, 2023",19.55,19.71,18.89,18.93,18.71,"23,917,900"
"Apr 14, 2023",18.88,19.53,18.21,18.90,18.68,"31,631,000"
"Apr 13, 2023",19.18,19.62,18.47,18.82,18.60,"30,133,500"
"Apr 12, 2023",17.75,19.32,17.67,19.25,19.03,"46,046,300"
"Apr 11, 2023",17.66,18.37,17.63,18.29,18.08,"25,613,900"
"Apr 10, 2023",19.49,19.59,17.93,17.99,17.78,"33,734,000"
"Apr 06, 2023",19.23,19.64,18.55,18.94,18.72,"37,391,200"
"Apr 05, 2023",18.30,19.22,18.23,18.67,18.45,"45,120,400"
"Apr 04, 2023",16.70,17.98,16.66,17.70,17.50,"43,158,700"
"Apr 03, 2023",16.64,17.36,16.44,16.75,16.56,"41,151,000"
"Mar 31, 2023",17.00,17.12,16.27,16.28,16.09,"42,297,300"
"Mar 30, 2023",16.84,17.00,16.32,16.65,16.46,"50,730,900"
"Mar 29, 2023",18.44,18.49,17.05,17.45,17.25,"53,699,900"
"Mar 28, 2023",19.05,20.20,19.02,19.32,19.10,"37,406,700"
"Mar 27, 2023",18.05,19.09,17.87,18.90,18.68,"33,815,300"
"Mar 24, 2023",17.73,18.77,17.61,18.20,17.99,"47,051,000"
"Mar 23, 2023",17.90,18.35,16.55,17.30,17.10,"73,553,300"
"Mar 22, 2023",18.30,18.83,16.84,18.81,18.59,"55,897,800"
"Mar 21, 2023",17.94,19.14,17.36,18.32,18.11,"39,980,300"
"Mar 20, 2023",19.12,19.58,18.39,18.53,18.13,"34,470,100"
"Mar 17, 2023",18.77,19.51,18.30,19.14,18.73,"44,877,000"
"Mar 16, 2023",21.63,21.92,18.70,18.85,18.44,"56,546,600"
"Mar 15, 2023",21.49,22.62,21.17,21.30,20.84,"49,619,800"
"Mar 14, 2023",21.40,21.75,20.17,20.52,20.08,"50,110,500"
"Mar 13, 2023",23.24,23.98,21.73,22.58,22.09,"61,915,200"
"Mar 10, 2023",21.02,22.88,20.82,22.52,22.03,"73,680,400"
"Mar 09, 2023",20.24,21.44,19.24,21.32,20.86,"55,552,600"
"Mar 08, 2023",21.57,21.59,20.04,20.12,19.69,"45,262,100"
"Mar 07, 2023",21.14,22.12,20.82,21.85,21.38,"40,381,600"
"Mar 06, 2023",20.30,21.33,19.75,21.15,20.69,"32,534,900"
"Mar 03, 2023",21.38,21.96,20.38,20.47,20.03,"33,552,900"
"Mar 02, 2023",22.92,23.46,21.09,21.40,20.94,"40,296,600"
"Mar 01, 2023",21.75,22.22,21.13,21.88,21.41,"37,253,300"
"Feb 28, 2023",22.32,22.48,21.02,21.94,21.47,"35,043,700"
"Feb 27, 2023",21.47,22.18,21.38,22.09,21.61,"27,292,100"
"Feb 24, 2023",22.53,22.99,22.18,22.43,21.95,"40,470,000"
"Feb 23, 2023",21.32,22.78,21.00,21.31,20.85,"53,777,800"
"Feb 22, 2023",23.12,24.09,22.60,23.65,23.14,"41,046,300"
"Feb 21, 2023",22.22,23.44,21.50,23.30,22.80,"39,551,700"
"Feb 17, 2023",20.63,21.80,20.45,21.21,20.75,"51,427,600"
"Feb 16, 2023",19.85,20.36,19.29,20.23,19.79,"52,984,700"
"Feb 15, 2023",19.71,20.12,18.84,18.85,18.44,"43,770,600"
"Feb 14, 2023",20.69,21.18,18.88,19.07,18.66,"68,369,600"
"Feb 13, 2023",20.83,21.39,19.98,20.19,19.75,"31,466,900"
"Feb 10, 2023",20.75,21.75,20.57,21.09,20.64,"51,589,700"
"Feb 09, 2023",19.19,20.58,18.50,20.08,19.65,"54,064,200"
"Feb 08, 2023",19.36,20.38,18.94,20.22,19.78,"37,383,900"
"Feb 07, 2023",20.86,20.97,18.72,19.00,18.59,"56,762,600"
"Feb 06, 2023",20.98,21.31,20.11,21.00,20.55,"45,543,100"
"Feb 03, 2023",20.19,20.38,18.76,20.02,19.59,"64,535,300"
"Feb 02, 2023",19.71,20.31,18.41,18.99,18.58,"62,816,100"
"Feb 01, 2023",23.77,23.80,19.56,20.31,19.87,"69,409,200"
"Jan 31, 2023",25.73,25.73,24.05,24.07,23.55,"35,955,500"
"Jan 30, 2023",24.58,25.56,24.17,25.40,24.85,"40,086,400"
"Jan 27, 2023",24.37,24.55,23.01,23.62,23.11,"39,543,800"
"Jan 26, 2023",23.54,24.76,23.08,23.17,22.67,"41,127,600"
"Jan 25, 2023",25.77,26.42,24.21,24.30,23.78,"43,992,500"
"Jan 24, 2023",24.83,24.98,23.88,24.48,23.95,"32,519,800"
"Jan 23, 2023",27.49,27.61,23.73,24.05,23.53,"60,169,600"
"Jan 20, 2023",30.25,31.14,28.18,28.28,27.67,"33,647,700"
"Jan 19, 2023",29.52,31.44,29.42,31.15,30.48,"45,119,300"
"Jan 18, 2023",27.39,28.75,26.73,28.71,28.09,"36,639,700"
"Jan 17, 2023",28.61,29.08,27.41,28.19,27.58,"28,747,600"
"Jan 13, 2023",29.76,29.98,28.35,28.45,27.84,"28,386,600"
"Jan 12, 2023",29.31,31.13,28.12,28.74,28.12,"51,767,600"
"Jan 11, 2023",30.84,31.66,29.68,29.71,29.07,"26,651,900"
"Jan 10, 2023",32.53,32.99,30.80,30.87,30.20,"25,282,800"
"Jan 09, 2023",32.14,32.85,29.80,32.11,31.42,"40,229,000"
"Jan 06, 2023",38.08,39.60,33.37,34.09,33.35,"36,125,300"
"Jan 05, 2023",38.70,39.73,37.97,39.63,38.78,"24,192,100"
"Jan 04, 2023",38.61,39.90,36.88,37.56,36.75,"32,354,800"
"Jan 03, 2023",37.50,41.50,37.40,40.89,40.01,"21,566,700"
"Dec 30, 2022",41.21,42.06,39.45,39.51,38.66,"19,544,700"
"Dec 29, 2022",41.55,41.99,38.84,39.30,38.45,"27,928,400"
"Dec 28, 2022",42.58,44.14,41.04,43.60,42.66,"24,259,800"
"Dec 27, 2022",40.48,42.32,40.45,41.86,40.96,"23,056,600"
"Dec 23, 2022",40.70,41.97,39.58,39.66,38.80,"27,700,200"
