Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",3.8300,3.9600,3.7800,3.9300,3.9300,"13,769,600"
"Jul 27, 2023",3.9300,4.0000,3.7000,3.7500,3.7500,"15,875,200"
"Jul 26, 2023",3.7000,3.9100,3.6800,3.9000,3.9000,"15,187,300"
"Jul 25, 2023",3.7800,3.7950,3.6700,3.6900,3.6900,"12,092,700"
"Jul 24, 2023",3.8600,3.9400,3.7200,3.7700,3.7700,"12,385,700"
"Jul 21, 2023",3.9000,3.9800,3.7600,3.8300,3.8300,"13,419,900"
"Jul 20, 2023",3.9300,3.9600,3.8100,3.9000,3.9000,"12,907,800"
"Jul 19, 2023",3.8500,4.0500,3.8400,3.9800,3.9800,"18,911,900"
"Jul 18, 2023",3.7800,3.9100,3.7600,3.8000,3.8000,"13,049,800"
"Jul 17, 2023",3.8300,3.8350,3.6900,3.7900,3.7900,"17,631,800"
"Jul 14, 2023",4.0600,4.2300,3.7500,3.8000,3.8000,"28,810,800"
"Jul 13, 2023",3.9700,4.1200,3.9200,4.0200,4.0200,"23,755,600"
"Jul 12, 2023",3.9300,4.0100,3.8100,3.8700,3.8700,"14,586,800"
"Jul 11, 2023",3.7700,3.9300,3.7000,3.8800,3.8800,"16,599,900"
"Jul 10, 2023",3.6900,3.7900,3.6000,3.7800,3.7800,"19,144,300"
"Jul 07, 2023",3.6800,3.7700,3.6500,3.6700,3.6700,"16,872,600"
"Jul 06, 2023",3.8400,3.8400,3.6000,3.6800,3.6800,"23,260,900"
"Jul 05, 2023",3.7700,4.0300,3.7000,3.9100,3.9100,"25,496,700"
"Jul 03, 2023",3.8600,3.8800,3.6800,3.7700,3.7700,"21,293,100"
"Jun 30, 2023",4.23,4.23,3.86,3.88,3.88,"51,307,800"
"Jun 29, 2023",4.79,4.88,4.08,4.23,4.23,"95,552,300"
"Jun 28, 2023",4.43,4.89,4.33,4.74,4.74,"44,100,600"
"Jun 27, 2023",4.19,4.36,4.03,4.34,4.34,"25,218,900"
"Jun 26, 2023",4.54,4.56,4.13,4.14,4.14,"33,871,800"
"Jun 23, 2023",4.71,4.83,4.11,4.34,4.34,"67,375,700"
"Jun 22, 2023",5.58,5.59,5.11,5.32,5.32,"36,714,400"
"Jun 21, 2023",6.0,6.168,5.32,5.71,5.71,"56,813,200"
"Jun 20, 2023",4.83,6.06,4.83,6.01,6.01,"113,574,600"
"Jun 16, 2023",5.72,5.97,4.51,4.73,4.73,"151,914,600"
"Jun 15, 2023",4.35,4.38,4.04,4.06,4.06,"41,688,000"
"Jun 14, 2023",4.27,4.52,4.23,4.4,4.4,"13,668,000"
"Jun 13, 2023",4.26,4.34,4.16,4.23,4.23,"9,848,700"
"Jun 12, 2023",4.04,4.27,4.01,4.19,4.19,"10,758,800"
"Jun 09, 2023",4.14,4.25,3.98,4.03,4.03,"8,541,200"
"Jun 08, 2023",4.08,4.168,3.97,4.11,4.11,"7,539,100"
"Jun 07, 2023",4.04,4.32,4.02,4.16,4.16,"12,040,100"
"Jun 06, 2023",3.78,4.06,3.71,3.99,3.99,"10,130,500"
"Jun 05, 2023",3.82,3.85,3.71,3.8,3.8,"5,275,700"
"Jun 02, 2023",3.78,3.9,3.63,3.82,3.82,"9,271,300"
"Jun 01, 2023",3.46,3.79,3.4,3.75,3.75,"10,742,200"
