Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",13.01,13.07,12.83,12.92,12.92,"19,585,200"
"Jul 27, 2023",12.74,13.37,12.69,13.28,13.28,"25,147,500"
"Jul 26, 2023",13.10,13.19,12.88,13.01,13.01,"20,168,200"
"Jul 25, 2023",13.15,13.15,12.90,13.02,13.02,"16,725,100"
"Jul 24, 2023",13.18,13.24,13.04,13.11,13.11,"15,515,600"
"Jul 21, 2023",13.11,13.28,13.10,13.28,13.28,"15,760,100"
"Jul 20, 2023",13.10,13.33,13.01,13.27,13.27,"40,917,900"
"Jul 19, 2023",13.01,13.07,12.88,13.01,13.01,"22,763,700"
"Jul 18, 2023",13.40,13.44,13.01,13.08,13.08,"19,370,900"
"Jul 17, 2023",13.52,13.53,13.26,13.37,13.37,"13,094,500"
"Jul 14, 2023",13.40,13.57,13.31,13.49,13.49,"21,405,500"
"Jul 13, 2023",13.61,13.66,13.38,13.47,13.47,"23,927,600"
"Jul 12, 2023",13.74,13.88,13.63,13.77,13.77,"23,311,800"
"Jul 11, 2023",14.30,14.41,14.06,14.11,14.11,"13,025,900"
"Jul 10, 2023",14.53,14.58,14.36,14.38,14.38,"16,415,100"
"Jul 07, 2023",14.48,14.51,14.08,14.48,14.48,"16,892,500"
"Jul 06, 2023",14.38,14.61,14.31,14.35,14.35,"27,742,500"
"Jul 05, 2023",14.13,14.13,13.94,14.01,14.01,"15,003,900"
"Jul 03, 2023",14.02,14.05,13.92,13.93,13.93,"7,138,700"
"Jun 30, 2023",14.16,14.20,13.88,13.98,13.98,"24,620,500"
"Jun 29, 2023",14.69,14.73,14.46,14.48,14.48,"23,237,000"
"Jun 28, 2023",14.77,14.84,14.53,14.62,14.62,"18,929,900"
"Jun 27, 2023",15.04,15.11,14.58,14.66,14.66,"15,964,300"
"Jun 26, 2023",15.02,15.17,14.81,15.16,15.16,"17,709,500"
"Jun 23, 2023",14.98,15.03,14.76,14.94,14.94,"17,499,300"
"Jun 22, 2023",14.87,14.90,14.60,14.61,14.61,"23,099,300"
"Jun 21, 2023",14.63,14.81,14.54,14.74,14.74,"21,051,800"
"Jun 20, 2023",14.65,14.89,14.56,14.66,14.50,"22,580,300"
"Jun 16, 2023",14.09,14.49,14.08,14.44,14.28,"21,351,300"
"Jun 15, 2023",14.91,14.92,14.15,14.29,14.14,"39,708,500"
"Jun 14, 2023",14.82,15.19,14.62,14.81,14.65,"32,330,200"
"Jun 13, 2023",15.00,15.08,14.79,14.87,14.71,"20,419,600"
"Jun 12, 2023",15.47,15.55,15.15,15.17,15.01,"14,614,300"
"Jun 09, 2023",15.56,15.69,15.34,15.59,15.42,"23,263,200"
"Jun 08, 2023",15.93,16.01,15.59,15.65,15.48,"18,235,500"
"Jun 07, 2023",15.71,15.96,15.58,15.90,15.73,"22,048,000"
"Jun 06, 2023",15.90,15.97,15.69,15.74,15.57,"15,255,600"
"Jun 05, 2023",15.71,15.92,15.56,15.85,15.68,"18,210,100"
"Jun 02, 2023",16.13,16.20,15.64,15.75,15.58,"25,951,800"
"Jun 01, 2023",16.90,17.05,16.30,16.44,16.26,"23,063,500"
"May 31, 2023",16.85,17.10,16.74,16.89,16.71,"21,153,000"
"May 30, 2023",16.39,16.79,16.33,16.63,16.45,"16,890,800"
"May 26, 2023",17.22,17.23,16.54,16.64,16.46,"23,621,500"
"May 25, 2023",17.26,17.57,17.08,17.30,17.11,"29,238,200"
"May 24, 2023",17.55,17.88,17.49,17.70,17.51,"26,044,000"
"May 23, 2023",16.97,17.39,16.85,17.32,17.13,"19,795,800"
"May 22, 2023",16.79,16.94,16.57,16.76,16.58,"16,553,000"
"May 19, 2023",16.59,16.93,16.52,16.76,16.58,"27,838,300"
"May 18, 2023",17.23,17.25,16.63,16.70,16.52,"36,467,000"
"May 17, 2023",17.54,17.76,17.08,17.17,16.98,"25,565,500"
"May 16, 2023",17.61,17.81,17.48,17.81,17.62,"16,911,200"
"May 15, 2023",17.55,17.80,17.39,17.45,17.26,"19,586,700"
"May 12, 2023",17.38,17.94,17.36,17.63,17.44,"24,205,200"
"May 11, 2023",17.55,17.81,17.49,17.52,17.33,"29,996,200"
"May 10, 2023",17.30,17.94,17.20,17.42,17.23,"28,036,300"
"May 09, 2023",17.65,17.69,17.52,17.65,17.46,"13,656,600"
"May 08, 2023",17.41,17.61,17.36,17.42,17.23,"15,581,000"
"May 05, 2023",17.93,17.98,17.28,17.43,17.24,"30,105,600"
"May 04, 2023",18.20,18.62,18.16,18.42,18.22,"44,281,400"
"May 03, 2023",17.62,18.06,17.28,18.04,17.85,"31,061,800"
"May 02, 2023",17.19,18.04,17.17,17.65,17.46,"30,203,500"
"May 01, 2023",17.09,17.11,16.82,17.08,16.90,"17,126,800"
"Apr 28, 2023",17.58,17.59,17.02,17.02,16.84,"30,132,400"
"Apr 27, 2023",18.20,18.23,17.41,17.46,17.27,"33,421,500"
"Apr 26, 2023",18.20,18.61,18.06,18.52,18.32,"23,618,400"
"Apr 25, 2023",17.72,18.30,17.65,18.28,18.08,"24,622,900"
"Apr 24, 2023",17.55,17.72,17.40,17.46,17.27,"15,692,700"
"Apr 21, 2023",17.50,17.76,17.44,17.51,17.32,"17,182,600"
"Apr 20, 2023",17.62,17.73,17.29,17.53,17.34,"24,181,700"
"Apr 19, 2023",17.47,17.47,17.10,17.22,17.03,"16,182,800"
"Apr 18, 2023",17.04,17.39,17.02,17.21,17.02,"14,549,500"
"Apr 17, 2023",17.44,17.60,17.23,17.23,17.04,"15,381,000"
"Apr 14, 2023",17.38,17.72,17.09,17.41,17.22,"22,662,300"
"Apr 13, 2023",17.83,17.90,17.22,17.28,17.09,"29,866,000"
"Apr 12, 2023",17.47,18.05,17.44,17.95,17.76,"28,945,500"
"Apr 11, 2023",17.68,17.85,17.56,17.75,17.56,"13,144,500"
"Apr 10, 2023",18.14,18.23,17.75,17.75,17.56,"16,073,800"
"Apr 06, 2023",18.13,18.27,17.77,17.80,17.61,"21,695,000"
"Apr 05, 2023",17.96,18.21,17.84,17.99,17.80,"29,641,900"
"Apr 04, 2023",17.45,18.01,17.41,17.82,17.63,"28,290,800"
"Apr 03, 2023",17.80,17.86,17.47,17.54,17.35,"20,056,500"
"Mar 31, 2023",18.37,18.39,17.69,17.71,17.52,"25,146,900"
"Mar 30, 2023",18.42,18.76,18.39,18.48,18.28,"28,626,100"
"Mar 29, 2023",19.02,19.19,18.75,18.81,18.61,"23,784,800"
"Mar 28, 2023",19.62,19.93,19.51,19.63,19.42,"19,374,900"
"Mar 27, 2023",19.25,19.65,19.15,19.50,19.29,"22,914,900"
"Mar 24, 2023",20.19,20.57,19.58,19.61,19.40,"40,728,400"
"Mar 23, 2023",19.69,20.41,19.04,19.99,19.77,"49,187,300"
"Mar 22, 2023",19.16,20.13,18.62,20.10,19.88,"34,298,500"
"Mar 21, 2023",19.40,19.65,19.06,19.13,18.92,"25,626,400"
"Mar 20, 2023",20.62,20.74,20.08,20.17,19.72,"29,277,900"
"Mar 17, 2023",20.22,20.96,20.07,20.70,20.24,"37,186,100"
"Mar 16, 2023",21.52,21.62,19.97,20.06,19.61,"40,180,300"
"Mar 15, 2023",21.67,22.00,21.08,21.08,20.61,"48,447,900"
"Mar 14, 2023",20.91,21.51,20.42,20.73,20.27,"32,285,600"
"Mar 13, 2023",22.38,22.56,20.92,21.80,21.32,"58,541,900"
"Mar 10, 2023",20.88,21.94,20.53,21.67,21.19,"56,978,600"
"Mar 09, 2023",19.55,20.92,19.29,20.75,20.29,"40,799,900"
"Mar 08, 2023",19.73,20.00,19.53,19.66,19.22,"24,474,200"
"Mar 07, 2023",18.88,19.84,18.84,19.74,19.30,"27,647,900"
"Mar 06, 2023",18.78,18.93,18.45,18.86,18.44,"23,771,600"
"Mar 03, 2023",19.56,19.67,18.85,18.90,18.48,"25,027,800"
"Mar 02, 2023",20.61,20.68,19.70,19.86,19.42,"30,474,100"
"Mar 01, 2023",20.19,20.50,19.99,20.29,19.84,"27,066,600"
"Feb 28, 2023",19.91,20.06,19.60,20.05,19.60,"25,032,600"
"Feb 27, 2023",19.49,19.97,19.27,19.83,19.39,"23,837,200"
