Date,Open,High,Low,Close*,Adj Close**,Volume
"Jun 30, 2023",10.79,10.81,10.57,10.66,10.66,"20,993,900"
"Jun 29, 2023",11.18,11.22,11.01,11.02,11.02,"16,930,400"
"Jun 28, 2023",11.24,11.30,11.06,11.13,11.13,"21,326,000"
"Jun 27, 2023",11.47,11.50,11.10,11.16,11.16,"20,202,000"
"Jun 26, 2023",11.44,11.55,11.28,11.52,11.52,"17,578,100"
"Jun 23, 2023",11.40,11.44,11.24,11.37,11.37,"21,433,500"
"Jun 22, 2023",11.32,11.35,11.11,11.11,11.11,"20,286,900"
"Jun 21, 2023",11.14,11.27,11.07,11.22,11.22,"25,039,700"
"Jun 20, 2023",11.17,11.35,11.10,11.19,11.05,"26,559,900"
"Jun 16, 2023",10.75,11.05,10.73,11.01,10.88,"27,488,500"
"Jun 15, 2023",11.38,11.38,10.79,10.89,10.76,"30,025,500"
"Jun 14, 2023",11.31,11.57,11.14,11.30,11.16,"32,957,200"
"Jun 13, 2023",11.42,11.49,11.27,11.33,11.19,"27,152,200"
"Jun 12, 2023",11.78,11.85,11.54,11.56,11.42,"19,351,200"
"Jun 09, 2023",11.86,11.95,11.69,11.87,11.72,"22,983,600"
"Jun 08, 2023",12.14,12.21,11.88,11.93,11.78,"15,401,300"
"Jun 07, 2023",11.97,12.17,11.87,12.12,11.97,"20,800,100"
"Jun 06, 2023",12.11,12.17,11.95,11.99,11.84,"16,906,200"
"Jun 05, 2023",11.96,12.13,11.85,12.06,11.91,"17,482,400"
"Jun 02, 2023",12.30,12.35,11.92,12.00,11.85,"27,996,100"
"Jun 01, 2023",12.87,12.99,12.42,12.53,12.38,"21,319,300"
"May 31, 2023",12.84,13.03,12.76,12.87,12.71,"20,763,200"
"May 30, 2023",12.49,12.79,12.44,12.67,12.51,"17,775,900"
"May 26, 2023",13.11,13.13,12.60,12.68,12.52,"20,937,200"
"May 25, 2023",13.17,13.39,13.02,13.17,13.01,"20,186,500"
"May 24, 2023",13.38,13.61,13.33,13.50,13.33,"28,014,100"
"May 23, 2023",12.93,13.24,12.83,13.19,13.03,"22,626,300"
"May 22, 2023",12.79,12.90,12.62,12.76,12.60,"17,025,800"
"May 19, 2023",12.63,12.89,12.58,12.77,12.61,"25,755,800"
"May 18, 2023",13.13,13.14,12.67,12.72,12.56,"29,717,400"
"May 17, 2023",13.36,13.53,13.01,13.08,12.92,"25,739,800"
"May 16, 2023",13.41,13.56,13.31,13.55,13.38,"16,210,900"
"May 15, 2023",13.36,13.56,13.24,13.30,13.14,"18,799,000"
"May 12, 2023",13.23,13.66,13.22,13.41,13.25,"21,519,700"
"May 11, 2023",13.39,13.57,13.33,13.34,13.18,"21,248,900"
"May 10, 2023",13.16,13.66,13.10,13.29,13.13,"31,692,000"
"May 09, 2023",13.44,13.48,13.34,13.43,13.27,"14,649,700"
"May 08, 2023",13.25,13.41,13.22,13.27,13.11,"16,709,500"
"May 05, 2023",13.66,13.69,13.16,13.26,13.10,"27,886,500"
"May 04, 2023",13.87,14.18,13.83,14.04,13.87,"32,676,900"
"May 03, 2023",13.42,13.75,13.15,13.73,13.56,"36,470,100"
"May 02, 2023",13.09,13.73,13.07,13.43,13.27,"28,833,700"
"May 01, 2023",13.00,13.03,12.80,13.01,12.85,"17,781,900"
"Apr 28, 2023",13.38,13.40,12.96,12.97,12.81,"26,312,500"
"Apr 27, 2023",13.86,13.89,13.26,13.29,13.13,"27,096,300"
"Apr 26, 2023",13.87,14.17,13.76,14.13,13.96,"24,763,000"
"Apr 25, 2023",13.50,13.94,13.44,13.94,13.77,"26,463,700"
"Apr 24, 2023",13.36,13.49,13.25,13.29,13.13,"18,204,000"
"Apr 21, 2023",13.32,13.52,13.28,13.32,13.16,"20,409,300"
"Apr 20, 2023",13.42,13.50,13.17,13.34,13.18,"21,048,700"
"Apr 19, 2023",13.31,13.31,13.02,13.12,12.96,"16,375,900"
"Apr 18, 2023",12.98,13.24,12.95,13.10,12.94,"19,135,000"
"Apr 17, 2023",13.27,13.40,13.11,13.11,12.95,"18,676,600"
"Apr 14, 2023",13.23,13.49,13.00,13.25,13.09,"25,759,000"
"Apr 13, 2023",13.59,13.63,13.12,13.15,12.99,"19,992,400"
"Apr 12, 2023",13.30,13.74,13.27,13.67,13.50,"29,171,700"
"Apr 11, 2023",13.48,13.59,13.36,13.50,13.33,"18,050,600"
"Apr 10, 2023",13.82,13.88,13.50,13.51,13.34,"17,288,600"
"Apr 06, 2023",13.81,13.90,13.52,13.55,13.38,"24,770,600"
