Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",455.88,457.78,452.49,456.92,456.92,"79,949,400"
"Jul 27, 2023",459.02,459.44,451.55,452.49,452.49,"92,194,400"
"Jul 26, 2023",454.47,456.99,453.38,455.51,455.51,"71,052,900"
"Jul 25, 2023",453.92,456.74,453.87,455.44,455.44,"55,191,200"
"Jul 24, 2023",453.37,455.04,452.30,454.20,454.20,"54,023,400"
"Jul 21, 2023",453.96,454.17,452.17,452.18,452.18,"71,245,400"
"Jul 20, 2023",454.17,455.10,451.44,452.18,452.18,"70,591,600"
"Jul 19, 2023",455.01,456.43,454.11,455.20,455.20,"65,891,700"
"Jul 18, 2023",450.50,454.86,450.05,454.19,454.19,"80,744,400"
"Jul 17, 2023",449.13,451.93,449.08,450.84,450.84,"52,680,200"
"Jul 14, 2023",450.48,451.36,448.49,449.28,449.28,"69,761,800"
"Jul 13, 2023",447.90,450.38,447.45,449.56,449.56,"72,425,200"
"Jul 12, 2023",446.39,447.48,444.91,446.02,446.02,"91,924,500"
"Jul 11, 2023",440.45,442.97,439.44,442.46,442.46,"64,463,800"
"Jul 10, 2023",438.18,439.84,437.59,439.66,439.66,"62,443,500"
"Jul 07, 2023",438.63,442.64,438.30,438.55,438.55,"86,076,100"
"Jul 06, 2023",439.42,440.10,437.06,439.66,439.66,"80,658,300"
"Jul 05, 2023",441.91,443.89,441.90,443.13,443.13,"58,418,400"
"Jul 03, 2023",442.92,444.08,442.63,443.79,443.79,"32,793,400"
"Jun 30, 2023",441.44,444.3,441.11,443.28,443.28,"104,921,500"
"Jun 29, 2023",435.96,438.28,435.54,438.11,438.11,"67,882,300"
"Jun 28, 2023",435.05,437.44,434.41,436.39,436.39,"75,636,000"
"Jun 27, 2023",432.35,436.81,431.88,436.17,436.17,"72,813,700"
"Jun 26, 2023",432.62,434.61,431.19,431.44,431.44,"72,823,600"
"Jun 23, 2023",432.93,435.06,432.47,433.21,433.21,"92,074,500"
"Jun 22, 2023",433.95,436.62,433.6,436.51,436.51,"70,637,200"
"Jun 21, 2023",436.16,436.99,434.33,434.94,434.94,"76,982,300"
"Jun 20, 2023",437.45,438.37,435.03,437.18,437.18,"76,160,400"
"Jun 16, 2023",443.02,443.61,438.97,439.46,439.46,"114,121,300"
"Jun 15, 2023",436.33,443.9,436.23,442.6,440.96,"110,303,100"
"Jun 14, 2023",437.01,439.06,433.59,437.18,435.56,"100,612,100"
