Date,Open,High,Low,Close*,Adj Close**,Volume
"Jun 30, 2023",19.21,19.27,18.73,18.91,18.91,"120,521,700"
"Jun 29, 2023",19.73,20.08,19.62,19.80,19.80,"113,976,700"
"Jun 28, 2023",20.07,20.09,19.34,19.65,19.65,"132,252,200"
"Jun 27, 2023",20.57,20.70,19.64,19.78,19.78,"118,443,400"
"Jun 26, 2023",20.11,20.84,19.65,20.81,20.81,"109,697,100"
"Jun 23, 2023",20.08,20.30,19.64,20.02,20.02,"125,436,100"
"Jun 22, 2023",20.35,20.42,19.41,19.42,19.42,"118,944,600"
"Jun 21, 2023",19.51,20.26,19.44,20.09,20.09,"125,058,700"
"Jun 20, 2023",19.74,20.06,19.35,19.57,19.30,"111,336,300"
"Jun 16, 2023",18.75,19.56,18.73,19.49,19.23,"127,019,300"
"Jun 15, 2023",20.03,20.13,18.86,19.13,18.87,"167,106,400"
"Jun 14, 2023",20.22,20.70,19.74,19.78,19.51,"164,829,700"
"Jun 13, 2023",20.21,20.78,20.07,20.22,19.95,"141,333,900"
"Jun 12, 2023",21.48,21.66,20.66,20.69,20.41,"104,070,400"
"Jun 09, 2023",21.76,22.06,21.19,21.79,21.49,"118,157,900"
"Jun 08, 2023",22.81,22.86,21.92,22.05,21.75,"106,802,000"
"Jun 07, 2023",21.68,22.96,21.31,22.84,22.53,"140,847,400"
"Jun 06, 2023",21.82,22.08,21.54,21.72,21.42,"93,403,300"
"Jun 05, 2023",21.77,21.89,21.22,21.70,21.41,"124,014,000"
"Jun 02, 2023",21.89,22.24,21.51,21.74,21.44,"118,235,100"
"Jun 01, 2023",23.07,23.29,21.95,22.22,21.92,"117,700,000"
"May 31, 2023",22.92,23.28,22.52,23.06,22.75,"128,934,200"
"May 30, 2023",22.05,22.88,21.82,22.59,22.28,"138,132,800"
"May 26, 2023",24.58,24.60,22.72,22.91,22.60,"164,323,500"
"May 25, 2023",24.92,25.53,24.48,24.80,24.46,"148,978,800"
"May 24, 2023",26.75,27.19,26.39,26.67,26.31,"130,940,900"
"May 23, 2023",25.70,26.36,25.45,26.27,25.91,"111,438,900"
"May 22, 2023",25.61,25.62,25.06,25.30,24.96,"79,910,700"
"May 19, 2023",25.33,25.79,25.16,25.56,25.21,"115,433,600"
"May 18, 2023",26.75,26.76,25.31,25.38,25.04,"146,357,900"
"May 17, 2023",27.56,27.86,26.66,26.81,26.45,"112,424,400"
"May 16, 2023",28.11,28.11,27.37,27.81,27.43,"99,723,500"
"May 15, 2023",28.23,28.64,27.84,27.90,27.52,"86,746,500"
"May 12, 2023",27.91,28.89,27.80,28.34,27.95,"101,330,400"
"May 11, 2023",28.16,28.57,27.88,28.04,27.66,"109,886,700"
"May 10, 2023",28.54,29.22,28.02,28.27,27.89,"138,867,600"
"May 09, 2023",29.11,29.29,28.87,29.20,28.80,"71,202,900"
"May 08, 2023",28.99,29.28,28.55,28.64,28.25,"76,305,500"
"May 05, 2023",30.14,30.25,28.60,28.84,28.45,"111,473,900"
"May 04, 2023",30.53,31.09,30.19,30.78,30.36,"139,372,100"
"May 03, 2023",29.74,30.45,28.98,30.42,30.01,"152,635,300"
"May 02, 2023",29.09,30.30,29.00,29.81,29.40,"137,558,700"
"May 01, 2023",29.08,29.35,28.68,29.05,28.66,"90,197,700"
"Apr 28, 2023",29.62,29.94,28.92,28.96,28.57,"138,313,000"
"Apr 27, 2023",30.98,31.19,29.38,29.56,29.16,"141,981,500"
"Apr 26, 2023",31.62,32.29,31.15,32.15,31.71,"131,519,900"
"Apr 25, 2023",31.43,32.73,31.24,32.69,32.25,"131,087,200"
"Apr 24, 2023",30.81,31.58,30.41,30.93,30.51,"108,891,300"
"Apr 21, 2023",30.94,31.47,30.50,30.73,30.31,"116,245,300"
"Apr 20, 2023",30.97,31.18,29.96,30.81,30.39,"141,682,000"
"Apr 19, 2023",30.73,30.76,29.77,30.07,29.66,"101,929,300"
"Apr 18, 2023",29.42,30.37,29.30,30.02,29.61,"91,441,100"
"Apr 17, 2023",30.21,30.79,29.91,30.03,29.62,"96,704,900"
"Apr 14, 2023",30.35,30.91,29.58,30.07,29.66,"141,603,500"
"Apr 13, 2023",31.22,31.27,29.75,29.90,29.49,"123,564,400"
"Apr 12, 2023",30.32,31.86,30.14,31.69,31.26,"145,613,800"
"Apr 11, 2023",30.31,31.03,30.29,30.88,30.46,"88,190,700"
"Apr 10, 2023",31.09,31.60,30.27,30.29,29.88,"87,939,200"
"Apr 06, 2023",31.34,31.75,30.08,30.21,29.80,"115,603,800"
"Apr 05, 2023",30.22,31.35,30.17,30.84,30.42,"118,595,400"
"Apr 04, 2023",29.47,30.24,29.18,29.87,29.46,"112,455,500"
"Apr 03, 2023",29.95,30.33,29.50,29.56,29.16,"111,048,100"
"Mar 31, 2023",30.83,30.91,29.29,29.36,28.96,"139,825,300"
"Mar 30, 2023",31.02,31.41,30.68,30.88,30.46,"115,341,700"
"Mar 29, 2023",32.34,32.62,31.54,31.76,31.33,"120,130,400"
"Mar 28, 2023",33.22,34.32,33.22,33.55,33.09,"110,031,400"
"Mar 27, 2023",32.13,33.29,31.79,33.01,32.56,"109,630,600"
"Mar 24, 2023",32.85,33.59,32.31,32.34,31.90,"148,393,000"
"Mar 23, 2023",32.63,33.60,31.22,32.69,32.25,"189,868,000"
"Mar 22, 2023",32.56,33.90,30.98,33.86,33.40,"179,685,100"
"Mar 21, 2023",33.52,34.04,32.56,32.74,32.09,"105,263,800"
"Mar 20, 2023",34.75,35.51,34.06,34.17,33.50,"116,397,500"
"Mar 17, 2023",34.05,35.18,33.24,34.49,33.81,"165,131,700"
"Mar 16, 2023",37.32,37.57,33.88,34.02,33.35,"173,941,800"
"Mar 15, 2023",38.47,39.03,36.76,36.93,36.20,"217,763,300"
"Mar 14, 2023",38.73,39.08,37.22,37.46,36.72,"175,521,500"
"Mar 13, 2023",41.90,42.57,38.60,40.19,39.40,"252,210,300"
"Mar 10, 2023",39.37,41.54,38.75,41.08,40.27,"271,059,600"
"Mar 09, 2023",37.26,39.73,36.28,39.45,38.67,"162,918,200"
"Mar 08, 2023",37.82,38.54,37.18,37.41,36.67,"132,612,800"
"Mar 07, 2023",36.61,38.20,36.26,37.96,37.21,"158,288,800"
"Mar 06, 2023",36.27,36.68,35.15,36.60,35.88,"116,894,800"
"Mar 03, 2023",38.43,38.64,36.62,36.73,36.01,"110,212,000"
"Mar 02, 2023",41.18,41.30,38.78,39.13,38.36,"125,854,500"
"Mar 01, 2023",39.25,40.48,38.98,40.07,39.28,"135,461,100"
"Feb 28, 2023",39.22,39.35,38.10,39.13,38.36,"109,085,300"
"Feb 27, 2023",38.46,39.18,37.89,38.93,38.16,"111,308,100"
"Feb 24, 2023",39.83,40.47,39.35,39.79,39.00,"155,501,800"
"Feb 23, 2023",37.40,39.55,37.33,37.85,37.10,"135,550,700"
"Feb 22, 2023",38.67,39.50,37.99,38.84,38.07,"141,230,800"
"Feb 21, 2023",37.72,38.95,37.20,38.87,38.10,"125,526,500"
"Feb 17, 2023",36.33,37.38,36.03,36.29,35.57,"150,171,800"
"Feb 16, 2023",35.19,35.58,33.85,35.50,34.80,"159,103,600"
"Feb 15, 2023",35.02,35.24,33.54,33.58,32.92,"121,267,700"
"Feb 14, 2023",35.71,36.39,34.02,34.36,33.68,"206,435,900"
"Feb 13, 2023",36.36,36.82,34.90,35.10,34.41,"108,770,300"
"Feb 10, 2023",36.97,37.76,36.21,36.87,36.14,"159,423,400"
"Feb 09, 2023",33.67,36.67,33.60,36.13,35.42,"154,771,500"
