Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",135.85,136.74,134.81,135.00,135.00,"2,957,500"
"Jul 27, 2023",135.33,138.28,134.50,134.50,134.50,"5,538,800"
"Jul 26, 2023",132.76,135.54,132.46,134.47,134.47,"5,180,100"
"Jul 25, 2023",135.09,135.83,133.34,133.60,133.60,"3,849,400"
"Jul 24, 2023",134.32,135.60,133.83,135.41,135.41,"2,622,600"
"Jul 21, 2023",135.13,136.36,133.60,134.08,134.08,"4,030,700"
"Jul 20, 2023",133.13,135.29,132.48,134.64,134.64,"4,174,700"
"Jul 19, 2023",131.50,132.93,130.88,132.70,132.70,"3,229,200"
"Jul 18, 2023",130.35,131.97,129.04,130.81,130.81,"3,786,400"
"Jul 17, 2023",130.80,130.83,128.55,130.01,130.01,"4,731,500"
"Jul 14, 2023",132.09,132.68,130.66,130.92,130.92,"4,119,500"
"Jul 13, 2023",133.37,134.30,132.69,132.82,132.82,"3,077,400"
"Jul 12, 2023",134.85,135.41,132.84,132.91,132.91,"3,758,300"
"Jul 11, 2023",132.04,134.30,131.37,133.39,133.39,"4,094,900"
"Jul 10, 2023",130.28,131.86,130.28,131.74,131.74,"3,831,300"
"Jul 07, 2023",130.50,132.22,129.86,130.05,130.05,"4,251,100"
"Jul 06, 2023",131.88,132.97,130.43,130.84,130.84,"4,882,300"
"Jul 05, 2023",134.24,134.49,132.49,132.55,132.55,"5,186,900"
"Jul 03, 2023",131.59,135.32,131.59,134.86,134.86,"4,134,600"
"Jun 30, 2023",133.81,133.85,131.13,131.9,131.9,"7,312,200"
"Jun 29, 2023",132.48,134.06,131.77,132.91,132.91,"6,055,200"
"Jun 28, 2023",132.7,133.38,131.88,132.47,132.47,"4,601,900"
"Jun 27, 2023",133.2,134.84,132.41,132.51,132.51,"6,047,600"
"Jun 26, 2023",132.35,135.46,132.34,134.5,134.5,"4,831,100"
"Jun 23, 2023",131.01,132.41,130.32,131.83,131.83,"6,973,100"
"Jun 22, 2023",133.44,133.76,131.43,132.39,132.39,"4,620,600"
"Jun 21, 2023",132.36,133.98,131.33,133.22,133.22,"3,845,500"
"Jun 20, 2023",133.12,133.29,131.42,132.72,132.72,"5,355,200"
"Jun 16, 2023",138.06,138.06,133.64,133.81,133.81,"9,895,800"
"Jun 15, 2023",135.11,138.08,134.6,137.84,137.84,"10,063,100"
"Jun 14, 2023",129.2,134.53,127.93,133.23,133.23,"14,968,700"
"Jun 13, 2023",127.5,129.4,126.74,128.72,128.72,"6,916,300"
"Jun 12, 2023",127.3,127.39,125.08,126.48,126.48,"8,248,400"
"Jun 09, 2023",129.5,130.6,126.95,126.99,126.99,"9,386,000"
"Jun 08, 2023",131.5,132.77,130.22,131.27,131.27,"6,162,000"
"Jun 07, 2023",132.03,132.31,131.01,131.75,131.75,"5,504,400"
"Jun 06, 2023",130.1,132.96,129.93,132.7,132.7,"6,065,200"
"Jun 05, 2023",131.67,132.51,129.72,130.6,130.6,"7,702,900"
"Jun 02, 2023",131.24,133.28,130.56,133.22,133.22,"7,589,100"
"Jun 01, 2023",128.6,132.03,126.75,131.16,131.16,"13,678,400"
"May 31, 2023",134.24,135.26,130.63,130.93,130.93,"20,234,400"
"May 30, 2023",138.22,138.89,133.58,133.84,133.84,"10,931,900"
"May 26, 2023",140.31,140.48,137.21,138.93,138.93,"8,100,400"
"May 25, 2023",142.18,142.2,138.65,140.75,140.75,"7,409,500"
"May 24, 2023",145.8,145.89,142.13,143.1,143.1,"6,738,300"
"May 23, 2023",150.33,151.33,146.94,147.16,147.16,"4,374,100"
"May 22, 2023",151.0,152.74,149.77,151.91,151.91,"3,717,000"
"May 19, 2023",154.9,155.27,150.93,152.28,152.28,"4,454,700"
"May 18, 2023",160.87,161.62,153.25,154.18,154.18,"7,881,600"
"May 17, 2023",155.8,162.84,155.12,160.96,160.96,"8,387,700"
"May 16, 2023",157.38,160.85,154.7,156.91,156.91,"5,805,900"
"May 15, 2023",157.97,160.79,157.4,160.57,159.49,"4,055,200"
"May 12, 2023",157.8,159.3,156.03,157.99,156.93,"3,361,600"
"May 11, 2023",157.38,159.31,156.54,158.87,157.8,"2,832,000"
"May 10, 2023",158.18,159.3,155.02,157.73,156.67,"2,804,800"
"May 09, 2023",155.7,157.86,155.42,157.42,156.36,"1,886,000"
"May 08, 2023",156.48,157.79,155.65,156.5,155.45,"1,495,200"
"May 05, 2023",154.49,157.77,154.17,156.3,155.25,"2,186,900"
"May 04, 2023",154.18,154.5,150.87,152.53,151.5,"2,653,600"
"May 03, 2023",155.32,158.62,154.34,154.57,153.53,"2,385,700"
"May 02, 2023",156.55,156.8,153.57,155.72,154.67,"2,277,400"
"May 01, 2023",157.68,158.75,156.34,157.12,156.06,"1,964,500"
"Apr 28, 2023",158.65,159.66,155.95,157.75,156.69,"3,432,600"
"Apr 27, 2023",156.23,158.6,155.13,158.15,157.09,"3,037,900"
"Apr 26, 2023",156.95,158.61,154.79,155.45,154.4,"3,077,400"
"Apr 25, 2023",163.95,164.11,157.33,157.61,156.55,"2,723,300"
"Apr 24, 2023",162.31,164.2,162.31,163.94,162.84,"2,313,100"
"Apr 21, 2023",161.32,164.53,160.94,162.18,161.09,"2,743,600"
"Apr 20, 2023",160.92,162.49,159.78,160.28,159.2,"2,809,900"
"Apr 19, 2023",160.75,162.85,160.21,162.51,161.42,"2,183,700"
"Apr 18, 2023",162.95,163.03,161.99,162.4,161.31,"2,195,400"
"Apr 17, 2023",161.51,163.08,161.24,162.7,161.61,"2,566,500"
"Apr 14, 2023",163.0,165.47,159.89,161.0,159.92,"2,370,100"
"Apr 13, 2023",164.04,164.94,161.7,163.27,162.17,"2,464,600"
"Apr 12, 2023",170.46,170.77,163.19,163.51,162.41,"3,900,300"
"Apr 11, 2023",169.71,171.24,169.38,169.58,168.44,"2,155,500"
"Apr 10, 2023",165.08,169.68,164.59,169.0,167.86,"2,724,400"
"Apr 06, 2023",162.57,165.84,160.68,165.58,164.47,"2,552,900"
