Date,Open,High,Low,Close*,Adj Close**,Volume
"Jun 30, 2023",1.6100,1.6100,1.5200,1.5600,1.5600,"18,646,800"
"Jun 29, 2023",1.5800,1.6400,1.5700,1.6100,1.6100,"12,202,900"
"Jun 28, 2023",1.5900,1.6000,1.5400,1.5800,1.5800,"10,693,800"
"Jun 27, 2023",1.5800,1.6200,1.5500,1.6000,1.6000,"9,573,100"
"Jun 26, 2023",1.5100,1.6000,1.5100,1.5800,1.5800,"11,070,000"
"Jun 23, 2023",1.5800,1.5900,1.5100,1.5200,1.5200,"16,274,400"
"Jun 22, 2023",1.5600,1.6100,1.5200,1.6100,1.6100,"10,902,200"
"Jun 21, 2023",1.5400,1.6300,1.5000,1.5800,1.5800,"21,880,800"
"Jun 20, 2023",1.5800,1.5900,1.5200,1.5500,1.5500,"13,105,300"
"Jun 16, 2023",1.6200,1.6300,1.5600,1.5600,1.5600,"17,849,700"
"Jun 15, 2023",1.6500,1.6600,1.6000,1.6100,1.6100,"19,239,400"
"Jun 14, 2023",1.7200,1.7200,1.6000,1.6400,1.6400,"15,565,200"
"Jun 13, 2023",1.7000,1.7500,1.6700,1.7100,1.7100,"14,776,100"
"Jun 12, 2023",1.6000,1.6700,1.5600,1.6700,1.6700,"18,832,300"
"Jun 09, 2023",1.6800,1.6800,1.5800,1.5900,1.5900,"21,188,100"
"Jun 08, 2023",1.7300,1.7300,1.6500,1.6700,1.6700,"23,608,000"
"Jun 07, 2023",1.7900,1.8300,1.7000,1.7300,1.7300,"20,954,100"
"Jun 06, 2023",1.6900,1.7900,1.6600,1.7700,1.7700,"15,238,500"
"Jun 05, 2023",1.7500,1.7500,1.6400,1.6900,1.6900,"15,641,400"
"Jun 02, 2023",1.7500,1.8100,1.7100,1.7200,1.7200,"21,246,600"
"Jun 01, 2023",1.6800,1.7800,1.6300,1.7000,1.7000,"26,101,500"
"May 31, 2023",1.8200,1.8200,1.6600,1.6700,1.6700,"29,268,300"
"May 30, 2023",1.9300,1.9300,1.7800,1.8300,1.8300,"28,001,300"
"May 26, 2023",1.8300,1.9000,1.8200,1.8600,1.8600,"51,165,800"
"May 25, 2023",2.4400,2.4400,2.3200,2.3600,2.3600,"12,293,900"
"May 24, 2023",2.4500,2.4500,2.3600,2.4200,2.4200,"6,084,900"
"May 23, 2023",2.5100,2.5900,2.4300,2.4500,2.4500,"6,353,200"
"May 22, 2023",2.4100,2.6400,2.4100,2.5300,2.5300,"12,682,600"
"May 19, 2023",2.4300,2.5000,2.4000,2.4100,2.4100,"6,517,900"
"May 18, 2023",2.4000,2.5000,2.4000,2.4400,2.4400,"7,270,900"
"May 17, 2023",2.3800,2.4500,2.3200,2.4100,2.4100,"8,873,100"
