Date,Open,High,Low,Close*,Adj Close**,Volume
"Jun 30, 2023",102.06,103.06,101.87,102.94,102.66,"32,018,800"
"Jun 29, 2023",102.17,102.34,101.45,101.74,101.47,"41,091,600"
"Jun 28, 2023",103.41,103.84,102.83,103.61,103.33,"23,826,800"
"Jun 27, 2023",103.59,103.95,102.76,103.17,102.89,"18,105,700"
"Jun 26, 2023",103.62,103.80,103.16,103.44,103.16,"12,894,900"
"Jun 23, 2023",103.83,103.95,102.98,103.33,103.05,"22,896,800"
"Jun 22, 2023",102.80,103.25,102.20,102.31,102.03,"23,630,700"
"Jun 21, 2023",102.81,103.65,102.34,103.56,103.28,"19,720,100"
"Jun 20, 2023",103.11,103.66,103.11,103.31,103.03,"17,162,900"
"Jun 16, 2023",102.44,102.83,102.03,102.60,102.32,"16,758,200"
"Jun 15, 2023",103.03,103.63,102.60,103.00,102.72,"25,732,000"
"Jun 14, 2023",101.63,102.29,101.46,102.02,101.74,"29,094,200"
"Jun 13, 2023",102.11,102.33,100.97,101.21,100.94,"25,910,800"
"Jun 12, 2023",102.24,102.30,101.12,102.22,101.94,"19,010,300"
"Jun 09, 2023",101.60,102.27,101.34,101.92,101.64,"22,147,400"
"Jun 08, 2023",100.87,102.14,100.80,102.06,101.78,"23,845,100"
"Jun 07, 2023",102.17,102.43,100.78,100.88,100.61,"25,251,100"
"Jun 06, 2023",101.84,102.47,101.39,102.40,102.12,"14,332,100"
"Jun 05, 2023",101.35,102.44,101.21,101.80,101.53,"14,433,200"
"Jun 02, 2023",103.00,103.07,101.94,101.99,101.71,"19,122,100"
"Jun 01, 2023",103.28,103.63,102.63,103.12,102.84,"21,040,400"
"May 31, 2023",101.99,103.18,101.87,102.99,102.44,"23,787,000"
"May 30, 2023",101.40,102.24,101.25,102.10,101.55,"23,125,200"
"May 26, 2023",100.12,101.17,100.00,101.09,100.55,"17,030,300"
"May 25, 2023",100.70,100.80,100.03,100.28,99.74,"22,492,800"
"May 24, 2023",101.28,101.36,100.53,100.53,99.99,"18,473,400"
"May 23, 2023",100.43,101.25,100.28,101.03,100.49,"21,749,500"
"May 22, 2023",101.25,101.71,100.67,100.74,100.20,"20,131,100"
"May 19, 2023",101.26,101.86,100.93,101.10,100.56,"29,032,300"
"May 18, 2023",102.20,102.26,101.75,101.82,101.28,"25,536,600"
"May 17, 2023",103.08,103.16,102.35,102.58,102.03,"21,340,900"
"May 16, 2023",102.40,102.90,102.11,102.88,102.33,"29,251,700"
"May 15, 2023",103.39,103.47,103.12,103.19,102.64,"20,085,300"
"May 12, 2023",105.05,105.25,104.25,104.27,103.71,"14,195,900"
"May 11, 2023",105.30,105.52,104.72,105.15,104.59,"19,147,200"
"May 10, 2023",103.67,104.24,103.64,104.05,103.49,"22,886,800"
"May 09, 2023",103.50,103.64,103.00,103.05,102.50,"19,182,500"
"May 08, 2023",103.52,103.87,103.32,103.42,102.87,"20,587,000"
"May 05, 2023",104.35,104.90,104.11,104.89,104.33,"15,090,900"
"May 04, 2023",105.22,106.45,105.15,105.24,104.68,"25,110,500"
"May 03, 2023",106.00,106.60,105.28,106.29,105.72,"23,656,200"
"May 02, 2023",104.00,105.70,103.89,105.70,105.14,"30,057,800"
"May 01, 2023",105.27,105.42,102.84,103.13,102.58,"32,487,300"
"Apr 28, 2023",106.21,106.76,105.86,106.46,105.62,"26,949,000"
"Apr 27, 2023",105.20,105.27,104.61,104.77,103.95,"20,247,600"
"Apr 26, 2023",106.79,107.24,105.67,105.82,104.99,"19,610,400"
"Apr 25, 2023",106.33,107.13,106.28,106.96,106.12,"21,899,900"
"Apr 24, 2023",104.96,105.49,104.84,105.41,104.58,"17,034,300"
"Apr 21, 2023",105.30,105.46,104.27,104.40,103.58,"15,244,700"
"Apr 20, 2023",104.83,105.28,104.75,104.99,104.17,"16,450,100"
"Apr 19, 2023",103.91,104.24,103.48,104.10,103.28,"16,093,900"
"Apr 18, 2023",103.81,104.59,103.80,104.20,103.38,"15,922,600"
"Apr 17, 2023",104.42,104.59,103.71,103.83,103.02,"19,528,800"
"Apr 14, 2023",105.39,105.55,104.77,105.08,104.26,"19,801,900"
"Apr 13, 2023",107.05,107.39,105.88,106.05,105.22,"22,079,400"
"Apr 12, 2023",107.05,107.17,105.88,106.89,106.05,"20,563,000"
"Apr 11, 2023",107.05,107.09,106.51,107.00,106.16,"13,971,200"
"Apr 10, 2023",107.64,107.76,106.56,106.78,105.94,"19,134,400"
"Apr 06, 2023",108.42,108.87,108.39,108.53,107.68,"16,447,300"
"Apr 05, 2023",107.77,108.37,107.41,108.25,107.40,"23,047,700"
"Apr 04, 2023",105.78,107.80,105.75,107.13,106.29,"18,052,400"
"Apr 03, 2023",105.88,107.10,105.70,106.60,105.76,"18,234,800"
"Mar 31, 2023",105.35,106.56,105.08,106.37,105.27,"25,396,700"
"Mar 30, 2023",104.46,105.05,104.27,104.80,103.71,"14,315,800"
"Mar 29, 2023",103.70,104.45,103.60,104.32,103.24,"16,804,400"
"Mar 28, 2023",104.24,104.68,104.02,104.53,103.45,"17,794,300"
"Mar 27, 2023",105.05,105.76,104.33,104.34,103.26,"22,224,500"
"Mar 24, 2023",107.09,107.43,106.26,106.85,105.74,"23,652,700"
"Mar 23, 2023",105.36,106.55,104.82,106.40,105.30,"25,475,100"
"Mar 22, 2023",104.66,106.45,104.44,106.40,105.30,"26,388,500"
"Mar 21, 2023",105.08,105.42,104.54,105.00,103.91,"18,934,900"
"Mar 20, 2023",106.88,106.96,105.72,105.91,104.81,"24,242,800"
"Mar 17, 2023",106.65,107.73,106.46,106.85,105.74,"38,129,000"
"Mar 16, 2023",107.38,108.03,105.04,105.27,104.18,"43,089,300"
"Mar 15, 2023",106.78,107.71,105.35,106.10,105.00,"45,164,100"
"Mar 14, 2023",105.14,105.61,103.75,104.09,103.01,"38,417,800"
"Mar 13, 2023",108.20,109.10,105.04,105.83,104.73,"51,502,500"
"Mar 10, 2023",104.03,105.69,104.00,105.59,104.50,"43,921,500"
"Mar 09, 2023",101.55,102.52,101.33,102.07,101.01,"21,550,400"
"Mar 08, 2023",102.40,102.97,101.42,101.82,100.77,"20,252,400"
"Mar 07, 2023",101.46,102.37,100.88,101.72,100.67,"23,096,500"
"Mar 06, 2023",102.22,102.34,100.99,101.10,100.05,"16,631,900"
"Mar 03, 2023",100.93,101.90,100.57,101.89,100.83,"30,877,300"
"Mar 02, 2023",99.06,99.65,98.88,99.48,98.45,"23,763,600"
"Mar 01, 2023",100.82,101.03,99.96,100.37,99.33,"19,000,000"
"Feb 28, 2023",100.57,101.72,100.28,101.71,100.41,"14,955,700"
"Feb 27, 2023",101.29,101.70,100.91,101.25,99.96,"14,209,200"
"Feb 24, 2023",101.44,101.80,100.56,100.97,99.68,"21,403,600"
"Feb 23, 2023",101.54,102.59,101.47,102.30,100.99,"15,829,100"
"Feb 22, 2023",100.99,101.69,100.95,101.31,100.01,"15,165,400"
"Feb 21, 2023",101.01,101.20,100.28,100.39,99.11,"22,728,000"
"Feb 17, 2023",101.10,102.38,100.97,102.38,101.07,"19,560,900"
"Feb 16, 2023",102.07,102.22,101.33,101.59,100.29,"19,267,300"
"Feb 15, 2023",103.55,103.95,102.50,103.05,101.73,"15,246,900"
"Feb 14, 2023",104.20,104.83,103.14,104.02,102.69,"15,440,300"
"Feb 13, 2023",103.71,104.42,103.58,104.26,102.93,"13,134,300"
"Feb 10, 2023",104.40,104.44,103.12,103.39,102.07,"16,598,300"
"Feb 09, 2023",106.47,106.62,104.39,104.56,103.22,"20,469,900"
"Feb 08, 2023",105.04,105.58,104.39,105.56,104.21,"13,530,700"
"Feb 07, 2023",105.33,106.23,105.00,105.06,103.72,"18,290,300"
"Feb 06, 2023",105.75,106.31,105.68,105.91,104.56,"15,182,400"
