Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",39.93,40.53,39.65,40.25,40.25,"13,698,300"
"Jul 27, 2023",41.03,41.20,38.30,38.77,38.77,"17,147,100"
"Jul 26, 2023",39.28,40.76,39.27,40.33,40.33,"12,485,200"
"Jul 25, 2023",39.20,40.19,39.11,39.46,39.46,"10,928,600"
"Jul 24, 2023",39.24,40.22,38.87,39.42,39.42,"10,015,800"
"Jul 21, 2023",40.34,40.46,38.93,39.13,39.13,"9,853,800"
"Jul 20, 2023",40.72,40.72,39.08,39.61,39.61,"12,584,800"
"Jul 19, 2023",40.54,41.15,40.11,40.62,40.62,"13,507,000"
"Jul 18, 2023",38.78,40.38,38.66,40.16,40.16,"11,684,400"
"Jul 17, 2023",37.42,39.18,37.28,38.71,38.71,"10,396,100"
"Jul 14, 2023",38.60,38.62,36.78,37.54,37.54,"17,796,900"
"Jul 13, 2023",38.18,38.84,37.74,38.68,38.68,"12,597,600"
"Jul 12, 2023",38.31,38.47,37.50,37.76,37.76,"19,370,200"
"Jul 11, 2023",35.88,36.77,35.42,36.56,36.56,"14,659,800"
"Jul 10, 2023",33.71,35.62,33.48,35.59,35.59,"11,659,100"
"Jul 07, 2023",32.86,34.73,32.85,33.90,33.90,"13,984,500"
"Jul 06, 2023",33.24,33.29,31.63,32.77,32.77,"16,671,800"
"Jul 05, 2023",35.23,35.28,34.27,34.47,34.47,"12,621,100"
"Jul 03, 2023",35.14,36.21,35.03,35.70,35.70,"8,486,500"
"Jun 30, 2023",35.87,35.98,35.13,35.29,35.29,"13,805,000"
"Jun 29, 2023",33.91,35.25,33.8,35.0,35.0,"13,960,700"
"Jun 28, 2023",33.01,33.8,32.56,33.74,33.74,"13,169,800"
"Jun 27, 2023",32.09,33.56,31.69,33.25,33.25,"12,816,600"
"Jun 26, 2023",31.73,32.91,31.63,31.88,31.88,"13,327,000"
"Jun 23, 2023",31.84,32.75,31.49,31.66,31.66,"14,298,500"
"Jun 22, 2023",33.8,33.8,32.82,33.29,33.29,"10,936,600"
"Jun 21, 2023",33.91,34.74,33.44,34.1,34.1,"11,513,200"
"Jun 20, 2023",34.55,34.77,33.78,34.54,34.31,"10,356,700"
"Jun 16, 2023",36.13,36.49,34.52,34.98,34.75,"13,612,500"
"Jun 15, 2023",34.55,35.95,34.48,35.88,35.64,"14,357,000"
"Jun 14, 2023",36.47,36.98,34.28,35.09,34.86,"22,490,200"
"Jun 13, 2023",35.44,36.83,35.31,36.25,36.01,"18,526,400"
"Jun 12, 2023",34.74,35.53,34.16,35.05,34.82,"15,516,800"
"Jun 09, 2023",35.39,35.53,34.31,34.61,34.38,"15,569,300"
"Jun 08, 2023",35.61,35.98,34.58,35.45,35.22,"17,342,100"
"Jun 07, 2023",34.67,36.24,34.67,35.94,35.7,"22,565,900"
"Jun 06, 2023",31.22,34.38,31.21,34.05,33.83,"20,177,700"
"Jun 05, 2023",32.5,32.5,30.95,31.52,31.31,"19,791,900"
"Jun 02, 2023",30.85,32.91,30.56,32.86,32.64,"21,602,800"
"Jun 01, 2023",28.82,29.97,28.34,29.66,29.46,"12,506,400"
"May 31, 2023",29.24,29.89,28.05,28.71,28.52,"14,167,200"
"May 30, 2023",30.27,30.69,29.27,29.65,29.45,"14,296,100"
"May 26, 2023",29.1,30.1,28.93,29.94,29.74,"14,127,800"
"May 25, 2023",29.62,29.72,28.3,29.04,28.85,"16,427,900"
"May 24, 2023",30.27,30.37,29.3,29.76,29.56,"13,979,600"
"May 23, 2023",30.97,32.36,30.72,30.77,30.57,"13,842,300"
"May 22, 2023",30.35,31.57,30.04,31.19,30.98,"11,215,500"
"May 19, 2023",31.32,31.37,29.65,30.05,29.85,"11,985,000"
"May 18, 2023",29.83,30.85,29.55,30.67,30.47,"12,668,000"
"May 17, 2023",28.81,30.32,28.2,30.18,29.98,"13,502,000"
"May 16, 2023",28.95,29.0,28.24,28.27,28.08,"10,759,900"
"May 15, 2023",28.8,29.99,28.57,29.55,29.35,"10,040,400"
"May 12, 2023",28.97,29.26,28.0,28.51,28.32,"11,675,700"
"May 11, 2023",28.81,29.09,28.24,28.71,28.52,"12,369,800"
"May 10, 2023",30.2,30.2,28.57,29.42,29.23,"14,294,600"
"May 09, 2023",28.69,29.35,28.29,28.99,28.8,"8,169,100"
"May 08, 2023",29.87,30.01,28.78,29.26,29.07,"9,588,600"
"May 05, 2023",28.89,29.77,28.81,29.47,29.28,"11,343,300"
"May 04, 2023",27.99,28.11,26.74,27.58,27.4,"17,831,100"
"May 03, 2023",28.48,30.16,28.43,28.54,28.35,"14,985,200"
"May 02, 2023",29.62,29.62,27.31,28.21,28.02,"18,515,100"
"May 01, 2023",29.89,31.1,29.79,30.1,29.9,"9,905,500"
"Apr 28, 2023",29.08,30.33,29.01,30.0,29.8,"11,188,700"
"Apr 27, 2023",28.46,29.36,27.93,29.25,29.06,"11,612,300"
"Apr 26, 2023",28.58,29.17,27.97,28.18,27.99,"12,510,600"
"Apr 25, 2023",30.41,30.53,29.0,29.03,28.84,"12,626,300"
"Apr 24, 2023",31.31,31.86,30.84,31.32,31.11,"7,420,900"
"Apr 21, 2023",31.52,31.6,30.5,31.45,31.24,"7,632,800"
"Apr 20, 2023",31.19,31.88,30.86,31.32,31.11,"7,727,300"
"Apr 19, 2023",31.18,32.1,30.92,31.88,31.67,"6,638,700"
"Apr 18, 2023",32.52,32.55,31.11,31.69,31.48,"9,276,700"
"Apr 17, 2023",31.15,32.15,31.06,32.09,31.88,"7,485,500"
"Apr 14, 2023",31.9,32.37,30.3,30.95,30.75,"12,067,300"
"Apr 13, 2023",31.02,32.11,30.67,31.83,31.62,"9,263,000"
"Apr 12, 2023",32.23,32.3,30.51,30.66,30.46,"12,271,400"
"Apr 11, 2023",31.0,31.77,30.81,31.32,31.11,"8,091,600"
"Apr 10, 2023",29.25,30.68,29.21,30.64,30.44,"8,567,500"
"Apr 06, 2023",29.6,29.96,29.07,29.71,29.51,"9,087,000"
"Apr 05, 2023",29.94,30.22,29.03,29.59,29.39,"11,413,100"
"Apr 04, 2023",32.42,32.53,29.95,30.47,30.27,"13,217,900"
"Apr 03, 2023",32.43,32.91,31.12,32.22,32.01,"11,807,100"
"Mar 31, 2023",31.12,32.3,31.11,32.21,32.0,"11,649,100"
"Mar 30, 2023",31.37,31.62,30.13,30.52,30.32,"12,979,000"
"Mar 29, 2023",30.6,30.72,29.92,30.68,30.48,"12,718,500"
"Mar 28, 2023",29.47,30.2,29.26,29.68,29.48,"11,052,100"
"Mar 27, 2023",29.88,30.3,29.13,29.82,29.62,"16,587,300"
"Mar 24, 2023",27.35,28.99,26.71,28.84,28.65,"18,719,300"
"Mar 23, 2023",29.09,30.17,27.35,28.09,27.9,"16,485,000"
"Mar 22, 2023",31.09,31.5,28.46,28.49,28.3,"15,891,400"
"Mar 21, 2023",31.09,31.92,30.8,31.22,31.01,"12,758,400"
"Mar 20, 2023",29.29,30.51,29.08,29.58,29.35,"15,704,900"
"Mar 17, 2023",29.96,30.33,28.27,28.53,28.31,"17,216,600"
"Mar 16, 2023",28.7,31.71,28.2,31.01,30.77,"19,153,900"
"Mar 15, 2023",28.94,29.94,28.1,29.89,29.65,"22,957,500"
"Mar 14, 2023",32.4,32.76,30.39,31.39,31.14,"19,294,500"
"Mar 13, 2023",29.4,31.38,28.57,29.72,29.49,"18,257,300"
"Mar 10, 2023",33.71,33.71,30.17,31.23,30.98,"22,815,400"
"Mar 09, 2023",37.42,37.77,34.17,34.27,34.0,"15,057,500"
"Mar 08, 2023",37.5,37.98,36.5,37.37,37.08,"10,533,700"
"Mar 07, 2023",38.7,38.91,37.17,37.38,37.09,"10,373,900"
"Mar 06, 2023",40.51,40.62,38.19,38.7,38.4,"9,570,800"
"Mar 03, 2023",39.34,40.75,38.59,40.49,40.17,"9,675,100"
"Mar 02, 2023",37.65,39.15,37.2,38.92,38.61,"8,603,800"
"Mar 01, 2023",38.5,39.28,37.88,38.65,38.35,"12,045,200"
"Feb 28, 2023",38.47,39.62,38.44,38.46,38.16,"5,780,000"
