Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 14, 2023",277.01,285.30,276.31,281.38,281.38,"119,641,862"
"Jul 01, 2023",276.49,284.25,265.10,277.90,277.90,"904,649,900"
"Jun 01, 2023",202.59,276.99,199.37,261.77,261.77,"3,440,477,900"
"May 01, 2023",163.17,204.48,158.83,203.93,203.93,"2,681,994,800"
"Apr 01, 2023",199.91,202.69,152.37,164.31,164.31,"2,505,176,300"
"Mar 01, 2023",206.21,207.79,163.91,207.46,207.46,"3,311,619,900"
"Feb 01, 2023",173.89,217.65,169.93,205.71,205.71,"3,624,845,100"
"Jan 01, 2023",118.47,180.68,101.81,173.22,173.22,"3,897,499,400"
"Dec 01, 2022",197.08,198.92,108.24,123.18,123.18,"2,944,247,700"
"Nov 01, 2022",234.05,237.40,166.19,194.70,194.70,"1,885,275,300"
"Oct 01, 2022",254.50,257.50,198.59,227.54,227.54,"1,735,263,100"
"Sep 01, 2022",272.58,313.80,262.47,265.25,265.25,"1,299,271,000"
"Aug 01, 2022",301.28,314.67,271.81,275.61,275.61,"1,695,263,200"
"Jul 01, 2022",227.00,298.32,216.17,297.15,297.15,"1,744,884,000"
"Jun 01, 2022",251.72,264.21,208.69,224.47,224.47,"2,011,227,900"
"May 01, 2022",286.92,318.50,206.86,252.75,252.75,"1,948,221,600"
"Apr 01, 2022",360.38,384.29,273.90,290.25,290.25,"1,520,959,800"
"Mar 01, 2022",289.89,371.59,252.01,359.20,359.20,"1,729,272,900"
"Feb 01, 2022",311.74,315.92,233.33,290.14,290.14,"1,391,126,700"
"Jan 01, 2022",382.58,402.67,264.00,312.24,312.24,"1,916,006,400"
"Dec 01, 2021",386.90,390.95,295.37,352.26,352.26,"1,530,167,700"
"Nov 01, 2021",381.67,414.50,326.20,381.59,381.59,"1,947,334,500"
"Oct 01, 2021",259.47,371.74,254.53,371.33,371.33,"1,586,803,800"
"Sep 01, 2021",244.69,266.33,236.28,258.49,258.49,"1,170,513,900"
"Aug 01, 2021",233.33,246.80,216.28,245.24,245.24,"1,143,974,700"
"Jul 01, 2021",227.97,233.33,206.82,229.07,229.07,"1,345,349,400"
"Jun 01, 2021",209.27,232.54,190.41,226.57,226.57,"1,559,765,700"
"May 01, 2021",234.60,235.33,182.33,208.41,208.41,"1,875,527,400"
"Apr 01, 2021",229.46,260.26,219.81,236.48,236.48,"2,035,619,100"
"Mar 01, 2021",230.04,240.37,179.83,222.64,222.64,"2,827,357,200"
"Feb 01, 2021",271.43,293.50,206.33,225.17,225.17,"1,568,573,700"
"Jan 01, 2021",239.82,300.13,239.06,264.51,264.51,"2,117,084,400"
"Dec 01, 2020",199.20,239.57,180.40,235.22,235.22,"3,589,038,000"
"Nov 01, 2020",131.33,202.60,130.77,189.20,189.20,"2,347,796,400"
"Oct 01, 2020",146.92,155.30,126.37,129.35,129.35,"2,500,999,200"
"Sep 01, 2020",167.38,167.50,109.96,143.00,143.00,"5,208,854,400"
"Aug 01, 2020",96.61,166.71,91.00,166.11,166.11,"4,672,135,200"
"Jul 01, 2020",72.20,119.67,72.03,95.38,95.38,"5,679,502,500"
"Jun 01, 2020",57.20,72.51,56.94,71.99,71.99,"3,836,590,500"
"May 01, 2020",50.33,56.22,45.54,55.67,55.67,"4,090,554,000"
"Apr 01, 2020",33.60,57.99,29.76,52.13,52.13,"5,722,162,500"
"Mar 01, 2020",47.42,53.80,23.37,34.93,34.93,"6,314,025,000"
"Feb 01, 2020",44.91,64.60,40.77,44.53,44.53,"7,088,802,000"
"Jan 01, 2020",28.30,43.53,28.11,43.37,43.37,"6,108,277,500"
"Dec 01, 2019",21.96,29.02,21.82,27.89,27.89,"3,106,200,000"
"Nov 01, 2019",21.09,24.08,20.62,22.00,22.00,"2,366,562,000"
"Oct 01, 2019",16.10,22.72,14.95,20.99,20.99,"3,419,739,000"
"Sep 01, 2019",14.94,16.90,14.56,16.06,16.06,"2,036,629,500"
"Aug 01, 2019",16.18,16.30,14.07,15.04,15.04,"2,006,859,000"
"Jul 01, 2019",15.35,17.74,14.81,16.11,16.11,"2,990,050,500"
"Jun 01, 2019",12.37,15.65,11.80,14.90,14.90,"3,224,559,000"
