Date,Open,High,Low,Close*,Adj Close**,Volume
"Jun 30, 2023",17.24,17.63,17.17,17.35,17.35,"15,657,000"
"Jun 29, 2023",17.01,17.26,16.56,16.95,16.95,"12,275,800"
"Jun 28, 2023",16.20,17.18,16.12,16.84,16.84,"15,721,300"
"Jun 27, 2023",15.57,16.26,15.35,16.25,16.25,"14,804,700"
"Jun 26, 2023",16.26,17.08,15.34,15.36,15.36,"20,296,500"
"Jun 23, 2023",17.18,17.49,16.53,16.90,16.90,"17,827,700"
"Jun 22, 2023",16.34,17.74,16.09,17.72,17.72,"20,772,000"
"Jun 21, 2023",18.83,19.00,17.04,17.20,17.20,"25,519,900"
"Jun 20, 2023",17.54,18.88,17.51,18.85,18.77,"18,081,100"
"Jun 16, 2023",17.27,17.75,17.12,17.45,17.37,"14,459,800"
"Jun 15, 2023",16.22,17.30,16.14,17.00,16.93,"15,410,400"
"Jun 14, 2023",17.42,17.56,16.45,17.07,16.99,"23,500,200"
"Jun 13, 2023",16.78,17.38,16.56,17.30,17.22,"17,274,300"
"Jun 12, 2023",16.24,16.51,15.90,16.40,16.33,"13,386,500"
"Jun 09, 2023",16.35,16.65,15.65,15.89,15.82,"23,094,100"
"Jun 08, 2023",13.98,15.01,13.88,14.98,14.91,"18,612,600"
"Jun 07, 2023",14.35,14.59,13.89,14.03,13.97,"18,156,700"
"Jun 06, 2023",13.23,13.77,12.91,13.71,13.65,"13,449,300"
"Jun 05, 2023",13.39,13.71,13.09,13.38,13.32,"15,650,400"
"Jun 02, 2023",12.70,13.34,12.67,13.05,12.99,"17,773,000"
"Jun 01, 2023",12.04,12.67,11.74,12.47,12.42,"15,363,100"
"May 31, 2023",11.78,12.15,11.37,12.14,12.09,"14,001,500"
"May 30, 2023",11.82,12.20,11.59,11.91,11.86,"17,221,700"
"May 26, 2023",10.50,11.68,10.49,11.21,11.16,"15,906,100"
"May 25, 2023",10.65,10.67,10.15,10.47,10.42,"9,014,300"
"May 24, 2023",10.29,10.46,9.95,10.34,10.29,"9,643,300"
"May 23, 2023",10.64,11.21,10.55,10.59,10.54,"10,926,700"
"May 22, 2023",10.19,10.90,10.14,10.86,10.81,"10,695,000"
"May 19, 2023",9.90,10.28,9.82,10.14,10.10,"10,710,600"
"May 18, 2023",9.65,9.88,9.50,9.86,9.82,"10,167,300"
"May 17, 2023",9.17,9.67,9.08,9.62,9.58,"12,405,700"
"May 16, 2023",8.95,9.27,8.85,9.03,8.99,"8,083,100"
"May 15, 2023",9.11,9.28,8.86,9.02,8.98,"8,814,200"
"May 12, 2023",9.82,9.92,9.08,9.15,9.11,"15,904,200"
"May 11, 2023",9.22,9.61,9.06,9.50,9.46,"10,724,800"
"May 10, 2023",9.53,9.68,9.06,9.21,9.17,"10,175,200"
"May 09, 2023",9.24,9.31,9.04,9.25,9.21,"7,415,400"
